text,time,votes,replies
"E ai, torcedor 😎
O que achou da partida?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,27,3
"Normalmente nem vejo futebol, mas dps dessa copa tô procurando um time pra torcer quero sentir a mesma emoção que senti vendo os jogos do Brasil, e esse time me interessou bastante",há 1 ano,0,
IAV + TOG,há 1 ano,0,
o america perdeu muito com a saída do Pedrinho,há 1 ano,0,
incrível a decadência do coxa no campeonato,há 1 ano,0,
Sou pernambucano mais gosto e torço muito pro América mn,há 1 ano,0,
Kkkkkkk coxa sendo coxa,há 1 ano,0,
Alô Tite cavichioli é francês é ? Tá de brincadeira presta atenção no serviço 🤪,há 1 ano,1,
Já falo antes. Coritiba ñ vai cair....,há 1 ano,0,
Coritiba com time razoável para Serie  B,há 1 ano,0,
Coritiba vai cai,há 1 ano,0,
"Eai galerinha, meu canal é novo e irei transmitir jogos ao vivo , mas preciso bater a meta de 50 inscritos primeiro. Quem poder dar essa força, agradeço muito 🙌",há 1 ano,0,
Teve vários quase golaço.,há 1 ano,0,
"Meu América não cai este ano. 
Blza.",há 1 ano,0,
Tinha!k eu adoro América,há 1 ano,0,
As paquitas gostam de apanhar dos jogadores do furacão kkk,há 1 ano,0,
"Alef Manga merece jogar em um time mais forte. Bom jogador, Coritiba já teria caído sem ele",há 1 ano,0,2
Em meu povo no passam estos partidos... 🥲,há 1 ano,0,
Egídio rumo mais um rebaixamento 😅piscina amor ❤️,há 1 ano,0,
Coelhooo,há 1 ano,0,
Legal,há 1 ano,1,
E o COELHO,há 1 ano,0,
"Que jogaço!!  Assim como foi o do juventude , bem movimentado com vários lances de bola na trave!!!",há 1 ano,0,
Mas é muito fome,há 1 ano,0,
"Poderia estar mais em cima na tabela se ele não perdesse tanto gol 
Só contra o Athletico ele perdeu 5 gols embaixo da trave",há 1 ano,1,
Vitória  Merecida  do América Mineiro,há 1 ano,0,
"Simplesmente o coxa 😂🤣🤣🤣, ATHLETICO-PR ⚫🔴🌪️💪",há 1 ano,2,
Coelhão avacoelhando!!,há 1 ano,0,
O COXA NA SERIE B É UM LEÃO,há 1 ano,0,
O COXA NA SERIE B É UM LEÃO,há 1 ano,0,
se o América continuar assim pode de novo entrar na pré libertadores ou direito pra libertadores,há 1 ano (editado),0,
Alef manga bom jogador,há 1 ano,0,
"América MG, o segundo maior de Minas.",há 1 ano,0,
"O CORITIBA OU MELHORA OU VAI VISITAR A SÉRIE B EM 2023, TÁ FEIO A COISA.",há 1 ano,0,
"👊 Isso aí América , joga bem pra ficar na série A pois o MAIOR DE MINAS está Voltando!!! 3 times de minas na série A vai ficar bacana !!!! Cenas dos próximos capítulos BY ED FLOYD 💎👊✋",há 1 ano,4,1
"Sou Bahia Tricolor Baiano.... Esquadrão de Aço...Mas gostaria de parabenizar a Equipe do América Mineiro que há alguns anos,vem fazendo excelentes Campanhas na Série A do Campeonato Brasileiro.... Provavelmente irá brigar por uma Vaga na Copa Libertadores da América 2023...",há 1 ano,4,
America esta se consolidando com um dos grandes do futebol Brasileiro.,há 1 ano,2,
Guto Ferreira deve tá pensando porque eu fui aceitar treinar esses pernas?,há 1 ano,0,
"Recado ao Mancini: Tá vendo quando vc se concentra no seu trabalho e não em aparecer, como seu trabalho é bom. Agora sossega ai no America que vc vai demonstrar muito mais.",há 1 ano,1,
CONEJO 》,há 1 ano,1,
Boa America! Rumo a libertadores mais uma vez!,há 1 ano,2,
"América-MG construiu vitória fácil, boa campanha de novo",há 1 ano,2,
Esse alef manga é muito fominha.,há 1 ano,0,
"Coelho já esta na seria A de 2023! Agora, o foco é pré Libertadores... O Galo tinha tinha que ter 10% da raça do Coelhão.",há 1 ano,0,
Coxa faz um esforço danado pra jogar a segunda kkkk,há 1 ano,2,
"Quanto ao ""maior de minas"" que joga 3 anos seguidos na série B é piada. Serão 3 mineiros e pode ser 4 em 2024 se a Tombense manter o que vem fazendo nos últimos anos.",há 1 ano,0,
"Alef manga é bom, mas n sei o q Ta faltando nele!",há 1 ano,0,
"Segundo ano seguido em que o América joga  em altíssimo nível. Parabéns, Coelhão.",há 1 ano,2,
AMÉRICA-MG 2X0 CORITIBA,há 1 ano,0,
AMÉRICA MG 04/09/22,há 1 ano,0,
AREAREEE O COXA VAI JOGAR  SERIE B,há 1 ano,0,
Grande vitoria do América Mineiro,há 1 ano,2,
"América mg, do professor, mancini , ta jogando demais, velho.",há 1 ano,0,
Acordaram o pedrinho,há 1 ano,1,
"como esse Pedrinho joga fácil, não vai durar muito no American-MG",há 1 ano,6,
Vai América 👍👍👍👍,há 1 ano,0,
Pq ainda não colocaram o do jogo do Athletico e fluminense?,há 1 ano,0,
América e Fortaleza ta surpreendendo no segundo turno,há 1 ano,0,
Cruzeiro Cabuloso,há 1 ano,0,
Série A 2 x Série B 0 ….normal na Vida do coxa.,há 1 ano,0,
ขอบคุณครับ,há 1 ano,0,
"Guto destrói o futebol. Se ele continuasse no Bahia, nossa chance de voltar à Série A seria 0 (ZERO).",há 1 ano,1,
"Se alguém  quiser  apostar   ESTOU  AQUI  
Time que  esse  Jogador  CASTAN  joga  é  certeza  cair  de  DIVISÃO.",há 1 ano,0,
Time que esse  CASTAN  joga  é  certeza  cair  de  divisão.   APOSTO,há 1 ano,0,
"Todo mundo falando do pedrinho, mais o Everaldo está jogando demais",há 1 ano,5,
Boa partida,há 1 ano,0,
"Manga fominha demais,  graças a Deus não foi pro peixe!  Pessimo!",há 1 ano,1,
"COELHO TA JOGANDO BEM, ACHEI INJUSTO O SP PASSAR",há 1 ano,0,2
"Alef Manga é um bom substituto para o Bruno Henrique no Flamengo desde os tempos do volta redonda eu acho, é promissor.",há 1 ano,4,4
Que amasso do América! Coritiba se continuar assim sem ver a cor da bola vai voltar pra Série B,há 1 ano,24,
Narrador e narração bem meia boca,há 1 ano,0,
"Mequinha tá jogando bem, vai beliscar uma vaguinha na Sul-americana.",há 1 ano,0,
boa coelhão tá jogando muito,há 1 ano,0,
América-MG Não Me Surpreende Pela Campanha. Está De Parabéns! 👍,há 1 ano,14,
Parabéns para o América - MG pela vitória e também pelos seus 7 jogos invictos até agora…,há 1 ano,27,11
Coelho amassou o coxa!,há 1 ano,0,
"Serie b.
AVAI
CORITIBA
CUIABA
JUVENTUDE",há 1 ano,0,
"Alef manga poderia der um jogador mais coletivo, ele é muito talentoso, mas é muito individualista, as vezes atrapalha muito a equipe com esse comportamento.",há 1 ano,1,
Esse alef manga merecia estar num time muito melhor jogador muito bom,há 1 ano,2,1
"até que enfim o Matheuzinho fez alguma coisa.
tô cansado de enganação",há 1 ano,0,
Goleiro seguro esse caviquioli,há 1 ano,0,
Todos times tem um bom goleiro só o são Paulo que tem um frangueiro 07 bolas 6 gols,há 1 ano,0,1
"O coritiba é um time limitadissimo, o que mantém ele por enquanto, fora da porta da ZR, é o fator sorte. Incrível como os demais que estão abaixo dele na tabela não consegue ganhar de ninguém.
E o resultado do jogo ficou barato para os coxas o porco paranaense. 
Parabéns AMÉRICA.",há 1 ano (editado),2,
"Parabéns ao América Mg pela vitória.  E parabéns pela bela campanha que vem fazendo no Brasileirão.  👏👏👏👏.. Porém cabe uma pergunta, cadê a torcida do América Mg.. ???   Alguém poderia responder...   O América Mg merece um público bem maior de torcedores..   vocês não acha....🤔🤔",há 1 ano,9,4
Alef Manga é muito fominha se ele jogasse mais no coletivo clube não estaria perto do z4,há 1 ano,9,2
Acorda corinthians esse pedrinho joga certo.,há 1 ano,0,
Pegar o flamengo é fria,há 1 ano,0,
"Cara mesmo que o America eliminasse o São Paulo, eles iriam pegar o Flamengo, melhor ser eliminado pelo São Paulo mesmo kkkkkkk",há 1 ano,0,
"Kkkkkkkkkkkkk, ta de sacanagem. Isso é jogador pra vasco. Pra jogar no Flamengo tem que ser de alto nivel",há 1 ano,0,
 @Lukas-ci3ym  alto nível do cheirinho kkkkk vão ficar só no cheirinho kkkkk.,há 1 ano,0,
 @rokerodoors1456  Brusque malvadão terror das ratasanas,há 1 ano,0,
"Esse Mlk é bom, mas é muito fominha por isso não tá em um time grande",há 1 ano,0,
Valeu! Que o meu coelho volte à Libertadores e que o seu Cruzeiro carimbe logo o acesso à Série A!,há 1 ano,8,
"Parabéns ao Cruzeiro também pelo seus 1000 dias na série B, feito histórico, jamais será esquecido",há 1 ano,3,
Cruzeiro nanico caloteiro Eterno Série B,há 1 ano,2,
" @musicMPB  dois freguês do galo, principalmente o cruzeiro",há 1 ano,1,
Parabéns América segundo maior de Minas,há 1 ano,0,
 @GabrielOliveira-uy9ht  fica xiu nanico galo e time pequeno,há 1 ano,1,
 @isaquemartins1110  seu time,há 1 ano,0,
 @isaquemartins1110  seu nanico,há 1 ano,0,
" @leandrodiniz3203  Quem vive de passado é museu, o que ficou para trás ficou agora só vem série A.",há 1 ano,0,
" @mineiroecruzeirense2562  Falou quem só lembra do passado, seu presente é a série B, e foi o único dos grandes que fracassou na B",há 1 ano,0,
 @leandrodiniz3203  Foda - se mano tu é chatão namoral o Cruzeiro já está praticamente na série A novamente e é isso que realmente importa.,há 1 ano,0,
Verdade.Acho ele ótimo jogador.Quase fechava com o Fortaleza mas não foi porque saiu queimado do Goias,há 1 ano,0,
"eu nunca imaginei isso mais o Jandrei tá pior q até o Muralha q pra muitos acredito q a maioria já sabia q o Coritiba ia cair por modo de não um goleiro mais até o Muralha tá jogando melhor q ele,o são Paulo só na 13 posição por modo q ele tem ataque um bom meia q seria Patrick q tava ajudando a equipe a não empatar jogo  bobo já o Coritiba só tá na zona q time Nei tem pra ficar na série A e agente sabe q o Coritiba e um time q é sempre vai ficar nessa de ir pra série B e volta a série A então já não é novidade o Coritiba  ficar na mesmo q a equipe no começo do campionato tenho ficado entre os 4 primeiros da tabela a gente já sabe o final da história",há 1 ano,0,
"Por Conta do Jogo Começar 20:30 fica um pouco mais difícil, mas costuma ser por volta de 7 ou 8 Mil Pessoas",há 1 ano,2,
"Infelizmente o América não tem torcida... Na minha opinião isso que ""impede"" o time de decolar de vez",há 1 ano,2,
"A torcida do América MG é muito pequena, praticamente só na capital. Se os mineiros que não torcem pra Cruzeiro ou para o pequeno atletico, deixassem de puxar o saco dos times de fora e torcesse para o Coelho, ele teria uma grande torcida!",há 1 ano,1,
" @natamiguel5232  Verdade, o América mora na Mesma Cidade Que Cruzeiro e Atlético, por isso acaba ficando mais difícil, mas eu como Torcedor já fui em um Jogo do Coelhão mais de 40 Vezes",há 1 ano,1,
Principalmente quando ele joga no gol né,há 1 ano,0,
Ele é Atleticano,há 1 ano,0,
Esse Pedrinho é aquele ex Corinthians?,há 1 ano,0,3
Maior de Minas venceu hehe,há 1 ano,0,5
Vai coelhão. o melhor time de minas Gerais,há 1 ano,1,
"COELHOOO, GRANDE VITÓRIA! VAMOS COELHÃO,  AVACOELHANDO NO BRASILERÃO!",há 1 ano,4,
"Nos últimos o América sempre contrata bons jogadores, sem mídia e que resolve.",há 1 ano,47,2
O América está fazendo bonito esse ano e está sendo o melhor representante do futebol mineiro 😱,há 1 ano,66,18
"Sou flamenguista mas o time do América tá mostrando um ótimo futebol vai brilhar nesse campeonato brasileiro, pode ter certeza 7 jogos invicto o América disparou",há 1 ano,2,
CORITIBA DAS SETE QUEDAS ... A MISSÃO ....,há 1 ano,2,
Coelho na liberta de novo,há 1 ano,0,
Ame,há 1 ano,0,
"mequinha vem em um crescimento constante ja faz um  tempo é legal ver o time do america, bem estruturado",há 1 ano,1,
Coritiba tem que ficar  definitivamente na série B fica atrapalhando outros clubes subir todo o ano que sobe no próximo cai,há 1 ano,1,
"Pra mim os rebaixado são 
Juventude
Avaí
Coritiba..
A última vaga vai ficar pra Cuiabá Atlético go bota fogo e ceará e o são Paulo kkk",há 1 ano,1,
"Esse Alef Manga é o jogador mais fominha que eu já vi na vida, pqp",há 1 ano,3,
Logo logo o Paysandu estará na série A!!!,há 1 ano,0,
América rumo a libertadores!! 💚🐰,há 1 ano,29,
Problema do América é não ter torcida.,há 1 ano,0,
Falta só 1 pontinho para o América ultrapassar as frangas kkkkkkkkkkkkk 😁😁😁,há 1 ano,3,1
Boa vitória do América,há 1 ano,1,
Coelhoooooooooooooooo!,há 1 ano,0,
"Não, esse Pedrinho jogava na base do Atlético.",há 1 ano,1,
 @fanaticoatleticano2844  ah tá valeu um abraço direto de Fortaleza,há 1 ano,2,
"Tamo junto , amigo👍🏻",há 1 ano,0,
E o galo ?,há 1 ano,0,
Maior de minas joga amanhã o cabuloso,há 1 ano,1,
 @casemiro590  mas tá na B rsrs,há 1 ano,0,
 @julianbrandt2146  mas tá atrás rsrs,há 1 ano,0,
Melhor*,há 1 ano,0,
Base deles,há 1 ano,2,
" @GabrielOliveira-uy9ht  Está enganado Pedrinho é do Bragantino, veio de graça por um ano recebe R$ 40.000 por mês, o do galo ganha 600.000, empresário e ele alugou os direitos federativos ao galo por 200.000 mensal.",há 1 ano,0,
Tá sim kkkk,há 1 ano,0,
" @newsoccerhd335  Galo = só passou vergonha;
Cruzeiro = serie B.
Sim, o América é o melhor de Minas atualmente.",há 1 ano,7,
 @Rafaella2016  galo só passou vergonha? O América foi eliminado na fase de grupos da libertadores mano kkkk quer falar o que? E o cruzeiro tá liderando a série b com sobra.,há 1 ano,1,
" @newsoccerhd335  O Galo tem a a terceira maior folha salarial do Brasil, e ele foi eliminado precocemente  na Copa do Brasil ( levando uma surra do Flamengo no Rio. Foi Deus que ajudou o Galo a não levar uma goleada histórica) e na Libertadores ( n fez um golzinho contra o Palmeiras, mesmo o Palmeiras estando com DOIS JOGADORES a menos. E no Brasileirão nem preciso falar nada, né? Cruzeiro: liderar serie B é fácil, só tm time ruim... Galo ( com time da base. Falar que o Cruzeiro n tinha dinheiro não é desculpa), Palmeiras, Corinthians, etc subiram com os pés nas costas.. O Cruzeiro subiu na terceira tentativa, ele tinha a obrigação de fazer essa campanha.. Se fosse com esse time na Serie A, o Cruzeiro brigaria para n cair. O Cruzeiro perdeu para todos os times de Serie A que jogou em 2022.. O America caiu na fase de grupo, mas ele passou pelo Guarani do Paraguai e do Barcelona ( semi finalista da Libertadores de 2021).. E se n fosse pelos erros da arbitragem e por alguns vacilos, o America teria se classificado. E outra: O América só tem um ponto a menos  que o Galo, e está jogando um futebol muito melhor que o do Cruzeiro.",há 1 ano (editado),4,
" @Rafaella2016  parei no liderar a série b é fácil, tá na cara que você não entende e nem acompanha futebol, quando o América MG subiu pra série a foi em segundo, e o time que você diz que brigaria pra não cair na a eliminou o seu time no campeonato mineiro nas semis, o América MG não foi nem pra final do Mineirão kkkk, não disputa nenhum título, se esse é o melhor representante de Minas , o estado tá feio viu... Além do mais os especialistas dizem que o trabalho do técnico do cruzeiro é um dos melhores do país atualmente.",há 1 ano (editado),1,
 @Rafaella2016  eu sou Galo e concordo,há 1 ano,0,
" @newsoccerhd335  bom, o América ter subido em 2° lugar na série B, foi por gols de diferença contra a chape, se a Chapecoense não tivesse aquele pênalti contra o confiança na última rodada da série B, o título ia para o América.",há 1 ano,0,
" @newsoccerhd335  De quem o Cruzeiro ganhou em 22?  O meu time: O meu time (Galo) ganhou do seu duas vezes, e foi campeão Minero. E vcs não eliminaram o América. Vcs perderam para o America no Mineiro, na ÚNICA partida que vcs tiveram. O America é time de SERIE A, QUE DISPUTOU Libertadores, quase passou  do São Paulo na Copa do Brasil e está  disputando vaga na Pré Libertadores. Cruzeiro: fazendo uma boa serie B, Serie B! SERIE B... SERIE B... Mais uma vez: Serie B. Serie B é resto da Serie A. Cruzeiro brigaria para n cair com esse time na  serie A.",há 1 ano (editado),1,
" Jp Edição 2  Pode ser maior. Mas, maior é diferente de ser melhor. O Milan é maior que o PSG, mas quem é melhor? Atualmente, o América é muito melhor que Galo e Cruzeiro.",há 1 ano (editado),2,
" @Rafaella2016  primeiro que nem sou torcedor do cruzeiro, e segundo que qualquer um sabe que o cruzeiro é o maior de Minas, sem mí mi mi, e outra você nem é atleticano , só disse que pq o seu time América é pequeno, tanto é que eu quem tava defendendo o Atlético Mg kkkk esses ""torcedores"" são engraçados.",há 1 ano (editado),0,
 @newsoccerhd335  Onde foi que ela disse que o América é maior? Claramente você não sabe interpretar um simples texto.,há 1 ano,0,
 @Rafaella2016  Não precisa escrever uma bíblia kkkk,há 1 ano,0,
🤣🤣🤣🤣,há 1 ano,0,
Ñ briguem crianças,há 1 ano,1,
 @dhionata7870  🅱️🅱️🅱️,há 1 ano,0,
 @dhionata7870  Calma meu filho calma,há 1 ano,0,
 @danieldaniel2  🖐☝️,há 1 ano,0,
 @dhionata7870  🅱️🅱️🅱️,há 1 ano,0,
Pelo menos ele n está na BBBB,há 1 ano,0,
Ótima noite 🌙 pra todos,há 1 ano,0,
Parabéns coelho 🐰🇳🇬😉👏🏽 tá jogando muito,há 1 ano,11,
"Boa narração, bom jogo do America, bom jogo do Alef Manga.",há 1 ano,2,
Boa Coelhão !!!,há 1 ano,0,
Oi,há 1 ano,0,
"America mg tá indo muito bem no campeonato, vai brigar por uma vaga na libertadores",há 1 ano,19,1
Jogadores medíocres. SempreCoritiba,há 1 ano,2,
Vergonha. SempreCoritiba a maior torcida do Pr,há 1 ano,4,6
"por ordem se culpa, primeiro o goleiro, segundo o tecnico, terceiro afasta jogador, nenhum era culpado, vai sobrar é para o cara que contrata, futebol é assim, os times do parana tem que aprender a cutar a bola, só contratam tecnico ruim e retranqueiro, vão fazer companhia pro parana clube se os dirigentes não tomarem vergonha",há 1 ano,0,
Enquanto o Coritiba vai caindo o seu rival do sobe na tabela e meteu 1x0 no líder na liberta,há 1 ano,2,
"O TIME DO COXA SÓ PRECISA MELHORAR A DEFESA, O ATAQUE, O MEIO CAMPO, A COMISSÃO TÉCNICA, AS FINANÇAS, A INFRAESTRUTURA, A TORCIDA E A TRADIÇÃO, DE RESTO TÁ DE BOA",há 1 ano,6,5
Boa Vitória do América Mineiro,há 1 ano,1,
"QUE AMERICA TA JOGANDO NÃO E BRINCADEIRA
ACREDITO QUE VAI PRA LIBERTADORES NOVAMENTE",há 1 ano,36,1
"Mequinha cada vez mais se consolidando na Série A do Brasileirão,já jogou a libertadores desse ano e isso é só o começo com um bom trabalho vai colher os frutos em pouco tempo.",há 1 ano,12,1
"OBRIGADO AMERICA VOZAO AGRADECER

O maior coelhão do mundo",há 1 ano (editado),23,3
Alef Manga fominha demais,há 1 ano,2,
América ganhou mais uma,há 1 ano,2,
"Coelho 🐰
É um time que sempre surpreende",há 1 ano,7,1
"Parabéns América! Sou Galo e me simpatizo com o Coelho, o time que tem a camisa mais bonita da Série A.",há 1 ano,31,
+3 pontos pro coelho 🙌,há 1 ano,0,
poise sou atleticano mas e verdade o america mg ta de parabens vai la coelho,há 1 ano,0,
Continua delirando 🐖,há 1 ano,0,
"MAIOR TORCIDA ? KKKKKKKK, TIMINHO DE SÉRIE B, KKKKKKK",há 1 ano,0,
 @robertocarlosmicka2093  Torcedor do clube de bairro torcida pequena atreticopr Fonte petralha,há 1 ano,2,
 @pauloc1814  O coelho te mandou 2 cenouras🥕🥕😂,há 1 ano,2,
 @michaelmyers6099  clube de bairro torcida pequena atreticopr fonte petralha,há 1 ano,1,
" @pauloc1814   TADINHO DO TIME PINGA MIJO,  VAI CAIR DE NOVO, KKKKK",há 1 ano,0,
Kkkkkk,há 1 ano,0,
e o seu precisa sair da retranca kkk,há 1 ano,0,
" @henriquecorreia5791   Retranca, cerveja e Atheltico, melhor estilo de vida",há 1 ano,0,
Mano pra que gritar tanto ?,há 1 ano,0,
Maldade com as paquitas..,há 1 ano,0,
Até o América vai pra liberta e o kanalzinho não,há 1 ano,2,
"Vai brigar com o Fortaleza no futuro pra ser a 4* força do futebol. Porquê vai ter Flamengo,Palmeiras e Athlético Pr disputando os títulos, daí um desses 2 times (que tão investindo pra caralho) vão se sobressair porquê todos os outros tão quebrados ou se reestruturando",há 1 ano (editado),1,
vozao vai fazer oque contra o mengao? kkkkkkk,há 1 ano,0,
 @deynavam_gostoso8060  pelo menos livre do z4 kkk,há 1 ano,0,
 @deynavam_gostoso8060  quem era esse Mengão?,há 1 ano,0,
E o quei,há 1 ano,0,
E parabéns ao América mg pela vitória e tbm por afundar ainda mais o lixoritiba 👏👏👏,há 1 ano,4,1
Que vitória maravilhosa meu Coelhoooooo 💚🖤,há 1 ano,12,1
Mecāo da massa,há 1 ano,1,
"O Pedrinho matou a pau hoje...esse tem futuro,garoto talentoso.",há 1 ano,43,
Amor seu video,há 1 ano,0,
