text,time,votes,replies
Olha série 🅱️ 👻👻aí gente kkk tem jeito não os time pequeno vão cai,há 1 ano,0,
deyverson ta muito mais decisivo,há 1 ano,0,
"joao Paulo merece uma estátua na vila , esse goleiro eh sensacional, merece aumento também, se nao fosse ele esse time tava na degola",há 1 ano (editado),1,
"eh sempre assim o adversário fuzilando, e o santos entrando sonolento em campo, parece que esses cara ja entra desmotivados, vergonhoso, e outra esse treinador ta muito  moroso, da um choque nesses cara, fala aqui em santos rapaziada, vamo entra dando sangue soando a camisa, nao ta legal meu amigo , pede pra nao jogar",há 1 ano (editado),0,
"Só o João Paulo que joga parabéns ,,,,,cadê a outros jogadores ,,,só por Deus quem e o culpado disso Hem ?",há 1 ano,0,
Agente tem q torcer pro Santos acertar um passe simples.,há 1 ano,0,
Se não fosse o João Paulo.,há 1 ano,0,
Deyverson jogou muito 💚,há 1 ano,2,
"Achei um jogo equilibrado: uma hora o Cuiabá tava no ataque, outra hora o Santos na defesa",há 1 ano,4,
Jogo ruim demais!!,há 1 ano,0,
O Cuiabá amassou o Ninguém FC,há 1 ano,1,
"Uma coisa é fato, se não fosse o João Paulo, o Santos estaria rebaixado no primeiro turno.",há 1 ano,0,
"Rapaz, essa zaga do Santos se segurou. Parabéns ao Maicon, Baunerman e ao lateral esquerdo e o goleiro. No ataque, Solteldo não vai fazer milagre....",há 1 ano,2,
"Soteldo jogou? Ontem faltou energia elétrica no bairro e não assisti ao jogo. Mas ao assistir a este vídeo, acho que, deu um apagão no Santos e o único que estava ligado era o São João Paulo. Está complicado chegar aos 45 pontos.",há 1 ano,0,
cuiaba jogou muito,há 1 ano,1,
"JOGO EM 1 PALAVRA, JOÃO PAULO",há 1 ano,1,
Vim pelo astro,há 1 ano,0,
Force o arracaeta era gol legal,há 1 ano,0,
Cuiabá massacrou,há 1 ano,0,
"Sou são Paulino, mais será que este toque de mão o cara teve intenção??? Pq os gols do Flamengo contra são Paulo e Corinthians a bola bate na mão do João Gomes e em outro jogo na mão do arrascaeta, mais o juiz falou que o jogador não teve intenção, quer dizer, a regra vale para uns e outros não, palhaçada...",há 1 ano,1,1
Futebol brasileiro é mediocre,há 1 ano,0,
João Paulo é muito bom goleiro pqp e esse Lisca tem que vazar no fim da temporada,há 1 ano,0,
O time do Santos é medíocre demais.,há 1 ano,0,
o jogo foi tão ruim que eu dormi,há 1 ano,0,
O Cuiabá massacrou o Santos!!,há 1 ano,0,
Se não fosse são João Paulo teríamos perdido feio,há 1 ano,0,
Jogaaço⚽️🥇🥇,há 1 ano,2,
Cara o santos não melhorou nada . Ta do mesmo jeito,há 1 ano,0,
Jogo tão ruim que a torcida nem foi kkk,há 1 ano,0,
"Esse jogo o Cuiabá mereceu ganhar....pqp jogaram no modo ""cuibayern""  amassaram.",há 1 ano,1,
"O gol do Cuiabá anularam pelo toque de mão, são Paulo X Flamengo teve um toque de mão na bola e validara o gol na copa do Brasil, Corinthians X Flamengo tbm teve um toque de mão no primeiro jogo da libertadores e validara,. Aí quando é com o Cuiabá time com menos tradição aí os cara anula arbitragem e uma quadrilha de ladrão só ganha os time q eles quer",há 1 ano (editado),0,
1 chute a gol... meu Deus... como sofremos...,há 1 ano,0,
Pq n valeu o gol ? É do Flamengo vale,há 1 ano,0,
Cadê o craque soteldo ninguém viu em campo,há 1 ano,0,
Ainda bem que o Santos tem goleiro,há 1 ano,3,
"Eu, hein???
O Lisca Maluco: nosso PEIXEEEEEE não jogou nada!!! Vamos arrumar esse time aeeeee, mano!!!!
Vc é doido, mas não é louco!!!
🐋🐬🐳🇧🇷✌✌🇧🇷🐬🐋🐳
Obs: em vez de trazer o ""cadáver morto"" do curintchaaaa; pq o SANTOSSS não contratou o Deyvinho?",há 1 ano (editado),0,
O jeito é dar um tempo com treinador... se ficar trocando técnico toda hora tb não adianta.🤍🐳🖤,há 1 ano,0,
nossa é bom vê deivid jogando bem tomará que ele de muita alegria aos torcedores dó Cuiabá só palmeirense mais agora vou torcer muito para Cuiabá fique na serie a pôr causa dele quase ele faz um golaço essa bola merecia entrar ia ser um golaço,há 1 ano,2,
Esse prantos tá demais,há 1 ano,0,
A sorte do santos é o João Paulo tomara que ele não saia pq se sair é série b na certa,há 1 ano,0,
"Show de horrores, uma semana cheia pra treinar e na hora do jogo é igual um time de serie B, lamentável não ter ousadia pra ganhar de um Cuiaba, e persiste no caneludo do Angulo",há 1 ano,2,
Como que o flamerda pega bola com a mão no ataque e o gol não é invalidado?,há 1 ano,0,
"A cara do Santos 2 times desesperados para lutar contra o rebaixamento, olha q o Santos nem consegui vencer time da zona de baixo",há 1 ano,0,
CUIABA JOGOU MUITO.,há 1 ano,0,1
"Como sempre mão na bola sem querer pro flamengo vale 
Agora pro resto dos times no Brasil não vale 
Como sempre a arbitragem do Brasil é uma piada nenhum árbitro do Brasil merece ir pra copa",há 1 ano,0,
roubaram o cuiaba. gol legal...,há 1 ano,0,
"Santos jogou com as “carças na mão” levando sufoco do início ao fim do Cuiaba. E parabéns a torcida do Cuiaba, que vem apoiando cada mais o dourado.",há 1 ano,6,
"O TÉCNICO DO FORTALEZA É A CARA DO PEIXÃO,MANDA ESSE DOENTE MENTAL DE VOLTA PRO HOSPÍCIO",há 1 ano,0,
"ESSE LISCA É IGUAL OU PIOR QUE OS ANTECESSORES,QUE TECNICO MEDROSO,UMA SEMANA INTEIRA PRA TREINAR E SE ESCONDE COM MEDO.",há 1 ano,0,
"O melhor momento é quando acabou o jogo , neste time tudo é ruim .",há 1 ano,0,
Que rodada! Será que o Flamengo ainda consegue tirar o título do Palmeiras?,há 1 ano,0,
Bola na mão só o Flamengo pode,há 1 ano,0,
Eses var são muitos incompetentes como o cara anula o gol do Cuiabá por motivo de ser mão e na copa do Brasil não anulou o gol do flamengo contra o São Paulo porque lá a bola também pegou na mão do arascaeta também,há 1 ano,0,
deivyn joga muita bola,há 1 ano,1,
"Cuiabá jogou muito bem, amassou o Santos, merecia a vitoria. Porém o técnico insiste em colocar o Rodriguinho de centroavante. Não é o forte dele, e ainda faz cruzamentos na área p ele brigar com os zagueiros.",há 1 ano,5,
Sou Santista mas se o Santos for jogar com o aza de Arapiraca vai sofrer pressão!,há 1 ano,0,
"Editor de qualidade, conseguiu achar melhores momentos",há 1 ano,2,
Os caras treinam a semana toda para chegar no dia do jogo fazer isso não dá,há 1 ano,0,
Cuiabá merecia muito vencer! A presença do Deyverson mudou muito o time pra melhor,há 1 ano,6,
"Qual o critério dos juízes,campeonato Ingles,o Toteham bola na mão do Son,parou a jogada,agora do Cuiba,Jogo do Corinthians e Flamengo segue o lance,o Arrascaeta ia perder o controle da bola meteu a mão,os comentarista falaram que foi gol legal,qual é o critério  ?",há 1 ano,0,
"Jogou muito mau Santos, Deus espaços demais.",há 1 ano,0,
O jogo foi Cuiabá x JP kkk vergonha esse jogo de ontem!,há 1 ano,0,
Esse goleiro do Santos é simplesmente ESPETACULAR,há 1 ano,26,
Deyvinho jogou muito.,há 1 ano,0,
"Técnico horrível slc, era pro Santos ter tomado uma goleada! Que raiva que dá viu. Sampaoli, Cuca difícil achar dnv.",há 1 ano,0,
"Tenho pena de quem assistiu esse jogo inteiro, só de ver os ""Melhores Momentos"" já deu sono",há 1 ano,0,1
"Mano o santos teve uma chance cara...
Vergonhoso.",há 1 ano,0,
👏👏👏👏👏,há 1 ano,1,
Cuiabá teve mais perto de ganhar,há 1 ano,0,
"Anular gol do Cuiabá pq teve toque de mão é fácil. Quero ver anular quando é o Flamengo que faz, ex: contra Corinthians e SP 🤷🏻‍♂️😂😂😂😂😂",há 1 ano,0,
"Quem fala que é chororo tá cego, mas na libertadores o joão gomes ajeita a bola na mão pro arrascaeta dentro da area e sai o gol ai o var diz que não foi nada, nesse lance a mesma coisa e anulam o gol. sacanagemm",há 1 ano (editado),0,
se fosse o flamengo valeria o gol. piada essa arbitragem,há 1 ano,0,
Cuiabá mereceu ganhar !,há 1 ano,2,
Mermão fora esse técnico só dá Cuiabá tem que trazer sampaolli,há 1 ano,0,
"Como Santista, Devo Admitir.
O Santos Saiu No Lucro.👍🏻",há 1 ano (editado),27,
Cuiabá mereceu vencer,há 1 ano,0,
Tem como já mandar o Lisca embora???  Mas um treinador horrível e sem ideias no Santos,há 1 ano,1,
Parabéns pelos involvidos!!Torcida fo Santos 🤡🤡,há 1 ano,0,
Cuiabá jogou mas que o Santos,há 1 ano,0,
"João Paulo é muito Noé...
Carrega técnico e um time inteiro de animais...",há 1 ano,0,
Time medíocre do peixe,há 1 ano,0,
Cara toda vez o Santos tem que toma sufoco de cada time fora de casa e impressionante como o Santos tem essa capacidade de empata todos os jogos fora de casa..,há 1 ano,0,
"Sono vendo os lances do santo, né? Pq os lances do Cuiabá aconteceu",há 1 ano,0,
"Tirando uma chegada do santos aos 4'do 2T, no mais só deu Cuiabá. Jogo de ataque contra defesa.",há 1 ano,0,
Me chamou atenção árbitro Jean Pierre tem vários jogos dele que não dá nenhum cartão amarelo de novo não deu teve um lance que jogador Madsom deu um carrinho rachando pra cima do jogador do Cuiabá que levantou pro auto ele não deu cartão muito estranho isso,há 1 ano,1,
"O Santos não jogou nada hoje slc, o Cuiabá merecia sair com a vitória.",há 1 ano,0,
Eu já vi Robinho Neymar e vendo esse jogo so fico feliz que sei que nunca vamos cair porém nunca vi tanto cara ruim em campo só ganha do ano passado tá difícil viu,há 1 ano,0,
🤢,há 1 ano,1,1
Árbitro vin diesel,há 1 ano,0,
meteram a mão no cuiaba,há 1 ano,0,
"JOGAR ASIM..MELHOR COISA PRA TODS NOIS,ACABAR I CAMP.LOGO.QUE ESTA DIFÍCIL ASSISTIR JG D SANTOS TIME RUIM",há 1 ano,1,
VCS TORCEDORES DO CUIABÁ MT NÃO TER CRIATIVIDADE😑😤 PRA FALAR MERDA DO PEIXE SI ACHANDO MAIOR QUE O SANTOS TÁ LOUCO RESPEITA A HISTÓRIA DO SANTOS FC DE PELÉ NEYMAR ROBINHO E COMPANHIA UM CLUBE GIGANTE DA SÉRIE A DO BRASILEIRO CAMPEÃO 8 VEZ LEVOU TÍTULOS MUNDIAIS COPA DO BRASIL LIBERTADORES DE AMÉRICA O PEIXE E MAIOR NA HISTÓRIA DO FUTEBOL BRASILEIRO ENQUANTO VCS TORCEDORES DO DOURADO SÃO CASULINHA DA SÉRIE A CLUBE MUITO NOVO TIPO UM BRASILIENSE DE 2005 CLARO FAZENDO MUITA HISTÓRIA ENCANTANDO O FUTEBOL DO MATO GROSSO EU RESPEITO ISSO MAIS CHAMAR O PEIXE DE NANICO AI QUEIM FALOU ESSA BESTEIRA FOI MUITO LONGE FORA DA CONTA,há 1 ano,0,3
Santos tem o melhor goleiro do pais por isto o 0x0,há 1 ano,1,
Porra bate a bola na mão do arrascaeta  não é mão  gol do Flamengo  !! Bate a bola mão do jogador do cuiaba gol do Rodriguinho ops anulado!! Meio estranho isso,há 1 ano,4,1
"O Santos continua a mesma bosta!
Eita time ruim 😕",há 1 ano,0,
"A semana toda de treino p mostrar isso lisca ,vergonhoso",há 1 ano,0,
saiu barato pro meu SANTOS,há 1 ano,0,
"LUCAS BRAGA horrível na finalização, vende logo",há 1 ano,0,
"Sinceramente  desisto   o santos  é a vergonha do futebol  , os cara não  consegue jogar contra o Cuiabá  , como pode tomar essa pressão  de um time da zona do rebaixamento  e não  chutar uma bola em gol , o juiz deveria ter deixado o gol do cuiba é falar para os jogadores do santos só  dei  gol  de castigo , que vergonhoso  esse time o clube está com time de terceira  divisão  .",há 1 ano,0,
Fora lisca,há 1 ano,0,
