text,time,votes,replies
"Que partida do Massa Bruta! Quem foi o melhor do jogo? ⚽
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,38,13
1:58 1:59 2:00 2:01 2:02,há 4 meses,0,
3:08 isso é posição legal?,há 7 meses,0,
Vai amo 🤩🤩,há 1 ano,0,
Parabéns ao Bragantino 🔥🔥,há 1 ano,2,
essa vitória do energético foi uma grande oportunidade de conseguirem ir pra sul-americana,há 1 ano,1,
Kkkkkkkkkkkkklk,há 1 ano,0,
"Isso foi uma vingança de 4 meses atrás?

Cap 4 x 2 Bragantino",há 1 ano,1,
Flamengo vai atropelar kkk,há 1 ano,0,
"tomou de 4 do braga, cuidado felipao, o flamengo e as mesmas cores da alemanha,kkk",há 1 ano,0,
Ultimo gol do Bragantino foi de impedimento,há 1 ano,1,
"ESSE ATHETICO NÃO TEM TIME PRA GANHAR DO FLAMENGO NÃO , ALIÁS JA ERA  PRA TER FICADA PRA TRAZ CONTRA O PALMEIRAS ....",há 1 ano,0,
DEFESA DO ATLÉTICO TOTALMENTE DESLIGADA,há 1 ano,1,
"Mengao tá bem esse ano , não vai chegar  todo feriado quando chegou naquela final e fora o erro do Andreas. Atlético paranaense jogar assim contra o mengao vai perder",há 1 ano,0,
Observação... O Athlético jogou com os titulares e tomou uma lascada,há 1 ano,2,
Furacão campeão da libertadores !!! Vamos amassar o menguinbo !,há 1 ano,0,1
O 4 gol estava impedido,há 1 ano,0,
Esse POPO foi Revelado pelo CRUZEIRO,há 1 ano,0,
"Tem jogador no Athlético Paranaense que acha que está jogando no Ibis, Paraná clube ou outro , os caras entram sem raça nenhuma um sono , sem vontade pqp 🤦🏿‍♂️ vergonha.
Se não mudar o espírito será goleada  na final o Flamengo reserva vai e ganha fora e o títular do Athlético pr me faz essa vergonha  cannobio cansado , terans não entrou no jogo pqp horrível",há 1 ano,0,
3:04 não estava impedimento?,há 1 ano,0,
Luan cândido,há 1 ano,1,
Patético Retrancaense nanico se não tivessem roubado nosso Vitor Roque nem na final chegariam,há 1 ano,0,
Patético PR só mostrando que sem arbitragem não vai a lugar nenhum tomou o maior pau da sua história na semifinal da libertadores para o verdão isso nunca vamos esquecer 🤭,há 1 ano,0,
 @cruzeiro3383  obrigado rsrs,há 1 ano,0,
Time ruim do Athletico-PR levou um sacode kkkkkkkkkkkkkkkk,há 1 ano,1,
Patético paranaense voltou como era antes,há 1 ano,0,
"Só uma pergunta não existe mais grito de gol? Só do Flamengo nos melhores momentos, vocês estão cada vez piores falta de profissionalismo da porra",há 1 ano,2,
" @palzaoterrordananicada2395  Terans girou de fora da área,bateu,gooooooooll,sem mundial eliminado",há 1 ano,0,
Galera esse é time reserva ou titular do Atlético ????,há 1 ano,0,
 @gladiador3719 misto,há 1 ano,1,
" @adilsonoliveira6482  hummm então sei não heim , essa final vai ser uma decepção",há 1 ano,0,
 @gladiador3719  tô torcendo pro Atlético kkkkk,há 1 ano,0,
Quem foi o melhor gol?,há 1 ano,0,
Sim kkk,há 1 ano,0,
"Se fosse o Flamengo vindo perdendo direto estava todos enchendo o saco falando que tá mal, aí o Athletico vem perdendo e fazendo péssimos jogos ninguém fala nada na imprensa kkkk",há 1 ano,3,
O último gol tava impedido,há 1 ano,0,
É esse o time q vai tirar a Libertadores do Flamengo?...,há 1 ano,0,
FLAMENGO CAMPEÃO DA LIBERTADORES DA AMÉRICA,há 1 ano,0,
A verdade é que o Atlético PR está se poupando pra final.,há 1 ano,0,1
Braga ces sempre vao ser nossos vice kkk,há 1 ano,0,
"E claro que estão escondendo o jogo,nem tavam correndo kk",há 1 ano,0,
"Para o Mengo, pênalti inexistente, já esse aí,  gritante. Vergonha.",há 1 ano,0,
4° gol do brangatino o jogador n estava impedido n?,há 1 ano,1,1
quem fez o2 ? atpr jogador,há 1 ano,0,
"Se o Pathético ja leva 4 do Bragantino, o Fla vai dar um cacete  nesses ventinho fraco",há 1 ano,0,
Não vi  o quarto gol do energético mais se tava e pedido pra mim tá normal porque já disse que essa arbitragem brasileira  é uma mãe pros times paulista,há 1 ano,2,
Pra nois torcedores já jogamos a toalha no banheiro só queremos e vamos ganhar a libertadores podem me cobrar domingo que vem,há 1 ano,0,
Que edição ruim em ge slk,há 1 ano,0,
Torcedor não confunda esse time com o da final da libertadores,há 1 ano,0,
"O segundo gol do CAP foi um Golaço, mas sábado tem que dar Mengão. SRN",há 1 ano,5,
Só teve golaço kkkk,há 1 ano,0,
MENGÃO CAMPEÃO 🏆 EM CIMA DOS 🐩POODLES,há 1 ano,0,
Flamengo 3 x 0 atlético paranaense,há 1 ano,0,
Esse é o time titular do Atlético Paranaense que vai pegar o Flamengo na libertadores? 😂🤫🏆🖤❤️,há 1 ano (editado),4,
"Vdd, apesar de q estavam com os titulares em campo",há 1 ano,0,
Tbm achei,há 1 ano,0,
Q milagre uma vitória!,há 1 ano,2,
OK 👌👍👍,há 1 ano,0,
Aí no sábado esse timeco mais querer encebar contra o Flamengo 😡,há 1 ano,0,
Q joga assim na final da libertadores,há 1 ano,0,
"Esse ultimo gol do bragantino tava impendido nao?????
Alguem pode me responder alguma coisa??",há 1 ano,2,1
