text,time,votes,replies
"Fala, torcedor! Esperavam esse resultado?
🌟Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,60,11
"O goleiro do Fortaleza é um Bom goleiro; Todos cometemos falhas; mas não se pode cometer falhas atrás, muito menos um presente daquele. O Fortaleza era pra ter saído pelo menos com 1 ponto.",há 1 ano,0,
top 😘😘,há 1 ano,0,
Da lanterna a libertadores aqui é leão ❤💙🤍🦁🇨🇵,há 1 ano,0,
LAION KKKKK,há 1 ano,0,
Tomara  Cuiabá se mantenha na A,há 2 anos,0,
Are are... o fortaleza vai voltar pra série b... rerersrs... de boa...,há 2 anos,0,1
Não sei não ei se o Cuiabá continuar jogando se defendendo e jogar só no contra ataque se ele enfrentar os times mais fortes por exemplo o Flamengo que gosta de atacar o atlético Mineiro o Palmeiras o Santos  o São Paulo  e outros 4 times fortes o Cuiabá vai tomar uma surra pode perder de 4x0 5x2 6x1 3x0 5x0 eu acho assim que o técnico pintado não e o técnico ideal pro Cuiabá,há 2 anos (editado),0,
NDVMP,há 2 anos,0,
"Se lasca fortaleza, time de ladrao",há 2 anos,0,
O FORTALEZA TA FUI ALI   1 X0. PRO RIVER KKKKKK,há 2 anos,0,
"Botem na sua cabeça o 
Fortaleza é igual o mendigo
Nunca foi nada
Só tá vivendo uns dias de fama 😂😂😂😂",há 2 anos (editado),0,
Foi Bom 💚💚,há 2 anos,0,
"Parabéns ao time do Cuiabá esporte clube,  representando muito bem ao futebol do estado do Mato Grosso,   O  torcedor cuiabano tem qui  ficar Orgulhoso,  vê  um time  chega na Vitrine nacional do futebol brasileiro..  Parabéns a todos os Dirigentes do Cuiabá esporte clube fazendo um excelente trabalho no clube  ( Matogrossence) 🙂🙂👏👏😌😌🤍💚",há 2 anos,1,
torcendo pro Fortaleza ser rebaixado,há 2 anos,0,
Que coisa mais sem noção essa linha do tempo hein,há 2 anos,0,
Cuiabayer e fd 😹😹,há 2 anos,0,
