text,time,votes,replies
"Ei, qual o gol mais bonito da partida? 
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,192,66
Esse gol aí do tinga é o goleiro e suspeito pra carai,há 1 mês,0,
1:53,há 1 mês,0,
"No dia deste jogo, eu achei muito estranho mesmo, sei nao em tem lateral  ídolo, zagueiro que saiu, com tirada de pé ai,  amigao pq sera que jonh textor iria buscar este jogo de 2022? Certeza alguma fonte que sabe de algo deste jogo entregou o textor algo,  e além da fonte ele busco uma impresa especialista pra ir além da sua fonte , ele queria ter a certeza da comprovação por uma análise de comportamento, este cara nao e bobo, ele tem fonte segura que entregou o esquema,a casa vai cair pra jogador mascarado, tem nego que esta jogando mal, deve ser o medo da casa cair ja kkk",há 3 meses (editado),1,
Tem coisa errada aí...só gol ridículo,há 3 meses,0,
As porcas estão pagando pra ganhar os campeonatos kkkkkk por isso que quando vai pra mundial passa vergonha !!,há 3 meses,0,
Texto ta eh doido eu como tprcedor do fortaleza sei que o fernando miguel quando nao era 8 era 80 tinga e deus nos acuda e esse penalti que deram foi arbitragem oq o clube tem haver com isso?,há 3 meses,0,
Jogo entregado pelo Fortaleza ta na cara olha so 😮 esses gols,há 4 meses,0,
Só os lunáticos conspiracionistas nos comentários kakakakakakakakakakak dá até vontade de rir lendo os caras criando teorias que só eles acreditam,há 4 meses,1,
"Futebol de alta performance a grande maioria dos gols sai por erro ou falha dos adversários, futebol acaba sendo um jogo de quem erra menos, muito difícil analisar as situações dessa forma.",há 4 meses,0,
O que o DUDU joga é brincadeira....,há 4 meses,0,
"O único jogador com conduta anormal nesse jogo foi o Rony, que tava jogando muito. hahahahah",há 4 meses,0,
1:55 e esse lance SUS do Tinga e do F. Miguel hein kkkkkk,há 4 meses,0,1
Eu tô aqui ... Textor. O Lion nun fez por maldade esse F Miguel é ruim mesmo cara. Tá no Ceará e g. Deus se quebrou pq pense num goleiro ruim. Pior contratacão da história do Ceará nos últimos 2000 anos....,há 4 meses,0,
"kkkkkkk claramente esse goleiro foi comprado, concordo 100% com o textor!",há 4 meses,3,1
Tô procurando as manipulações da inteligência do texto,há 4 meses,0,
2:06 o calção do Endrick rasgado atrás kkkkk,há 4 meses,2,
Textor acha mesmo que precisava de manipulação nesse jogo? Kkkkkkk,há 4 meses,0,
Esse terceiro gol foi meio estranho mesmo… Mas não dá pra saber se tem manipulação pois o Tinga é muito ruim mesmo.,há 4 meses,1,
