text,time,votes,replies
"Jogaram bem













Bosta",há 11 meses,0,
Jogo mais feio que o Bluezão,há 2 anos,0,
"Não queria que o Juventude caísse, mas acho que este ano não vai ter escapatória!",há 2 anos,1,
A  qui  e   goias,há 2 anos,2,
"Bem feito pro juventude,tomara q se afunde no Z4 da série A e próximo ano no Z4 da série B...fizeram complô pra rebaixar o gigante Gremio...",há 2 anos,0,
"Tamo zicado ...se fude ...
A tabela não diz o que Ju vem porduzindo ..
Vários jogos jagando bem e não ganha
..se fude 🤬",há 2 anos,0,
Voltando pro seu lugar!,há 2 anos,1,
Vamos juventude! Tem o segundo turno inteiro.. ainda dá pra subir e sonhar com uma Sula! Força 🙏🏻,há 2 anos,3,
Era pro pitta bater o pênalti do Ju,há 2 anos,0,
So deu Juventude era pra ter ganhado,há 2 anos,0,
"Juventude vai cair, infelizmente",há 2 anos,0,
Empate bem Ruim,há 2 anos,1,
هاس,há 2 anos,0,
"Dois times ruins, jogo feio, pareceu série C.",há 2 anos,0,
"Resultado ruins para os dois time, mas ruim pra o Juventude q briga pra não cair.",há 2 anos,2,1
Olha a série b vai cai vai cai olha o fantasminha,há 2 anos,0,
No futebol o fator sorte conta muito! Hoje foi o dia do Goiás!,há 2 anos,7,
Time medíocre esse do juventude merece muito ir pra série b,há 2 anos,0,
Juventude se salvou ano passado esse ano não se escapa,há 2 anos,2,
Leonardo Rafa solteiro celular divina costa Macedo Pedro Afonso,há 2 anos,1,
"O Goiás também tá na briga pra não caí , pelo péssimo time que tem essa diferença de 3 pontos e muito pouco pra escapar . O Goiás está indo na raça e na sorte  , mas nesse jogo foi só na sorte mesmo .",há 2 anos,0,
Juventude já era serie b time ruim demais taloko,há 2 anos,0,
"Meu Deus, o Goiás não fez uma jogada perigosa no jogo, estamos lascados pra esse brasileiro",há 2 anos,7,3
"Empate com saber de goleada para o Goiás pois esse time do juventude é uma baba e deu sofoco
se fosse um time melhorzinho aplicado seria no mínimo uns 4x0",há 2 anos,2,1
"Posso ja dizer os rebaixados 2022 goias,botafogo,juventude    coritiba.",há 2 anos,0,
Esse time do goias e o pior time do canpeonato...so se sslva   tadeu...o tenpo dira.,há 2 anos,0,
Goiás deu muita sorte por causa da incompetência dos atacantes do juventude,há 2 anos,8,
Porra juventude era só um golzinho pra ganhar aqueles 3 pontinhos,há 2 anos,1,
Dois times ridículo kkkkkkkkk,há 2 anos,2,
"Não posso criticar o Goiás.
O Atlético joga contra o Fortalece hj e aí vamos ver no que vai dar",há 2 anos,3,2
Jogos menos de 3.5 bonito ou placar exato 0x0,há 2 anos,1,
"Bom. Restam 3 vagas.
2 Podem ser desses ai",há 2 anos,0,
Juventude será rebaixado com 10 rodadas de antecedência,há 2 anos,1,
