text,time,votes,replies
❤❤😅❤❤❤❤😊❤😊❤😊❤😊❤,há 7 meses,0,
😅😅😅❤😅😅❤😅😊😊😊😊❤ 0:47 0:47 0:47 ❤ 0:47 ❤ 0:48 ❤ 0:48 😐😝😘🤣😘🙂😚🙂😘🙂😘🤣🤗🙂🤗🙂🤗🤣🤗🙂🤗🙂😘🙂😘🙂😘🙂😘🙂😋🙂😋🤣😋😙😘😙🤪😍🤪😍🤩😍🤩😍🤩😍🤩😍😃😍😃😍😃😑😃😍😐😐😍😘🙂🙂🙂😘🙂😘🙂😘🤣😘😙😘🤣😚🤣🤨🤨🤣🤨🤣😚😙😍😘😍🤪🤪😍😍😐,há 7 meses,0,
Alguém sabe o nome desse narrador?,há 1 ano,0,
Goleiro flangueiro,há 1 ano,0,
"Wellington rato, joga demais heim !!! Que golaço de falta! É baita goleiro o Renan heim ? Salva o dragão todo jogo!.",há 1 ano,0,
"Como pd mn?? Smp os msm time q cai, SMP!!
Independente de jogadores bons ou n, é smp os msm.",há 1 ano,0,
Empate do rebaixamento,há 1 ano,0,
Empate ruim para os dois.,há 1 ano,0,
Juventude jogou melhor merecia vencer essa zaga do Atlético é muito fraca esse negão aí chamado Wanderson jogou no fortaleza e no Bahia oh jogadorzihho ruim esse cara. O Fluminense precisa de um meia veloz acho que esse tal Rato seria muito bom.,há 1 ano,0,
"O Atlético goianiense ganha o Flu de virada.
E está descendo de mãos dadas com o juventude rumo a seria b",há 1 ano,1,2
Jota Jr narrando é dose pra mamute!,há 1 ano,0,
Que narração horrível,há 1 ano,0,
"Vai entender o ACG, ontem foi um jogo decisivo para almejar sair do rebaixamento e faz um papelão desse. Ganha do Fluminense, empata com o Palmeiras e depois sofre para empatar com o Juventude. Série B ano que vem.",há 1 ano,0,
Belo gol do 🐀 de falta.,há 1 ano,0,
He atlético já estou ti vendo na série B n sabe aproveitar o empate de ceará e Cuiabá 🤗,há 1 ano,0,
Empate ruim pro dragão o Ju ta rebaixado,há 1 ano,0,
Fazia tempo q eu n escutava esse narrador em,há 1 ano,1,
Ok,há 1 ano,1,
"Esse Renan, goleiro do Atlético-GO, agarra muuuuito!!!!",há 1 ano,5,
"Que saudades da narração do Jota Júnior ele estava sumido, lembro que ele narrava direto os jogos grandes de série A no Premiere.",há 1 ano,14,
Sou Fluminense e acho que não mereciam cair pelo o que vem construindo o time paga em dia e tal. Mas vi esse jogo os caras jogaram sem vontade menosprezando o juventude tem mais que se fuder.,há 1 ano,0,
😅❤😅❤❤😅❤😅❤😅❤😅❤😅❤😅😅❤😅❤❤😅😅❤,há 7 meses,0,
Que bela cobrança de falta que lindo gol do Rato. Por mais que Atlético Go batalhe ele não consegue sair do Z4 só conseguiu um empate com lanterna.,há 1 ano,3,
"COM TODO RESPEITO AO JOTA JR, MAS JÁ DEU, NÉ?! JÁ ANDA NARRANDO MUITO MAL!",há 1 ano,0,
Dragao deixou escapar pontos importantes em.,há 1 ano,3,
Torço pro atlético permanecer na série a,há 1 ano,0,
Time covarde esse goianiense  viu🤬🤬,há 1 ano,0,
Pelada dos desesperados.  Jogo ruim. Times de segunda divisão,há 1 ano,0,
não,há 1 ano,0,
Dois timinhos que vão cair k k,há 1 ano,1,
O juventude vai se rebaixado,há 1 ano,2,
"Pq vcs do GE não colocam a narração do jogo toda? Caramba todo vídeo comento sobre isso e nunca recebo resposta 🙄🙄 melhorem isso, as vezes nem sabemos quem fez o gol pq vcs cortam a narração..",há 1 ano,1,2
"2:45  kkkkkkkk mano, cê vai narrar ou vai assistir o jogo?",há 1 ano,0,1
Apostei R$200 reais nessa DESGRAÇA do Atlético-GO e essa miséria não ganhou desse time fudido do Juventude. Só por causa disso vou torcer pra ser REBAIXADO também sua miséria. 😠😠😠🤬🤬🤬,há 1 ano,1,
Atlético se lascou com esse empate,há 1 ano,1,
"Renan é um ótimo goleiro, depois que defendeu várias bolas na copa sul-americana substituindo o goleiro Ronaldo, agora parece ser o goleiro titular do dragão...",há 1 ano,4,
Jogo dos rebaixados,há 1 ano,2,
pita e w. rato merecem ficar na série A,há 1 ano,0,
o rato vai pro goias?,há 1 ano,0,
❤VIDA LONGA PARA SUA FAMÍLIA LINDA QUEM LEU ESSA MENSAGEM ❤,há 1 ano,2,
Jogo de série A que parece série C,há 1 ano,0,
Parabéns Atlético go🐉🇦🇴🥺👎😤😠 por cavar seu destino pra série b era um jogo de 6 pts si tivesse vencido o lanterna taria com ótimas chances de escapar agora esse empate com o papo vai fazer uma grande falta pra última rodada esse ponto perdido irá com certeza ser o maior esperdiçou eu tinha esperança pela permanência mais esse resultado tirou td praticamente agora a espera de um milagre briga tensa com cuiaba e Ceará daqui pra frente depois só pedreira quero neim imaginar,há 1 ano (editado),1,
"Ele falo isso direto,  eles só não cortam, quando é jogo do Flamengo aí eles deixam até acabar, bando de puxa-sacos",há 1 ano,2,
 @adilsonoliveira6482  bem isso...,há 1 ano,1,
Ele é horrível vei,há 1 ano,0,
Golaço da porra do Atlético go,há 1 ano,1,
Sem nem o que dizer,há 1 ano,0,
VALEU DRAGÃO 🖤🤍,há 1 ano,0,
"Qualidade do Wellington Rato, golaço na cobrança de falta",há 1 ano,21,
JUVENTUDE 1X1 ATLÉTICO-GO,há 1 ano,1,
Duelo garantido em 2023!,há 1 ano,2,
"Que golaço do Rato, o maior destaque entre os times na zona de rebaixamento, tomara que siga na série A ano que vem. Joga muito!!!",há 1 ano,49,5
atletico so tem cara pipoqueiro os cara nao aguenta pressao nao,há 1 ano,0,
"🤔Quem poderia ter levado os 3 pontinhos na tabela?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,10,4
2 timecos,há 1 ano,2,
"Acho que o Dragão, não cai pra Série B. Eles vão brigar pra não caírem!",há 1 ano,1,3
empate dos rebaixados,há 1 ano,1,
GOLAÇO DO RATO. ESSE BIXO JOGA MUITO,há 1 ano,20,
"Juventude caiu, mas levou o Atlético junto com ele",há 1 ano,11,
VALEU JUVENTUDE. CEARÁ AGRADEÇE MAIOR DO SUL,há 1 ano,10,
Primeiro ge😎,há 1 ano,1,1
Parabéns ao times pelo empate,há 1 ano,16,
quero no meu time,há 1 ano,2,
Tomara que caia,há 1 ano,0,
 yNasu  fluminense 🇮🇹,há 1 ano,2,
"arr fut news 
concordo plenamente com você eu digo o mesmo também",há 1 ano,0,
" @pecanhajeffpecanha8062  
é isso ai",há 1 ano,1,
🅱️uventude espera tomar a prr do gol pra reagir igual o trikas,há 1 ano,0,
Empate justo e esse duelo tá garantido na próxima temporada,há 1 ano,0,
 @internacional7741  por mn eles eles botaram o grebbio pra 🅱️,há 1 ano,0,
Atlético go,há 1 ano,0,
Já caiu kkkk,há 1 ano,0,
Esse ano 41 pontos já não cai mais,há 1 ano,0,
 @MariaBarbosa-eg5fq  acho q quem vai cair é o meu time no lugar deles,há 1 ano,0,
Quer uma 🏅 mano,há 1 ano,0,
