text,time,votes,replies
"Mais uma vez a ""Lei do Ex"" se valer! Pedro Raul merece ser titular?
🌟Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,104,16
Tudo normal em Série B 2024 Goiás 💚💚,há 3 meses,1,
Isso aí é de um ano atrás.,há 10 meses,0,
Eis que tudo voltou ao normal no Botafogo.,há 1 ano,1,
Botafogo não se classifica nem pra sul-americana,há 1 ano,0,7
"como uma jogada ou passe diferenciado pode mudar o jogo,que passe do Felipe Bastos pro Pedro Raul em",há 2 anos,0,
Desconfio que Patrick de Paula não vai passar do famoso voo da galinha .,há 2 anos,0,
"Nesse ritmo de derrotas, espero que o Botafogo consiga sobreviver na série A. Não adiantou em nada o gringo comprar o time, continua a mesma merda desde 2020!",há 2 anos,2,1
Nunca pensei q o Góias  ia ganha de virada,há 2 anos,0,
Que jogaço do goiás.,há 2 anos,2,
Esse Patrick de Paula foi dinheiro jogado fora,há 2 anos,1,
Patrick de Paula não era a estrela do time kkkkkk,há 2 anos,1,
é overdãooooooo,há 2 anos,1,
"BOTAFOGO FAZ MUITA RAIVA. 
JOGADORES AMADORES, MANDAR TUDO EMBORA.",há 2 anos,2,1
hugor melhor em campo,há 2 anos (editado),0,
"Resumo. Baita duma assistência, e essa torcida brasileira me dá nojo.",há 2 anos,0,
"Patrick de Paula... kkkkkk falem do Abel mandar o cara embora aí, muita marra pouco futebol",há 2 anos,0,
Verdão Ô Ô 💚💚💪💪,há 2 anos,1,
"A zaga do botafogo n marca ngm e quem recebe vaia é o patrick, vai entender",há 2 anos,0,
"Nossa!! Que time horroroso, esse do Botafogo.",há 2 anos,0,
Vou contar uma piada Botafogo kkkkkk 😂😂😂,há 2 anos,8,
Merece,há 2 anos,1,
Flamenguista querendo zuar 😂 perderam pro Fortaleza 😂,há 2 anos,4,
"uma coisa é certa, fudeo o cartola de mt gente essa rodada lk",há 2 anos,1,
"@Patrocinadora do Palmeiras
Mais isso mudará que 51 é pinga ?",há 2 anos,4,
 @kaykibender7453  também não muda o fato do corincadela não ter tradição em libertadores e que 2000 e torneio de verão,há 2 anos,0,
 Patrocinadora do Palmeiras  parecia o Flamengo 🤣🤣🤣🤣,há 2 anos,0,
Sim merece,há 2 anos,0,
 Patrocinadora do Palmeiras  não esquece o pai de vcs né nanico kkkkk,há 2 anos,0,
