text,time,votes,replies
"EEEEEEITA, QUE ESSE JOGO FOI QUENTE! O que achou da partida?",há 2 anos,68,18
Meu Deus esse vídeo foi o aprendiz do estagiário que fez,há 1 ano,0,
Hhuuu,há 2 anos,0,
Yhuuuy,há 2 anos,0,
Hyyyuu,há 2 anos,0,
Huu,há 2 anos,0,
Hjuuuu,há 2 anos,0,
"Que pena que quando pega os times de são Paulo abri as pernas, principalmente para o Corinthians.
Perde em Curitiba e em São Paulo todo ano.",há 2 anos,0,
Porque não tem narração nos jogos do furacão 🙃🤭,há 2 anos,0,
"Tenho ranço de goleiro q advinha canto,Bento mostrou q esperando a definição do batedor a chance de pegar a penalidade e bem maior,tem q servir de exemplo pra esses goleiros q se desmancham antes da cobrança.",há 2 anos,0,
"Chutou o cara e não a bola após o pênalti , lógico a sola do cara não tem como chutar qual for outra parte da perna do pé a não ser a sola inda mais que Véio por trás  ou só se ele consegue virar o pé no ar coisa de outro mundo não tem como não tem lógica alguma entrou de sola pra dividir a bola pior que isso por trás só ver a parte do pé que pegou o chute na hora na sola , então entrou solando",há 2 anos,0,
bizarro 😂,há 2 anos,0,
"Se esse penalti fosse em classico estadual, o pau ia comer no lombo da arbitragem...",há 2 anos,0,
Kkkkkkkkkkkkk pênalti no pênalti,há 2 anos,0,
Nada ver o goleiro do Atlético sair gritando no primeiro pênalti,há 2 anos,0,
Primeira vez que vejo isso kkkk dois penáltis seguidos tão rápidos assim,há 2 anos,0,
"O que foi o Pênalti cobrado pelo Wilian Poticker, não não não, joga uma bolinha e quer dar uma de craque. PQP",há 2 anos,0,
Quem colocou ambas kkkk,há 2 anos,0,
Athetico precisa voltar aos velhos tempo suando pra ganhar dos time d santa Catarina,há 2 anos,0,
"O Avaí bateu como loko, se o juiz fosse bom, pelo menos dois a menos .",há 2 anos,0,
Foi boa,há 2 anos,3,
deu zebra essa,há 2 anos,2,
Avaí achando que era UFC...,há 2 anos,1,
Jogo ótimo!,há 2 anos,0,
"Tudo voltando ao normal,.mas foi jogaço, resultado já era esperado.",há 2 anos,1,
Legal,há 2 anos,1,
Time ruim tá voltando ao normal,há 2 anos,0,
"Os caras não fecharam as transmissões em casa com vcs e mesmo assim vcs babam no ovo deles... ge, vcs são uma vergonha....",há 2 anos,0,
KD o dois chute do cristian na cara do GOL ? e o lance no final que poderia ter sido gol tbm ? GE globo ant CAP ridiculos,há 2 anos,1,
Foi ótima porque esse Terans marcou os dois gols da vitória do Cap e foi o segundo maior pontuador do meu time no cartola,há 2 anos,0,
Cade a narração???????,há 2 anos,0,
"Bom resultado do rubro negro, mas precisamos melhorar muito ainda..
SEGUIMOS ! 🏆⚫🔴🌪🇧🇷",há 2 anos,0,
Muito boa e um pouco de drama no segundo tempo,há 2 anos,0,
 @murilocorrea6907  ooo99ooooo9oo,há 2 anos,0,
 @murilocorrea6907  ooooo9opopo0pppooo0,há 2 anos,0,
 @murilocorrea6907  oooooooooooo,há 2 anos,1,
 @murilocorrea6907  oooo9poo9oo9oooopp9ooopoooo,há 2 anos,0,
achei q os jogadores do Avaí tavam pensando q era UFC,há 2 anos,0,
Aonde que foi pênalti aquela queda do pottker?,há 2 anos,0,
Esse lance dos dois pênaltis seguidos foi maravilhoso kkkk,há 2 anos,0,
"Quando eu acho que p futebol brasileiro não pode supreender mais, me aparece esse lance kkkk sempre se superam",há 2 anos,1,
belíssima narração,há 2 anos,0,
"o segundo pênalti foi uma piada, kkkkk pqp",há 2 anos,0,
Q pênalti bm batido .kkkkkkk,há 2 anos,0,
🌪⚫🔴,há 2 anos,0,
"Esse camarada voltou pro Brasil, sabia não voltou pra arrumar confusão igual já tá fazendo...Potquer,e por incrível q pareça próximo jogo do Avaí é o galo, ele e o Hulk tiveram um entrevero ano passado, vão vê se ele vai dá uma de esquentadinho 🐓🐓👈🤫",há 2 anos,0,
Jogo bom as duas equipes jogaram bem,há 2 anos,1,
"Hilário esses pênaltis pro Avaí!! Tinha q ser com o Avaí, kkk! Como se diz aqui na ilha; “Esse Avaí faz côza!!!!”",há 2 anos,1,
Avaí com Potker é segunda divisão na certa,há 2 anos,0,
Juiz e louco,há 2 anos,0,
Esses árbitros fazem uma cera para dar o pênalti,há 2 anos,0,
"Sonho em viver da música, persistência, foco e evolução, sei que ainda vai chegar minha vez 🙏🏻 tem música nova no canal!",há 2 anos,1,
Dois times que vão cair pra série B,há 2 anos,0,
"Avaí precisando diminuir a vantagem
jogador: vô meter uma cavadinha, foda-se",há 2 anos,0,
Uma das piores arbitragem.,há 2 anos,1,
Boa Vitória do atheltico Paranaense,há 2 anos,1,
"esse primeiro pênalti aí eu ainda não vi nada, pareceu Flamengo x CAM em 1981 na liberta...",há 2 anos,0,
O cara cavou cobrando pênalti e se redimiu cavando um outro pênalti. Kkkk,há 2 anos,0,
"Meu, esse Pottker é muito ruim. teve sorte do zagueiro do Athlético fazer besteira",há 2 anos,0,
Será que só eu que Acho esse Bento muito fraco??,há 2 anos,0,
Realmente. Melhor que muitos locutores(as).,há 2 anos,1,
Segundo pênalti do Avaí foi muito Mandrake! 🤦‍♂️,há 2 anos,1,
"Não foi absolutamente nada no William Poteker, só mais uma lambança da arbitragem.",há 2 anos,0,1
"No outro vídeo o narrador demorou um mês pra perceber que havia sido pênalti novamente 🤣🤣🤣
Ele perguntou: será que ele mandou voltar?🤣🤣🤣🤣
É de lascar esses narradores clubistas viu",há 2 anos,1,
Excelente narração 🤦🏽‍♂️,há 2 anos,0,
"Potker batendo pênalti errado,sofrendo outro logo em seguida e batendo certo!? Tem like.",há 2 anos,2,
Furacão vai dar trabalho novamente kkkk,há 2 anos,0,
Um pênalti no pênalti kkkkk,há 2 anos,1,
"Dois times pequenos que fizeram um jogo bonito , qualquer um dos dois hoje em dia são melhores q clubes grandes como o São Paulo e Corinthians",há 2 anos,0,1
"O cara perde um pênalt e sofre outro no mesmo lance 🤣🤣🤣🤣🤣
Só brasileirão mesmo",há 2 anos,1,
Quando o pablo joga o furacao joga com 10 e mesmo assim com um a menos conseguiu a Vitoria,há 2 anos,0,
"Penalti rolbado ,potker se jogo no chite do cara slk kkk",há 2 anos,2,1
Sou São Paulino e parabéns ao Atlético Paranaense pela Vitória e pela primeira vez que eu vejo o jogador perde o pênalti e na sequência ele sofre pênalti e que queda estranha do jogador do atlético no segundo pênalti...,há 2 anos,5,
"Boa vitória do rubro negro.
SEGUIMOS ! ⚫🔴🌪🇧🇷",há 2 anos,10,3
DAVID TERANS EL REY JOGA DEMAIS 👑👑🔴⚫🔴💀,há 2 anos (editado),8,
a parte do pênalti foi hilário kkkkkk,há 2 anos,1,
Nunca tinha visto um penalti duplo KKKKKKKKKKKKKKKKKKKK,há 2 anos,1,
Tava sumido o harry pottker,há 2 anos,0,
" Robert Lewandowski™  Se o vento bate em você, você se joga no chão????Ouve um levíssimo toque,que não significa que foi faltoso, só lembrando que futebol é um esporte de contato,aí eu pergunto,e se fosse fora da área????",há 2 anos,0,
Vai se tratar muleque,há 2 anos,0,
" Robert Lewandowski™  roubado! ,Nítido que o potker pulo em cima do cara ,tava atrasado na jogada ,nem tinha como ele chega no maluko",há 2 anos,0,
Fora de casa 😾😾😾😾 kkkk,há 2 anos,0,
 @tutaemshock5461  contra o Flamengo 🐆,há 2 anos,0,
" @ferrerinhasi484  não sou flamenguista mas e a realidade kkk , tomaram 5 do the strongesth ( não sei como se escreve ) , mas ganharam de 1 na ida kkk",há 2 anos,0,
Pênalti do Pênalti kkkk,há 2 anos,0,
"Valeu Bento, meu Cartola agradece",há 2 anos,0,3
Essas arbitragens brasileira é uma vergonha,há 2 anos,3,
👏🏻,há 2 anos,0,
"Sem narração,  o potker foi malandro esse segundo pênalti foi ridículo",há 2 anos,0,
Ótima narração,há 2 anos,0,
Vamos 1 primeoro lugar,há 2 anos,0,
"O primeiro pênalti é até discutível, mas esse segundo aí q o juiz dar contra o furacão, q que isso, o cara parece que tava numa piscina",há 2 anos,1,
pênalti no pênalti kkkkkkk,há 2 anos,0,
Esse time do Atlético está bem ruim,há 2 anos (editado),0,
sfd esse juiz KKKKKKKKKKKKKK,há 2 anos,0,
"William Potter fez a mandinga pra voltar no tempo bater o pênalti decentemente, pois o time dele estava perdendo de 2x0, e ele precisava testar o feitiço.",há 2 anos,0,
2 pênaltis roubados.,há 2 anos,0,
Pênalti pro Havai bizarro,há 2 anos (editado),1,
"Por que em todos os jogos do Atlético paranaense na arena da baixada, nunca tem narrador quando a gente vai assistir os melhores momentos? É só o barulho da torcida.",há 2 anos,0,1
Ganhou de timecooooo kkkk quero ver ganhar de um time grande,há 2 anos,0,1
Nossa que narração mim lembra os 7 a 1 da Alemanha contra o Brasil kkkkkkk,há 2 anos,0,
"Terans.. esse Uruguaio cairia bem no flamengo, tá bom q já virou carrasco mas vale a pena, igual esse atacante do Uruguai q veio do Penarol",há 2 anos,2,2
Essr lance do Pottkker resumi o futebol brasileiro KKKKKKKKKKKKKMK,há 2 anos (editado),0,
O árbitro não deveria ter dado outro pênalti pro Avaí. O Pottker não merecia.,há 2 anos,3,
O terans salvou o meu kkkk,há 2 anos,0,
" @josafaalmeida8049  só assim mano, pq Gabigol ta uma desgraça. Escalei ele pq o Flamengo jogou contra um dos piores times da série A e mesmo assim o miserável não fez nem cócegas no goleiro, escalo mais não kkkkkk Sorte que escalei o Ze Rafael e Marcos Rocha, os dois pontuaram 12",há 2 anos,0,
 @josafaalmeida8049  o meu tbm,há 2 anos,0,
"Pq nenhuma emissora tem direitos de transmissão, mais vc pode assistir na twitch no Casimiro",há 2 anos,2,
Só pode ser um troxa branca do mais rebaixado do BR pra falar isso kkkkkk,há 2 anos,0,
"Flamengo não tem dinheiro pra tirar ele dela , os caras investiram mais de 64 milhões no time esse ano.
E tem saf chegando no meio do ano no furacão , banco internacional americano.
Tem que ter bala pra tirar jogadores do Athletico!",há 2 anos,0,
 @patrickon2644  vdd,há 2 anos,0,
kkkkkkkkkkkkkkk o maluco perdeu o pênalti e sofreu o pênalti dnv kakakak,há 2 anos,2,1
É muito bom ser Flamengo!,há 2 anos,2,3
Melhor que aquela mina narrando,há 2 anos,0,
Acho q o Avaí vai dar um certo trabalho esse ano,há 2 anos,10,1
"Caramba, Bento pega o penal e em seguida outro aí fica difícil pegar dois",há 2 anos,0,
Pense em um livramento o são Paulo teve sem esse Pablo 🤣🤣🤣,há 2 anos,0,1
A pergunta que não quer calar. Pablo fez gol hj ? Ou só abraçou de novo ? 🙄😎🤏🏽🤣🤣🤣,há 2 anos,0,
"Esse segundo penalti pro Avaí, que porra é essa, não pode mais chutar a bola, tem que deixar o atacante pegar, pqp",há 2 anos,1,
"A-THLÉ-TICO!
A-THLÉ-TICO!
A-THLÉ-TICO!
A-THLÉ-TICO!
A-THLÉ-TICO!",há 2 anos,1,
"Esse Pottker é mt idi0ta, cavadinha se faz qnd o jogo tá ganho. E mt sortudo por sinal kkk",há 2 anos,1,
Para a pessoa que está lendo isso: Espero que você consiga realizar todos os seus sonhos esse ano!! Amém ❤️✨,há 2 anos,0,
Temos um centroavante que não faz gol. Tem que dar chances para o Babi e Vitor Roque,há 2 anos,3,3
"7 PALAVRAS: ÁRBITROS, BRASILEIROS SÃO OS PIORES DE TODOS",há 2 anos (editado),0,
2 nanicos,há 2 anos,1,
ATHLETICO-PR 2X1 AVAÍ,há 2 anos,0,
E o Atlético Tapetinho não para com a PALHAÇADA nas transmissões!,há 2 anos,1,
Narração fantástica 😂,há 2 anos,1,
1:44 😂😂😂😂😂😂😂😂,há 2 anos,0,
se esqueceram de liga microfone do narrado,há 2 anos,1,
Melhores momentos nada e cadê as duas bolas do Cristian de dentro da área sozinho 🤷🏽‍♂️🤷🏽‍♂️🤷🏽‍♂️🤷🏽‍♂️🤷🏽‍♂️ chutou fora .,há 2 anos,0,
kkkkkkkk nhé... viro um lambari,há 2 anos,1,
Sempre serão nossos fregues kkkkkk,há 2 anos,3,
Carente kkkkk,há 2 anos,1,
40 milhões meninas kkkkk,há 2 anos,2,
"Vai da trabalho, o Avai ta jogando pra caralho kakakaka",há 2 anos,0,
Foi os 26 milhões de reais mais fáceis que o Athlético já ganhou na vida kkkkk,há 2 anos,1,
"Bola nem chegou , ele deu passe pro cuello mas ele perdeu o gol na cara , não apareceu aí nesse vídeo",há 2 anos,0,
Vitor Roque foi convocado pela seleção Brasileira para o sub 20,há 2 anos,0,
Vitor Roque desde que saiu do cruzeiro não fez mais nada,há 2 anos (editado),0,
"Abner desgraçado, pra que retardar batida de lateral? Amarelado a toa!",há 2 anos,0,
🚗🚗,há 2 anos,0,
Não é por nada não obvio provalvelmente foi mas cap ta tendo alguns penais ou é so impressão minha kk,há 2 anos,1,
"Esse narrador tem futuro, muito promissor",há 2 anos,0,
Melhor narração 😎🤙,há 2 anos,0,
Pensei que era o Suarez na foto,há 2 anos,0,
"Que doido kkk
Juizao endoidou nesse penalte",há 2 anos,0,
Esse pênalti que o juiz deu para o Avaí nunca foi pênalti,há 2 anos,11,1
Primeira vez que vi um Pênalti dado encima de outro kkkkk,há 2 anos,3,
Que pênaltis foram esses kkk,há 2 anos,0,
"Tem que levar lapada esse time do Avaí, roubou o Sampaio Corrêa ano passado pra poder subir, tem q descer, time pequeno",há 2 anos (editado),2,
Faltam 31 rodadas pro Avai retornar a série B,há 2 anos,7,
Esse narrador é melhor q a Renata Silveira,há 2 anos,1,
Essa bosta sem narração que merda,há 2 anos,0,1
Este canal poderia disponibilizar a tabela depois da rodada !!!!,há 2 anos,0,
Que narração boa. Slc foi boa PQP,há 2 anos,0,
"Que pênalti mal batido da bexiga kk. E mais uma vez esse lateralzinho fazendo cagada. Esse khelven tem que ser emprestado para o Paraná, pra jogar série D, lá é o lugar dele. Ademais, o jogo foi literalmente uma luta, como foram os jogos do ano passado, diga-se de passagem o empate com o Flamengo ano passado. Se o Var é omisso, tem que aproveitar e bater tbm.",há 2 anos (editado),0,2
"Essa cavadinha virou um poço. Pottker pensando que é Benzema, tem que se fuder mesmo pqp.",há 2 anos,1,
"Esses jogadores de bola precisa mudar a maneira de lidar uns com os outros, alguns sao desequilibrados.",há 2 anos,1,2
