text,time,votes,replies
"O que achou do jogo na Serrinha? 
Assine o Premiere: https://bityli.com/uoAvUu",há 2 anos,30,3
Tudo normal em Série B 2024 Goiás 💚💚,há 3 meses,0,
Não me surpreendeu.,há 2 anos,1,
esse Juan pqp,há 2 anos,0,
Golaço do nicolas,há 2 anos,1,
"VTMNC SCURO AMADOR, ESTAGIÁRIO BARBIERI INCOMPETENTE E JOGADORES BANDO DE PÉ DE RATO, VAZEM DO BRAGANTINO VCS VÃO ACABAR COM O CLUBE SEUS PNC!",há 2 anos,0,
Like 5K!,há 2 anos,0,
Pra cima Bragantino 🙌🙌🤍,há 2 anos,0,
Visitei Goiânia ontem estive nesse lugar maravilhoso este estádio valeuuuu goiasss,há 2 anos,5,
Tadeu cata muito,há 2 anos,0,
"Essa comentarista de arbitragem na hora do lance da expulsão disse que não era pra expulsar,mesmo vendo o.lance antes do var. Depois que o var foi chamado, disse que estava de acordo com o var que era pra expulsão,  e muita hipocrisia dele .",há 2 anos (editado),0,
O Goiás conseguiu outro milagre. Infelizmente nosso time é muito ruim. Se continuar assim creio que não será rebaixado no primeiro turno. Quem sabe no final do segundo turno ainda escapa do rebaixamento?,há 2 anos,0,
???,há 2 anos,0,
O Braga mandou no jogo. E tinha tomado de 3 na libertadores. O Goiás tá comemorando o que...?,há 2 anos,1,1
Que vídeo enorme GE kkkk,há 2 anos,0,
Acharam o único torcedor do redbull que existe pra editar esses melhores momentos?,há 2 anos,1,1
Esse time do Goiás vai tirar mto ponto dos time que tá lá em cima da tabela é incrível a entrega deles no campo!,há 2 anos,1,
Jogaço⚽️⚽️⚽️,há 2 anos,0,
GOIÁS 1X1 BRAGANTINO,há 2 anos,0,
Verdão e foda 🙌🏾🙏,há 2 anos,0,
🇷🇺🇷🇺🇷🇺,há 2 anos (editado),2,
"Goiás perdeu a oportunidade de vencer tb esse time energético,que todos estão vencendo.",há 2 anos,1,
Ruim o empate de Goias 1 x 1 Bragantino,há 2 anos,3,
Tá comemorando a classificação na copa do Brasil em cima das latinhas de energético kkk,há 2 anos,0,
"Não,  sei time que não jogou nada mesmo",há 2 anos,0,
2:24 Como pode um jogador profissional fazer isso?,há 2 anos,1,
"No Brasileirão qualquer time em casa vai jogar pra ganhar, não tem time bobo não! Pessoal tem que tirar as ilusões que as mídias meteram na cabeça da maioria e abrir o olho.",há 2 anos,0,
Jogando em Goiânia o Goiáis e duro,há 2 anos,0,
Daora,há 2 anos,0,
⪩⪨,há 2 anos,0,
Esse red Bull bragantino não de nada o Goiás dominou o jogo todo e foi superior merecia ganhar. Bragantino vai brigar para não cair time horroroso esse bragantino.,há 2 anos,0,1
O que aconteceu com o Serra Dourada??,há 2 anos,0,
🇳🇬🇳🇬🇳🇬🤝🏾,há 2 anos,0,
Esses melhores momentos do GE está parecendo pesquisa do data folha para as eleições. Só mostram o que querem. Só sei q Goiás teve mais chances!,há 2 anos,3,1
"O Palmeiras vendeu esse Arthur de graça... Era notorio que ele iria virar craque um pouco mais tarde, como aconteceu com o Veiga.  Tomara que não façam a mesma coisa com Wesley, Verom e Giovanni.",há 2 anos,0,
esse time do Goiás e enjoado,há 2 anos,0,
Maior do centro oeste caralho,há 2 anos,0,
Red Bull Bragantino tá mal demais no futebol 🤦🏼‍♂,há 2 anos,0,
"Serrinha e nome de cabaré kkkk

Cada a torcida não tem 10 mil ai",há 2 anos,0,
"Teve jogos do jogos do Goiás q se eu não me engano o Nicolas tava no banco, o treinador precisa da uma sequência pra ele. No meu Paysandu ele foi artilheiro o famoso Cavani da Amazônia.",há 2 anos,3,1
2 bostas resultado Justo,há 2 anos,0,
Tadeu já passou da hr de tá em um time grade👏👏,há 2 anos,0,1
Empate fora foi bom pro Braga,há 2 anos,0,
Apodi mereçe seleção tá jogando muito kkk,há 2 anos,0,
"O Goiás não jogou melhor que o Bragantino mesmo, mas o jogo foi mais parelho do que fica parecendo nos melhores momentos. Só mostraram as chances do Bragantino",há 2 anos,9,
"Bragantino nao é ruim, so esta em má fase.",há 2 anos,0,
"Pura mentira, bolsopetista",há 2 anos,0,
Excelente jogador o Nicolas. Obrigado a vocês do Paysandu por nos concederem este jogador esforçado e guerreiro . Boa sorte aí pro Paysandu. Torcendo pra vocês voltarem a estarem na elite do futebol novamente.,há 2 anos,0,
Time grande ele já está?💚💚💚,há 2 anos,1,
Nicolas o cavane da Amazonia ex papão,há 2 anos,1,
Nicolas do Goiás e artilheiro,há 2 anos,0,
Esse bragantino já foi muito melhor que hj,há 2 anos,1,
O melhor é que o Goiás teve várias chances de gol e aí mostra somente os lances do Braga...,há 2 anos,36,2
Goiás tá vacilando dms,há 2 anos,1,
""" ser eliminado na libertadores,não conseguir nem uma vaga na sul-americana e ficar 7 jogos sem vitórias e super normal..""
Barbierito técnico",há 2 anos (editado),10,
Tadeu é um monstro! Fecha demais o Gol!,há 2 anos,3,
Goiás rumo a série B,há 2 anos,0,
