text,time,votes,replies
"Fala, pessoal! O empate foi justo pro jogo que tivemos??",há 1 ano,40,12
Os cara doido pra entregar no esquema da aposta kk,há 11 meses,1,
Jogo manipulado sendo investigado.. Zagueiro Paulo Miranda recebeu dinheiro para tomar cartão amarelo .,há 1 ano,0,1
MANCHA VERDE,há 1 ano,0,
boraaa Leão,há 1 ano,1,
Fortaleza totalmente perdido no jogo..m,há 1 ano,0,
Esse pita é bem ruim !,há 1 ano,0,
"A zaga do Fortaleza se desarrumou toda no Segundo tempo, o que aconteceu? Formação tática do Vojvoda que piorou ou uma melhora na formação tática do Juventude?",há 1 ano,4,2
dois nanicos,há 1 ano,0,
Só eu achei pênalti claro pro Juventude? Na jogada do Vitor Gabriel?,há 1 ano,2,
"NINGUÉM: A
GALHARDO: VOU SENTAR UM POUCO FOUDASSE 👍
😂😂😂😂😂😂😂😂😂😂😂😂",há 1 ano,0,
Vamo vamos  o ingresso eh 100 reais 😁😂🤣😂😁🤣🤣😁,há 1 ano,1,
Nossa que jogão 100 reais ingresso 😁😂🤣😁😂🤣,há 1 ano,3,
"que jogo foi esse????? péssimo, fortaleza não jogou nada, mereceu realmente o empate",há 1 ano,0,
A fo,há 1 ano,1,
"Breck além de ruim é azarado toda vez que ele está no gol o time joga ruim.  Robson deve ter sido comprado pelas casas de apostas pra não jogar, pense numa contratação bosta desse Robson.",há 1 ano,0,
Só nao perdemos porque Boeck salvou duas bolas cara a cara valeu Boeck nossso idolo,há 1 ano,5,
Qpg,há 1 ano,0,
O juventude merecia a vitória  foi mais agressivo e objetivo o empate não foi justo.,há 1 ano,2,
ate um anão faz gol por cima no Fortaleza,há 1 ano,3,
"Não foi justo não o fortaleza merceria a vitória mais o vojvoda escalou, errado mais uma vez!!",há 1 ano,11,
Fortaleza merecia ganha esse jogo na minha opinião,há 1 ano,6,
 @Cruzeiro9427  vdd,há 1 ano,1,
A Vitória devia ser do Fortaleza,há 1 ano,4,
O juventude merecia ganhar,há 1 ano,3,
Fortaleza poderia ter ganho com certa facilidade. Faltou ter calma e aproveitar.,há 1 ano,2,
Empate justo,há 1 ano,2,
"O Juventude amassou o Fortaleza no 2* tempo, mas não conseguiu ter eficiência para virar o jogo. No fim o empate foi ruim para ambos.",há 1 ano,1,
"Torço leão e acho q o juventude teve as melhores chances. Vejo a galera comentando q o leão merecia a vitória, mas a pergunta não se baseia em melhor elenco ou decisões erradas do Voyvoda, e sim em oportunidades claras.",há 1 ano,2,
Empate vitorioso pro juventude  né,há 1 ano,1,
"Fortaleza que era pra ter ganhado, se tivesse trabalhado mais nos passes, Robson não tivesse saindo chutando a bola na doida.",há 1 ano,0,
Foi justo pq o juventude buscou o empate! E  voijoda não soube mexer demorou muito tbm,há 1 ano,0,
"Verdade, e ele levou amarelo e ainda fez gol contra kkkk",há 1 ano,0,
"Vojvoda mexeu errado e o time ele era superior, caiu de rendimento e não passava mais nem do meio campo.",há 1 ano,1,
Esquema de aposta,há 11 meses,0,
"Moisés que é um jogador muito decisivo entrou apagado, vovjoda era pra ter posto jogadores que fizerem aumentar as participações do moisés...",há 1 ano,2,
Time do Ju vai cair lutando,há 1 ano,0,
"Toda vez q jogar com Marcelo boeck,   não ganha uma partida , esse homem é pé frio pro Fortaleza,  é um péssimo goleiro",há 1 ano,0,
Não foi pênalti do Benevenuto no Vitor Gabriel?,há 1 ano,3,2
"Esses times pequenos só atrapalham o campeonato, são como figurantes que não acrescentam em nada a cena 👻👻👻👻👻👻👻👻👻👻🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮",há 1 ano,0,5
Cara no meio dos zaqueiros do Fortaleza faz gol,há 1 ano,3,1
"0:58 Gol do Fortaleza (Gol Contra)
2:04 Gol do Juventude (Vitor Gabriel)",há 1 ano (editado),8,
Como e q leva o empate do juventude 😣,há 1 ano,1,1
Sei que e péssimo empatar com um time pequeno 😕 . Força fortaleza !,há 1 ano,17,19
TITI mais uma vez sem marcar ninguém no gol do Juventude.,há 1 ano,6,1
Juventude já está praticamente rebaixado então resultado ruim pro Fortaleza,há 1 ano,1,
só deu juventude,há 1 ano,2,1
Empate justo!,há 1 ano,7,
18/09/22,há 1 ano,2,
Sou Fortaleza mas nesse jogo levamos um pouco de sorte,há 1 ano,21,3
Resultado bem ruim para os dois,há 1 ano,3,
Timer fulerager esss Fortaleza....no ganha desse juventude...⚽️,há 1 ano,6,
O papo🦜🇳🇬 👻💣🕳⚰tem uma camisa linda no sul uma pena que não deu muita sorte na série a pela 2 temporada queria ver o juventude chegar uma sul americana inédita desci o ano passado mais infelizmente fez campanha esse ano de clube rebaixado então b sorte na série b juventude uma pena que seu rival caxias está mais afundado que vc na 4 divisão e papo vc e um clube solitário sem rival pra jogar o único grande feito vc teve 2003 goleada sobre o Corinthians ou a copa do Brasil em cima do Botafogo muitos anos mais nda,há 1 ano,1,
sou Fortaleza até morrer mais seu voyvoda só fez merda hoje tu erra demais meu nas mudanças você tá fazendo de tudo para ir série b,há 1 ano,1,
Robson mata qqr um do coração de tanta raiva. E sempre leva cartão.,há 1 ano,13,
"Também achei, time de zaga horrorosa os zagueiro olhando o cara subir sozinho pra fazer o gol e uma lastima",há 1 ano,0,
"Foi, mas como é a favor do Fortaleza, a torcida de tal fica calada, quando é ao contrário, só falta morrer",há 1 ano,0,
"Fortaleza em 4° lugar ano passado, para desespero dos times do sul/sudeste que só ganha na roubalheira com a ajuda do VAR!",há 1 ano,0,
" @danielrodrigo288  Quem morreu ano passado, não existe nem os ossos, quem dirá lembranças... O que vale é o agora, e o agora desses 2 times são horríveis... 💸 💸 💸",há 1 ano,0,
"@ALLAN Quer falar de rebaixamento, logo Juventude que até outro dia nem existia 🤣🤣🤣, sem a Crefisa o Parmera, continua sendo Parmera... Agora a Crefisa sem o Parmera, é só mais uma financeira que rouba velinhos e lava dinheiro 💵 🤣 🤣 🤣",há 1 ano (editado),0,
"@ALLAN Deixa de besteira, que toda vez que vc vai cagar 💩 💩 💩, vc leva o celular 📱 pro banheiro que eu sei 🤣 🤣 🤣",há 1 ano (editado),0,
"@ALLAN É o que eu faço sempre, vejo meu time pela TV 📺 👏👏👏",há 1 ano (editado),0,
Amigo essa zaga e uma porcaria ja disse os cara Nao  cortará bola não marcar ninguem,há 1 ano,1,
Porque o juve tá jogando em casa  krl,há 1 ano,0,
Aliás teu clube nunca ganhou nada né. Só pra saber Champions legue,há 1 ano,3,
 @DiguinhoMVJPOA  é maior que o teu pelo menos,há 1 ano,0,
" @joaodosvideos777  😆😆😆😆😆😆😆😆😆😆, nem estádio vcs tem cara, ou tu chama o estádio do governo de vcs?? Haaa tem o presidente Vargas, que é um pulgueiro. Da licença cabeça chata",há 1 ano,1,
Juventude e maior que o Fortaleza na minha visão,há 1 ano,4,
Fracoleza,há 1 ano,0,
Juventude nem torcida tem . É time de série B mesmo !!,há 1 ano,2,
 @allysonalves6386  “nao tem torcida” pq tem dois times gigantes no estado. É um dos  maiores de seu estado e mesmo assim medíocre,há 1 ano,1,
 @allysonalves6386  Mais Têm Copa do Brasil e o Fortaleza Têm o Quê Uma Série b Pra Dizer Quê Têm kkkkkk,há 1 ano,1,
 @vladsonmendes7017  quem vive de passado e museeu alem do mais foi muitos anos atras juventude e ruim dms xiu nem torcida tem em casa so isso de torcida k,há 1 ano,0,
" @DiguinhoMVJPOA  para de falar bosta, chamar cearense de cabeção, eu sou cearense e não tenho cabeção !!!!",há 1 ano (editado),1,
