text,time,votes,replies
"E ai Torcedores!😎
O que acharam da partida? ⚽
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,201,58
Balbuena e Robert eram a melhor zaga,há 7 meses,2,
❤❤❤🙂❤🙂❤❤🙂🙂🙂🥰😙🥰😙🥰😙😍😍😙😍😙😀🥲🙃😇🙃🤪🙃😝😝😙😙😍😙❤😙❤😮😂😮😮😂😄😙😍😙😝🤨😝🤨🥲🤪🥰🥰🥰 3:00 🥰🥰 3:00 🥰 3:00 🥰 3:01 🥰 3:01 😍🥲😝🥲🤨😝🥲🥲😝,há 7 meses,0,
😙😀🥲😀😀🥲😀🙃🥲🥲❤🥲❤🥲❤🥲❤🥲❤🥲🥲🥲❤🥲❤🥲😃🤨🥰🤨🤪🤐🤪🤐🤪🤐😝🤐😍🤐🤩😚😚🤩😂😍🙂😄🙃😄😉😄😉😄😉😄😉😄😉😄,há 7 meses,0,
🤐🥰🥰🤐🥰🤐🥰😙🥰😙🥰🥲😇🙃😇🙃🙃😇😇🙃🥲🤐🤔🤩🤔🤩😚🤩😚🤩😚🤐😍🥲🥰🥰😉🥰😉😍😉😍😍😋😍😋😍😋😍😋😍😋😋😍😋😍😋😍😋😍😍😋😍😋😍😋😍😋😍😋😋😍😍🥲🥲😍🥲😍,há 7 meses,0,
😙🤩😙🤩🤩😙🤩🤐😍🥲🥰😋😋😍😍🙃🥲😝🤑🥲😙🤑😙🤩😙🤩😚😚😍🥰😙🥰🥲😇🙃😉😀😇😉😋🥲😍🥲😍🥰🥲🥰😙😚😍☺🤩☺😚😀😉😀😇😉😀😉🥰😉😉😀😊😀😊🥰😋😍🥲🥲😍🥲😍😍,há 7 meses,0,
😃😙😃😙🥰🥲🥰😙🥰😙😙🥰🥲❤❤😅❤😅❤😅😮😂😂😙😙😍🤐😍😝🤐🤐😝😝🥲🤪😋🙃🥲🎉🎉🥲😙🎉😙😘🤔😘🤐🥲🤩🤩🥲😝😋😍😍😉🥰😉🥰😉🥰😉🥰🥰😉🥲🥰🥲🥰🥲😉🥰🥰,há 7 meses,0,
🥰😙🥰😙😙🤪😙🥲😍🥲😍😙😍😙😍😙🥲🥰😃🥲😉🥰😃😉🥰😉😍 0:45 😍 0:46 🤩 0:46 🤩 0:46 🤩🥲🤩🤩🥲🤩🥲🥲🤩🥲🥲🥲😍😙😍😙😍😙😍😚😚😚❤😚❤😚❤😙❤🤐🤨😃🥰🤨😍🥲😍😋😍😉😍😍😉😉😍😍🥲🤩🥲🤩😙😙🤩🤩😚😚🤩😚😍🤐🥰😉🥰🙃🥰😋😍🥲😍🥲🤩😙😍😙😍😙😍🤔🥰🤔🤔🥰🤐🥰😙🥰🥰😙🥰🥲🥰🙃🥰😉🥰😉😍🙃😍🙃😍😙😍😙🤐😍🤨🥰😋😃😉🥰😉😃😊😃😀😄🥰😍😋😍🥲😍🤨🤨😍😍😍🥲😍🥲😝🤩🤐🤑🤔😚🤩🤔😍😍😙😍🙃🙃😍😉😍😍😉😍😉🥰😉😉🥰😉😍,há 7 meses,0,
🙂😀😀😙😇😙🥰😙🥰😙🥲🥰🥲🥰🥰😙😍🥰😂😂❤😙❤❤😙😃😙🙂😮😂😂😮😂😮🎉😢😂😚😍😚😝🤐😍😙😍🥲😝🥲🙃😍😝🥲😝🥲🤩😙😄😙😍🥲🥰🙃🥰😉🥰😉🥰🥰😉🥰😉🥰😉🥰😉😉🥰,há 7 meses,0,
Volta papai,há 7 meses,0,
vai Corinthians sempre,há 9 meses,0,
"Já estou com saudade do nosso menino, espero que um dia o Robert Renan volte para o Corinthians...",há 1 ano,3,
Yes sir 🤩🤩,há 1 ano,1,
Cadê os melhores momentos? pqp faltou um monte,há 1 ano (editado),1,
"OS JOGADORES DO CORITIBA ESTAO DIZENDO QUE VAO GANHAR NA ARENA, ABRE O OLHO FELIPÃO...TREINA ESSES CARA AI",há 1 ano,0,
Sou palmeirense mais esse goleiro do Corinthians tem futuro esse bento também é um bom goleiro 👏👏👏,há 1 ano,2,
"Outro jogo roubado
É so assistir
Jogo passado a mesma coisa",há 1 ano,0,
Timão ❤️❤️❤️,há 1 ano,1,
"Minha primeira vez na arena!! Foi sensacional, que ambiente top!!!",há 1 ano,3,
0:53 Felipão na torcida do Corinthians algo está errado kkkkkkk,há 1 ano,0,
CORINTHIANS MAIOR DO BRASIL,há 1 ano (editado),12,
CORINTHIANS MAIOR DO BRASIL DISPARADO!,há 1 ano (editado),13,
"Gamba timeco como sempre no apito amigo, por isso que ainda deve o estádio bolsa família",há 1 ano,9,
Corinthians fez dois gols pra cada Mundial FIFA e pra cada rebaixamento do Palmeiras,há 1 ano,10,
​ @cruzeiro5848  Mundial?,há 1 ano,6,
@Sportzão Colossal Nanico 87 é do Flamengo MINÚSCULO NEM Sul americana tem 🦅🖤🤍,há 1 ano,3,
"Resultado injusto, deveria ter sido 0x0, dois timinhos horríveis que irão levar uma humilhação enorme em suas finais",há 1 ano,2,
Parabéns o Corinthians pela vitória,há 1 ano,7,
" @cruzeiro5848  Xiu série B, seu timinho nanico ficou três anos na série B, se não fosse o Ronaldo, jamais vocês acessariam a série A denovo, nanico endividado, fica xiu aí mlk!",há 1 ano,8,
 @flamengo4730  Varmengo time pequeno torcida terceirizada vai pagar um estádio pra jogar nanicos 🤣🤣 Gabicheiro sem história só passa vergonha,há 1 ano,5,
"Boa, o Coringão ganhou! 😎",há 1 ano,5,
 @flamengo4730  soberba é foda né menguinho? Kkkk,há 1 ano,5,
 @flamengo4730  Por acaso vc lembra da final da libertadores passada? 🤔🤣,há 1 ano,2,
dois nanicos. filhos do flamengo,há 1 ano,0,
" @flamengo4730  Torcedor modinha de 2019, além por cima Soberbo, nunca serão Bi Campeão Mundial, copa Toyota não é Mundial não Mulambinhos sem teto!",há 1 ano,4,
Partida horrível de dois times pequenos,há 1 ano,3,
 @saopaulo2830  São Paulo já foi bom hoje em dia não presta.,há 1 ano,4,
" @saopaulo2830  vai tomar o seu suco, sem copa do Brasil, além por cima freguês do Timão!",há 1 ano,4,
VAI CORINTHIANS!!!!,há 1 ano,3,
Ótima vitória do Timão Grande o maior do Brasil,há 1 ano,1,
Roubado,há 1 ano,3,
" @breno9361  vai tomar o seu suco, sem copa do Brasil e além por cima freguês do timão!",há 1 ano,3,
 @Allissondesouza_57  sai gambá,há 1 ano,2,
Varmengo e varintnhans tendo pênalti inexistentes no mesmo dia que coincidência,há 1 ano,1,
