text,time,votes,replies
"E o título, vem? 
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,103,24
SEREMOS CAMPEÃOES EM 2024,há 9 dias,0,
Vamos KVAMOS fluminense um  ela Vitória beleza ❤❤,há 2 meses,0,
"PEDE PRA SAIR UMBERTO, TU É O PIOR DE TODOS QUE JÁ PASSARAM POR AQUI!!",há 10 meses,0,
"CANO
SAMUEL XAVIER
ARIAS
MICHEL ARAUJO",há 1 ano,0,
Esse jogo foi pra descontar a raiva que  o jogo lá no Polo aquático do juventude fez a torcida do fluminense passar 😡🇮🇹🇮🇹,há 1 ano,2,
Contra o Juventude é fácil KKK 🤠,há 1 ano,0,
Olha série 🅱️ 👻👻aí gente kkk tem jeito não os time pequeno vão cai,há 1 ano,0,
Flu,há 1 ano,0,
"É, esse ano o Juventude não escapa!",há 1 ano,0,
Dep.federal rj é Dudu Soares vote 7730 só quem gosta de futebol.vai com tudo!!,há 1 ano,0,
"Boa vitória ✌ do fluminense, contra o juventude.",há 1 ano,0,
"Sou Flamengo mas torcendo pelo
Título do Flu. ta merecendo demais esse Brasileirão.",há 1 ano,0,
Os cara goleia time fraco torcedores todos feliz kkkk,há 1 ano,0,
"Dinizismo on,",há 1 ano,0,
Esse ano o Flu é VICE!,há 1 ano,1,
O problema do fluminense é que o Palmeiras não perde,há 1 ano,0,
Vamos Fluzão,há 1 ano,1,
Time em boa fase e nem assim conseguem lotar o estadio KKKKKKKK,há 1 ano,1,1
FLU!,há 1 ano,0,
FLU,há 1 ano,3,
com certeza,há 1 ano,2,
" @Arthurffc  calma, o colorado já vai jogar",há 1 ano,0,
​ @caua9425  vai apanhar pro massa bruta kkkkkk,há 1 ano,0,
Se Deus quiser vem,há 1 ano,1,
"Tá difícil, mas estamos na luta!
ST",há 1 ano,1,
Sim vem! Dale Flu ! 🇮🇹🚀,há 1 ano,1,
" @Arthurffc  bora ver, galo vai ser assado !",há 1 ano,0,
 @SrCarllos2  Zão,há 1 ano,0,
"Melhor time é o seu , 2° é vsco",há 1 ano,0,
Flu,há 1 ano,0,
Sim,há 1 ano,0,
Flu,há 1 ano,0,
 Samuel Filipe Almeida  o penta vem,há 1 ano,0,
Eu acho que não hein,há 1 ano,0,
"com palmeiras e inter perdendo, quem sabe vem simmm",há 1 ano,0,
Esse time Nojento só ganha em Casa,há 1 ano,0,
"O título é do palmeiras e pronto.
Mas podemos ser vice campeão",há 1 ano,0,
"Difícil,palmeiras acabou de vencer o Galo ,acho que o Brasileiro é do Porco.",há 1 ano,0,
Sou flu mais ñ dar kkkkkk,há 1 ano,0,
 @caua9425  continua sendo o terceiro,há 1 ano,0,
NÃO,há 1 ano,0,
"Palmeiras tá muito sortudo, infelizmente vai ganhar o título",há 1 ano,0,
Nops,há 1 ano,0,
Chovendo pra caramba no rio demente,há 1 ano,0,
Enquanto isso meu Mengão uma porcaria 😔,há 1 ano,0,
Que Vergonha em Juventude perdendo pra time de SÉRIE C KKKKKKKKKKKKKKKKKKKKK,há 1 ano,1,
"Vai vir sempre um pé rapado dizer que ""ain fluminense n ganha nd"", ""pipipi, popopo"", mas n sabem, n têm a MENOR ideia da superação que tá sendo pro nosso time. Não estamos mais competindo pela Copa do Brasil, nem pela Libertadores, nem pela Sula. E tá tudo bem. Acontece. No entanto, a maioria q tá comentando aqui perdeu pro meu time e isso ja me deixa feliz o suficiente. rs 
Sem contar que meu atacante é o segundo artilheiro do mundo. Nos contentemos com ""só"" isso. rs",há 1 ano,1,
"Oq o ganso joga e um nojo,pena que as lesões o deixaram muito lento",há 1 ano,0,
FLUMINENSE VICE E PALMEIRAS CAMPEÃO BRASILEIRO DE 2022.,há 1 ano,2,
Segue o líder 🐷,há 1 ano,3,
Torço pro flamengo,há 1 ano,0,
"Pera, o Michel Araújo ainda tá no flu? Ou ele tinha saído e voltou?",há 1 ano,0,1
"quando vc achar que seu time ruim lembre se
no sul 
UM CAIU 3X
OUTRO NAO GANHA NADA A 11 ANOS
E O JUVENTUDE  JOGA SERIE 1X A CADA 35 ANOS",há 1 ano,0,
BORA PRESIDENTE DO TIMÃO  COMPRA LOGO O CANO MOÇO,há 1 ano,0,
Fluzão jogo de futebol,há 1 ano,0,
