text,time,votes,replies
"Fala, galera!! O que acharam da partida?",há 1 ano,190,62
A TEMPORADA DESSE CLUBECO EM 2023 ACABOU DA MELHOR FORMA POSSÍVEL. 😂😂😂😂😂😂😂😂😂,há 11 meses,1,
flamengo para baixo...,há 11 meses,1,
Obrigada Flamengo ❤🖤,há 1 ano,0,
Good 😍😍,há 1 ano,1,
Zaga do inter sempre mediana slc,há 1 ano,1,
Jogo roubado uns 4 pênaltis não marcados pro Flamengo um foi no início do jogo puxaram o Pedro e deram nada um absurdo,há 1 ano,1,
Já estou com sdd do Brasileirão do cartola mais alguém ?,há 1 ano,1,
Flamengo três vezes campeão brasileiro encima do Inter,há 1 ano,0,
"Se o Pedro não fosse fominha nesses lances,teríamos vencido no mínimo por 3x0.",há 1 ano,1,
Serial Killer fechou o gol 👏🏻👏🏻👏🏻👏🏻,há 1 ano,2,
Dr e pra mim também meu amor e t o meu amigo e o que isso não importa é um amigo que eu vou aí pra ver a sua fama que não vai,há 1 ano,1,
De futebol 🏈e a noite de acordo com a noite de acordo com a noite de acordo com a noite de acordo com a noite de acordo com a noite de acordo com a noite de acordo com a noite de acordo com,há 1 ano,0,
CT e pra fazer a prova de acordo com a gente e a sua mãe tá bom amor 💕 e pra mim e pra mim e pra tu também que Deus abençoe sempre sua vida e sua família também,há 1 ano,0,
Futlll e pra mim e pra mim e pra mim e pra mim e pra mim e pra mim e pra mim e pra mim ou amanhã cedo pra ir pra lá no whatsapp da minha filha e eu não,há 1 ano,0,
Gr a noite de acordo com a noite de acordo com a noite de acordo com a noite de acordyrtgyto com a noite,há 1 ano,0,
Tá bom t o meu e especial pra um pouco mais tarde que eu tô um pouco mais tarde que eu tô um pouco mais tarde que eu tô um pouco tu vai ser a melhor coisa,há 1 ano,0,
Rrrt a sua famílias e pra mim e pra mim e pra mim e pra mim e pra mim e pra mim e pra sua casa o dia todo na sua casa o dia todo na paz do meu trabalho é muito meu e o meio da noites e pra mim e pra tu,há 1 ano,0,
