text,time,votes,replies
"Lá e cá! Pra você, quem foi o destaque da partida? O que poderia melhorar para um dos times sair com a vitória? 
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,35,6
Boa meu Série B 2024 Ceará 🖤🖤,há 3 meses (editado),1,
"FÚRIA JOVEM , TORCIDA JOVEM DO BOTAFOGO, FOGORÓ, CEARAMOR, MOFI",há 1 ano,0,
Fora JonTex!,há 1 ano,1,
Essa bola aérea do Botafogo é triste,há 1 ano,0,
ادواردو 💚💚🤍🤍🤍🤍,há 1 ano,1,
"Botafogo continua sem criação, time que tem posse de bola mais efetivamente não consegue agredir nem criar chances!",há 1 ano,0,
Excelente por Mendoza 👍🇨🇴,há 2 anos,1,
"Como esse time do Bota é mal treinado. O time é um amontoado, um bando que sai em disparada, não tem repertório.",há 2 anos,2,
Botafogo louco pra cair dnv.,há 2 anos,0,
Nunca vi a zaga cortar a bola pra dentro da pequena área kkkkkkkkkkk,há 2 anos,0,
Botafogo nn contrata ninguém.  Só bla bla bla,há 2 anos,0,
"a ultima vez que o botafogo foi campeão brasileiro da série a ainda não existia internet,nascia o mito Michael Jackson,a rainha Elizabeth era coroada,a ponte rio e Niterói era construido, Oscar Niemeyer construía sua primeira obra, o óleo era vendido em lata no mercado, o mercado c b abria seu primeiro supermercado,o carrinho de rolima virava febre no Brasil, e jaspion ainda não tinha matado magarem.",há 2 anos,0,
“É por essas e outras que o Castro é o melhor técnico do mundo!” - Passadores de pano 🤪,há 2 anos,0,
Se esse português não sair o Botafogo cai,há 2 anos,0,
"Deu sorte, viu Botafogo? Era pra ter perdido!",há 2 anos,1,
Botafogo horrível KKKK,há 2 anos,0,
Engraçado que contra o Corinthians  Ceará vira Real Madrid,há 2 anos,0,
Pense num time bagunçado!? É esse Botafogo! Se vacilar vai jogar a série b.,há 2 anos,0,1
O Ceará merecia a vitória,há 2 anos,0,
Ceará jogou mais com o minimo respeito com o Botafire,há 2 anos,1,
Foguinho é Nanico venceu o maior,há 2 anos,0,
 @palzaoterrordananicada2395  mas deu empate sem mundial,há 2 anos,0,
"destaque foi o GE que não colocou outras duas grandes chances do Ceará, uma com Mendoza e outra com o Sobral.",há 2 anos,2,
O Destaque da Partida Botafogo 1 x 1 Ceará foi Cuesta,há 2 anos,0,
Venceu qm tem estádio,há 2 anos,0,
Tomara,há 2 anos,0,
