text,time,votes,replies
"2º tempo ANIMADO!💥
O que acharam da partida?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,77,18
Boa togão Bragantino 🖤🖤,há 3 meses,1,
Engano bem essa porcaria,há 9 meses,0,
"uma das melhores atuações de um arbitro que eu ja vi, pena que no jogo seguinte que ele apitou do botafogo o julgamento sobre os lances mudou drasticamente, que coincidencia né",há 1 ano,0,
Isso foi um pesadelo kkkk,há 1 ano,0,
Oi,há 1 ano,0,
Dois times de merda 💩,há 2 anos,0,
Dois times de merda,há 2 anos,0,
1:32 Gol mal anulado. Roubaram o RB Bragantino!,há 2 anos,0,
Esse jogo vai ficar na história dos campeonatos brasileiros da primeira divisão por ser o primeiro jogo em que alguns dias depois  do encerramento  os responsáveis por fazer as linhas do impedimento assumiram que houve erro no gol anulado em que o Artur do RB Bragantino encobre o goleiro Gatito Fernandez do Botafogo RJ .,há 2 anos,0,
É O GLORIOSO,há 2 anos,0,
O cuesta foi brabo demais no lance ali que o Helinho tentou cavar o pênalti,há 2 anos,1,
Boa vitória do Botafogo.,há 2 anos,1,
"Esse Ramires tem umas 4 expulsões nesse campeonato,Joãozinho sem caráter!",há 2 anos,0,
Três gols anulados e um pênalti escândaloso não marcado.esse juiz é igual a turma de Brasília.se for prender num fica um meu irmão,há 2 anos,0,1
o primeiro gol do bragantino não achei impedimento,há 2 anos,0,
02:39 essa bola merecia ter entrado,há 2 anos,0,
"Bragantino foi roubado pelo VAR no gol do Arthur. A linha azul traçado do VAR foi desenhado propositalmente torta para indicar impedimento, é só comparar com linha divisor do verde com verde escuro.",há 2 anos,0,
Jogo roubado,há 2 anos,0,
O Jhon Texto tem que mandar todos esses jogadores ir embora e contratar novos jogadores,há 2 anos,1,
Roubo,há 2 anos,2,
Varfogo nanico ganhou roubado do bragantino,há 2 anos,5,
Jogo ruim demais kkkk,há 2 anos,0,
Botarbitro passando a mão kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,há 2 anos,0,
Partida horrorosa. Mas o que vale são os 3 pontos,há 2 anos,1,
Legal,há 2 anos,0,
" Patrocinadora ×͜×  para de falar merda na internet q ta passando vergonha. Se tiver 9 gols irregulares, tem q anular os 9, regra é pra ser cumprida. E me aponte o ""roubo"" do arbitro, seu chorão",há 2 anos,0,
Ruim,há 2 anos,1,
"@Cliente Card
Uai tu disse se não engano no jogo contra o América que não torcia pro Botafogo agora tá torcendo de novo ?!",há 2 anos,1,
Grande vitória 🔥🔥🔥🔥,há 2 anos,0,
Muito choro  do Bragantino🤡🤡🤡🤡🤡,há 2 anos,0,
"os gols estavam impedidos claramente, parem de chorar, mas de fato o grande problema da zaga do Botafogo são as jogadas pelo alto.",há 2 anos,0,
 Anthony Ivo  roubaram sim,há 2 anos,0,
Legal,há 2 anos,0,
Bora Palmeiras campeão,há 2 anos,0,
Roubaram o Bragantino,há 2 anos,0,
Os gols foram anulados corretamente porra!!   Roubo??  Roubo porquê??   Queriam ganhar com gols irregulares??  Ah por favor neh kkkkkk,há 2 anos,0,
" Patrocinadora ×͜×  Devia estar mais preocupado com o seu clube, juiz fez o papel dele a anulou corretamente gols irregulares.",há 2 anos,0,
Ele acertou rodas,há 2 anos,1,
