text,time,votes,replies
"Flamengo acertou na contratação de Dorival?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,348,121
Jogo de futebol épico,há 1 dia,0,
Levantouuuuu GabriEeeEuuuuu,há 5 meses,0,
Flamengo e o pai do Cuiabá,há 8 meses,0,
Vim do futuro pra dizer que em 2023 foi 3x0 pro Cuiabá kkk,há 1 ano,0,
♥️🖤,há 1 ano,0,
Hoje o FLAMENGO tem jogar com vontade com raça de ganhar do cuiba 🖤❤🖤❤🖤❤🖤❤🖤❤🖤❤🖤❤🖤❤🖤❤🖤❤🖤❤🖤❤🖤,há 1 ano,0,1
"1 ano desse jogo... foi minha primeira vez no Maracanã,  infelizmente ficou marcado como o jogo que Bh se machucou, mas de alguma forma foi um jogo lembrado ksks... enfim, ser flamengo é oto patamar !!! ❤️🖤",há 1 ano,0,
Ese é o cara gabigol,há 1 ano,0,
"Narração de merda, voltei nesse lance pq vi um edit e queria ver com narração, olha o gol que beijinho faz e olha a narração, parece q foi um gol qualquer, ahhh se fosse o André Henning",há 1 ano,0,
Eu fui,há 1 ano,0,
Yes!!! 😍😍,há 1 ano,0,
O Flamengo ta bom,há 1 ano,0,
"- Uma Mulher Narrando O Jogo , Que Bacana 🤩",há 1 ano,0,
Flamengo 2x0 Cuiabá,há 1 ano,0,
🗿🍷♥️🖤,há 1 ano,0,
"Mulher ruim narrando viu, estraga qualquer jogo",há 1 ano,2,2
Vms ganhar os jgs q temos pela frente..,há 1 ano,0,
Ai sim Flamengo..,há 1 ano,0,
Más lembranças 💔,há 1 ano,1,
Volta Paulo Souza 👃,há 2 anos,10,
Narizval daqui a pouco já é demitido 👃,há 2 anos,5,
"PALMEIRAS MAIOR QUE FLAMENGO  , O PALMEIRAS JA FOI REBAIXADO E O FLAMENGO NÃO ... TIME GRANDE NÃO CAI  !",há 2 anos,22,
 @cruzeiro5848  como ta a série b aí?,há 2 anos,15,
 @cruzeiro5848  cala boca Maria!,há 2 anos,13,
Até o final do ano esse timinho tá na série b kkkkkk,há 2 anos,3,
"Ótima narração, só não é melhor que a copa do brasil do trikas",há 2 anos,3,
"São Paulo Tri Mundial, Maior do Brasil",há 2 anos,6,
Sim ❤️,há 2 anos,9,
" @haalandcareca5830  PALMEIRAS MAIOR QUE FLAMENGO  , O PALMEIRAS JA FOI REBAIXADO E O FLAMENGO NÃO ... TIME GRANDE NÃO CAI  !",há 2 anos,7,
sim sim,há 2 anos,7,
sim,há 2 anos,6,
 @cruzeiro5848  são paulinos,há 2 anos,5,
"Com certeza, é o Mengão sem Freio recomeçando",há 2 anos,10,
 @picachupei6020   E eles não tem Mundial e temos mundial em 81,há 2 anos (editado),9,
​ @haalandcareca5830  errou vai ser adiado pra 2023😂😂,há 2 anos,6,
 @cruzeiro5848  JA DEU ABENÇA PRO SEU PAI BASCO,há 2 anos,7,
 @deusetudo5927   Amém,há 2 anos,6,
 @torcedorcomum3657  ta mais tirando o anos 80 ele tem oq??,há 2 anos,0,
 @picachupei6020  Kai Havertz nos VINGOU conta a porcada,há 2 anos (editado),5,
" @LuisHenrique-hl7tg   Ué, mas é verdade, 2 do Mundial da Toyota são reconhecida desde 2017 e tenho até o link",há 2 anos,1,
 @picachupei6020  🤔não entendi nada,há 2 anos (editado),0,
"sim, só vcs q não acertaram a contratação dessa narradora sem emoção",há 2 anos,0,
 @Corvodohallowen   TIME GRANDE NO CAI,há 2 anos,0,
 @matheussantos8838  tá me tirando seu humano eu sou um corvo,há 2 anos,0,
 @Corvodohallowen  to falando da narração mano kkkk,há 2 anos,0,
 @torcedorcomum3657  oxi?????tendi foi nada  kkkkk,há 2 anos,0,
 @torcedorcomum3657  oxi?????tendi foi nada  kkkkk,há 2 anos,0,
 @picachupei6020  chora freguês esse ano vcs cai,há 2 anos (editado),0,
 @LuisHenrique-hl7tg  ok,há 2 anos,0,
" @isaiaspereira5318   por uma 1 Vitória e 1 empate , há 2 anos vcs eram",há 2 anos,0,
 @torcedorcomum3657  meu amigo cedo ou tarde a hora chega não adianta correr cabuloso tá se reeguendo para voltar voltar a bater no seu filho e Freguês flamengo,há 2 anos,0,
"Ss,segue td normal,o maior do mundo venceu,rumo ao bi mundial🔴⚫🔴⚫",há 2 anos,1,
É um excelente técnico de transição.,há 2 anos,0,
 @cruzeiro5848  fica quieto Maria😂😂😂😂,há 2 anos,0,
 @cruzeiro5848  🅱️🅱️🅱️?,há 2 anos,1,
 @cruzeiro5848  volta luxa👃👃👃,há 2 anos,1,
 @picachupei6020  esse entende de fut😂😂😂😂,há 2 anos (editado),0,
Sei não,há 2 anos,0,
Só ganhou pq foi o Cuiabá,há 2 anos,0,
Kkkk,há 2 anos,0,
"Time ruim do caralho esse flamengo
Só tem mídia
Gabigol pioro,pior centroavante,só faz gol de pênalti ou debaixo da trave aí corre risco kkkkk",há 2 anos,0,
"Gabigol só tem mídia
Hugo jogar mil veze melhor a gabigol",há 2 anos,0,
 @Corvodohallowen  oi corvo tudo bem?,há 2 anos,0,
"Sim acertou, o Dorival é um ótimo treinador 👍",há 2 anos,0,
" @picachupei6020  Palmeiras n é grande, ele é gigante",há 2 anos (editado),1,
"Sim, rumo  série b",há 2 anos,1,
E precisa desse abestado falando besteira no final do vídeo?,há 2 anos,0,
"Tomara que dê certo com o Dorival. Eu queria que fosse o Cuca, massss, tomara que dê certo dessa vez!",há 2 anos,1,
Sim,há 2 anos,0,
 @cruzeiro5848  achou que Flamengo ia serie b né chora agr vcs vão ser amassados 🤣🥱,há 2 anos,0,
JORIVAL JÚNIOR JJ,há 2 anos,2,
Nesse jogo ó FLAMENGO 🖤❤️ já deu uma melhorada 👍🏻 eu tenho muita FÉ EM DEUS que esse time vai melhorar muito mais 🙏,há 2 anos,0,
 @cruzeiro5848  silêncio série b,há 2 anos,0,
 @cruzeiro5848  silêncio série b,há 2 anos,0,
 @haalandcareca5830  kkkkk nunca,há 2 anos,0,
 @cruzeiro5848  chora anti,há 2 anos,2,
 @haalandcareca5830  time gigante não cai idiota,há 2 anos,0,
sim,há 2 anos,1,
 @haalandcareca5830  vai chorar?,há 2 anos,1,
" @isaiaspereira5318  kkkkkkkkk freguês aonde , Cruzeiro e freguês do Flamengo",há 2 anos,0,
