text,time,votes,replies
"Fim de campeonato!! 😎Curtiram a partida e a permanência dos times na Série A?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,45,9
Leberta cuiaba,há 1 ano,0,
Aqui o alef manga ganhava mais um pix pro bolso,há 1 ano,0,
"Se essa empresa que abrir o Cuiabá investisse no operário de vg ou mixto estaria melhor servida pois essas duas equipes tem torcidas porém uma péssima adm 😢
Sendo assim venderia como SAF, Cuiabá se for rebaixado esse ano certeza que fecha.",há 1 ano,0,
I.A.V.,há 1 ano,0,
título tá errado estagiário,há 1 ano,0,
Parabéns ao Cuiabá 👏👏👏👍,há 1 ano,0,
Deyverson é ótimo jogador só não tem cabeça,há 1 ano,0,
Huu7,há 1 ano,0,
Huuu,há 1 ano,0,
"Fiquei feliz com Permanência do Cuiabá na Série B Mais uma vez Graças a Deus e ao nosso Palmeirense Deyverson, que Jogou muito Sou Palmeirense, mas torci muito para o Cuiabá ficar na Série A e Para o Deyvinho, que jogou muito essa temporada para manter o Dourado na Série A 💚💚",há 1 ano (editado),0,
o titulo ta errado,há 1 ano,1,
No título tá 2 x 0 para o cuiabá.,há 1 ano,1,
Hhuuu,há 1 ano,0,
Huu,há 1 ano,0,
Y8uu,há 1 ano,0,
"Deyverson mudou o Cuiabá, ajudou muito o time e o Walter depois q voltou de lesão ajudou muito tbm! Mas deyvinho pra bater pênalti não serve kkk tem q ser outro mesmo",há 1 ano,0,
Mentiram pro Deyverson que ele sabe bater pênalti e ele acreditou !,há 1 ano,0,
Parabéns Cuiabá mais se não ganhasse do coxa da licença.,há 1 ano,0,
A indústria e o agro patrocinar esse time par. Ano que vem acorda André e Irai Magi,há 1 ano,0,
a edicao podia ter sido melhor na hora dos gols,há 1 ano,1,
"Gê vc colocou 2 a 0 para o Cuiabá no título, foi 2 a 1.",há 1 ano,1,
 @Thurrah.17.12  esses erros do ge kkk,há 1 ano,0,
"Cuiabá era pra ter caído porque é sem tradição, mas ano que vem eles caem e em último kkkk",há 1 ano,2,
 Patrocinador¹⁹²³㋡  avai e serie c em 2023 vai fazer compania pro figueira,há 1 ano,0,
"Cuiabá passou sufoco mais se livrou e Coritiba nem pra Sul-Americana conseguiu ir, se tivesse ganhado",há 1 ano,0,
"Como edita mal o editor de vocês. Cortando o grito de gol, cortando o gol do Coritiba, informando errado o placar.",há 1 ano,0,
" Patrocinador¹⁹²³㋡  E vai cair de novo, teu time é gangorra cara",há 1 ano,0,
Não,há 1 ano,0,
Qualquer time que tem no uniforme verde se da bem,há 1 ano,0,
"deyverson é ruim demais, meu deus KKKKKKKKKKKKKKKKK",há 1 ano,0,
Deiverson achando que é  Gabriel,há 1 ano,0,1
"Mesmo feliz pela permanecia do Cuiabá, sinto em informar que ano que vem provavelmente o Cuiabá vai cair....ano que vem vai ser porradaria braba entre gigantes",há 1 ano,0,1
Vamo ajeitar esse título estagiário kkkkkk vai ser demitido,há 1 ano,1,
Cuiabá nunca caiu,há 1 ano,0,
Zagueiros medíocres do coxa,há 1 ano,0,
ninguem quer saber de copa,há 1 ano,0,
"Parabéns meu Cuiabá, mais um ano garantido entre os gigantes da série A, orgulho do nosso estado de MT. Porém, é necessário fazer uma alerta: tem que melhorar muita coisa para a próxima temporada, pois com o retorno de clubes tão tradicionais do nosso futebol como Cruzeiro, Grêmio, Bahia e Vasco, a tendência é, se nada for mudado, a queda para a série B ano que vem, por causa do nível de investimento desses clubes que estão subindo com relação ao Cuiabá.",há 1 ano,1,
A foto do vídeo tá 2x1 e o título 2x0 kk,há 1 ano,0,
CUIABÁ 2X1 CORITIBA,há 1 ano,0,
Gigante o goleiro do coxa!! jogou demais,há 1 ano,0,
o Coritiba permaneceu na serie A muito mais por incompetência dos times que estavam a baixo do que por méritos dele pois teve uma campanha muito ruim como visitante.,há 1 ano,1,
2x1 ge????? Kkkkkk,há 1 ano,0,
Gabriel é o melhor goleiro do mundo superou o Daverson,há 1 ano,0,
😘😘😘,há 1 ano,0,
Cuiaba Mato grosso,há 1 ano,0,
"O Cuiabá sempre foi time de 2ª divisão, no Brasil do futebol, Mato Grosso não existe no mapa.",há 1 ano,1,
Foi 2x1. O GE é bem coisa de carioca e paulista noticiar o placar errado.,há 1 ano,1,
"Walter merecia ficar na serie A e ficou, grande goleiro!",há 1 ano,0,
Gabriel é vice dele.,há 1 ano,0,
"Cuiabá tbm vai investir
Tem cacife paga em dia o time",há 1 ano,0,
ué 😂,há 1 ano,0,
Ue foi 2x1 esta 2x0,há 1 ano,0,
Deiverso tem que parar com essas idiotices de ficar arrumando briga se não ele vai acabar parando lá no time de piri piri onde só disputa o amadorsão . Cara burro sô,há 1 ano,0,
