text,time,votes,replies
"Pelos Melhores momentos, qual deveria ter sido o placar do jogo?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos (editado),78,17
esse jhon arias e cano são de outro mundo agora chegou keno vai ficar melhor ainda,há 1 ano,1,
fluminense ganhou dos 2 atuais finalistas da libertadores,há 1 ano,0,
talvez era pra esse jogo ter mais gols,há 1 ano,0,
"O árias joga no nível do Luís dias colombiano do Liverpool,que achando do Fluminense.",há 2 anos,0,
Fluminense lembra o Grêmio em 2016,há 2 anos,0,
"Esse segundo gol foi de Play 2, hein rhshrhs pqp",há 2 anos,0,
Não torço pro fluminense torço pro vasco,há 2 anos,0,
FLU 🇭🇺,há 2 anos,0,
So atleticano mas oq esse Cano tá jogando tu e doido flu tá vindo,há 2 anos,0,
Sou Flamenguista mais com o German cano o Fluminense tá foda,há 2 anos,0,
Se a Argentina leva German Cano pra copa conserteza eles ganham faz muito gol esse cara,há 2 anos,0,
Esse fluminense está Bonito de se ver,há 2 anos,0,
"Esse narrador é muito bom, e melhor trocar o chato do Galvão  por ele na copa.",há 2 anos,0,
"Tem Quem  , voltar  a vilheta  hino do time !!!!",há 2 anos,0,
Grande lucão,há 2 anos,0,
Cano atualmente o melhor atacante do futebol brasileiro,há 2 anos,2,
Teve momentos que eu pensei que o juiz estava no gol e o goleiro do Red Bull estava no meio de campo tentando fazer as jogadas. Parabéns ao Fluminense pela vitória.,há 2 anos,0,
"Do jeito que o Cano está jogando, não duvido dele aparecer na convocação da Argentina pra Copa de 2022, principalmente se ele terminar o Brasileiro como artilheiro, a mídia argentina vai fazer pressão.",há 2 anos,1,
Segura o fusquinha!🇧🇬🇧🇬🏆,há 2 anos,0,
O fluminense tá jogando de mais,há 2 anos,6,
4x0 pro Fluzão,há 2 anos,3,
Fluzão vai ganhar tudo esse ano ✌🏻😎,há 2 anos,3,
Deveria ser goleada do fluminense,há 2 anos,2,
 NÃO CLIQUE NO MEU PERFIL!  sai daí kkk,há 2 anos,0,
" @sheirlianemendes157  sim ""verdade"", menos libertadores, brasileiro e sulamericana",há 2 anos,1,
5x1 Flu,há 2 anos,1,
5 x 1,há 2 anos,1,
 NÃO CLIQUE NO MEU PERFIL!  Fluminense!,há 2 anos,0,
5x1 Fluzão,há 2 anos,0,
4 a 1. FLU,há 2 anos (editado),0,
5x1 Fluminense,há 2 anos,0,
Pra mim o Placar do Jogo deveria Ser Fluminense 3 x 1 Bragantino,há 2 anos,0,
Torço po verdao mas o fluzao tem mais  bola que o cherinho fica na unha do fluzao,há 2 anos,0,
0x0,há 2 anos,0,
Roubaram o Braga,há 2 anos,0,
31X0 FLUMINENSE,há 2 anos,0,
"Fluminense jogou bem o jogo todo, mas precisa acertar esses vacilos defensivos, principalmente da bola aérea estamos levando muitos gols assim, é isso que falta pro time ser um pouco mais consistente, mas fora isso estamos muito bem no ataque.",há 2 anos,1,
Fluminense minha paixão 💚♥️💚♥️,há 2 anos,0,
"Sou Fluminense, estamos jogando um belo futebol, mais não temos elenco para ser campeão.  Minha opinião, nosso banco de reservas ainda é muito fraco.",há 2 anos,0,
Fluminense joga o melhor futebol do Brasil,há 2 anos,0,
Esse time do Fluzão tá um absurdo! Te amo Flu 🇭🇺,há 2 anos,0,
Coisa linda,há 2 anos,0,
FLUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU,há 2 anos,0,
"Ease jogo foi no estádio da cidadania, em Volta Redonda?",há 2 anos,0,
"Olha, sou rubro negro e vim aqui dar os parabéns ao Fluminense que joga hoje, o melhor futebol do Brasil sem dúvida! 🖤♥️",há 2 anos,0,
"o fluminense pode brigar pelo título, está jogando um futebol bonito ,Diniz está mostrando que é um bom técnico.",há 2 anos,0,
"Grande jogo, infelizmente perdemos, más foi uma baita partida!",há 2 anos,0,
Fluminense potência,há 2 anos,1,
Jogo Bom,há 2 anos,0,
O Fluzão tá on 🎹,há 2 anos,0,
"""Fluminense vence o Bragantino com sufoco e defeito do VAR.  Tricolores conseguem a segunda vitória seguida e terminam a rodada pelo menos na terceira posição. Time visitante dá abafa no fim e fica na bronca com arbitragem."" estágiario nem se quer viu a estatistica do jogo, flu só passou sufoco nos 10 min final, e nem foi isso tudo, quando voce for montar a descriçao pelo menos vê o jogo, só olhar as finalizaçoes, teve 3 bolas na traves do flu, e o flu que passou sufoco!",há 2 anos,4,
Segundo gol do Flu só tava quase 1 metro na frente kkkkkkkk,há 2 anos,0,1
Golaço Do Cano,há 2 anos,0,
RUMO AO PENTA E TEM QUE ATURAR !!! FAZ O L NAÇÃO TRICOLOR !!! ST,há 2 anos,0,
Fluminense joga o melhor futebol do Brasil e o Cano é o melhor centroavante do País na atualidade. O placar foi mentiroso era pra ter sido uns 4 x 1.,há 2 anos,3,
"Sou flamenguista, mas rapaz, olho no Fluminense, estão jogando demais",há 2 anos,0,
Vc é doente,há 2 anos,0,
FLUZÃOOOOOOOOO,há 2 anos,0,
VAMOS PELO PENTA,há 2 anos,0,
Esse Arias ta jogando muito e pouco valorizado pela mídia! O Cano é hoje o atacante mais letal do futebol brasileiro! Matador nato!,há 2 anos,13,1
Golaçooo,há 2 anos,0,
espero que o fluzao seja campeão e que valorize o Diniz pois ele é um grande treinador sabe o que faz. espero tbm que o o flu traga mais jogador de qualidade pra que ele possa montar um time bem forte mesmo pois com esse time ainda fica muito difícil pra ele por mais que ele seja um ótimo treinador.,há 2 anos,0,
"Como tricolor desacreditado, eu sempre aposto contra o Fluminense porque, quando meu time perde, pelo menos eu tenho a alegria do retorno financeiro 

Tô ficando sem dinheiro",há 2 anos,1,
"Sou flamenguista, mais o fluminense estar jogando muito , e merece o momento q estar passando, agora aquela entrada q o Felipe Melo deu no cara do bragantino foi muito desleal, era pra vermelho!!",há 2 anos,0,
"Cano joga demais, pena q saiu d meu Vasco",há 2 anos,1,2
O Vasco conseguiu perder um atacante sensacional pro Fluminense... German Cano é letal!👏👏👏,há 2 anos,0,1
Esse cano é matador o palmeiras durmiu no ponto,há 2 anos,1,
Querem ganhar do fluminense? Cruza bola na área. Todo jogo toma gol de bola aérea. A defesa é uma merda,há 2 anos,1,
Cano e Pedro os melhores atacantes do Brasil,há 2 anos,1,2
O famoso time golfinho kkkk já já volta ao seu normal,há 2 anos (editado),0,1
Esse Luan Cândido está jogando MT viu,há 2 anos,0,
🇭🇺🔥🔥🔥🔥🔥,há 2 anos,0,
"Roger flores falou que Fluminense deu mole passou sufoco, tem que lembrar ele que hoje não tivemos tanta sorte, foram 3 bolas na trave e 1 gol impedido. Se desse tudo certo seria 6 a 1",há 2 anos,1,
Q golaço do cano hein bicho !,há 2 anos (editado),1,
"Sou Palmeirense, mas hoje o futebol do fluminense mais equilibrado e bonito de assistir e pelo que esta apresentado é um forte candidato ao título assim como o meu Palmeiras.",há 2 anos,0,
Faz o L,há 2 anos,0,
É bonito ver o Fluminense jogar!!!,há 2 anos,4,
Pouca Mídia e Muito Futebol,há 2 anos,2,
"Vasco não SAF, Vasco já acabou faz tempo",há 2 anos,0,
" @showman3575  O Vascão tá voltando, faltam poucos detalhes p ser oficializado SAF. Não sei qual o seu time, mas no Brasileirão do ano que vem estaremos na série A metendo c@c3te no seu time!!",há 2 anos,0,
Acha que ele ia querer ficar em um time que vive caindo pra série b,há 2 anos,1,
"Que mané Pedro não tá nem na briga da artilharia, cano e calleri",há 2 anos,0,
 @showman3575  é irmão já vir vc não entende muito de futebol não,há 2 anos,0,
Igual seu flamengo né,há 2 anos,1,
"O Arias joga demais, se o Abel tivesse usado ele mais",há 2 anos,1,
"Não precisa ser golaço , mas o Cano quer gol ! Ce ta doido !!  Vai ser o artilheiro.",há 2 anos,2,2
"N entendi, o cartola n deu assistência do árias ?",há 2 anos,0,
Porcaria de VAR,há 2 anos,0,
"Goleiro e juiz com o mesmo uniforme, pode isso Arnaldo?",há 2 anos,0,
Duvido que ninguém sente saudade da música dos gols ser o hino do clube,há 2 anos,2,
"Roubaram o Bragantino, gol impedido",há 2 anos,0,
"O gol do cano foi um gol de placa,lindo toque de bola do fluzao.",há 2 anos,1,
"Que golaço do German Cano. Ele é simplesmente um centroavante nato, faz gol de tudo que é jeito! Torço pelo futebol e espero que ele vá muito longe.",há 2 anos,5,1
"Sou Flamenguistas e admito o Flu ta jogando um futebol impressionante, que trabalho do Diniz 👏👏👏👏",há 2 anos,0,
Faz o L papai,há 2 anos,0,
AQUI É FLUZÃO !!!,há 2 anos,0,
Golaço do Cano!👍👏👏👏👏👏,há 2 anos,0,
"Cano só marca golaço. Acredito que se o Palmeiras der bobeira, o Fluminense pode ser campeão.",há 2 anos,3,1
Paguem as séries B e C seus sem vergonhas!!!,há 2 anos,1,
Paguem as séries B e C seus sem vergonhas!!!,há 2 anos,1,
"Mano, caso o Lautaro, ou o Julian Álvares não teja a disposição pra copa, o cano seria um ótimo substituto mano pprt",há 2 anos,0,
"Cano tá fedendo a gol, credooo.",há 2 anos,0,
Flu🇮🇹,há 2 anos,0,
Melhor futebol do Brasil...🇧🇬🇧🇬🇧🇬,há 2 anos,1,
"Vai ser não, já é",há 2 anos,1,
Ja é artilheiro faz tempo kkk ta se insolando,há 2 anos,0,
Melhor 9 do brasileiro,há 2 anos,0,
Tbm acho,há 2 anos,1,
O Fluminense foi muito bem até a metade do segundo tempo. Aí vieram várias substituições desastradas. Tirar o melhor do time Arias foi um tremendo vacilo. Deixar o Mateus Martins no banco e escalar o Nathan foi outro erro. Depois tirou um lateral pra botar o lento David Duarte...E o Iago por onde anda? Levamos um baita sufoco no final mas felizmente vencemos! Pra cima Fluzão!,há 2 anos (editado),1,1
Que fase tá o cano matador,há 2 anos,0,
Cano todo jogo faz o dele. Desse jeito vai ser artilheiro do campeonato com o dobro de gols do vice artilheiro.,há 2 anos,0,
