text,time,votes,replies
"Fala, torcedor!
Qual time poderia ter levado os 3 pontos?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,82,26
Essa defesa do Gustavo Goméz de cabeça nem van dijk virgil Liverpool faria 😅😅,há 1 ano (editado),1,
"Voltando aqui só pra dizer.
Internacional pipoca e Palmeiras campeão 
Tmj  💚",há 1 ano,0,
"Esse jogo marca o declínio do Palmeiras no campeonato (era para ter perdido de 2 x1), vai perder para o São Paulo,  empatar en casa pra Avaí, perder pro atlético PR,  empatar com Fortaleza,  empatar com Cuiabá,  perder do Cuiabá, América e internacional",há 1 ano,0,1
Sem mundial e bi rebaixado isso é palnanico,há 1 ano,0,
Palmeiras,há 1 ano,0,
Segue o Lider 💚💚,há 1 ano,0,
"Rumo ao Titulo, seremos campeões 💚🏆",há 1 ano,1,
Esse navarro é ridículo o futebol desse cara,há 1 ano,0,
Gomes é monstro,há 1 ano,0,
"Uma grande época para o palmeiras, abraço vindo cá de Portugal, rumo ao título do brasileirão, saudações desportivas, vamoooos porco🐽",há 1 ano,0,
Segue o líder,há 1 ano,0,
Partida muito boa do Renan,há 1 ano,0,
"uma semana de folga e quando entra em campo, fica num misero 1x1  >>>
zaga podre  >>>  esse time vai entregar o brasileirão tambem ???  >>>  osso",há 1 ano (editado),0,
Vamos lutar até morrer seremos campeões vamo inter vamo inter vamo vamo meu inter............,há 1 ano,0,2
Que tirada do Gomes 💚👏,há 1 ano,0,
Tem que colocar o lomba o weverton tá entregando gols demais ele tá c a cabeça na copa.,há 1 ano,0,
Como e que esse cara perde esse gol siow,há 1 ano,0,
OK 👍👌👌,há 1 ano,0,
Como o rato perde esse gol 🫤,há 1 ano,0,
O Arsenal,há 1 ano,3,
"Grande jogo, segui o Victor Fora de casa ☕☕",há 1 ano,0,
​ @joaopaulo05  kkkkkkk verdade,há 1 ano,1,
Palmeiras,há 1 ano,2,
O Atlético merecia ganhar o juiz ajudou o Palmeiras não dando um pênalti claro pro Atlético e absurdo,há 1 ano,6,
Colossalmeiras maior do Brasil,há 1 ano,1,
"Nenhuma, Jogo de Serie C",há 1 ano,0,
 @palzaoterrordananicada2395  Não e nem maior de sp quem dire do Brasil,há 1 ano,0,
Você ainda pergunta? Tive que fazer psicologo pra ver esse jogo de 2 átomos,há 1 ano,0,
Dragão 🐉🐉,há 1 ano,3,
"Parmera empatou na cagada, Atlético jogou bem melhor",há 1 ano,0,
Máquina verde 💚🇳🇬💪🏼,há 1 ano,0,
Futebol hj em dia ta parecendo futebol Society,há 1 ano,0,
Goleada onde? Tá cego? Agradece o gol perdido pelo rato aí,há 1 ano,0,
Jogo de nanicos mais o Atlético Goianiense merecia a vitória,há 1 ano,2,
"KAIANEKAIANEKAÍANEKAIANEKAIANE
KAIANEKAIANEKAIANEKAIANEKAIANE
KAIANEKAIANEKAIANEKAIANEKAIANE
KAIANEKAIANEKAIANEKAIANEKAIANE
KAIÁNEKAIANEKAIANEKAIANEKAIANE
KAIANEKAIANEKAIANEKAIANEKAIANE
KAIANEKAIANEKAKAIANEKAIÁNEKAKA",há 1 ano,1,
Esse time é fraquíssimo... não tem mundial,há 1 ano,1,
O meu Dragão 🐉,há 1 ano,0,
" @joaopaulo05  Segue o LÍDER,o resto é resto....",há 1 ano,1,
Duelo de série B!,há 1 ano,2,
atlético go,há 1 ano,2,
 @gremio2268  Quem fez primeiro??,há 1 ano,0,
 @Allissondesouza_57  Caramba os cara só fala de mundial de bi rebaixado seis não tem vergonha não pq vcs tbm foram reibaixados,há 1 ano,0,
" @internacional7741  Cala boca se nem sabe quem é seu time, prefiro o gremio",há 1 ano (editado),0,
Se o abel nao fosse medroso nos teriamos ganho !,há 1 ano,1,
​ @internacional7741 vim do futuro pra falar q vcs sempre pipoca e o Grêmio ficou na frente de vcs no campeonato brasileiro de 2023,há 6 meses (editado),0,
😂😂😂😂😂😂,há 1 ano,0,
Gayuchada gaylorados c iludi kkkk,há 1 ano,0,
Se lutar e morreu então não vai ganhar 😂😂,há 1 ano,0,
Bom jogo.,há 1 ano,0,
"Cara a cara com o goleiro sozinho... tem que ser muito pé de rato pra perder um gol desses só Gabigol perde gol assim , não é a toa que esse time está tão ruim!",há 1 ano,0,
Com 9 pontos o Palmeiras será campeão.,há 1 ano,0,
O palmeiras empatar com essa bosta do atletico goianiense e uma zebra muito grande,há 1 ano,1,
ATLÉTICO-GO 1X1 PALMEIRAS,há 1 ano,0,
Acho que ja deu a ccta do Navarro. Tem que emprestar esse tora ai,há 1 ano,0,
"É só não perder o foco, rumo ao título brasileiro 🙌🏼💚🏆",há 1 ano,7,
