text,time,votes,replies
❤❤❤😅❤😅❤😅❤😅😅😅❤,há 7 meses,0,
Palmeiras não tem mundial,há 11 meses,0,
Saudades do Veron,há 1 ano,1,
"Torsed,de,olho,na,Net,,,menina,de,cabelo,vermelho,cachinhos,de,pena,,,Londrina,Paraná,,,,,caxinha,,,e,ropa,preta,",há 2 anos (editado),0,
"Torsedores,de,olho,na,Net,,,uma,loira,,,um,casal,,,na,Net,,,Londrina,Paraná,,,vivi,chavier,,,cincau,,,auto,da,boa,vista,,,vigiar,,,",há 2 anos,0,
"Torsedores,de,olho,na,Net,,,vê,na,Net,Cida,tinha,um,cara,andando,,,tinha,uma,veia,,,,avenida,que,passava,o,antigo,ônibus,,,jardim,são,Jorge,,,,Londrina,Paraná,a,Muié,usava,corte,laicra,e,regata,cabelo,preto,curto,manda,o,presidente,passar,a,noite,nas,ruas,",há 2 anos,0,
"Torsedores,de,olho,na,Net,,,navarro,comprar,sítio,com,porteira,para,a,família,,,cachorro,Pit,bul,,,simanda,,,compre,o,terreno,que,eu,do,a,ideia,,👍👍👍👍👍👍👍👍👍🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",há 2 anos,0,
"Torsedores,de,olho,na,Net,,,o,veron,ligar,para,todos,conversem,com,família,se,quiserem,viajar,",há 2 anos,0,
"Torsedores,,,de,olho,na Net,,,o,veiga,vigiar,a,Net,parabéns,veron,,,belo,gol,,,joguei,muita,bola,👍👍👍🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",há 2 anos (editado),0,
Se isso não foi falta não sei mas oq e falta só ótimo do Palmeiras pra ser beneficiado kkk,há 2 anos,0,
"Torsedores,olho,na Net,,,rua,Maria,de,Lurdes,ribeiro,de,Souza,,,Londrina,Paraná,,,presidente,passar,dos,5,lados,,,,olhando,,,hoje,,,verifiquem,selular,dos,5,lados,hoje,",há 2 anos,0,
"Torsedores,,,olho,na,Net,,,são,Jorge,Londrina,Paraná,,,",há 2 anos,0,
"Torsedores,de,olho,na Net,,,rastreem,",há 2 anos,0,
"Torsedores,de,olho,na,Net,,,vivi,chavier,,,sal,eukindi,,,Cincão,,,auto,da,boa,vista,,,da,uma,olhada,na,Net,protejam,o,,,são,Jorge,blokeem,,,digam,coisa,boa,do,jardim,são,jorge,",há 2 anos (editado),0,
"Torsedores,,,de,olho,na,Net,,,tem,cantor,famoso,no,bairro,jardim,são,Jorge,,,Londrina,Paraná,,,conversem,com,eles,,,,pergunte,do,presidente,conversem,com,ele,,,falem,para,o,veiga,mandar,uns,troco,para,ele,,,liguem,para,suas,famílias,avisem,os,jogadores,",há 2 anos,0,
"Torsedores,,,cabo,de,passar,,,duas,morena,do,cabelo,enrolado,,,fala,para,o,cara,do,nossa,senhora,aparecida,achar,elas,e,um,mulekinho,,,,Londrina,Paraná,,,jardim,são,Jorge,,,rua,Maria,de,Lurdes,ribeiro,de,Souza,,,9,horas,40,menutos,,,ligeiro,,,",há 2 anos,0,
"Veron nos te amamos
🌴🌴🌴🌴🌴🌴💚🏆",há 2 anos,0,
"Não vendam o Gabriel Verom ele tem muito talento,e também não  vendam o Giovane  e nem o Hendrik todos  vão  nos dar muitas  alegrias no time principal4",há 2 anos,0,
"Torsedores,,,de,olho,na,Net,rastrear,,rua,,Maria,de,Lurdes,ribeiro,de,Souza,,de,Sima,para,baixo,lá,em,baixo,,duas,morena,,,,Londrina,Paraná,,,bairro,são,Jorge,,",há 2 anos,0,
Despois  da eliminação  lavem  o Porcão,há 2 anos,1,
O time do Palmeiras é fraco. Não ganha mais nada este ano. Um time que numa sequência de Pênaltis perde 5 em 8.... Falta também um treinador.,há 2 anos,0,
Boa Veron!,há 2 anos,0,
Minha semana sempre começa bem quando o Palmeiras ganha 💚🙏,há 2 anos,0,
Palmeiras ganhou do Cuiabayern😏,há 2 anos,0,
Mais uma vitória. Prásima deles porco  Palmeiras verdão  meu time do coração 🏟💚🤍❤⚽️🙏😊,há 2 anos,0,
Ganhar do Cuiabá roubado de 1x0 que orivel continua assim será segundo de novo ou termina campeonato em 4 🙄,há 2 anos,0,
"Moleque joga muito, se não for no Palmeiras, em outro time ele será um dos melhores!",há 2 anos (editado),1,
Robaro o cuiba  foi falta no lance do gol uma vergonha....,há 2 anos,0,
Boa partida do Verdão!,há 2 anos,0,
"Falta clara no Valdívia, foi empurrado nas costas, na cara do Daronco.",há 2 anos (editado),0,
