text,time,votes,replies
Alguem aki depois do 7x1?,há 9 meses,0,1
"É lindo dizer q eu estava nesse jogo , foi meu primeiro jogo no beira rio , foi emocionante",há 1 ano,0,
"sou corinthiano, mas se não fosse seria internacional.",há 1 ano,0,
583,há 1 ano,0,
"Tá feio peixão, oh fase.",há 1 ano,0,
"jogar contra esse atual time  do  Santos é garantir 3 pontos antes de jogar, luto Santos.",há 1 ano,0,
união inter e cruzeiro sempre forte,há 1 ano,0,
"Inter : 2 libertadores, um Mundial, Brasileirão 3, Sula 1, copa do Brasil 1, e tão chamando o inter de pequeno kkkkkkk",há 1 ano,0,
Sinto saudades daqueles autofalantes na beira do campo.,há 1 ano,0,
"Sou palmeirense, mas queria muito ver o Inter vencendo um Brasileiro. Não pode um time dessa grandeza ficar há 43 anos sem vencer um Brasileiro. Neste ano será vice, mas ano que vem, mantendo essa pegada atual, dá sim pra ser Tetra campeão brasileiro. sim 🏆🏆🏆🥈",há 1 ano,1,1
De Pena e Bustos destaques da temporada!,há 1 ano,0,1
Internacional fazendo 1 bom campeonato,há 1 ano,0,
O meu inter tá jogando bonito 🍷❤,há 1 ano,3,
Que time organizado esse do Inter. Parabéns ao Mano e ao clube por conseguir se organizar e mostrar um futebol agradável de assistir.,há 1 ano,2,
luan voltando a jogar bem,há 1 ano,0,
Linda vitória do inter 🐒😉🤙😍👏🇦🇹 venceu o melhor em campo espero ver o inter brigando mais ainda pela ponta e seu rival 🤠🇪🇪acordar da série b e voltar rivalizar um dos grandes clássicos do sul na elite como os velhos tempos tmj galera,há 1 ano,0,
a,há 1 ano,0,
Nem vi o Luan kkkkk,há 1 ano,0,
"Quem fala que joga no beira rio é pressao só Jesus kkkkkkkk , primeiro estádio longe do gramado , segundo torcida do inter muito sem graça",há 1 ano (editado),0,
E insistiram tanto naquele Daniel.....quantas eliminações por causa dele. Eu avisei,há 1 ano,0,
Eu😊,há 9 meses,0,
vlw irmão palmerense,há 1 ano,0,
Nem parece que no início da temporada seguinte eles seriam os piores do elenco,há 1 ano,0,
"Tá acontecendo, vamo colorado!",há 1 ano,0,
Mds que mamação é essa de cruzeirenses e colorados kkkkkkkk que coisa patética,há 1 ano,0,
Luan jogou bem ???,há 1 ano,1,
Prantos só perdem kkkkkkk,há 1 ano,0,
"A linha do impedimento está sendo traçada pelo braço do Moledo ?? Isso não pode ser real, isso só pode ser uma brincadeira de mal gosto, ou eu estou confundindo porque a linha amarela ta no braço do jogador",há 1 ano,0,
"Eu estava lá, que jogo, que espetáculo👏👏
(mas o sol estava de rachar Kkkkk)",há 1 ano,1,
"Olhando só os melhores momentos já me doeu os olhos de ver tanta falha e gols perdidos e chutes horrorosos , fico com dó de quem assistiu o jogo todo .",há 1 ano,1,
"Quero aproveitar p dar os parabns p os cruzeirenses pela volta 👏👏👏👏 Cruzeiro e patrimonio futebolistico nao merecia ta ond tava, e agora vms la raposa👍⚽️    Com relacao ao jogo mais uma lesao d ligamento P.Q.P. Desta vez o Gabriel para 8meses. Em 2020 foram 4 jogadores Guerreiro, Bosquilia, Moledo e Saravia. Kd a santa protetora dos joelhos dos jogadores do Inter🙏🙏",há 1 ano (editado),1,
Quem manda no campo é o juiz deu bandeirinha tão roubando faz tempo,há 1 ano,0,
A máfia do apito ajudou o Santos era pra ser 4a0,há 1 ano,1,
Eu fui nesse jogo,há 1 ano,0,
Ó santos presisar de três craques prá ganhar jogos fáceis que não ganhar um meia de armação um segundo volante é um lateral direito craques mas dois meia de lado de campo direitos é esquerto um ponta nato diblador é um centroavantes por marco Leonardo reserva santista Jaraguá Pirituba,há 1 ano,0,
Inter muito limitado ñ vai alcançar o Palmeiras,há 1 ano,0,
"obrigado a todos os cruzeirenses que vieram aqui reconhecer a grandeza do Inter 
❤💙
maior do Sul e Maior de Minas 
bem vindos de volta a Série A , lugar de onde vcs nem deveriam ter saído",há 1 ano,34,1
Foi maravilhoso. Estava no jogo e bem perto da goleira onde o Inter fez gol!!!! É de arrepiar. Dá-lhe Inter!!!,há 1 ano,12,
"SANTOSSS voltando a ser SANTOSSS!!!!
Soteldo estava de ressaca?
Time não fez uma jogada, onde o goleiro do Inter corresse ""algum"" risco de verdade.
PEIXEEEEEE está muito ruim.
Torcer para não cair. Se, não houver evolução de gestão; não chegaremos a lugar nenhum: nem agora e,  nem no futuro.
Infelizmente!!!!!",há 1 ano,0,
Eu sou gremista e eu gosto de ver o inter com o estado cheio pra levar lapada do Grêmio 💙🖤🤍,há 1 ano,1,
"Força Santos  , luto 😔",há 1 ano,4,
O Inter só jogou o primeiro tempo,há 1 ano,1,
Boa inter,há 1 ano,0,
