text,time,votes,replies
O Manga jamais poderia ter saído do Coritiba 🇳🇬💚💚💚💚💚💚⚽,há 2 semanas,0,
Flamengo,há 7 meses,0,
É ganhamooooooooooo,há 10 meses,0,
Não se preucupe flamengo eu vou descontar la na ilha!!,há 1 ano,1,
Coritiba é série A,há 1 ano,2,
Yes!!! 😍😍,há 1 ano,1,
IMPÉRIO ALVIVERDE,há 1 ano,0,
"Parabéns pela vitória e pela permanência na seri A, Coritiba você é demais,merece até tocar o seu hino em homenagem a sua vitória.",há 1 ano,0,
Da lhe coxa 🇳🇬,há 1 ano,0,
Larga de ser ruim Hugo,há 1 ano,0,
"Mano eu intendo que pela matematica nos tinhamos chace mais agente temos que entende que entender queo palmeras segura esse titulo é o único que os caras vão levar esse ano acredito e o time inteiro do mengao ta siente que mesmo ganhando tudos pameiras leva essa facil pelo time que tem e pela vantagem, entao esse ai pode deixar para eles descansa os nossos titulares para o mundial, ta tudo correto ao meu ver",há 1 ano,0,
"Sou são Paulino,mas sempre gostei muito do Coritiba. Pra voltar a ser forte, precisa reforçar esse time,pois é um time com muita tradição e uma  torcida fanática , não pode deixar o Athletico deslanchar...
O tamanho do Coritiba não é brigar todos os anos para não cair...
É time pra brigar por uma Sul Americana,pelo menos !!",há 1 ano (editado),0,
"Mais uma vez o ex jogador Diego contribuindo com o adversário, que cara ingrato, o Flamengo paga o salário dele e quem ele ajuda é sempre o adversário,",há 1 ano,0,
parabens  vcs mereceram,há 1 ano,0,
Sem varmengo não ganha ne,há 1 ano,0,
"Em uma semana vence do rival em uma final de Libertadores, e na outra recebe uma ""ajudinha"" de tal para permanecer na elite do Brasil... Acho que o torcedor Coxa Branca tem um segundo time favorito esse ano...",há 1 ano,0,
Torcida fantástica  essa do coritiba. ...,há 1 ano,0,
Parabéns pela vitória do Curitiba 👏 jogaram muito,há 1 ano,4,
Obrigado vc é um grande amigo.,há 1 ano,1,
Kkkk perderam pro Curitiba vá se lasca,há 1 ano,0,
Coritiba só ficou porq o Flamengo veio passear com os reservas.cuiaba vai ficar porq o coxa vai passear em cuiaba,há 1 ano,0,
Esse tal de 'Alef manga lenbra o bruno herinque,há 1 ano (editado),0,
João Gomes joga nada kkkkkk,há 1 ano,0,
"Gosto muito do Alef Manga, tem personalidade.",há 1 ano,0,
