text,time,votes,replies
"Eita!! Partida animada 😯
Quem merecia os 3 pontos na tabela?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,31,9
Romero joga muito Avaí 💙💙,há 3 meses,0,
"MANCHA VERDE JUVENTUDE, MANCHA AZUL AVAÍ",há 1 ano,0,
Esse narrador e ótimo,há 1 ano,0,
MX Si 🙏✍️🇲🇽✈️✍️🇲🇽🤬🤬,há 1 ano,0,
"Avaí o famoso ping pong do Brasil, vai voltar de onde não deveria ter saído kkkkk....",há 1 ano,0,
"De vdd Que jogaço, parecem dois times de ponta de tabela... Porém sabe qual explicação pra eles estarem quase rebaixados, e morrerem juntos  abraçados. A ruindade e perebice dos atacantes ñ hora de fazer 1 gol. Qto gol perdido, cada 1 pior q o outro 🤣🤣",há 1 ano,0,
"Que absurdo esse gol anulado do Avaí, parece até palhaçada. Que absurdo esse monte de gol perdido.",há 1 ano,0,
"É uma legitima vergonha o que estes árbitros estão fazendo, jogo após jogo e eles  estão lá e a CBF vendo e ninguém faz nada, vão rachar uma lenha.",há 1 ano,0,
"Esse jogador do Juventude Chico Kim jogar muito  ,ele tem dupla Nacionalidade nasceu no Brasil 🇧🇷mas os pais são  da Coreia do Sul,se Naturalizou Coreiano🇰🇷e vai defender a Seleção Asiática nessa Copa 2022 .Queria vê ele jogar na Canarinha.",há 1 ano (editado),3,2
O Juventude nunca será Profissional 🤣🤣,há 1 ano,0,
"Juventude e Avaí morrendo abraçados, não tem jeito.",há 1 ano,2,
Que jogo bom,há 1 ano,0,
Vai Corinthians,há 1 ano,0,
2 time ruim tem que cair abraçados mesmo kkkkk,há 1 ano,1,
Jogaço⚽️🥇🥇,há 1 ano,0,
Avai foi prejudicado novamente!,há 1 ano,0,
O VAR prejudicou o Avaí 😠,há 1 ano,1,
Garfaram o avai bonito em,há 1 ano,0,
Que impedimento foi esse??,há 1 ano,0,
Juventude,há 1 ano,3,
Ninguém,há 1 ano,0,
Absolutamente ninguém,há 1 ano,0,
Ninguém,há 1 ano,0,
Fgç,há 1 ano,0,
Quem Merecia os 3 Pontos era o Juventude,há 1 ano,1,
Avaí,há 1 ano,1,
AVAI,há 1 ano,0,
Avai se não fosse o roubo,há 1 ano,0,
O Isidro pitta também é bom,há 1 ano,1,
" @akameskywalker554  É mesmo ,espero que ele fique na próxima Temporada no Time.",há 1 ano,0,
Bissoli e P. Raul no timão,há 1 ano,0,
Classico  da  B  2023,há 1 ano,0,
