text,time,votes,replies
"E aí, torcedor, o que achou da partida? Quem fez o gol mais bonito? 

🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,188,53
Usuuu!!! 😍😍,há 1 ano,1,
"Acho que o ano 2023 é do cebolinha, aposto que ele vai jogar demais",há 1 ano,0,
É  FLAMENGO,há 1 ano,0,
Hugo fazendo merda direto,há 1 ano,0,
Quero quê epate coloquei dinheiro prá epate,há 1 ano,0,
Cebolinha evoluindo a cada jogo 👏👏 Bora Mengão trazer essa Liberta sábado 🏆💪,há 1 ano,5,3
Vai lá flamengo e agora ao vivo mesmo,há 1 ano,1,
"Esse cara Chatão no final : Gol... Que mala, hein??? Vamos atualizar Ge",há 1 ano,1,
Flamengo,há 1 ano,0,
Krl q defesa do Hugo goleiro promissor,há 1 ano,0,
"imagina proximo ano, 2023, mengao com BH Voando, cebolinha na melhor fase , gabi 2019 , pedro, ER7 e arrascaeta …. mengao imparável , 2023 vao levar todos os títulos possiveis heheh",há 1 ano (editado),1,1
"Esse jogo foi tão emocionante quanto esses melhores momentos. Bora melhorar pq tá horrível, é tanto corte que só a misericórdia. Se eu assisti 1 minuto de melhores momentos foi muito 🤦🏻",há 1 ano (editado),0,
"Cebolinha hoje, Ajuda mais o grupo, que gabigol. Gabriel não vem bem, está jogando com o nome.",há 1 ano,0,
"Já reparou que marinho cobra escanteio melhor que uns titular , já teve 4 gol de escanteio com assistência dele",há 1 ano,1,
Cebolinha gol título da libertadores 2022,há 1 ano,0,
vocês preferem o Diego Alves ou Hugo,há 1 ano,1,
Matheus frança e promessa,há 1 ano,0,
Esse hugo peteca é uma carniça dd🤦🏻‍♂️ goleiro do nonato 🤦🏻‍♂️🤦🏻‍♂️,há 1 ano,0,
❤🖤,há 1 ano,0,
ROUBARAM O FLAMENGO MAIS UMA VEZ,há 1 ano,9,
Tem que fazer isso com o Atlético retranqueiraense,há 1 ano,9,
"CBF REGRAS
1º Quando o adversário fizer um gol contra o varmengo anular imediatamente.
2º  Só o Varmengo pode usar os braços pra fazer um gol.
3º Dar pênalti pro Varmengo mesmo sendo irregular.",há 1 ano,5,
Corinthians vice😂,há 1 ano,9,
 @joaomarcelo933  Meu vice kkkk,há 1 ano,9,
Varmengo só no apito amigo,há 1 ano,0,
 @joaomarcelo933  meu vice 🤏,há 1 ano,6,
 @cruzeiro3383  bruzeiro MT NANIQUINHO,há 1 ano,2,
 @internacional7741  url,há 1 ano,1,
"Sou do inter, mas o gol mais bonito foi o do cebolinha de certeza",há 1 ano,2,
Varmengo sendo varmengo,há 1 ano,0,
Pre a libertadores desse jeito América kkkkkkk,há 1 ano,1,
 @internacional7741  o Palmeiras tá ganhando meu mano tá sonhando ainda kkkkkkk?,há 1 ano,1,
"​ @joaomarcelo933  CBF Corinthians regras

1° quando tiver gol do flamengo anular mesmo não sendo irregular,

2° dar escanteio e faltas pro Corinthians sendo que não foi falta 

3° se o Cássio tava adiantado no pênalti? deixa não anular a defesa",há 1 ano,3,
"GE é pra fazer rir? não tem graça nenhuma esses ""humoristas"" no fim dos vídeos. 🤦🏻‍♂️",há 1 ano,2,
👃,há 1 ano,0,
Varmengo só roubando,há 1 ano,0,
​ @cruzeiro3383  cala boca série b,há 1 ano,1,
​ @corinthians9408  meu vice,há 1 ano,2,
​ Rafa  roubado foi o flamengo freguês,há 1 ano,2,
 @palzaoterrordananicada2395  oi freguês,há 1 ano,2,
Cebolinha,há 1 ano,1,
" @joaomarcelo933  Chora 😭😭😭
Pendeu a final 🤣🤣🤣",há 1 ano,0,
 @Justiceiro27  🤣🤣🤣,há 1 ano,0,
 @Andreluiz96312  🔥,há 1 ano,0,
 @palzaoterrordananicada2395  mundial 🤔🤔🤔,há 1 ano,0,
 @corinthians9408  Corinthians sendo vice,há 1 ano,0,
 @DIEGOSPFC919  sim,há 1 ano,1,
"Flavar entrou em ação mais uma vez, já é normal isso",há 1 ano,1,
 Rafa  👃🅱🅱🅱🅱🔥💩🔥💩🔥💩🔥,há 1 ano,1,
 @joaomarcelo933  Chorintias freguês do Flamengo,há 1 ano,1,
 @joaomarcelo933  Chola mais,há 1 ano,0,
Varmengo não tem estádio,há 1 ano,0,
Foi boa partida e foi o cebolinha 👍,há 1 ano,0,
 @joaomarcelo933  vice,há 1 ano,1,
 @isaquemartins1110  Seleção precisa de estádio???,há 1 ano,2,
Se olha 😋🤤,há 1 ano,0,
vamos mengâo,há 1 ano,0,
​ @joaomarcelo933  será que o cúrica foi campeão da copa do Brasil,há 1 ano,0,
 @joaomarcelo933  kkkk chora mais pq se o Flamengo fosse ajudado mesmo nem precisaria de pênaltis ia ser 3X1 Flamengo 🤣🤣🤣🤣  se quisesse que o Flamengo fosse ajudado o sofrimento seria maior pra vcs kkkk 🤣🤣🤣🤣,há 1 ano,3,
 @joaomarcelo933  calma o Corinthians e vice,há 1 ano,3,
Yu,há 1 ano,0,
"​ @joaomarcelo933  chorando muito, se conforme com o G4 tá bom demais kkk",há 1 ano,0,
" @Andreluiz96312  pensei que ninguém ia falar isso, mais é chato pra caramba. Eles colocam esses novatos e pagam um salário bem inferior aos antigos âncoras esportivos.",há 1 ano,0,
 @joaomarcelo933  VICE?,há 1 ano,0,
C:\Users\Public\Pictures\alguém2.png,há 1 ano,0,
 @victordec  cala a boca assista e aprenda com o mengão a como ganhar do america mineiro,há 1 ano,1,
"000000000000s koiiú
1",há 1 ano,0,
"​ @isaquemartins1110   A desculpa dos torcedores são essa agora, já que não tem argumento pra falar do flamengo, e outra depois do estádio ser construído qual vai ser a próxima?",há 1 ano,0,
"​ @palzaoterrordananicada2395   Kkkkkkk palmeirense falando ""cheirinho"" vcs estão jogando só o brasileiro desde a metade da temporada 🤣🤣🤣",há 1 ano,0,
Achei legal o pato rouco no final do vídeo kkk,há 1 ano,0,
 @joaomarcelo933  Rodo p nois   🔴🥇,há 1 ano,0,
Cebolinha,há 1 ano,0,
Meu palpite vai ser Flamengo 1 x 0 Athletico  PR na final da libertadores,há 1 ano,0,
 @torcedor2737  acertou,há 1 ano,0,
 @rhyan1384  valeu amigão por me lembrar foi um chute 😉👍,há 1 ano,0,
É capaz mesmo hein,há 1 ano,0,
Esqueceram de falar de nosso golerao Neneca monstro 2 defesas muito importantes .,há 1 ano,1,1
Cebolão aos poucos tá voltando jogar bem.,há 1 ano,1,1
Lance contra o Flamengo o Var chama. A favor o Var nem existe. Lance parecido contra o Atlético paranaense,há 1 ano,0,
"O Flamengo precisa muito de outro goleiro ,pq ter o Hugo como opção ,pode custar caro .",há 1 ano,1,
Hugo pegou muitoooo e que defeszasaaa,há 1 ano,0,
Cebolinha jogo muito é estamos quase prontos para final vamos com tudo,há 1 ano,0,
Escanteio do marinho é muito bom mn slk,há 1 ano,3,1
E uma vergonha esse América dentro de campo....como pode perder pros reservas dos reservas do flamidia dentro de casa e uma vergonha total.....desrespeitando e decpcionando a torcida dentro de casa.....que isso sooo....se continuar assim nao vai nem conseguir uma vaga na sul americano do ano que vem.....diretoria sem nocao.....renovando contrato de jogadores com fim de carreira .....felipe Azevedo.....ale....everaldo e Henrique almeida ja estao em final de carreira chega desses jogadores vamos bucarmos opisoes diferente......fora diretoria fora Mancini.....,há 1 ano,0,
"Juis roubado, roubando mais uma vez no jogo do flamengo mais graças a deus que deu tudo certo e na minha opinião não só o cebolinha mais também o Matheus frança estão evoluindo bastante",há 1 ano,0,
Gugo pe de rato,há 1 ano,0,
Os caras ainda falam que a arbitragem favorece o flamengo kkkkkk É brincadeira.,há 1 ano,1,
hugo moura por favor vá embora,há 1 ano,0,
Que partida sensacional dessa garotada🦩🇦🇴😉😱 do meu rival está de parabéns avisa ai ano que vem tem o clássico dos milhões gigante da colina🚆💢 vs mengão🦩🇦🇴 fico muito feliz de rever essa rivalidade histórica de volta a 1 divisão depois de 2 anos sem o melhor clássico da minha infância tenho primos rivais cmg sempre desci os 10 anos de idade nois adoramos vasco e fla dentro de campo esse clássico tem uma grande importância pra minhas gerações que vi jogos memoráveis curti muitos anos de 2000 a 2016 tivemos belíssimas partidas que ficou gravado na memória e na história do esporte,há 1 ano,0,
"Quando é que os zagueiros vão ter o contra-tempero do cebolinha?! Ajeita pra direita pra chutar,e não aparece um pé adversário pra evitar. Ja ví varias ele fazer vários gols assim.",há 1 ano,1,
Tá provado! O Marinho é o melhor batedor de escanteio do Flamengo.,há 1 ano,2,
"Olha os reservas do flamengo, marinho e cebolinha kkkk.",há 1 ano,0,
O América tá um time bom da febi viu,há 1 ano,0,
"misericórdia no Hugo Neneca , só Jesus .pq não colocou o Diego Alves",há 1 ano,0,
Defesassa no Hugo tb,há 1 ano,0,
"Marinho brabo como sempre. 12° jogador em qualquer time, incendiar jogo",há 1 ano,1,1
Esse goleiro Hugo é muito bom goleiro,há 1 ano,0,
Flamengo 1 x 0 Athletico PR na final da libertadores,há 1 ano,0,
"Verdade amigo, meu palpite Flamengo 1 x 0 Athletico PR na final da libertadores",há 1 ano,1,
Esse marinho é um craque de bola,há 1 ano,0,
"Eu sou Cruzeirense, mas gosto de ver o América levando ferro kkkkkkkkkk esse timinho de merda , metido a grande só joga bola contra o Cruzeiro , é por isso que eu tenho mais raiva dele que do Atlético.",há 1 ano (editado),0,
"Mano, esse Hugo Souza seria um ótimo goleiro de série C",há 1 ano,0,
"O ano que vem a serie A sera mais dificil com Cruzeiro, Vasco e grêmio subindo se o América MG não melhorar sua equipe vai cair de novo, ja é a terceira derrota seguida jogando no independência. Que liguem o sinal de alerta.",há 1 ano,0,
Mito 2022,há 1 ano,0,
"Passa o tempo e esse  Hugo consegue piorar, ô rapaz fraco.",há 1 ano,1,
Esse Hugo é ruim te doido,há 1 ano,0,
Llll.ll7pqq0pppppppp8pppppq0880o.9¥9(9(000*£*££,há 1 ano,0,
"Matheus França parecia uma flecha atacando no primeiro pra fazer o gol , ninguém nem viu. q time reserva nossa",há 1 ano,0,
Bora Flamengo 🟥⬛🙅🏾‍♂️🙅🏾‍♂️,há 1 ano,1,1
Que BOLÃO que o FLAMENGO está jogando esse ano caralho parabéns FLAMENGO,há 1 ano,1,2
Hugo não me transmite confiança.,há 1 ano,0,
Isso aqui é Flamengo,há 1 ano,0,
Flamengo jogou o suficiente pra vencer . más senti falta de jogo no 2°tempo,há 1 ano,1,3
Como tem gente que fala que o var benefícia o Flamengo tão de sacanagem,há 1 ano,1,
Flamengo ganhou a copa do Brasil apareceu um monte de torcedor kkkk torcida terceirizada do caralho,há 1 ano,0,1
Sou flamenquita  vi o jogo  esse time  reserva do flamengo  e uma bosta  muito  ruim,há 1 ano,0,
Hugo é um desastre com os pés. 🤦‍♂,há 1 ano,1,
Hugo..em ótimo desempenho...parabéns,há 1 ano,0,
Cebolinha  pego a senha já era . Marinho tbm tá foda.  ❤🖤🔥🔥🔥🔥,há 1 ano,0,
Fala tanto de varmengo q ano passado e esse ano e olho esse lance,há 1 ano,0,
Flamengo 1 x 0 Athletico PR na final da libertadores no sábado,há 1 ano,0,
Eu espero que seu Flamengo jogue esse bolão na final da libertadores no sábado e seja campeão pois vou torcer para o Flamengo ser campeão da libertadores ❤👍,há 1 ano,0,
 @torcedor2737  AMÉM,há 1 ano,1,
Flamengo 1 x 0 Athletico PR na final da libertadores,há 1 ano,1,
 @torcedor2737  será?  eu aposto em 2×0,há 1 ano,1,
 @lucasfernandes6648  ok,há 1 ano,0,
N sei da onde! Ou vc está inventando,há 1 ano,1,
Cebolinha joga muito,há 1 ano,0,
Diego Alves deve ter ficado muito puto ao não jogar 🤣já que ele segundo goleiro.,há 1 ano,0,
Rapaz e o cebola hein melhorando a cada jogo!!👏👏,há 1 ano,0,
Não foi mão? Depois quando acontece em jogos decisivos vira polêmica e dizem que o Flamengo é ajudado. Parabéns a garotada pela vitória 👊🏽,há 1 ano,1,
na moral bicho kkkk esse Hugo é uma porcaria como goleiro,há 1 ano,1,
Hugo quase n tem chance e quando tem vacila,há 1 ano,1,1
Fico imaginando uma formação com o cebola em uma ponta e o Bruno henrique na outra,há 1 ano (editado),1,
"UM ATAQUE, COM MARINHO, CEBOLINHA E PEDRO 🤌🏽🤦🏽‍♂️♥️🖤",há 1 ano,1,
"Os escanteios cobrados pelo Marinho são perfeitos. Primeiro pau, fechado e rápido.",há 1 ano,1,
Como um cara desse nível se sujeita a ser reserva. Cebolinha é muito trouxa. Até o Marinho merece tituralidade. Os caras se humilham.,há 1 ano,0,
Ue mas o var com bola na mão deixou o gol? Será que vai ter reportagem uma semana? Ou só quando é pro flamengo,há 1 ano,0,
Esse escanteio do marinho é quase um tiro kkkk parece que chutou pro gol,há 1 ano,1,1
Esse hugo é foda,há 1 ano,0,
Esse hugo virou zagueiro.,há 1 ano,0,
+3 pontos 🖤❤🖤❤💪🏻,há 1 ano,2,1
Hugo fez um milagre,há 1 ano,0,
"America jogou muito, Parabéns ao coelhão",há 1 ano,2,1
Esse neneca é fogo,há 1 ano,1,
"Não sei se perceberam, mas gol de escanteio é mais provável quando o Marinho bate o escanteio.",há 1 ano,0,
Flamengo time bilionário ninguém pega meu mengao estamos em 3 lugar mais 40 milhões para nosso cofre,há 1 ano,1,
Vc viu essa parte 2:19?,há 1 ano,0,
Eu também acho,há 1 ano,1,
Parabéns ao Flamengo pela Vitória e ajudou o São Paulo,há 1 ano,1,
Verdade amigo ainda o Everaldo perdeu um gol,há 1 ano,0,
Cebolinha isto que estamos esperando de vc cara bola continua redonda. Só falta vc volta jogar de novo .futebol vc tem de sobra,há 1 ano,0,
"Que isso!!!!!!cebolinha esta voando em campo, que golaço, alo Tite..",há 1 ano,1,1
jogaaço⚽️🥇🥇,há 1 ano,0,
Marinho bate escanteio bem demais.,há 1 ano,0,
Cebolinha crescendo... ótima vitória!!!! 🔴⚫️👏🏻,há 1 ano,8,1
O que esse time perdeu de gol ontem não é brincadeira,há 1 ano,1,2
O Hugo é muito ruim kkkk,há 1 ano,1,
Assim que se faz fluminenC,há 1 ano,0,
O hugo é ruim dmsssssss,há 1 ano,0,
Cebolinha está começando a se encaixar no time 🙏♥️🖤♥️🖤,há 1 ano,1,1
O Hugo tá melhorando ♥️🖤,há 1 ano,2,3
"Essa cara não tem condições de ser goleiro do Flamengo, nem de estar nesse elenco.",há 1 ano,0,2
Cebolinha colocando outro time de Minas no Chinelo 🧅,há 1 ano,2,1
"Tai toma esse golaço, deixa ele puxar pra dentro, Cebolinha tá evoluindo",há 1 ano,0,
"Não anular esse gol do Coelho é brigar contra a imagem. É melhor fazer igual a Inglaterra, nem chama no VAR, pq causa muita estranheza... WP9 estava igual o Cristo Redentor de braços abertos",há 1 ano,1,
"Que cruzamento do marinho,e meio gol bem dizer👏💪💪",há 1 ano,4,
Oi,há 1 ano,1,2
"Quando os defensores aprenderem a marcar a jogadinha conhecida de abre e bate do cebolinha,pronto... já e éra o cara. 
Não é possível o cara desfilar na área",há 1 ano,0,
Gosto do futebol do cebolinha,há 1 ano,0,
Marinho bate escanteio bem demais.,há 1 ano,0,
Esse cebolinho joga muito hein,há 1 ano,0,
Amigo esse gol que ele fez me lembrou do gol que ele fez contra o São Paulo foi o primeiro gol dele pelo Flamengo,há 1 ano,0,
Flamengo 1 x 0 Athletico PR no sábado,há 1 ano,0,
 @torcedor2737  que deus te ouça,há 1 ano,1,
Verdade amigo,há 1 ano,0,
Tomara que ele cresça mais e mais como goleiro eu estou torcendo muito para ele ...,há 1 ano,1,
" @torcedor2737  eu tbm, por causa que ele é muito grande",há 1 ano,1,
 @torcedor2737  tô vendo ele melhorando,há 1 ano,1,
Tinha o Diego Alves no banco que é mil vezes melhor Mais Dorival preferiu o hugo,há 1 ano,0,
" @jhonhex2660  O Diego Alves não é tão bom igual antigamente, ele já ajudou dms o Flamengo, e outra coisa, vc viu essa defesa do Hugo 2:19?",há 1 ano,0,
Flamengo 1 x 0 Athletico PR na final da libertadores,há 1 ano,0,
Oi campeão 👍,há 1 ano,0,
Parabéns pelo título da copa do Brasil 👏👏👏,há 1 ano,0,
Bife acebolado neles,há 1 ano,0,
Fui no Independência. Tinha quase o dobro de flamenguistas no estádio.,há 1 ano,0,
saída errada de Hugo de novo,há 1 ano,0,
Tapão do Cebolinha,há 1 ano,1,1
"Cebolinha vai decidir  a libertadores  ou o mundial para o Flamengo anotem..ele decidia para o grêmio, 2016 decidiu copa do Brasil para grêmio  contra Palmeiras, mundial levou o gremio para final, se o Flamengo recupera  o futebol deste mlk vai ter um jogador nível mundial, ele tem muitos dribles e coisas diferentes, que não sei o pq ele esta evitando a 2 anos fazer oq sabe, eu acho que é alguma desconforto ou alguma injeção que prejudicou ele ainda no grêmio, mais ele esta voltando 👏",há 1 ano,1,
Isso aí meu mengo,há 1 ano,0,
Hugo pego MT,há 1 ano,0,
Marinho bate muito bem escanteio,há 1 ano,1,1
E nois flamego,há 1 ano,1,
o neneca no primeiro gol do america pulou jogando o braço pra trás kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,há 1 ano,0,
Cebolinha tá jogando bem,há 1 ano,1,1
Agora o Flamengo tem dois pontas que chutam muito 😂,há 1 ano,1,1
Matheus França vai se tornar um excelente jogador. Quantos jogadores a gente viu surgir assim no Fla ? o garoto acabou de subir e ja marcou 5 gols na temporada. Levando em conta que ele ainda vai evoluir fisicamente e adquirir mais experiencia de jogo esta sendo uma temporada excelente de afirmacao para ele nos profissionais. Eu deixaria ele jogar todos os jogos do brasileirao esse ano e o campeonato carioca ano que vem,há 1 ano,0,
Esse Matheus França é muito bom. Pode ser craque no futuro,há 1 ano,1,
Vamooossss🔴⚫️,há 1 ano,2,1
"cara tem como o Flamengo vencer o atlético PR na final e o real madrid é só marca os cara ,fecha a zaga , o meio campo e o ataque atacar com intensidade e manda bomba pro gol aí o frangueiro do cortua não pega nunca",há 1 ano,2,
"Cebolinha vai jogar muito ainda no flamengo,vai ser uns dos melhores.",há 1 ano,1,1
"Ainda flamengo insiste com esse Hugo,ô goleirinho ruim, prefiro Diego Alves.",há 1 ano,0,
Hugo não da confiança,há 1 ano,1,1
"sou gremista, e fico feliz ver cebolinha crescendo 👏👏",há 1 ano,1,
"Esse cebolinha joga demais amigão é um desperdício esses jogadores como cebolinha, Dudu não irem para a copa do mundo",há 1 ano,0,
Esse marinho é muito bom jogador,há 1 ano,0,
Esse cebolinha é um craque de bola né,há 1 ano,0,
Verdade amigo,há 1 ano,0,
Tomara que o Flamengo seja campeão da libertadores,há 1 ano,0,
Concordo com você,há 1 ano,0,
Um dia ele vai ser o melhor goleiro,há 1 ano,0,
Cebolinha tá pedindo vaga no time titular hein kkk,há 1 ano,1,1
Tem agradecer a Deus só de estar aí,há 1 ano,1,1
Deus é lindo sempre amém🙏❤️,há 1 ano,1,1
👃👃👃👃👃👃,há 1 ano,0,
"Mds q sdd do cebolinha no Grêmio.. ele fazia muitos gols assim de puxar pro lado e chutar, fazia golaços, geralmente de fora da área",há 1 ano,0,1
A diferença entre o @flamengo é os outros time não reclamou de ninguém como disse o Dorival na entrevista coletiva somos tetracampeão da copa do Brasil e como visitante esgotamos o ingressos em todo o Brasil parabéns nação rubro-negra,há 1 ano,0,
Sou São Paulino e confesso que estava torcendo pro Flamengo ganhar mais é pro bem do São Paulo,há 1 ano,3,1
Que golaço esse do cebolinha.. vitória importante simmm,há 1 ano,0,
AMÉRICA-MG 1X2 FLAMENGO,há 1 ano,0,
Faltou o Varela é o pulgar ai sim fica bom.,há 1 ano,0,
que defesa do Hugo cara,há 1 ano,2,1
flamengo é uma MERDA ESSE TIME QUE SÓ TEM MÍDIA e é uma MÍDIA SUJA e PODRE,há 1 ano,0,
Cebolinha parece que tá ganhando confiança,há 1 ano,0,
Vcs viram ae Hugo fez uma defesa muito difícil no último lance do jogo,há 1 ano,0,
hugo peteca solta cada bola que o santos encaixaria com uma mao,há 1 ano,0,
"Erram gols demais. Pqp, mas tá bom 🖤❤🖤❤🖤",há 1 ano,1,1
Jogar muito evento cebolinha,há 1 ano,0,
Q Goleiro Fraco esse do Flamengo mano,há 1 ano,0,
Que defesa do Hugo no final.,há 1 ano,1,2
Cebolaaaaaaaaaaa,há 1 ano,0,
Esse merece ser titular do Flamengo,há 1 ano,1,
Amém 🙏,há 1 ano,0,
Amém 🙏,há 1 ano,0,
Ele está mais feliz no flamengo,há 1 ano,0,
Eu também amigo esse resultado ajuda o São Paulo,há 1 ano,0,
Foi uma defesaça do Hugo,há 1 ano,0,
Meu palpite vai ser Flamengo 1 x 0 Athletico PR na final da libertadores,há 1 ano,0,
