text,time,votes,replies
"Joga muitoo! 😎 E aí, qual gol do Réger Guedes foi o mais bonito?
🌟 Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,403,113
Saudades de um ponta descente...,há 6 dias,0,
Opaaaa,há 7 meses,0,
ㅤ,há 8 meses,0,
eo pênalti em 2020/2021,há 1 ano,0,
"Os times que eu torço
1º Flamengo
2º Grêmio
3º Avaí",há 1 ano,0,
Aquela Vitória Para Enganar Os Trouxas Dos Corintianos KKKKK,há 1 ano,1,2
uduruiuúruruujjujeirruururuuduruuur7uuuuuututrruruururururututuuruiru ufiruuruuruuuuuduuruuyurbyryrur uufu🖤⬛⬜🤍🎊🎉,há 1 ano,1,
Du Queiroz já é idolo,há 2 anos,0,
"OBJETIVO 2023: Ter time que saiba chutar e marcar gols, esse ano já era.  Hoje a porcada abre 6 pontos , copa do brasil e libertadores já foram também. MARCAR GOLS É PRECISO !",há 2 anos,0,1
SE O CALVO JOGAR ASSIM TERçA FEIRA VAI DA BOM,há 2 anos,0,
AVA,há 2 anos,0,
CORINTHIANS Aĺ,há 2 anos,0,
Qlqlwlwl2k2k2k22k2k2k😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡💔😡🤣💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔💔😭😭😭😭😭😭😭😭😭😭😭😭😭,há 2 anos,0,
avaiman,há 2 anos,0,
"Roger Gedes,  o melhor do time !!",há 2 anos,2,
💙 amor vai para cima deles,há 2 anos,0,
Eu estava aí 🖤🤍,há 2 anos,0,
vai corinthians quanha,há 2 anos,0,
2022,há 2 anos,1,
"Segue o líder, cadê o palmeiras na tabela 😎?",há 2 anos,24,
CORINTHIANS TIME PEQUENO,há 2 anos,6,
CORINTHIANS NUNCA TER A A GRANDEZA DO PALMEIRAS,há 2 anos,4,
 @coringaokg4976  Corinthians só tem idoso no time amigo,há 2 anos,3,
"CORINTHIANS É UMA PIADA, SÓ GANHA ROUBANDO",há 2 anos,0,
Always Ready 2 x 0 GAMBÁS 🤣,há 2 anos,3,
Corinthians é time pequeno amigão,há 2 anos,3,
Roubando até minha vó ganha curinthia ladrão,há 2 anos,3,
"CORINTHIANS NÃO TEM TRI DA LIBERTADORES, MENOR DE SP",há 2 anos,2,
" @palzaoterrordananicada2395  Apenas 1, já é melhor que muitos times ai.",há 2 anos,2,
 @pulguentobonzinhoha21anosa45  Roubamos onde amigos?,há 2 anos,3,
SEGUE O LÍDER 🏁🏁 CORINTHIANS PAULISTA 1910,há 2 anos,9,
 @rodriguinho.4365  S.E.PIADA BI REBAIXADO SEM MUNDIAL TIMINHO MINÚSCULO NUNCA SERÃO 😭🐽,há 2 anos,8,
 @rodriguinho.4365  sem mundial kksksks único de sp sem mundial orrivel,há 2 anos,10,
 @rodriguinho.4365  time que disputa contra Goiás ksksksksk,há 2 anos,10,
O 1 gol de roger guedes foi bonito,há 2 anos,5,
Segue o líder caladinho kkkkk,há 2 anos,3,
" @rodriguinho.4365  PALMEIRAS NÃO TEM MUNDIAL, NÃO TEM SUPERCOPA, PERDEU DE 7X2 PRO VITÓRIA, 6X2 DO MIRASSOL, 6X0 DO CORITIBA, 6X0 DO GOIÁS, 5X1 DA CHAPE 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 LUAN ÍDOLO DAS PEPPAS, ENTREGOU 2 MUNDIAISKKKKK",há 2 anos,10,
 @rodriguinho.4365   cadê o Palmeiras sem mundial kkkkk vixiii sou Corinthians até o fim e,há 2 anos,2,
Réger não kk,há 2 anos,0,
