text,time,votes,replies
"Fala, galera! O que acharam das atuações dos times?",há 2 anos,80,51
Boa meu Série B 2024 Ceará 🖤🖤,há 3 meses,1,
Lisca por favor como pode perder tanto gol assim TEM QUE TREINAR FINALIZAÇOES....TEM QUE TREINAR FINALIZAÇOES....,há 1 ano,0,3
Como pode perder tanto gols assim...TEM QUE TREINAR FINALIZAÇOES....TEM QUE TREINAR FINALIZAÇOES....,há 1 ano,0,
TEM QUE TREINAR FINALIZAÇOES....TEM QUE TREINAR FINALIZAÇOES....,há 1 ano,0,
TEM QUE TREINAR FINALIZAÇOES....TEM QUE TREINAR FINALIZAÇOES....,há 1 ano,0,
TEM QUE TREINAR FINALIZAÇOES....TEM QUE TREINAR FINALIZAÇOES....,há 1 ano,0,
TEM QUE TREINAR FINALIZAÇOES....TEM QUE TREINAR FINALIZAÇOES....,há 1 ano,0,
Santos parou de existir faz anos,há 2 anos,0,
E  UMA  VERGONHA O  CEARA  ESTA   NA  SUL  AMERICANA  E O FORTALEZA NA  LIBERTADORES,há 2 anos,0,
O puxão do jogador do Santos foi mais intenso que tirou o jogador do Ceará do lance. Falta clara. Não há o que reclamar. Segue o jogo e anula o gol!!!!,há 2 anos,0,
"Se não ganhar o próximo jogo , que é clássico contra o Palmeiras no Brasileirão DESISTE",há 2 anos,0,
Oque eu achei tá uma porcaria os dois times não jogaram nada,há 2 anos,0,
Santos tá uma vergonha vai cai fora da copa do Brasil,há 2 anos,0,
Santos são Paulo e Corinthians e Palmeiras não vão ganha nada,há 2 anos,0,
Juiz de ano tão roubando,há 2 anos,0,
Santos pode esquecer de título este ano pq cm esse time vai cai pra segunda divisão do brasileiro,há 2 anos,0,
inacreditável não mostrar o cartão vermelho,há 2 anos,0,
Domigo não tô cumedo do palmeiras to cumedo do juiz cbf só tei safado,há 2 anos,0,
"Sou corinthiano mais meteram a mão no Santos os dois jogadores se puxam e o juízo escolheu dar a falta para um time, OS DOIS SE PUXAM, UMA VERGONHA ESSA ARBITRAGEM BRASILEIRA",há 2 anos,0,
Juiz roubou o Santos e prejudicou o Ceara.Péssimo,há 2 anos,23,
Acabou o gás desse timeco do Santos KKKKKK,há 2 anos,3,
O maldito Var sempre roubando o Santos bando de ladrões,há 2 anos,0,
Santos roubado dnv,há 2 anos,11,
"@Edilson O Santos foi primeiro, o gol do Santos foi legal",há 2 anos (editado),6,
Nunca vi a torcida do prantos lotar uma motocicleta,há 2 anos,1,
 @BOLSONAROHEROIDOBRASIL  Esse joguinho aí levou mais publico que o derby tá seu hipócrita kkkkkkkkkkkk,há 2 anos (editado),6,
@Edilson Santos só esse ano foi roubado umas 5 vezes,há 2 anos (editado),4,
 @ariskavalaS3  kkk esse cara  nem argumento tem... pra zoar.. santos esgotou ingressos.,há 2 anos,6,
Santos foi roubado,há 2 anos,3,
Ruim,há 2 anos,1,
Santos apesar de não ter jogado nada foi roubado pela arbitragem com esse maldito var que so serve pra arrumar confusão.,há 2 anos,0,
Comenta da atuação do juiz agr,há 2 anos,2,
"Flamengo-não tem estádio 
Corinthians-não pagou o estádio q tem 
São Paulo-unico tri mundial do Brasil 
Palmeiras-não tem mundial 51 é pinga",há 2 anos,1,
@Edilson santos assaltado,há 2 anos (editado),2,
"@Edilson cala a boca, viu o jogo d olho fechado, a vozinha ficou o jogo inteiro fznd cera e quando acabou só vcs comemoraram",há 2 anos (editado),2,
Muita máfia no futebol brasileiro. Logo vi que essas odds nas casas de apostas para o Santos foram um pouco de desconfiar.,há 2 anos,2,
Santos roubado como sempre,há 2 anos,2,
Péssimo partida de dois times pequenos kkkkkk tão sem gás,há 2 anos,2,
 @kaykibender7453  Toda vez q eu fico triste lembro que o Small kkk,há 2 anos (editado),2,
 @jonaspfc6331  vai dar o 👌🏻que é isso que torcedores do teu timinho curtem,há 2 anos,0,
 @BOLSONAROHEROIDOBRASIL  tu é só um Virgem que criou um fake pra ficar digitando asneiras na internet pra suprir sua inutilidade,há 2 anos,0,
" @jonaspfc6331  timeco é o seu, q nem no Morumbi sua torcida de trikas não deram 30% da arena Barueri 😂",há 2 anos,2,
Torcida show juiz ladrão como sempre e técnico burro tirar Batistão que estava ligado no jogo burro nosso técnico valeu torcida jovem em sampa apoia sem dó e João Paulo sempre monstro 💪🐋,há 2 anos,0,
Gol do Barcelona 8 x0,há 2 anos,1,
Muito boa as atuações das equipes e muitos gols perdidos e falta de pontaria das equipes,há 2 anos,2,
 @matheusprcuritiba79  também achei,há 2 anos,2,
"Gol do Barcelona d novo, 9x0 agora",há 2 anos,1,
"Gente agora eu vi o Santos foi prejudicado pela arbitragem, não entendi porque o juiz anulou o gol do Santos, será que só para o Santos não ultrapassar o Corinthians  e amanhã o Corinthians continuar líder ,essa arbitragem está de brincadeira ,roubaram o Santos que absurdo",há 2 anos,2,
" @matheusprcuritiba79  que arbitragem ruim, prejudicou o Santos",há 2 anos,2,
" @Rianj99  que arbitragem ruim, prejudicou o Santos, péssima arbitragem",há 2 anos,1,
" @Rianj99  foi legal mesmo, o juiz errou feio",há 2 anos,1,
 @joaovboulos5419  o Santos foi prejudicado pela arbitragem,há 2 anos,2,
roubaram meu Santos de novo muito triste,há 2 anos,1,
 @matheusprcuritiba79  acabou o gás do prantos amigo,há 2 anos,1,
 @Rianj99  acabou o gás?,há 2 anos,1,
 @leandrotorres444  o Santos foi prejudicado pela arbitragem com o gol anulado,há 2 anos,1,
 Tem de Tudo Tutoriais  foi prejudicado pela arbitragem,há 2 anos,1,
"Até quando o VAR é a dona CBF vão prejudicar o Santos?
Em 7 rodadas,  fomos prejudicados em 5. Convivência? Não, Isso é intencional.",há 2 anos,2,
"Até quando o VAR é a dona CBF vão prejudicar o Santos?
Em 7 rodadas,  fomos prejudicados em 5. Convivência? Não, Isso é intencional.",há 2 anos,1,
" @Rianj99  Até quando o VAR é a dona CBF vão prejudicar o Santos?
Em 7 rodadas,  fomos prejudicados em 5. Convivência? Não, Isso é intencional.",há 2 anos,1,
Só vi a atuação do Var desnecessário,há 2 anos,1,
​ @jonaspfc6331  e o são Paulo nem gás tem,há 2 anos,1,
" @kaykibender7453  seu time q eh minúsculo, menor de SP",há 2 anos,1,
 @cuecacurtaeazulescuraSPFC  vdd,há 2 anos,2,
 @palzaoterrordananicada2395  o gas da sua mãe acabou mais rápido,há 2 anos,0,
 @cuecacurtaeazulescuraSPFC  kkkk agr q vi teu nome,há 2 anos,2,
" @joaovboulos5419  FAZENDO CERA! KKKKKKKKKK QUAL JOGO TU VIU SEU CEGO!! DEPOIS DOS 17 MINUTOS, TEU SANTOS FOI DOMINADO SEU FANÁTICO! NO SEGUNDO TEMPO O JUÍZ SACANEOU O CEARÁ, POR ISSO VCS FORAM MELHORES!! SE O CEARÁ TIVESSE COMPLETO, VCS IRIAM APANHAR CALADOS NA VILA DE BARUERI!!",há 2 anos,1,
 @joaovboulos5419  normal esse nome foi minha preferência,há 2 anos,1,
