text,time,votes,replies
Belo gol do Fabricio! O jogador está fazendo boas partidas?,há 1 ano,53,11
Romero joga muito Avaí 💙💙,há 3 meses,1,
Lindo,há 1 ano,0,
Vamos coxa,há 1 ano,1,
"Vencer o avaí,em casa,realmente,é algo espetacular",há 1 ano,0,
"""Mas Deus lhe disse: Louco! esta noite te pedirão a tua alma; e o que tens preparado, para quem será?"" - Lucas 12:20

-Só estou passando aqui para lembrar a você, que ainda não recebeu a Cristo como único Senhor e Salvador de sua vida, que ainda há tempo. Portanto, faça um compromisso consigo mesmo e busque obter um contato mais profundo com as Escrituras Sagradas ao longo de alguns dias (se quiser uma sugestão, comece pelo Evangelho de Marcos). Estamos falando de algo testado e comprovado - centenas de vezes e em diversas esferas - ao longo dos últimos três mil e trezentos anos (no mínimo). Portanto, pare de viver como se não houvesse amanhã, porquê há. E, quando esse amanhã chegar, caso ele seja aquilo que a Bíblia - e não o reencarnacionismo, o purgatório, o ateísmo ou seja lá o que for - determina, você estará em péssimos lençóis. Se me permite dar um spoiler: o inferno existe.",há 1 ano,1,
Fabrício é muito craque,há 1 ano,0,
Coritiba tá jogando muito bem,há 1 ano,0,
putz o coritiba esta se superando!!!  com este time um dos mais horriveis ja vistos!!  digno de uma bela segundona!!!,há 1 ano,0,
"que jogo feio, vamo coxaa",há 1 ano,0,
Coritiba fofoca 💚💙💙🤍🤍,há 1 ano,1,
"O Coritiba de tanto ser saco de pancada nos últimos campeonatos  perdeu a autoconfiança e o ímpetode time vencedor,  simulando faltas e  jogando com muita dificuldade . Nessa partida contra  o Avaí  achou um gol e se livrou de não levar. Vai ter que mudar muito, mas muito pra permanecer na série A.",há 1 ano,3,
"Avai:""sem meu penalti eu não consigo 😭😭😭😭😭😭😭""",há 1 ano (editado),0,1
1:53 jogo do flamengo?kkk até ele riu,há 1 ano,0,
2:49 kkkkkk,há 1 ano,0,
Narração espetacular,há 1 ano,0,
Jogo Bom,há 1 ano,0,
O Coritiba é muito ruim nas finalizações. Torço para que não cai. Sou Athletico p. O futebol paranaense precisa ficar em Ascenção!,há 1 ano,4,
"coritiba, avaí ,atlético go e juventude vão para à série b ,elencos  fracos .",há 1 ano,0,1
Legal. o técnico foi bem. Acredito que ainda temos chance de permanecer na série a. Agora é buscar pontos fora de casa . não está tão difícil assim.,há 1 ano,0,
Golaço foi bonito mas bem diferente do jogo 🤣🤣,há 1 ano,0,
Estádio do Flamendigo?,há 1 ano,1,
" @palzaoterrordananicada2395   não, couto pereira estádio do Coritiba",há 1 ano,6,
 @JoaoPaulo-tq8wd  que bom saber amigo é que o flacadela não tem estádio mesmo,há 1 ano,2,
Nunca nem tinha ouvido falar,há 1 ano,1,
" @regisfreefire  melhor que o Lixonel Pessi, Pessi só joga se o Neymar carregar o Psg.",há 1 ano,1,
 @regisfreefire  Nutella que gosta de zuar o Ney parabéns,há 1 ano,1,
GE tá bem por dentro mesmo...,há 1 ano,1,
Vc já viu a torcida do São Paulo?,há 1 ano,1,
 @regisfreefire  Para de ser branco cara.,há 1 ano,0,
