text,time,votes,replies
"E ai, qual foi o gol mais bonito?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,40,6
Daje 🤩🤩,há 1 ano,1,
Grande bragantino!!!!...top!🇮🇹,há 2 anos,1,
"Esse técnico Avaí e fracoooo. Com esse elenco só leva paulada, os cara ganham  bem É jogam nada. Futebol sem graça...",há 2 anos,0,
Parece uma seleção !,há 2 anos,1,
Queria Que Fosse RB Bragantino X CSA AI,há 2 anos,3,
Mesmo sem tem feito nenhum gol Arthur jogou demais e esse gol do Alerrandro 👏🏻👏🏻👏🏻,há 2 anos (editado),2,
vergonha avai so piora 1 chute ao gol partida toda,há 2 anos,0,
4x0 e poderia ter sido mais ainda se não fosse o Vladmir.,há 2 anos,0,
Red bull fez o sonho do avaí voar dando azas para ele,há 2 anos,1,
como joga artu,há 2 anos,0,
4 x 0 ainda saiu barato,há 2 anos,1,
"O time joga muito, principalmente o Artur",há 2 anos,1,
Avaí relembrando o clássico k4k4k4k4,há 2 anos,0,
Kkkkkkkkkkkkk avaíbis nanico,há 2 anos,0,
Bragantino ontem era pra ter ganhado de 8 a 1 jogou muito ⚽,há 2 anos,2,
Bragantino salvando meu Cartola,há 2 anos,2,
2 gol foi de sinuca kkkkk,há 2 anos,0,
Duas assistência de Artur,há 2 anos,1,1
Bragantino é um bom time mas quando se joga com time um pouco melhor fica uma partida mais equilibrado. Nesse jogo foi totalmente a favor do Braga sem maiores esforços.,há 2 anos,5,
O de cobertura foi o mais bonito,há 2 anos,7,
O segundo gol foi uma pintura,há 2 anos,0,
O Melhor Gol do Bragantino na Partida foi o segundo Gol que foi um Golaço,há 2 anos,1,
quarta força é BGT ❤️,há 2 anos,0,
"Quero saber porque o cartola só está contando só 1 assistência do Arthur ?
O segundo e o quarto gol foi ele que deu assistência .",há 2 anos,0,
O quinto gol,há 2 anos,0,
No Cartola tá só uma,há 2 anos,0,
"É incrivel como o Bragantino não tem torcida, melhor momento da historia do clube, e o estadio está sempre vazio... É triste ver um time assim na serie A",há 2 anos,0,2
"Finalmente uma vitória, agr pro Senhor Luan Cândido q fala muito e joga nada, muito menos cara vc não é nd de um jogador mediano, respeita a Torcida ok?",há 2 anos,0,
Show  De  Bola  Do  Red  Bull Bragantino Pra  cima Do Avaí⚽️⚽️⚽️,há 2 anos,2,
Pq eles não deram as 2 ass de artu,há 2 anos,0,
Pe quente sou ...hehe jogo top,há 2 anos,0,
U avavi e muito doido.,há 2 anos,0,
Arthur engolindo a bola,há 2 anos,0,
Mm meu time Avaí vai ser rebaixado não é possível mn,há 2 anos,0,
Arthur joga demais,há 2 anos,0,
"Que massacre do Braga, era pra ser 7 , 8 👏👏👏. Avai vai cair aguardem,, Cuiabá tbm.",há 2 anos,0,
Zaga do Avaí uma mãe tbm né,há 2 anos,0,
Eu  acho que AVAI FC vai para a série  b se continuar assim,há 2 anos,0,
Ô bragantino está voltando a jogar bem igual na temporada passada,há 2 anos,2,
Quero saber é da assistência do Artur pro Praxedes que o cartola não deu,há 2 anos,1,
Arthur joga MT mano pqp,há 2 anos,0,
