text,time,votes,replies
"Palmeiras de volta à liderança! 🟢🐽🟢🐷 É o time que está jogando melhor?
🌟Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,297,56
Sdds desse time 😢,há 11 dias,0,
Everaldo Marques Narrando Palmeiras X Botafogo,há 3 semanas,0,
Eu tava nesse jogo atrás do gol sul.,há 6 meses,1,
Sacode no foguinho 🟩⬜️⚽️🐽🐖🏆🟢⚪️😎✌️,há 7 meses,0,1
Foi um pecado enorme esse time do palmeiras não esta na final da libertadores 2022 😔😔👍,há 8 meses,3,
Voltando aqui depois de assistir outra goleada de virada😂 Scarpa era monstro 💚,há 9 meses,1,
"E de novo tomaram 4 kkkk
2023",há 9 meses,2,
Saudade do Scarpa. Esse gol do Wesley tinha que concorrer ao Puskas.,há 9 meses,0,
Gustavo 🦅🤫🤫🏆💚💚,há 9 meses,1,
🤍💚💚🤍💚🤍🤍💚💚🤍💚🎉🎉🎉🎉🎉,há 9 meses,2,
Narracão Everaldo gordinho Marques,há 11 meses,1,
Yuwndk,há 11 meses,0,
linda demais 🥰🥰,há 1 ano,0,
VAI PALMEIRAS,há 1 ano,2,
O PALMEIRAS É GIGANTE,há 1 ano,2,
Vingança,há 1 ano,4,3
agora pensar que nosso verdao tem que  tirar essa liderança,há 1 ano,3,
Via amo 🤩🤩,há 1 ano,1,
Palmeiras o melhor do mundo 💚🐷💚🐷🐷,há 1 ano,1,
FLACÚ SEGUE SEM MUNDIAL,há 2 anos,13,
Segue o PALTEMIDOMEIRAS☝️,há 2 anos,6,
Botafogo não viu a cor da bola 🤣,há 2 anos,21,
 @RaydeXXapenas1Lúcido2006  Flamengo tem Mundial em 1981,há 2 anos,5,
 @palzaoterrordananicada2395  qq,há 2 anos,0,
 @RaydeXXapenas1Lúcido2006  segue o líder,há 2 anos,5,
 @marcelotavares4593  confia,há 2 anos,0,
 @RaydeXXapenas1Lúcido2006  cheirinho não tem tri libertadores!kkk,há 2 anos,10,
 @jacobkallebi4097  👏👏,há 2 anos,3,
 @RaydeXXapenas1Lúcido2006  cheirinho sendo 5 vezes cheirinho!kkk,há 2 anos,5,
" @jacobkallebi4097   O FLAMENGO é um time Guerreiro, está sempre entre os últimos 4 melhores nas últimas competições",há 2 anos,5,
Palmeiras mita nos jogos que chega ter o nome de PALMITO,há 2 anos,6,
 @RaydeXXapenas1Lúcido2006   Ué ?! Por que o Flamengo? E o Corinthians?,há 2 anos,4,
Parabéns ao Palmeiras pela Vitória e que golaço fez o Wesley mereceu uma placa 👍👏👏,há 2 anos,6,
 @lobomau5877   É porque os Caras tem medo do Corinthians,há 2 anos,2,
" @cuecacurtaeazulescuraSPFC   SÃO PAULO 3 MUNDIAL, O Maior do Brasil",há 2 anos,4,
 @marcelotavares4593  toyotão kkkkk,há 2 anos,0,
"Antigamente os melhores momentos dos jogos eram de 8 a 10 min aq no YT, aí depois passou a ser de 5 a 6, hj em dia, um jogo como esse de 4 gols, só passam pouco mais de 3 min. Até o terceiro gol do Palmeiras não dá tempo do GE falar de quem foi o gol... Eita mundão tá cada vez mais acelerado e curto. :(",há 2 anos (editado),4,
 @lagalhinha3670  concordo com você 👍,há 2 anos,3,
"Cuidado na HR de editar os vídeos, pq nós telespectadores não conseguimos nem saber quem fez os gols....",há 2 anos,0,
 @deusetudo5927  ❤️😢,há 2 anos,0,
"Olha pros flamenguistas que tão zoando do fogão,o time ainda ta em ""teste"" ta e com o time jogando todo doido ganhamos do flamengo,perdemo humilhados do palmeiras pq ne...😅",há 2 anos,1,
 @deusetudo5927  Eu serei abençoado mais o botafogo e outra historia,há 2 anos,0,
 @recomecenow  verdade kkkkkk,há 2 anos,0,
VÁRZEA DO CARAI VIU,há 2 anos,0,
" @marcelotavares4593  .
O.palmeiras tem.mundial.tem estádio é lindo demais i do Flamengo já ta pronto",há 2 anos,0,
Era pra ser uns 7 só o primeiro tempo,há 2 anos,1,
 @palzaoterrordananicada2395  era pra ser uns 7 só o primeiro tempo lkkk,há 2 anos,2,
Vai Verdão,há 2 anos,1,
O Palmeiras ta jogando bem ge,há 2 anos,1,
" @EnzoGabriel-ct4cs   São os Palmeirense, quem colacaria FLACÚ, nenhum Flamenguista",há 2 anos,0,
 @antoniocarlos7857  Não é reconhecido como Mundial,há 2 anos,0,
 @Davidsalvatore1998  E ainda sim MUNDIAL,há 2 anos,0,
 @EM-jo5hp  não segundo o site oficial dá FIFA !!!,há 2 anos,0,
" @Davidsalvatore1998   ERRADO, A FIFA RECONHECEU COMO CAMPEÕES MUNDIAS EM 2017",há 2 anos,0,
" @EM-jo5hp  
Não enporta foi um mundial tenho documentos da Fifa da época em que a Fifa ajudou a fazer a copa rio o primeiro mundial",há 2 anos,0,
" @antoniocarlos7857   Sim , eu sei que fizeram uma competição como um Mundial, mas a FIFA não reconheceu ou ainda não viu o caso",há 2 anos,0,
" @EM-jo5hp  .
Não importa temos mundial palmeiras campeão da copa kirim copa Grécia copa roca copa independência copa atlântico i tantos outros",há 2 anos,0,
" @antoniocarlos7857   Só falta vc dizer Florida Cup é Mundial, essas aí são torneios amistosos",há 2 anos (editado),0,
" @EM-jo5hp  
Eu conheço a história do Palmeiras florida culp só e mais um troféu na rica galeria do palmeiras eu falei pra deixar esti troféu do lados dos troféus qui o Palmeiras ganhou na Espanha",há 2 anos,0,
" @EM-jo5hp  
Eu conheço a história do Palmeiras florida culp só e mais um troféu na rica galeria do palmeiras eu falei pra deixar esti troféu do lados dos troféus qui o Palmeiras ganhou na Espanha",há 2 anos,0,
" @antoniocarlos7857   Legal, só fica claro que eu não tô te forçando aceitar que não tem Mundial o Palmeiras, e só sei que a FIFA não reconheceu as duas Copas Rios como Mundial",há 2 anos,0,
" @EM-jo5hp  
Você não precisa aceitar conheco a.história do seu time não e melhor qui a do palmeiras tri campeão do torneio ramon de carranza",há 2 anos,0,
