text,time,votes,replies
Absurdo a CBF permitir jogo nessas condições.,há 3 meses,0,
"Tava alagado por isso juventude venceu, se não estaria alagado seria 3x0.",há 1 ano,0,
"3 meses depois num estádio de verdade e imponente , diante de um futebol perfeito o fraquissimo e já rebaixado (não se salva minha opinião) tomou de 4 poderia ser 6",há 1 ano,0,
O PIX NAO ESTA CERTO...,há 1 ano,0,
"agora vao ser rebaixados, lixos kkkkkkk",há 1 ano,0,
A bola boia nesse campo. Kakakakakak,há 1 ano,0,
Se eu fizesse parte da administração do juventude encharcarva o gramado sempre ele sempre consegue ganhar de um a zero de Times mais fortes quando chove deveria mesmo quando não chove encharca o campo assim eles sempre ganhava em casa 😂😂😂😂,há 2 anos,1,
Nem aqui na minha cidade que é várzea sai jogo com o campo nesse estado e um jogo do brasileirão sai kkkkkkk,há 2 anos,0,
"FALTA DE RESPEITO COM TODOS OS ENVOLVIDOS TER JOGO NESSAS CONDIÇÕES. Um absurdo, a CBF é uma instituição AMADORA mesmo, só pode.
Vergonha na cara é bom de vez em quando e ter o mínimo de bom senso.",há 2 anos,0,
Flamengo  também  nesse  estádio  com mais  água no gramado  e perdeu  também  e ninguém  veio falar,há 2 anos,0,
2  X  0   VAR  AJUDOU  O  FLU. VERGONHA,há 2 anos,0,
"EU    DISSE, O  FLU  ADORA  PERDER  PRA  GAÚCHO.",há 2 anos,0,
eu vim ver os melhores momentos só por causa desse gol kkkkkkkkk,há 2 anos,0,
"Apostadores como eu já devem ficar ligados. Antes do jogo no Alfredo Jaconi , sempre conferir as condições climáticas pra jogar no juventude ou no time rival. Kkkkkkkkk",há 2 anos,0,
"Ridículo a CBF autorizar um jogo com um gramado desse estado, não sou fluminese e nem juventude mas que é injusto e ridículo e, vergonha para juventude um gramado sem drenagem alguma...",há 2 anos,0,
Zoaram o Flamengo quando aconteceu a msm coisa agr estão chorando pro gramado kkkkkk,há 2 anos,0,
talvez esse tenha sido o gol mais feio do campeonato brasileiro de 2022,há 2 anos,0,
Chievo de mais,há 2 anos,0,
Cruzeiro vai regassar vcssss,há 2 anos,1,
"Só pode estar de sacanagem com ""melhores momentos""",há 2 anos,0,
"Boa tarde meus irmãos se aqui nesses comentários tiver alguém que estiver afastado dos caminhos de Deus o senhor
essa é a hora de se reconciliar com o Pai jesus disse em marcos 16:16 aquele que crer e for batizado será salvo, mas aquele que ñ crer já esta condenado, essa é hora meus irmãos de buscarmos o Senhor ele tem Grandes coisas pra fazer nas nossas vidas e pra que tudo isso venha a se tornar real na nossa vida só é preciso um simples passo que é aceitá-lo como Senhor e salvador de nossas vidas e consequentemente vamos ter tudo o que precisamos nas nossas vidas pois Deus é nosso pai bondoso e ele ñ vai deixar q falte nada pra nós 👐👐👐",há 2 anos,0,
"Só tenho uma a dizer, segue o líder 🖤",há 2 anos,0,
Futebol raiz é outro nível Kkkklk.boa juventude,há 2 anos,0,
"Que merda de campo é essa, depois perguntam pq ninguém quer assistir esse campeonato mundo a fora.",há 2 anos,0,
A água desse campo nunca escoa! Será pq??! Isso tá me cheirando a MUTRETA! Pois NÃO é o PRIMEIRO time a ser prejudicado por isso...,há 2 anos,1,
O campo estava molhado pras duas equipes a torcida do FluminenC é chorona msm.,há 2 anos,0,
Carioca filho dos gaúcho é foda kksksk,há 2 anos,0,
Faz parte dos obstáculos de jogar fora de casa. Em outro estado com outro clima etc enfim bando chorões!!,há 2 anos,0,
Precisa nem tomar banho quando chegar em casa 😃,há 2 anos,1,
Juventude gosta de jogo assim com campo alagado flamengo viu bem isso ano passado bem vindo ao sul manézada,há 2 anos,0,
Estádio Alagado Jaconi,há 2 anos,0,
Boa Vitoria do Juventude,há 2 anos,1,
Como q o delegado do jogo junto com esse árbitro da condições de jogo com o campo no estado desse o Fluminense e um time de toque de bola a bola não andava nessa lagoa tava pior do q no jogo q o Flamengo jogou em 2021 isso não pode acontecer mais,há 2 anos,0,
"Não estava só alagado, tava muuuuuuito frio, senti aqui de casa haha. Mas ainda assim, eram 11 contra 11.",há 2 anos (editado),0,
