text,time,votes,replies
"E ai Torcedores!😎
O que acharam da partida? ⚽
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,161,44
jogou muito Flamengo ❤️🖤,há 3 meses,1,
"DISPENSA PAULÃO!
FAZ ESTE FAVOR!
ACORDA DIRETORIA!",há 10 meses,0,
"Fla humilhado, goleado, 😅😅😅",há 1 ano,0,
Marinho,há 1 ano,0,
Matheus França,há 1 ano,0,
Arrascaeta,há 1 ano,0,
Bruno Henrique,há 1 ano,0,
Pedro,há 1 ano,0,
Gabriel,há 1 ano,0,
Até os torcedores do Cuiabá comemorou o 1 gol do FLAMENGO,há 1 ano,1,
"Flamengo vai perde,na época que a soberba tava boa eles ainda toma gol,imagina agora 😂😂😂😂",há 1 ano,0,
Uma das mais belas cobranças de pênalti que já vi. Parabéns Marinho!,há 1 ano,1,
Can 😍😍,há 1 ano,0,
Legal essa Narração do Luiz Carlos Júnior,há 1 ano (editado),2,
Cuiabá 1x2 flamengo,há 1 ano,0,
"Eu só quero falar uma coisa o marinho copiou a comemoração do Rony e nem pra fazer um pouco diferente pra não ficar muito igual não, ele fez igualzinho",há 1 ano,0,
Mengo,há 1 ano,0,
👃👃👃👃,há 1 ano,0,2
👃👃👃👃,há 1 ano,0,
"Roubaram o cuiabayern, se ñ tiver roubo ñ é varmengo",há 1 ano (editado),10,
 @refutoburgues  kkkkkk chora time pequeno bairro seu time,há 1 ano,7,
Tive que fazer microscópio pra ver os dois nanicos se enfrentando,há 1 ano,6,
Só no segundo tempo foi boa 👍,há 1 ano,3,
"ATENDE O PEDIDO LA GE,AS VEZES EM ALGUMAS PARTIDAS,VARIOS LANCES FICAM DE FORA POR VCS RESUMIREM EM 3 MINUTOS +/-,NÃO FOI O CASO DESSA,MAS EM DIVERSOS JOGOS DO FLAMENGO JA FOI ASSIM,E DOS DEMAIS TIMES. FAÇAM ISSO PELA GENTE AI,NEM PRECISA SER EM TODAS AS PARTIDAS OBVIAMENTE,MAS NAQUELAS QUE TIVEREM BASTANTE LANÇE,PRA GENTE NÃO PERDER NADA.",há 1 ano,3,
FlaPetista foi jogar a final da libertadores e tomou gol do deyverson e ficou só no cheirinho KKKKKKKKK,há 1 ano,7,
PALPITES DE AMANHÃ JÁ DISPONÍVEL NO NOSSO CANAL. COM BILHETES PRONTOS!⚽️🔥,há 1 ano,0,
 @cruzeiro5848  kkkkkkk chora mais invejoso,há 1 ano,6,
Normal,há 1 ano,3,
 @refutoburgues  fica queto o menor do rio,há 1 ano,5,
​ @refutoburgues  sai daí freguês,há 1 ano,5,
​ @cruzeiro5848  vai curtir sua série b,há 1 ano,6,
Varmengo como sempre ganhou com ajudinha,há 1 ano,4,
O campeonato já acabou ge,há 1 ano,3,
Roubaram o cuiaba,há 1 ano,2,
​ @internacional7741  cala boca nosso vice,há 1 ano,1,
Quando é os melhores momentos de outros jogos vocês nem deixam o grito de gol mas do mingau aí deixa até cansar odeio todos vocês,há 1 ano,0,
Normal quem não aprende agente insina,há 1 ano,0,
Flacadela só no apito mesmo,há 1 ano,1,
"GE não me pergunte nada 
O premier tá cara DMS 

Manda abaixa e um apelo velho 
Tá dificil vê o jogo do mengao veio 
Grogloplay tá quase 50 conto 

Mn isso e Brasil não dá pra ficar pagando desse jeito não 

Menor e um apelooooooooo 

Daqui a pouco eu ando procurando o gato da tv por assinatura e vocês não que isso 
Tem sorte q eu ainda tou pagando 

Mas o gato da tv por assinatura tá me chamando",há 1 ano,2,
 @internacional7741  MDS flamengo é melhor time kkkkkkk,há 1 ano,0,
 @cruzeiro5848  mn se vc quer chorar n chora nos comentários n pfvr mm,há 1 ano,0,
Adorei,há 1 ano,0,
Dois nanicos Cuiabá e Flamengo,há 1 ano,0,
" @internacional7741  akakakakakakakakakkaka se o flamengo é pequeno, o Inter nem existe",há 1 ano,2,
NINGUÉM SEGURA NOIS,há 1 ano,1,
honestidade e torcida civilizada do FlaMiCO?,há 1 ano,0,
Ok,há 1 ano,0,
 @refutoburgues  🤣🤣🤣🤣,há 1 ano,0,
Flamengo potência mundial,há 1 ano,0,
Pq vcs do GE não coloca a narração do gol completa? Assim fica mas emocionante assisti os melhores momentos...,há 1 ano,0,
🇰🇷🇧🇷,há 1 ano,0,
Cuiabá acho que vai cai tem vários jogadores bem conhecido.,há 1 ano,0,
PREMIER DA ROUBO,há 1 ano,0,
"Quando tiver lance do penalti, coloquem o lance que resulta o penalti a falta dentro da área.",há 1 ano,0,
3 pts importantes ❤️🖤,há 1 ano,0,
 @refutoburgues  por que tu chora frêgues,há 1 ano,0,
 @cruzeiro5848  choraaaaa,há 1 ano,0,
 @palzaoterrordananicada2395  CD o Mundial nanico?,há 1 ano,0,
 @FLANATICOSNOTICIAS123  vdd Man SRN❤️🖤👊,há 1 ano,0,
 @joaocarloslopes1186  vdd,há 1 ano,0,
​ @torcedor2737 ❤😅❤😅❤😅❤❤😅😅❤😅❤😅❤❤😅,há 7 meses (editado),0,
​ @internacional7741 internacional time minúsculo 😂😂,há 5 meses (editado),0,
​ @palzaoterrordananicada2395 Palmerda sem mundial e BI rebaixado 😂😂😂,há 5 meses (editado),0,
nanico,há 1 ano,0,
 @CRF1895.  👃👃👃👃,há 1 ano,0,
Marinho joga demais ⚪⚫❤️,há 1 ano,2,
"O único problema do elenco do flamengo hj em dia é esse Diego Ribas, não dá mais, o cara só atrapalha",há 1 ano,0,
Foi falta sim 🖕🖕,há 1 ano,0,
Mais uma Vitória do Mengão 💪🏻❤️🖤,há 1 ano,5,
O flamengo é muito bonito de verdade na África do sul com cavani e com bale,há 1 ano,2,
"Diego não acerta nada em 2022, impressionante",há 1 ano,2,
Mateusão pior que Lincoln,há 1 ano,1,
"Se tivesse 1x0   
PARABÉNS DIEGO RIBAS 😡😡😡😡😡😡",há 1 ano,2,
"Diego Giras não aguenta mais nada viu !? Qualquer contato o leva ao solo, pqp !",há 1 ano,1,
"Porra, Diego ribas não dá mais,  entregou um gol pro cuiabano.",há 1 ano,0,
"Rapaz, Diego Ribas não dá mais....esse negócio que é amiguinho dos jogadores, é respeitado por jogadores, isso é uma coisa, treinador olhe pelo clube, tem que jogar pelo clube, não é por jogador quem quer que seja....ou seja , Diego Ribas é passado...já foi...",há 1 ano,0,
N da mas pro Diego em vez de jogar bola que falta sai dae,há 1 ano,0,
"Santos é o melhor goleiro do Mengão dos últimos 20 anos: não enfeita, não falha, não faz firulas, parece um androide!",há 1 ano,0,
