text,time,votes,replies
"E aí, torcedor! Diz aqui, o que acharam do resultado?😎
🌟Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos (editado),155,17
"Como eu queria ver o Erisson sendo o reserva IMEDIATO do Tiquinho, seria uma briga muito boa!",há 1 ano,0,
El touro em dose dubla 🧔🦶⚽🔥🔥🔥🔥🇧🇷,há 1 ano,0,
O time está bem fora de casa e o melhor vizitante 🧔🦶⚽🔥🔥🔥⚽⚽⚽🇵🇹🦅🥅,há 1 ano,0,
Pensa Num Time Ruim Esse Ceará KKKKKKKKKKKKKKKKKK,há 1 ano,0,
Botafogo é o Rei do Ceará!,há 1 ano,1,
ge botafogo precisa subir 👍,há 1 ano (editado),0,
E Botafogo ganhou,há 1 ano,0,
🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🤍🖤🤍🖤🤍🖤🤍🖤🖤🤍🖤🤍🖤🖤🤍🖤🖤🖤🖤🖤🤍🤍🤍🤍🤍🤍🤍🤍🖤🖤🖤🖤🖤🖤🖤🤍🤍,há 1 ano,0,
Botafogo 🖤🤍🤍🖤,há 1 ano,0,
Será x fogo🔥🔥,há 2 anos,0,
Atuação de gala do Goleiro Diego Loureiro.,há 2 anos,0,
Galhardo,há 2 anos,0,
Erison é monstro demais 😳 e nem sou Fogão,há 2 anos,0,
Ele tá imitando quem?,há 2 anos,0,
"Ceará jogou muito,porém tem que colocar a bola pra dentro",há 2 anos,0,
"Vamos trabalhar, Botafogo! Faz gol pra torcida",há 2 anos,0,
Lembrando que a briga do Ceará é contra o rebaixamento. Vejo muitas torcidas iludidas só por que o time ganhou um jogo de um time grande igual o Palmeiras acha que vai brigar por libertadores. Sonha não cara pelo amor de deus ceará é time pequeno . O botafogo era pra ter feito até mais o bordado dominou o jogo o tempo todo. Parabéns botafogo. Sou torcedor do Fluminense e vejo o Botafogo um time muito forte esse ano .,há 2 anos,0,4
Se não ganhar do Ceará vai ganhar de quem .Quero ver o Botafogo ganhar de um time grande como flamengo. Ganhar de time pequeno é fácil .,há 2 anos,0,
Vira saf são paulo por favor,há 2 anos,0,
Eu sou tocedor do Botafogo a partida foi muito boa,há 2 anos,14,
Boa glorioso,há 2 anos,9,
O resultado foi muito bom pra torcida alvinegra!,há 2 anos,10,
oq mais gostei foi vcs terem tirado quela listra ridícula da tela kkkkkkkkkkk,há 2 anos,8,
Diego loureiro pegou muito!,há 2 anos,2,
Cade a bola do Patrick de Paula na trave??,há 2 anos,0,
"Pra mim nso faz diferença nenhum desses times irão brigar por posição na tabela com o Corinthians, é meio pra baixo essa é minha opinião sobre o botafogo e Ceará pra essa temporada",há 2 anos (editado),1,
"Péssima edição dos lances da partida! Pra destacar apenas um, por que omitiram o gol mal anulado do Ceará no início do primeiro tempo?",há 2 anos,2,
O únicos melhores momentos do Botafogo foram somente os 3 gols?🤔🤔🤔🤔,há 2 anos,1,
" @coringaokg4976  bom, botafogo não vai brigar pra cima mesmo, a meta é 10° pra cima, com esse elenco é fácil se conseguir, gestão tá boa, muito profissional e o clube melhora sua estrutura a cada dia, sem contar que agora tem dinheiro, meu palpite pro Botafogo esse ano 8° lugar.",há 2 anos,1,
" @wallace.cabral  bom, se fez o gol é pq foram, no primeiro tempo de início foi dois chutes a gol pra fora, de resto é isso aí mesmo.",há 2 anos,2,
