text,time,votes,replies
Peixão 3x0 🤍🖤🐳,há 1 ano,0,
eu tava ai ahahah,há 1 ano,0,
Se o Santos pegar o Corinthians a torcida vai ficar tranquila pq eles não ganham um clássico.,há 2 anos,0,
Um jogo bom zanocello jogo dms 2 gols; OBS cara o Santos tava 6 anos! Sem ganhar o America a última vitória foi 2016 ; santos 1x0 gol do Ricardo Oliveira,há 2 anos,0,1
NINGUÉM F.C CAVALO PARAGUAIO MENGÃO MALVADAO 🔴⚫,há 2 anos,0,
NINGUÉM F.C CAVALO PARAGUAIO MENGÃO MALVADAO 🔴⚫,há 2 anos,0,
NINGUÉM F.C CAVALO PARAGUAIO MENGÃO MALVADAO 🔴⚫,há 2 anos,0,
Parabéns ao santos,há 2 anos,0,
"O Santos tá calando a boca de quem duvidou, no topo, só falam que o Santos vai brigar pra não ficar rebaixado, mas agora tá no topo, paulistão foi fase, ainda sonho que o time vai voltar pro topo, sonhar todo mundo sonha né? Vamo ver se eles respeita o torcedor",há 2 anos (editado),0,
Santos sempre santos,há 2 anos,0,
Zanocelo tá jogando demais,há 2 anos,0,
Que jogo bem feio de ver .,há 2 anos,0,
Esses cortes tão feios dms da nem pra entender as jogadas,há 2 anos,0,
O santos nas últimas rodadas estara brigando para não cair,há 2 anos,0,
"É isso aí peixão , lutar jogo a jogo , trabalhado em silêncio",há 2 anos,0,
Jesus ama vc. Bondoso e piedoso é Deus o Senhor. Nos enviou seu Amado Filho para nos resgatar. Deus abençoe vc. Ore. Leia a bíblia. Sua vida é preciosa para Deus. 🌷🌷🌷🌷🌷,há 2 anos,0,
"1:08 Essa tentativa de cabeceio do Maicon foi ridícula mano, olha isso",há 2 anos (editado),1,
"Ficarei muito grato se vocês ouvir meu novo som "" FAVELADO "" Deus abençoe sempre 🙏👏",há 2 anos,0,
SANTOS 3X0 AMÉRICA-MG,há 2 anos,0,
O menino Ângelo tem muita visão de jogo. Viram o passe que ele deu logo no primeiro lance para o Marcos Leonardo? Ele tem sido o armador das jogadas do ataque.,há 2 anos,0,
Tava a 6 anos pq o América foi vários anos na segunda divisão pq não fosse isso o Santos teria vencido eles,há 2 anos,0,
"Olhem meu palpite
Há 20 times(descontando o santos para o palpite)
6 times são difíceis para o santos (Bragantino, Corinthians,São Paulo, Palmeiras,Flamidia,Vartletico Mineiro)
5 times dificuldade média(Fluminense,Ceará,Fortaleza, Atlético Paranaense,Inter)
O resto tranquilo
Palmeiras,Varmengo, Atlético não dá pra ganhar
Da pra empatar pro Inter, Fluminense, São Paulo, Cuiabá
O resto ganhar
5 pontos já,mas o outro jogo 10 pontos
38-10 empate=28 rodadas 28-8 derrota=20 rodadas que sobram pra ganhar
20×3=60 pontos+10 de empate
Acho que esse ano santos fica entre 60 e 70 pontos:D",há 2 anos,0,2
"Parabéns ao meu PEIXÃO 🦈🐳🐳🐳🐳🐳, excelente partida,Maicon ótimo zagueiro,é um deus,não deixa uma bola passar dele indo para o João Paulo, diferentemente do Kaiky, Marcos Leonardo monstro, Ângelo dribla,promete muito, Léo Baptistão ótimo também, Rodrigo Fernandez toca certo e sempre cria ótimas jogadas, Zanocelo fazendo gol,otimoooo
A escalação perfeita do santos é
                              4-4-2
                     🧤João Paulo 🥅
Madson 🛡️E.Bauermann 🛡️Maicon L.Pires
Ângelo 🐕‍🦺R.Fernandez Zanocelo Baptistão
             J.Julio        ⚽🥅Marcos Leonardo
2 tempo(Substituições)
Ângelo🔻
L.Barbosa🔺
J.Julio🔻
Pirani🔺
Marcos Leonardo 🔻
R.Goulart ou Bryan Ângulo 🔺
W.Maranhão=💺",há 2 anos,2,
que jogo!!!,há 2 anos,0,
"Importante vitória, mas o foco tem que ser contínuo. Boa sorte peixão",há 2 anos,0,
"Mano esse santos eh MOH tiração, mas eu amo demais velho!!! Olha isso, isso aí eh SANTOS MANO",há 2 anos,0,
"Esse time do santos não tem medalhões, e só me dá alegria.",há 2 anos,0,
"O campeonato só esta começando, creio que vão lutar pelo título atlético MG de novo, Palmeiras e Corinthians, não acredito no Flamengo e o América MG que não abra os olhos que vai voltar para a segundona, quanto mais com Mancine como técnico.",há 2 anos,0,
Melhor time do mundo,há 2 anos,0,
Everaldo Marques narra demais. Simplesmente Santastico!,há 2 anos,2,
Zidanocello,há 2 anos,1,
Só  ganha quando eu não aposto nele kkkkkkl time desgraçado kkkk,há 2 anos,0,
🐳🐳🐳🐳🐳,há 2 anos,1,
show De  Bola  Do Santos  Pra  Cima Do  América  Mineiro⚽️⚽️⚽️,há 2 anos,0,
"tem que jogar sempre assim
vamos santos ta no caminho certo",há 2 anos,0,
LEO BATISTUTA TÁ COM FOME HOME.....FABIAN GUARDIOLA,há 2 anos,0,
"Kkkkkkkk foda ele fazer o 1° gol, correr pra torcida e dizer eu estou aqui kkkkkk jogou aonde muleke kkkkkkk",há 2 anos,0,
"Bustos por favor não invente mais. O time titular e esse , e no segundo tempo : Lucas Barbosa deve ser a primeira opção no ataque e Goulart se Baptistao estiver cansado. Sem inventar que conseguiremos fazer jogos dignos",há 2 anos,1,
Segue o lider😎,há 2 anos,0,
Respeita o Santos FC!!!!,há 2 anos,1,
Só gol cagado,há 2 anos,0,
"Pra mim é o seguinte, ganhar todas que puder na Vila e pelo menos ganhar os mais fracos fora de casa,
Que o Santos vai pra liberta fácil",há 2 anos,0,
eu chuto que o santos vai terminar com 59 pontos,há 2 anos,0,
Finalmente o Santos ganhou do América mg,há 2 anos,1,
Santos ganhou uma partida lkkk milagre em😂😂😂😂,há 2 anos,1,
"Bem feito pro América, tá achando q tá bom demais, pq subiu e tá na libertadores kkll",há 2 anos,2,
"Com um time sem medalhões, esse santos só me dá alegria.",há 2 anos,0,
Pode entregar a taça 🏆🏆😎😎😎🤘🤘🤘🐋🐋🐋🐋🐋🐋🐋🐋🐋🐋🐋,há 2 anos,0,
Parabéns prantos. Quem sabe consigam um vice novamente esse ano kkkkk,há 2 anos,1,
"Uns comemoram 3x0 no America
Outros comemoram 3x0 no Corinthians",há 2 anos,1,
"Mais um genérico, ""Eu tô Aki"" kkkk o cara faz gol na cagada e fodaci kkkk",há 2 anos,1,
Ñ vi uma reportagem sobre o Santos em notícias do brasileiro A. Marcação total contra o interior,há 2 anos,0,
O TIME DO SEXO ESTA DE VOLTA!,há 2 anos,0,
