text,time,votes,replies
Parabéns Fluminense ❤💚,há 1 ano (editado),0,
"e impressionante , nesse últimos 5 jogos o Fluminense sofreu apenas 1 gol , que foi na vitória contra o são paulo por 3 a 1 , jogo que o cano fez três gols .",há 1 ano,0,
Boa vitória do Fluminense,há 1 ano,1,
ninguém freia o cano,há 1 ano,0,
0:38 série B,há 1 ano,1,
Cano merecia ter sido convocado pela Argentina o cara é incrível 😃,há 1 ano,0,
Que narrador heim... ninguém merece...,há 1 ano,0,
Vai com esse L pra casa do C A R A L H O !,há 1 ano,0,
Cano é alto nível,há 1 ano,0,
Faz o L  de cano ? Kkkkkk 😂🤣😂🤣😁 kkkkkk 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,há 1 ano,0,1
Cano: MELHOR ATACANTE DO BRASILEIRÃO 2022.,há 1 ano,0,
O fluminense podia emprestar o Fábio goleiro pro cruzeiro né tá jogando nada lá mesmo.,há 1 ano,1,
BRAGANTINO 0X1 FLUMINENSE,há 1 ano,0,
"A temporada do Germán Cano esse ano foi digna de respeito! 44 gols, artilheiro isolado do Brasileirão e marcas alcançadas.

Diretoria do Fluminense, RENOVEM COM ESSE ARGENTINO URGENTE!

Aliás, as temporadas não só do Germán Cano, mas de Jhon Arias, André, Paulo Henrique Ganso (estava suspenso) e Samuel Xavier foram perfeitas.

E parabéns Fernando Diniz! Por ter queimado a minha língua várias vezes e fez uma temporada espetacular, faltaram títulos, mas bem futebol foi apresentado.

Que 2023 seja um grande ano para o Fluminense, sabendo que será difícil.",há 1 ano,3,1
"Canárias cada dia mais real, esse cara salvou a temporada do Fluminense, obrigado Vasco mande sempre argentinos pra nos kkkkk (brincadeiras a parte) o time tbm colaborou para que o cano fosse municiado, principalmente com a chegada do Diniz, ainda ganhamos o campeonato Carioca em cima do nosso rival que ganhou as Copas com ABEL BRAGA, tudo bem q eles ainda tava no comando do Paulo Sousa mas ainda eram melhores individualmente, enfim, vamos por mais na próxima temporada mais reforçados e mais forte do que essa temporada.",há 1 ano,1,
O cano artilheiro do Brasil o cara e monstro,há 1 ano,0,1
Como sempre cano,há 1 ano,0,
Cano é foda,há 1 ano,0,
4:02 série B?!,há 1 ano,0,
😘😘😘,há 1 ano,0,
"L de Lorenzo, filho dele",há 1 ano,0,
"Eu achei que depois daquela derrota pro Corinthians pela CB ia ser só ladeira abaixo, mas o time deu uma respirada nessa reta final de temporada",há 1 ano,1,
Outro pereba seria reserva dos reservas aqui no colorado,há 1 ano,0,
Que fase maravilhosa do german cano.,há 1 ano,1,
"O CANO É O MAIOR ARTILHEIRO DE UM ANO DE UM CAMPEONATO BRASILEIRO COM 20 TIMES DE PONTOS CORRIDOS, FORA O MAIOR ARTILHEIRO DA TEMPORADA EM UM ANO NO FUTEBOL BRASILEIRO DO SÉCULO COM 44 GOLS, UM MONSTRO E NAO FOI CONVOCADO PELA SELEÇAO ARGENTINA",há 1 ano,1,
Cano destruiu o br,há 1 ano,0,
Contrato vitalício pra Fernando Diniz e German Cano,há 1 ano,0,
Que golaço filho,há 1 ano,1,
CANO É O jogador mais caro da AMÉRICA,há 1 ano (editado),2,
CANO É O MELHOR DO BRASIL,há 1 ano,2,
Cano era pra ser brasileiro,há 1 ano,0,
É um crime a Argentina ñ convocar o cano,há 1 ano,0,
Flu,há 1 ano,0,
Azar da Argentina em não convocar esse homem,há 1 ano,0,
"A cada gol do cano ele faz o L , os Bolsonaristas piram com o cara kkk",há 1 ano,0,1
Parabens Fluzão !!!,há 1 ano,1,
Gol difícil que ele fez.,há 1 ano,0,
Esse bragantino é uma comédia  kkkkkk,há 1 ano,1,
Faz o L.,há 1 ano,0,
cano joga muito .,há 1 ano,0,
Cano jodiou até do Braga.,há 1 ano,1,
Pro cano nao tem tempo ruim pegou chutou e gol,há 1 ano,0,
Um Hermano artilheiro do campeonato Brasileiro parabéns Cano pela boa temporada.,há 1 ano,2,
L DE Lorenzo.. filho dele..   Não L DE ladrão,há 1 ano,0,
"Cano 2022
Carioca 6 gols 
Brasileiro 26 gols 
Libertadores 5 gols 
Sulamericana 4 gols 
Copa do Brasil 4 gols",há 1 ano,1,
Fluminense  campeão  mundial  o resto é chororo,há 1 ano,0,
Meus parabéns a todos os times que não passaram 3 anos na série B,há 1 ano,0,1
Slc faz gol pra crlh tmnc,há 1 ano,0,
Cano Monstro.. o cara é viciado em fazer gols.. um dos melhores atacantes que atuaram no Futebol Brasileiro nos últimos tempos.. Faz o L! 👏🏽⚽,há 1 ano,1,
Só falta o Cano levantar uma taça pelo Flu pra se tornar um novo ídolo,há 1 ano,0,
Linda Campanha. Ano que vem só o Título da Libertadores interessa! Temos time,há 1 ano,0,3
O L é símbolo de gol e de prosperidade para o Brasil.,há 1 ano,3,22
Não ser.convocado  tremenda  injustiça..,há 1 ano,0,
Fluminense do nosso coração,há 1 ano,1,
Vai fluzao,há 1 ano,1,
"TMJ FLUMINENSE FOOTEBAL CLUBE ATÉ MORRER💚❤👏😍
ANO QUE VEM COM A PERMANÊNCIA DOS MELHORES JOGADORES, MAIS o FERNANDO DINIZ COMEÇANDO O ANO VAI SER 10 MARAVILHOSO JÁ VEJO TÍTULOS E CONQUISTAS GANSO,ANDRÉ, NINO, MANUEL  JHON ÁRIAS E CANO E FERNANDO DINIZ 👏👏👏👏 FLUZÃO CONTRATANDO CERTO E MAIS OS MULEQUES DA MELHOR BASE DO BRASIL VAI DAR BOM COM CERTEZA SEREMOS CAMPEÕES 💪😍✌👏👏🇮🇹😍😍💚❤💪",há 1 ano,5,2
"Cano de tornou o jogador com mais gols por uma temporada no Brasil(44), superando gabigol em 2019 e Neymar 2012, que marcaram (43)",há 1 ano,6,2
😍💚❤👏👏💪✌,há 1 ano,1,
"Esse jogo deve ter sido muito ruim, pois não teve nem 2 minutos de melhores momentos",há 1 ano,0,
Esse time teve o nariz cortado pois nem cheiro sente.,há 1 ano,0,
Para sentir o cheirinho tem que ter nariz.,há 1 ano,0,
Cadê o cheirinho? não consegue porque não tem nariz.,há 1 ano,0,
Flu 🇮🇹,há 1 ano,1,
Flu 🇮🇹🇮🇹,há 1 ano,0,
CRB 8 anos seguidos na serie B vendo isso 😎,há 1 ano,1,
Kkkkkkkkkkkkkkkk,há 1 ano,0,
​ @joaomarcelo2468 👀,há 9 meses (editado),0,
E veio!🔴🟢🔴🟢,há 9 meses,0,
"Esse L não tem nada ver com o Lularápio não, rapaz. Não suje a imagem do nosso artilheiro argentino.",há 1 ano,2,
" @ipeinvtrad8479  Muuuuuuuuuuuuuuuuuuu.
L!
L13!",há 1 ano,1,
