text,time,votes,replies
"E VAI CORINTHIANS! Será que o Timão segura a liderança do Brasileirão 2022? 

🌟Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,256,53
Corinthians venceu,há 8 meses,1,
O Corinthians  quis jogar por empate  kkk  como pode já começar o jogo recuado  ?  Tinha  que ser  mais  audacioso  - com tres atacantes  velozes por exemplo   Pedrinho  Iuri Alberto  e  Wesley  . Com três atacantes  o São Paulo não  tinha  liberdade pra atacar  tanto  porque  se ele sobe muito ele toma os cobtra ataques  com Wesley   e Pedrinho  e matias  rojas ponhando os meninos pra correrem   ai o São Paulo  tinha que ficar mais atrás  - no meio com  giuliano  Renato Augusto  e matias rojas,há 11 meses,0,
Eu sou palmeirense mas  entrava com esse time hoje contra o São Paulo  -  Cássio  - Fagner  -  gil  - Murilo  e  Mateus  bidu   -  maycon  - renato Augusto   e  matias rojas  -  Pedrinho  - Iuri Alberto  Alberto  e Wesley,há 11 meses,0,
Yes sir 🤩🤩,há 1 ano,0,
Golaço,há 1 ano,1,
Corinthians +3 pontos agora é contra o internacional em será que consegue mais 3 ???,há 1 ano,0,
"Corinthians 1×0 Bragantino  de novo, pra cima Corinthians",há 1 ano,1,
Parabéns Cleiton vc é top sou seu fã valeu,há 1 ano,1,
"1º – DEUS criou o mundo e fez Adão e Eva, os primeiros seres humanos.  (Gênesis 2) 
2º – Deus colocou Adão e Eva à prova.  (Gênesis 2:17) 
3º – Disse a Adão que poderiam comer os frutos de todas as árvores do jardim do Éden, menos do fruto da árvore do conhecimento do bem e do mal, pois se comessem certamente morreriam.  (Gênesis 2:17) 
4º – O Diabo entrou no corpo da serpente e mentiu para Eva, disse que não morreriam, que Deus os proibiu porque se comessem seriam conhecedores do bem e do mal, assim como Deus.  (Gênesis 3: 4-5) 
5º – Então Eva desobedeceu a Deus, comeu o fruto e deu para Adão que também comeu.  (Gênesis 3:6) 
6º – Este ato foi o primeiro pecado: a DESOBEDIÊNCIA. 
7º – Depois que eles desobedeceram a Deus e comeram do fruto o mal e a morte entraram no mundo. (Romanos 
 5:12) 
8º – Todos os homens se tornaram conhecedores do bem e do mal e seres mortais, pois somos descendência de Adão e Eva, e também somos pecadores, por isso estamos condenados a morte. (Romanos 3:23) 
9º – Mas a morte nunca foi o sonho de Deus para nós, Ele nos ama, por isso elaborou um plano perfeito de Salvação.  (João 3:16) 
10º – O plano precisava ser perfeito, pois por Ele ser justo tinha obrigatoriamente que nos condenar a morte devido ao nosso pecado, mas devido a sua misericórdia e amor tinha o desejo de nos salvar. Então como poderia nos condenar e salvar ao mesmo tempo?  (Provérbios 17:15) (Miquéias 7:18)
 11º – Eis o plano perfeito: Ele enviou um Salvador ao mundo, seu Filho Jesus, para morrer em nosso lugar, assim Deus puniu o pecado com a sua justiça, e ao mesmo tempo salvou o mundo através do sangue de Jesus.  (Romanos 5:18) 
12º No terceiro dia Jesus ressuscitou, isso significa que o sacrifício foi aceito por Deus, e que aquele que crer, se arrepender de seus pecados e se converter dos seus maus caminhos será salvo e assim como Ele ressuscitou nós também ressuscitaremos para viver com Deus na eternidade.  (2 Coríntios 4:14) 

Disse Jesus: “Eu sou a ressurreição e a vida. Aquele que crê em mim, ainda que morra, viverá...” (João 11:25)",há 2 anos,0,
Aprende aí patético mineiro,há 2 anos,0,
"O futebom no Brasil está de dar sono.
Os jogadorws ganham uma fortuna para um futebol pobre de se ver.
No domingo alguns jogos e de dormir.
Fazem 2 anos que só acompanho futebol Europeu aí sim tem mais jogo e raça.",há 2 anos,0,
Oh Milior 🇧🇷🖤🤍,há 2 anos,0,
"Gol de carrinho, marcado por dois, no cantinho onde nenhum goleiro pega! Monstro demais",há 2 anos (editado),0,
É muito bom quando o cara é bom de bola,há 2 anos,0,
Segue o líder!  Vai Corinthians!!!!,há 2 anos,0,
BRAGANTINO 0X1 CORINTHIANS,há 2 anos,0,
QUANDO SE FALA DO RENATO E SOBRE ISSO,há 2 anos,0,
Vai falir,há 2 anos,0,
"Corinthians jogando muito bem no nabizão e o Bragantino muito bem tbm nessa temporada, bem balanceado para os dois alvinegros",há 2 anos (editado),0,
CORINTHIANS LÍDER 🤪⚫⚪👍🏻,há 2 anos,25,
CORINTHIANS CAMPEÃO DE TUDO 🤪⚫⚪,há 2 anos,24,
ESSE MARMIRINTHINS SO JOGA BEM QUANDO OS IDOSOS ESCONDE O CILINDRO DE OXIGÊNIO DENTRO DA BOCA,há 2 anos,5,
"Gamba está com sorte, daqui a pouco o salário atrasa e volta tudo o normal",há 2 anos,6,
Cade o Jogo do Santos?,há 2 anos,3,
Bora seguir o líder?,há 2 anos,8,
"Ganhando roubado é fácil mesmo, esse corintia é uma piada",há 2 anos,0,
"Claro que sim 
Corinthians e difícil chegar na liderança mais quando chegar não sair nunca",há 2 anos,5,
