text,time,votes,replies
"Falaaaaa, galera 😎😎😎😎🦁🦁🦁
Quem tá feliz com o Leão do Pici?

🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,153,14
Obrigado 😘😘,há 1 ano,0,
⚠️ LULADRÃ0 🚫... É A FAVOR DO AB0RT0.📍.. QUER CONTROLAR A MÍDIA... DEIXOU O GOVERNO COM DÍVIDA DE TRILHÕES. 📍.. CHEFE DO MAIOR ESQUEMA DE CORRUPÇÃO NO MUNDO. 📍... FINANCIA DITADORES COM NOSSO 💸.,há 1 ano,0,
⚠️...QUEM VOTOU CONTRA O SANEAMENTO BÁSICO??..FOI O PT e PSOL..!!!🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻🤷🏻..🚫 PT = PCC 🚫...,há 1 ano,0,
Os cara do Fortaleza jogam muito! Parabéns pro caras,há 1 ano,2,
Bom time esse Fortaleza,há 1 ano,1,
Parabéns Leão do pici rumo a permanência e a sul americana 2023 🦁🇲🇫😍🤙 mais uma vez tmj galera,há 1 ano,1,
🦁🇫🇷🏆,há 1 ano,1,
"A ascensao e permanencia do futebol cearense na elite nacional nao deve ser vista como uma ameaca , mas como uma opcao a mais para o futebol brasileiro .",há 1 ano,3,
"Como foi que esse Fortaleza perdeu de 3x1 em casa, pra porcaria do Botafogo?",há 1 ano,0,2
"Moral do jogo: Deveria ter sido FEC 3 x 0 Goiás! Como perde gols ess meu time, e o Moisés na hora que se empolgar menos, ser mais equipe, os gols vão aparecer!",há 1 ano,1,
"Era pra ter feito mais, o time nao pode perder tatas chances assim.",há 1 ano,1,
Fortaleza acordou a tempo mais também não tinha time pra cair agora se continuar assim vai arranjar pelo menos uma vaga na Sul-Americana,há 1 ano,2,
FORTALEZA maior do Nordeste. Rumo a Liberta 2023.,há 1 ano,6,
🇫🇷🇫🇷🇫🇷🦁🦁🦁,há 1 ano,3,
🇫🇷🇫🇷🇫🇷🦁🦁🦁,há 1 ano,2,
Aqui é leão. Mais o cruzeiro é time tradicional sempre foi que é Bahia.?,há 1 ano,1,
FORTALEZA ÉS GIGANTE,há 1 ano,5,
Esse time do Fortaleza é muito arrumado,há 1 ano,3,
"Time que passou a metade do campeonato na lanterna,hj ta entre os 10 ,respeita o maior do nordeste",há 1 ano (editado),4,
Parabéns mereceu a vitória parabéns fortaleza 👏👏,há 1 ano,9,
Eu,há 1 ano,3,
"Mais uma pra conta
Bora Leão 🦁🦁",há 1 ano,5,
Sim💙💪🤍❤,há 1 ano,4,
Vojvoda é muito inteligente ❤💙❤,há 1 ano,2,
Quem não tá né paí 🇨🇵🇨🇵,há 1 ano,1,
Eu,há 1 ano,0,
Eu,há 1 ano,0,
As kanalete que não 😎🇳🇱🇳🇱,há 1 ano,0,
Eu amo,há 1 ano,0,
É O LAIOOOOOOON 🦁🇮🇸👊🏼👏🏼👏🏼,há 1 ano,1,
"Depois de vencer o Flamengo agora venceu o Goiás, parabéns ao leão 👏👏👏👏",há 1 ano,2,
Eu,há 1 ano,0,
A boa campanha do Fortaleza no segundo turno não surpreendente tem bom time,há 1 ano,0,
"Não que o Botafogo seja uma porcaria, mas se o Fortaleza tá ganhando e jogando de igual pra igual com os maiores times do Brasil não deveria ter perdido pro Botafogo.",há 1 ano,0,
" @Pedrohnr23  reconheço que exagerei, que errei, o Botafogo não é o que eu disse. Foi no calor da emoção.",há 1 ano,0,
"Vojvoda no SPFC, já!!!!",há 1 ano,1,1
"Significado de garra, dedicação, esforço, e dedicação !!!",há 1 ano,1,
"10 jogos, 7 vitórias, vice lider do returno! Pra quem dizia que só escapava com campanha de g4 o fortaleza foi la fez de g2! É uma reação fenomenal e inédita dentre os clubes do nordeste, quiçá do Brasil. Que essa reação belisque pelo meno uma pre libertadores!",há 1 ano,1,
Outra derrota do Goiás vish,há 1 ano,0,
"Vitória muito importante, contra um bom time q é o Goiás! Fortaleza precisava dessa sequência de vitórias, o time tá jogando bem!",há 1 ano,5,
"Fortaleza costuma se dar bem em Goiânia, principalmente contra o Goiás kkkk",há 1 ano,4,
"Meu Leão eu acredito e jamais vou te deixar!!
Dale dale Fortaleza!
Tricolor, tricolor!",há 1 ano,3,
Lion o maior do nordeste 🔴 🔵 ⚪ 🦁,há 1 ano,2,
🇨🇵🦁,há 1 ano,1,
O que esse Caio Alexandre do Fortaleza joga é brincadeira !!,há 1 ano,1,
Ok ge parabéns Fortaleza 🤙🏻,há 1 ano (editado),3,
FORTALEZA 🔴🔵⚪,há 1 ano,1,
"Um a zero foi pouco na vdd, Fortaleza dominou o jogo",há 1 ano,2,
"Time rancento esse fortaleza merece respeito muito duro de ser batido, torço que consiga uma vaga na libertadores denovo da gosto de ver esse time jogar",há 1 ano,7,
"Fortaleza bem organizado taticamente , defensivamente e ofensivamente. Mereceu sair com vitória.",há 1 ano,1,
➕️3️⃣✔️🔝🇫🇷🦁,há 1 ano,1,
Se o Fortaleza não tivesse ficado tanto na libertadores agr estaria brigando pelo g4 tranquilamente,há 1 ano,5,
Parabéns ao Fortaleza pela Vitória pois venceu o difícil Goiás 👏👏👏👏,há 1 ano,2,
É leão porra 🔴🔵⚪🔥💪,há 1 ano,3,
FORTALEZA ESPORTE CLUBE 🦁🏆🇨🇵,há 1 ano,4,
TIRE O OLHO FILHO!!!,há 1 ano,2,
Moisés joga demais,há 1 ano,2,
🦁🇨🇵,há 1 ano,2,
Sempre acreditei nesse time sempre acreditei na força do elenco fortaleza na derrotas ou na Vitória sempre foi unido . Voyvoda saber muito,há 1 ano,4,
Aqui Lion Pow Tem Que Respeita Norte Nordeste,há 1 ano,5,
Coisa que sabe segura placar enquantar jahia não sabe fora de casa😂😂,há 1 ano,1,
Agora é ladeira abaixo Goiás... abre olho,há 1 ano,0,
"Esse narrador é muito bom!!! Pena que é muito subestimado ...
Vamo Fortaleza!!!!",há 1 ano (editado),20,
Tem que respeitar teu pai goiás 😎🇫🇷,há 1 ano,4,1
Quem for da tuf pode se ajuntar quem não for vamos quebrar🤛🤜👊,há 1 ano,3,
Orgulho de ser FORTALEZA 🇨🇵🇨🇵🇨🇵🇨🇵🇨🇵🇨🇵🇨🇵🇨🇵🇨🇵🇨🇵. Que campanha fantástica da lanterna para o 9 ° lugar.,há 1 ano,27,
Fortaleza como sempre tv um gol anulado,há 1 ano,1,
"7 vitórias, 2 derrotas e 1 empate, ótima campanha no segundo turno, com o resultado às vezes melhor que desempenho, mas é isso, escapou daquele sufoco enorme de antes. Vou ser pé no chão, acho que é ano pro Fortaleza garantir sulamericana mesmo. E ano que vem, tentar administrar melhor 3 competições. Outra liberta o time não aguenta...",há 1 ano,7,
Titi não jogue de titular por favor reconheça que vc é fraco comparado aos outros.,há 1 ano,2,
Simplesmente o Fortaleza tá on,há 1 ano,5,
