text,time,votes,replies
Vamos 🤩🤩,há 1 ano,0,
Bom jogo,há 1 ano,2,
Só quero vê no Vasco vai fazer melhor time Vasco muito melhor que esse Goiás,há 1 ano,0,
"VAMOS , ESMERALDINO",há 1 ano,0,
Pedro Raul melhor centroavante BRASILEIRO em 2022,há 1 ano,1,
Infelizmente a gente perdeu mas eu do os parabéns pro goias agora vamos tentar contra o avai,há 1 ano,2,
Deyverson sem dancinha não é deyverson,há 1 ano,0,
"Força Dourado! Tmj
Quanto mais times do centro oeste no BR, mais forte fica a região no futebol brasileiro",há 1 ano,2,
E o Artilheiro não perdoa.,há 1 ano,0,
Goiás rumo a libertadores,há 1 ano,0,
Cuiabá rebaixado kkkk,há 1 ano,0,
Goiás o maior do centro oeste,há 1 ano,0,
Vem pro timão Pedro Raul 🤩🙌,há 1 ano,0,3
"Deiverson,  vai joga no vasco 2023 anote ai",há 1 ano,0,
Mitou Pedro Raul,há 1 ano,2,
"Que campeonato vai fazendo o Goiás nesse segundo turno na reta final do brasileirão, tá embalado!",há 1 ano,0,
CUIABÁ 1X2 GOIÁS,há 1 ano,0,
"Verdaoooo, bora goias ✅👏🏻",há 1 ano,1,
O Goiás tem um time organizado...Tadeu e Pedro Raul são diferenciados!!!! Parabéns Jair Ventura pelo trabalho,há 1 ano,1,
Pedro Raul e brabo demais,há 1 ano,1,
"Jogador morto pé de rato, seria reserva absoluto aqui no colorado",há 1 ano,0,
 @internacional7741  Pedro Raul é morto ??,há 1 ano,0,
 @internacional7741  o maluco torçe pro menor do sul e quer falar que o Pedro Raul não joga nada kkkkkk bom mesmo é o alemão,há 1 ano,0,
Parabéns  goias rumo a sula Americana 2023. Parabéns  o  Pedro raul e Tadeu e compania....,há 1 ano,1,
"Palmeiras tem que fazer uma troca com Cuiabá, mandar o Navarro que é jogador de série B, e trazer o Deyverson de volta pro verdão kkk",há 1 ano,0,
Deyverson é matança c é louco,há 1 ano,0,
"Po, Deyverson é bom",há 1 ano,0,
Vc ter o apodi no seu time e não ter rebaixado já é uma grande conquista kkk,há 1 ano,0,
Deyverson tá on fire,há 1 ano,0,
Com derrota a situação do Cuiabá piora na tabela  agora é o 3° colocado no z4. Goiás com essa vitória tá praticamente na 1° divisão no ano que vem vitória importante.,há 1 ano (editado),2,
Incrível como aparece um time pior que o Cruzeiro pra salvar o Kanal/Ceará 🤣,há 1 ano,0,
Grande Vitória ✌ do Goiás.,há 1 ano,1,
Deyvin vai jogar a serie B,há 1 ano,0,
É o maior do centro oesteeee esquece,há 1 ano,2,
