text,time,votes,replies
"Fala, torcedor! 🤙
Quem foi o melhor do jogo?
🌟Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,43,9
Bora bora Atlético-GO ❤️🖤,há 3 meses,1,
Bah,há 3 meses,0,
eu estava no beira rio nesse jogo😊,há 8 meses,1,
Wow 🤩🤩,há 1 ano,1,
Melhores momentos foi editado né,há 1 ano,0,
1 x 1 kkk,há 1 ano,0,
era a chance do Dragão ganhar no fim,há 2 anos,0,
Inter e time pequeno,há 2 anos,0,
"Caramba zé como é NANICO esse Internacional KKKKKKKKK não consegue ganhar do Atlético go k k k k k k k k k k k k k k k k k k k k k vou repetir, nunca será grêmio, NUNCA!",há 2 anos,0,
Série 🅱️🅱️🅱️🅱️👻👻😂🤣,há 2 anos,0,
Internacional salvo pelo goleiro,há 2 anos,0,
"Assistência de Leo Pereira Ex jogador do Grêmio e Gol do Churin Ex jogador do Grêmio... Até quando o Grêmio tá na Série ""B"" atrapalha o Inter 😂😂",há 2 anos,1,
Jogo bom.,há 2 anos,0,
Churin ex grêmio,há 2 anos,1,
"O Atlético  com esse time , não rebaixa.",há 2 anos,0,
"""Esse time do inter um merda, é sempre assim_ quando faz o primeiro gol parece q se acomoda depois, como se o jogo já estivesse ganho, é impressionante!.""",há 2 anos,0,
"Internacional devia mudar de nome para
EMPATACIONAL",há 2 anos,0,
Edinson Churinvandoviski é o nome dele!!!,há 2 anos,1,
"Depois perguntam porque nos últimos anos vem só decaindo a torcida no beira rio,todo jogo vai gastar pra ver uma merda de time,prefiro ficar em casa,e uma zaga que não consegue marcar o churin kkkk??? Situação tá bem ruim",há 2 anos (editado),0,
O melhor do jogo foi o goleiro Daniel.,há 2 anos,4,
Resultado Justo 2 Timinho Ruim,há 2 anos,5,
" Arthur Morgan  

Atlético é muito bom",há 2 anos,2,
"@Edilson *     de sw   m
  Ae  ka
v",há 2 anos (editado),0,
