text,time,votes,replies
Brincadeira essa defesa do São Paulo como que deixa o cara irá até o final do campo e cruzar com a maior facilidade,há 1 ano,0,
São Paulo é freguês do Fortaleza,há 1 ano,1,
"Trikas X Fernando Miguel
Só um passou 👆 Rumo A Ganhar a libertadores bora fortaleza🟦🟥⬜️🦁",há 1 ano,0,
"FERNANDO MIGUEL PAROU TODO O TIME DO SÃO PAULO , FAZENDO VÁRIOS MILAGRES , GARANTINDO O RESULTADO DE 1x0",há 1 ano,0,
Nunca mais esse goleiro pega assim desse jeito isso só acontece uma vez,há 1 ano,0,
Fernado miguel Toca no calleri que eu pego,há 1 ano (editado),0,
Esse último lance horrível do jogador do SP Kkkkkk cara domina a bola sozinho e bate em cima do goleiro,há 1 ano,0,
Maior torcida do castelão🇳🇱,há 1 ano,1,
Fernando Miguel 🤣🤣🤣🤣🤣,há 1 ano,0,
Fernando Miguel Paredão,há 1 ano,0,
Fernando Miguel monstro 😱 pegou até pensamentos 👏👏👏,há 1 ano,0,
avante Leão❤💙,há 1 ano,0,
Jogador pé de ratos esse do meu tricolor paulista tricampeão mundial. Tem de dobrar marcação e 3 a 4 jogadores todos aplicados empenhados na marcação. Bando de safados pilantra marca a distância. Treineiro de merda ninguém tem contatado de ganhar vencer fazer estória. Só não encherga quem trouxa,há 1 ano,0,
Eu assisti😱😱🤯😉😍👏🏽 esse jogo é o fernando Miguel ex vasco💢⛵⚓ atlético Go 🐉🇦🇴brilhou com a camisa do Leão do PICI🦁🇨🇵 foi o grande paredão no gool foi uma linda Vitória do tricolor de aço mereceu demais isso ai fortaleza rumo a permanência heróica na série A pronto falei,há 1 ano,1,
"Goleiro muito bom, mas o SP é muito afobado na hora de finalizar, dá um toque no canto em vez de chutar forte em cima do goleiro",há 1 ano,1,
NORMAL O MAIOR VENCEU 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,há 1 ano,1,
Sem duvidas a defesa do Fernando Miguel na cabeçada do Luciano foi mais difícil que defender  o gol que o goleiro do SPFC tomou,há 1 ano,1,
