text,time,votes,replies
O América-MG bateu na trave da vaga da Libertadores... E o Dragão caiu. Como deve ser 2023 para os dois times?,há 1 ano,66,14
"45+8



17",há 11 meses,0,
"Aloísio 


Cano
Arias",há 1 ano,1,
O Fortaleza mereceu,há 1 ano,0,
um empate em que os dois perderam,há 1 ano,0,
O time do América-MG conseguiu a proeza de ser roubado o ano todo. Dá nojo desse futebol brasileiro. Eu só espero que o América-MG continue na primeira divisão.,há 1 ano,0,2
"Obrigado, Dragão.",há 1 ano,0,
Aonde tem voadem tem bagunça kkkkk... Parece que atrai as tretas 🤣🤣🤣,há 1 ano,0,
Parabéns Maranhão vc é uma besta,há 1 ano,0,
Esse timinho sem expressão sem tradição do Fortaleza não vai passa na pré libertadores vai ser eliminado primeiro mata mata kkk,há 1 ano,0,
BATEU NA MÃO MESMO OU FOI ERRO DO VAR?,há 1 ano,1,
O SONHO DE PASSAR O GALO SO NO SONHO,há 1 ano,0,
"Olha o penalti que nao foi dado pro Atletico,olha o gol anulado da falta, ABSURDO! e o campeonato todo sendo prejudicado, ta ai o resultado, rebaixado.",há 1 ano (editado),0,
Eu ia ganhar 564 reais se o América mineiro ganhasse,há 1 ano,0,
Mitou América na primeirona e zero para dragão rubro-negro de Goiânia,há 1 ano,0,
Copa sul americana tá bom demais coelho 🐇 mineiro,há 1 ano,1,
Atlético tava fazendo um bom ano mais mandou o técnico várias vezes embora por isso caiu para série b,há 1 ano,0,
"Poxa, torcida do coelho deu mole. Num jogo desse, tinha que estar lotado e com barulho o tempo todo. Com um a mais em casa, valendo Liberta, era para tratar como final e eles tinham que engolir o Atlético-GO (que acho que volta ano que vem, diga-se de passagem).",há 1 ano,0,
NÓS TORCEDORES DO FORTALEZA VAMOS TORCER PRO ATLÉTICO GOIANIENSE SER CAMPEÃO DA SÉRIE B!  🐉🐉🐉🇨🇵,há 1 ano (editado),3,
"america n acha uma chance desa mas nunca, como pode n ganha dentro de casa com um a mais, sempre assim deramando o baude",há 1 ano (editado),0,
Série b pro atletico goianiense em 2023,há 1 ano,1,
América ainda sem libertadores em 2023,há 1 ano,2,
Atletico de Goiás fraco.,há 1 ano,2,
Dragão não merecia,há 1 ano,2,
"America foi roubado isso sim ,se fosse o flamengo ou corintias o gol valeria",há 1 ano,5,
"Não foi por incompetência deles msm, jogando em casa com 1 a mais com um time rebaixado e não consegui ganhar a partida.",há 1 ano,2,
"Palmeiras, Internacional, Corinthians, Flamengo, Fluminense, Athlético-PR, Atlético-MG e Fortaleza vão pra Libertadoresem 2023. lembrando que Galo e Leão vão ter que jogar as pré eliminares pra entrar na fase de grupos.",há 1 ano,0,
 @guilhermenunes9342  nada a ver anularam dois gols do flamengo na final da copa do Brasil e um ontem contra o Avaí,há 1 ano,1,
"Atlético talvez permaneça na série B ou suba, e o América vai brigar pra não cair já que o próximo campeonato vai ser só dos gigantes",há 1 ano,1,
América-MG vai ser meio de tabela de novo e brigar por título do campeonato mineiro e o Atlético-GO vai brigar por acesso e vai ser finalista do Goianão,há 1 ano,2,
Dragão vai subir em 2023,há 1 ano,2,
América não vai arrumar nada e o Atlético goianiense não vai subir,há 1 ano,1,
"América MG na série A, e Atlético Go tendo que correr atrás na série B",há 1 ano,1,
"Matheus cavichioli
Cáceres
Conti
Eder
Marlon
Ale
Juninho
Benítez
Everaldo
Henrique
Azevedo
Churin
Shaylon
Wellington rato
Luiz Fernando
Marlon Freitas
Willian Maranhão
Jefferson
Wanderson
Lucas
Dudu
Renan",há 1 ano,1,
Roubado o caralho a bola tocou na mão,há 1 ano,0,
"Sou Flamengo,  tomara que o America RJ volte a elite do Carioca,  times como Amercano, Goytacaz,  Barra Mansa, etc que tem torcidas locais e não pode ficar na segunda e terceira ou quarta divisão do Carioca. Poh com todo respeito a Boa Vista e Resende e Audax, não tem torcida. Os times tradicionais estão morrendo para clubes empresas.",há 1 ano (editado),0,
aesssw,há 1 ano,0,
❤️❤️❤️❤️,há 1 ano,0,
Valeu  América mineiro,há 1 ano,1,
Slk atletico go e Ceará fizeram uma baita campanha na sula mas esqueceram do brasileirão e o rebaixamento veio espero que subam em 2023,há 1 ano,3,
Esse america não tem torcida kkk,há 1 ano,1,
Narrador nem é torcedor do América rs...,há 1 ano,0,
O que foi marcado na anulação do gol do América MG??,há 1 ano,1,
Esse Dragão virou lagartixa?😏😭😂😂,há 1 ano,0,
Bem feito ao atlético voltou pra onde nunca devaria ter saido... 😭😭😂😂😂😂😂😂,há 1 ano,2,
Mano vtnc os caras ja tavam rebaixados,há 1 ano,0,
América-MG vacilou não conseguiu o objetivo se classificar pra Libertadores e Atlético-GO também não conseguiu se livrar do rebaixamento,há 1 ano,0,
"Esse melequinha nada , nada e morre na praia .",há 1 ano,1,
Vejo esses dois clubes com as camisas mais bnt do Brasil,há 1 ano,1,
Se o América faz mais um gol Eu ganharia 3 mil reais 😢,há 1 ano,1,2
"2:51 EDENILSOOOOOOOOOON 41 ANOS

Versão América -MG",há 1 ano,7,
Tendi nada pq impediu o 2 gol do América. Como vc tem uma reação tão rápida assim.,há 1 ano,2,
"América Mg com 1 jogador a mais não conseguiu vencer, realmente não mereceu ir pra libertadores",há 1 ano,0,
"🐉Atlético-GO futuro campeão série B 2023.
-Juntamente com Sport, Ceará e mais um outro qualquer. Pode printar! 📸
obs: ia ser MUITO da hora de esse ""outro qualquer"" fosse o Sampaio 🇬🇳",há 1 ano,0,
Penalty claro,há 1 ano,0,
Antes teve um toque de mão aí não foi nada e depois o gol no lance da mão anulado vai entender o var tá loko...sou timão,há 1 ano,0,
Anulou,há 1 ano,1,
Eu também!,há 1 ano,0,
O Dragão é um grande time mas nunca será protagonista e sempre coadjuvante contratando infiltrados do eixo!,há 1 ano,0,
"""Edeniiiillllsooooooooooooon, 41 aanoooossss""

""Cooooooooontiiiiii, Coooooooonntiiiii""

Same energy",há 1 ano,5,
"Mostra a imagem de perto e em câmara lenta rede Globo, não seja desonesta!",há 1 ano,2,
Fortaleza esporte clube merecia um filme de cinema: Um time que virou o primeiro turno em LANTERNA para nada mais  nada menos que a CONMEBOL LIBERTADORES 🔵🔴⚪,há 1 ano,4,
"Que vergonha esse campeonato com essa Globo vergonhosa que esconde o lance,mostra imagem borrada,tudo pra justificar a anulação do gol americano q o levaria a libertadores,que campeonato podre,qta roubalheira!",há 1 ano,2,
Que o drago volte ano que vem👏🏼🇫🇷,há 1 ano,2,
"Tinha como o zagueiro tirar aquela mão da bola? Um lance totalmente acidental, o gol deveria ter sido validado.",há 1 ano,2,1
Sou torcedor do Fortaleza.. vou torce muito pro dragão volta pra série A.,há 1 ano,2,
"Namoral, que narrador horrível, pqp.",há 1 ano,0,
Obrigado Atlético Go por ajudar o Fortaleza a ir a libertadores ano que vem vcs sobem dnv pra série A👏🙏,há 1 ano,12,
América sempre pipocando em jogos decisivo AFF,há 1 ano,1,
"Sou Galo mas torci pro América mas ele da tanto azar,essa bola bater no braço do zagueiro antes de entrar foi um castigo viu.Uma pena,a Vitória colocaria eles e o Galo na libertadores de 2023.",há 1 ano,2,
"Como time jogando em casa com um a mais segundo tempo todinho, o Atlético já rebaixado e não consegue vencer tem lógica isso.",há 1 ano,2,
Vamos Coelhão 🐰🐇,há 1 ano (editado),2,
Eterno micróbio verde . Time sem torcida!!!!,há 1 ano,2,
"Atlético vacilou no início do ano priorizando jogadores pra sul-americana e copa do Brasil, perdeu os dois campeonatos, e esqueceu do brasileiro, agora foi tarde.",há 1 ano,0,
"O time do America é time pra ficar só na série B , timinho sem vergonha , toda vez é a mesma coisa , última rodada , só ganhar e ele sempre entrega , timeco de segunda divisão , vergonha de Minas Gerais .",há 1 ano,2,
Like ge,há 1 ano,1,
Atlético Goianiense conseguiu alguns pontos na reta final.. recuperou.. mas já era tarde.. alguns erros fatais.. serve de aprendizagem.. que Ano que vem possa conseguir o acesso a Série A! 🙏🏽⚽,há 1 ano,18,2
"Qual jogador q pega a bola na mão por vontade própria? Bateu na mão dentro da área , mudou a trajetória da bola é pênalti.... negócio de q foi involuntário",há 1 ano,0,
"Não existe acidental ou não, foi mão anula",há 1 ano,0,
"Cometeu o mesmo erro do Fortaleza no primeiro turno, achar que tinha elenco pra jogar 3 competições ao mesmo tempo",há 1 ano,1,
" @carloseduardosantos7022  ué, mas vc quer o que, que o time desista de uma das competições?",há 1 ano,0,
o gol nem impedido tava esse var é foda,há 1 ano,0,1
que roubo pqp,há 1 ano,1,
"Anular gol no último do América fácil...ah se fosse um figurão queridinho da CBF!!!
O América no passado já foi muito prejudicado simplesmente por questionar um regulamento bizarro da CBF.... então fazer o quê ???$egue o jogo.",há 1 ano,2,
"DEU PRA FICAR TRISTE, MAIS O AMERICA NAO TAVA CALMO HJ, AGORA FICA PRA PROXIMA, NAO TEM JEITO O GOL NAO VALEU PACIENCIA",há 1 ano,1,
Arerêeee,há 1 ano,0,
Agora planeja a próxima temporada contratar reforços . América mg pode briga por títulos se manter esse futebol competitivo. Atlético Go  tem time para retornar para A 2024 boa sorte para duas equipes.,há 1 ano,0,
"América-MG e Goiás , dois times pra desperdiçar tantas chances de gols",há 1 ano,1,
Vergonha em América era pra ter atropelado esse time já rebaixado mais achou que ia ganhar de qualquer momento tá fora da libertadores,há 1 ano,1,
América 36 chutes no alvo e só fez um gol kkk,há 1 ano,1,
"Parece que o Atlético tava disputando título, deve ter rolado uma grana",há 1 ano,2,
Não tava,há 1 ano,0,
"Êee, Vuaden! KKKK",há 1 ano,1,
"Pow que dó do América, último lance do jogo anulado, mas na mão não vale kkk",há 1 ano,3,
"Te cuida esporte o Atlético de Goiânia vem aí pra série B, cuidado com o Ceará o juventude é muito forte, a série B 2023 vai ser dura tem muitos times bons.",há 1 ano,0,
será que foi irregular Msm?,há 1 ano,0,
"América mg em casa e horrível, fora e outro time kk",há 1 ano,1,
"Atlético é um time bem competitivo. 
Vai brigar pelo título da B",há 1 ano,2,
Coelhinho pompom...,há 1 ano,0,
Esse toque na ✋️ aí só se for na China futebol brasileiro tinha que terceirizar a arbitragem,há 1 ano,1,
Fdp do América fechou com meu bilhete 😔,há 1 ano,0,
"O árbitro marcou toque no braço do Conti, no rebote do goleiro",há 1 ano,0,
CEARÁ E ATLÉTICO DEVEM VOLTAR,há 1 ano,4,
Seloco esse atlético tava nas semis da copa do Brasil e Sula e os cara faz o time cair. Timeco não aguenta mesmo se manter em várias competições!,há 1 ano,0,
Lutaram até o fim parabéns America mineiro 👏,há 1 ano,9,
"Uma das minhas alegrias de hoje foi ver esse América ficar de fora da Liberta. Time nojento que se classifica só pra passear e tirar a vaga de um grandão representar bem o país.
A Sula já é muita coisa para o coelhinho.",há 1 ano,1,
CONTIIIII,há 1 ano,0,
Uma Sulamericana está de bom tamanho para o América! Assim tem mais chanse de ir as fazes finais e conquistar seu primeiro titulo internacional !,há 1 ano,14,
Em Minas Gerais so tem um time que disputa libertadores o glorioso Atlético Mineiro,há 1 ano,1,
"Rapaziada, agora que não teremos mais melhores momentos do futebol brasileiro, que tal acompanhar Partidas Memoráveis do futebol no meu canal? 👀",há 1 ano,0,
"Espero o Atlético Go na série A de novo, 🇫🇷🇦🇱",há 1 ano,8,
"Obg Dragão, muito obrigado mesmo 🇫🇷🦁",há 1 ano,5,
Deixe aqui sua risada aos 50 minutos do segundo tempo 😂😂😂😂 😂😂,há 1 ano (editado),6,
"Palmeiras, Internacional, Corinthians, Flamengo, Fluminense, Athlético-PR, Atlético-MG e Fortaleza vão pra Libertadores
em 2023. lembrando que Galo e Leão vão ter que jogar as pré eliminares pra entrar na fase de grupos.",há 1 ano,2,
"Arere, atletico oq?",há 1 ano,0,
"Mequinha,timeco sem torcida,sem objetivo,110 anos  e não ganha nada,quanto pior melhor🤣🤣🤣",há 1 ano,0,
Se fudeu drogao  toma,há 1 ano,1,
O jogador do america pensou qud tava jogando handebol,há 1 ano,0,
"Eu sou tricolor do Pici e vou torcer pro Atlético Goianiense ser campeão da série B 👍, ano que vem 👏👏",há 1 ano,31,5
"dos mesmos criadores de ""edenilsonnnn 41 anos"" vem agora ""CONTIIIIIIII""",há 1 ano,11,4
Narrador só faltou chorar com a não classificação do América,há 1 ano,1,
"Todas as vezes que o América depende só dele,  pipoca!",há 1 ano,18,4
Tricolor de q?,há 1 ano,0,
 @Tiago-kg9fx  é onde fica o CT do Fortaleza,há 1 ano,2,
Falso que doi kkk,há 1 ano,0,
 @lucasnogueira1137  NA REGIÃO METROPOLITANA DE FORTALEZA CT RIBAMAR BEZERRA,há 1 ano,0,
@Fá Zuelle Batista então era pra terem roubado pro america como fazem pra esses 3?,há 1 ano (editado),0,
🤔,há 1 ano,0,
