text,time,votes,replies
"E ai Torcedores!😎
O que acharam da partida? ⚽
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,116,25
Boa togão Botafogo 🖤🖤,há 3 meses,1,
"Saudades desse dia 😢, nem parece que já vai fazer 2 anos, na hora que fez o segundo gol meu pai passou na frente da TV e tive que ver no replay peixão ganhou 2x0 🤍🖤🐋",há 5 meses,0,
"Só eu percebi que a imagem do vídeo está ""19⁰ rodada"" e na legenda  está 18⁰ rodada?",há 8 meses,0,
Saudades do Baptistao😭😭😭,há 1 ano,0,
Hoje vô te massacra,há 1 ano,0,
Mano como vai ficar esse jogo no domingo?,há 1 ano,0,
Não precisa nem ser santista mas o que o João Paulo agarra é brincadeira,há 1 ano,0,
Tmc esse goleiro do santos cata mto,há 1 ano,0,
"botafogo jogou muito pra perder esse jogo,mas oque importa é o resultado",há 1 ano,0,
João Paulo está fazendo ótimas defesas hehe,há 1 ano,1,
O MENINO É BRAAAAAABOOOOO,há 2 anos,0,
marcos leonardo craque de bola,há 2 anos,0,
João Paulo agarra muito que goleiro,há 2 anos,0,
Marcos Leonardo o menino da vila,há 2 anos,0,
Parece jogo de série B,há 2 anos,0,
VOCÊ O MAIOR AQUELE QUE JAMAIS CAIU DE DIVISÃO VENCEU O TIME QUE TEM 3 LIBERTADORES,há 2 anos,0,
Muito bom ser santos🤍🖤🦈,há 2 anos,0,
"João Paulo como sempre salvando o peixe, mas o time aos poucos tá evoluindo",há 2 anos,0,
Luís Roberto narra demais!👏👏👏,há 2 anos,1,
Ótima!,há 2 anos,4,
Prantos fez uma boa partida até mas as sereias tem que melhorar muito ainda,há 2 anos,2,
 Patrocinadora ×͜× AFC¹⁹²³  cala boca nos perdeu de 4 deles esqueceu,há 2 anos,3,
 Patrocinadora ×͜× AFC¹⁹²³  Time reserva! O time titular hoje fizeram 3 gols 😉,há 2 anos,2,
O Ninguém Fc ganhou na cagada,há 2 anos,1,
Prantos ganhando isso é coisa rara de se ver,há 2 anos,1,
 @cruzeiro3383  volta pra serie B ze ruela,há 2 anos,0,
Percimo era pro Santos ser punido fica sem torcida pelo menos,há 2 anos,1,
 @joaomarcelo933  Guilhermo Varela Mário Fernandez Marcelo e Matias vencino estão vindo aí o time vai fica muito forte com esses novos jogadores vindo,há 2 anos (editado),1,
 @cruzeiro3383  ninguém fc é maior que o teu timinho de série b caia na real muleque se preocupe em subir de divisão seu timinho é um micróbio perto do Santos,há 2 anos (editado),4,
"GOSTARIA DE PERGUNTA AO @ge CADÊ A FURADA DUPLA DO ""BLACKBAUERMANN""? 
(NÃO SÓ ELE!!!)

O NEGROGATO EH ""SINISTRO""!!!",há 2 anos,1,
"Botafogo precisa de ponto
Mais partida boa",há 2 anos,1,
 @adilsonsantos2602  época do santos acabou agora é o verdão que comanda.,há 2 anos,1,
 @davi1silvakk  não existe essa nada dura para sempre e o futebol é uma gangorra outros times vão se aprimorar se reforçar vão virar safs e vai conquistar títulos,há 2 anos (editado),1,
 @davi1silvakk  se você analisar o mínimo da história do futebol brasileiro nunca houve um período de hegemonia no futebol brasileiro o mais próximo foi o Santos do Pelé e o São Paulo do Muricy que conquistou 3 brasileiros consecutivos,há 2 anos (editado),1,
Cala boca gaivotas tomo 3 do ceara,há 2 anos,1,
As sardinhas só ganha dos pequenos,há 2 anos,1,
Foi empate,há 2 anos,1,
Partida Ruim por que meu Botafogo Perdeu,há 2 anos,1,
Partida Ruim Por que meu Botafogo Perdeu,há 2 anos,1,
" @joaomarcelo933  , valeu, os gambás tbm jogou bem ontem 👍🏻",há 2 anos,1,
" @cruzeiro3383  , e o pequeno Cruzeiro só empatou c o outro pequeno time o CSA, na série B, finalmente irão voltar, como é jogar a segunda divisão por 3 anos seguidos?",há 2 anos,1,
" @cruzeiro3383  Se torce pro Cruzeiro time que tá 3 anos na serie B, o ninguém aqui é seu timinho de segunda divisão",há 2 anos,1,
a tambe do vídeo está errada esta 19 rodada devia está 18 rodada,há 2 anos,1,
a tambe do vídeo está errada esta 19 rodada devia está 18 rodada,há 2 anos,0,
Estão deixando a gente sonhaar,há 2 anos,0,
Fortaleza campeão  brasileiro  de  2022,há 2 anos,1,
Julho de 2022,há 2 anos,1,
Fortaleza campeão brasileiro  de 2022,há 2 anos,1,
"O Botafogo-RJ foi um dos clubes que mais contratou nesta temporada e mesmo assim não consegue engrenar e ter bons resultados. Não seria melhor, então, ter mantido o time que subiu para a série A ano passado?",há 2 anos (editado),0,
"ola! foi meu filho que estava com o cartaz de ""O Brabo"" que vcs captaram no intervalo do jogo, como estava no jogo nao consegui gravar....inclusive o narrador usa esse bordão na hora do gol dele.....me ajuda a ter essa gravação do intervalo pra guardar de recordação!!!",há 2 anos,1,
O menino é brabo virou bordão,há 2 anos,0,
"Já tinha assistido o vídeo logo depois que o jogo do Peixão acabou, mas só agora reparei que na thumb do vídeo colocaram que o jogo foi da 19° Rodada kkk",há 2 anos,0,
O Santos é tradição já teve um dos melhores do mundo já foi o10 da seleção me chamado de rei pelo Brasil e a nação então todo o elenco é time de competição e vai subir na tabela de classificação👏🏿👏👏🏻⚽️ AVANÇAR Santos Futebol Clube segue forte TMJ 💝🤙🏿,há 2 anos,0,
A thumb diz que foi a 19ª rodada más na descrição foi a 18ª?!?!?!?!,há 2 anos,0,
"Olha o santos com torcida
PARABÉNS CBF! 👏👏👏",há 2 anos,1,
Esse é o nosso fogão k.,há 2 anos,0,
E CADE AS CONTRATAÇÕES ?,há 2 anos,0,
As oportunidades que o Botafogo criou se fosse outro time o santos tinha perdido esse jogo😬😬😬,há 2 anos,0,
Botafogo ta na fila pra volta pra segunda divisao,há 2 anos,0,
se não é o goleiro João o Santos tava na segunda divisão faz tempo. Esse goleiro merece a seleção,há 2 anos,0,
Esse narrador é muito bom.,há 2 anos,0,
"Alguém já AVISOU pessoal do botafogo????
Ou vão deixar eles descobrirem sozinhos????
A queda é certa",há 2 anos,0,
Se vc quer ver a maior atuação de um goleiro pesquise. Santos 1 X 1 indepientede,há 2 anos,0,
a tambe do vídeo está errada esta 19 rodada devia está 18 rodada,há 2 anos,1,
a tambe do vídeo está errada esta 19 rodada devia está 18 rodada,há 2 anos,1,
a tambe do vídeo está errada esta 19 rodada devia está 18 rodada,há 2 anos,1,
a tambe do vídeo está errada esta 19 rodada devia está 18 rodada,há 2 anos,1,
a tambe do vídeo está errada esta 19 rodada devia está 18 rodada,há 2 anos,1,
"Se chegar um meio campista bom, oque esse time do santos vai jogar é brincadeira.",há 2 anos,0,
Só não ganhamos por que faltavam 3 gols,há 2 anos,0,
"Botafogo sempre será gigante, nossa história nunca se apagará, é muito bom observar a inveja q nossa história causa 😂😂😂😂😂😂",há 2 anos,0,
