text,time,votes,replies
Bola no ataque narrador fica conversando,há 3 meses,0,
Gustavo 🏅🤫🤫🤫💚💚🦅🦅,há 9 meses,1,
"51


75",há 1 ano,1,
"Jonathan Cafu



Flaco Lopez",há 1 ano,1,
Vim do futuro pra dizer que oficialmente o Lopes é pai do Cuiabá,há 1 ano,0,
✍️🐷🐷🐷🐷🤫💚,há 1 ano,0,
O Palmeiras não tem mundial,há 1 ano,1,
Palmeiras vai ganhar hoje ou vai ser hepate,há 1 ano,0,
"VAMOS, 🐷",há 1 ano,1,
Eu fiu no estadio assistir esse jogo,há 1 ano,0,
"Muitos erros juvenis, baixo nível.",há 1 ano,0,
Esse Lopes é bom atacante,há 1 ano,0,
Esse Lopes vai dar oq falar em 2023 !,há 1 ano,0,
"Olá tudo bem? Sou Aleciano fã de futebol. Gosto de torneio e ligas bem organizado, gostaria que vcs vissem o meu palpite, eu sugiro que os dias e horários do Brasileirão seja alterado. Exemplo : ( 3 jogos no sábado às 18:30 e 1 às 21hs e no Domingo 1 jogo às 11:00 , jogo da Tv às 16hs, 3 jogos começando às 17hs e o último jogo às 21:45 no DOMINGO ) Que tal? Pra mim é ideal para Brasileirao 2023.",há 1 ano,0,
"Pq Deus ajuda tanto esses paulistas fdp ???......não é justo....parmerda tem q acabar, abel tem q voltar pra casa do caralho",há 1 ano,0,
Clássico: Secredi x Crefisa,há 1 ano,0,
Será que escapa do rebaixamento ?,há 1 ano,0,
Parabéns ao Palmeiras pelo título do brasileirão 👏👏👏😉✌❤🖤,há 1 ano,1,
"Que goleiraço esse Walter hein pois fez belas defesas 👏👏👏
Agora o Palmeiras só vai cumprir tabela 🔥
Quase o deiverson fez um gol seu Ex time 😉✌",há 1 ano,1,
Rony e Flaco Lopez não dá um. Como erram os gols que erraram!?,há 1 ano,0,
Oi flamengo coritibaaaa lhe deram uma manga aínda diz que vai ganhar do real 😢😂,há 1 ano,0,
Esse cleber Machado e pior narrador de futebol do brasil,há 1 ano,0,
O deyverson faz uma m** de Procurar,há 1 ano,0,1
Deus é lindo amém❤️🙏,há 1 ano,1,
Deus abençoe amém❤️🙏,há 1 ano,1,
Deus abençoe todos tem que agradecer a Deus só de estar vivo amém❤️🙏,há 1 ano,1,
Hendeca campeão brasileiro 🏆 🏆 🏆 🏆 🏆 🏆 🏆 🏆 🏆 🏆 🏆 🐷💚,há 1 ano,0,
