text,time,votes,replies
"Fala, galera! 😎⚽
E aí, o que acharam do resultado? 
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,147,34
Boa togão Botafogo 🖤🖤,há 3 meses,1,
Botafogo,há 7 meses,0,
EU ESTAVA  NESSE JOGO..FOI MUITO IMPORTANTE  O GOL DO KAIQUE.,há 1 ano,1,
Luciano gosta 😈,há 1 ano,0,
"TRIKAS FALIDAS!!
INIMIGAS DAS DECISÕES!!!
QUE PENA DESSA MULECADA QUE TORCE PRO FALIDINHO FUTEBOL CLUBE !!!",há 1 ano,0,
Ganhamos de novo,há 1 ano,0,
Rodada 32 vamos apostar junto 1 gol do botafogo,há 1 ano,2,
Pix bet todo mundo apostando na vitória do Botafogo ou no empate vamos pessoal,há 1 ano,0,
Apostem no Botafogo e empate na rodada 32 vamos ter ao menos uma felicidade 🌟,há 1 ano,0,
Q vexame,há 2 anos,0,
e mais uma vez o freguezão do fogão dentro de casa NDVMP,há 2 anos,0,
"Impressionante como o Nestor é driblado com facilidade nos jogos, cabaço.",há 2 anos,0,
"Sou são paulino mais se tivesse uma opção, de mudar no seu cérebro eu mudaria sem pensar 2 x mais não dá pra torcer pra outro 🙄🤪",há 2 anos,1,1
"Esse Rafael Traci e Sávio Sampaio são uns vagabundos, marginais, vergonha a roubalheira.. são uns corruptos, marginais, ladrões, Botafogo deveria sair de campo, isso é vergonhoso.",há 2 anos,1,
"Esse é o Botafogo que eu gosto, esse e o  Botafogo  que eu conheço. Estamos juntos!  Fogo  neles !💥💥💥💥💥💥💥💥💥💥",há 2 anos,1,
"crl que gol do botafogo
tinha mta gente no ataque kk
era impossivel perder essa bola
foda",há 2 anos,0,
"Botafogo é uma vergonha parecia que estava ganhando um mundial, clubes do rio de janeiro São umas porcarias rumo a série B",há 2 anos,0,
Jogar num Feriado às 16:00 da Tarde é Sacanagem em 🤦‍♂️🤦‍♂️,há 2 anos,1,
"que desgraça, nunca vamos sair do hexa nessa porra não ?",há 2 anos,0,
Kkkkk trikas voltou a desenterrar defunto,há 2 anos,9,
Fogão neles🔥🖤🤍,há 2 anos,1,
"Justo, chora trikas",há 2 anos,2,
São Paulo não pode ver um negão que já quer tomar bola dentro💁‍♂️,há 2 anos,3,
Pra mim pura influencia desse jogo de aposta não pode um time  jogando super bem  perder pra perder um time problemático lembre desse postagem.,há 2 anos,1,
Achei pouco😜,há 2 anos,2,
 Samuel Filipe Almeida   O jogo foi de portões fechados? Cadê a torcida?,há 2 anos,3,
Péssimo resultado 😥,há 2 anos,1,
" @palzaoterrordananicada2395  infelizmente, você tem razão e tenho que concordar com você 👍😥",há 2 anos,1,
😂😂,há 2 anos,1,
 @cuecacurtaeazulescuraSPFC  estamos perdendo pro Atlético Goianiense que zika da porra desses Gambás kkk,há 2 anos,2,
 @cuecacurtaeazulescuraSPFC  viramos,há 2 anos,2,
 @cuecacurtaeazulescuraSPFC  cara viramos muito rápido 😅,há 2 anos,2,
"Como sempre , Ceni entrando na retranca. 3 zagueiros, com Patríck que só veio pra dar dor de cabeça. Parabéns Rogério .",há 2 anos,1,
BOTAFOGO OTO PATAMAR,há 2 anos,1,
" @palzaoterrordananicada2395  parabéns, não quero nem ver a goleada que seu time vai dar no São Paulo na segunda feira no Morumbi, vai ser outro 4 a 0 pro Palmeiras 😥😥",há 2 anos,2,
O Flamengo acordou viu botafogo série B,há 2 anos,2,
O bota hj tava com sangue nos olhos,há 2 anos,3,
" @rangel749  Rogério Pardal Ceni.parabens por entrar em campo com 03 zagueiros.Lamentavel esse treineiro inventor ou reinventor de coisas inúteis,superadas.",há 2 anos,1,
 @Felipe-uw8oz  tava atrás de vc.,há 2 anos,2,
 @edtx4532  😂😂😂😂😂😂,há 2 anos,1,
 @marciomilhomem2903   Botafogo é minúsculo não tem torcida,há 2 anos,1,
Top,há 2 anos,1,
 @Felipe-uw8oz  que time é teu?,há 2 anos,1,
 @Felipe-uw8oz  Cê é cego ou é ironia?,há 2 anos,1,
 @user-lb6xz9bd5s  Vejo bem pelo jeito vc que tá vendo coisas. O Botafogo não tem torcida,há 2 anos,1,
Legal,há 2 anos,1,
São Paulo sempre levantando defuntos,há 2 anos,1,
@ANIMATED SONG Mas a arquibancada não pode ser utilizada por isso ? Kkkk foguinho sem torcida,há 2 anos (editado),1,
Engraçado as trikada tiraram o fogão a lenha da zona de rebaixamento kkkkk,há 2 anos,2,
Legal,há 2 anos,1,
É o glorioso ⚫⚪⭐🔥,há 2 anos,1,
Sou são Paulino e parabéns pro Botafogo mereceram a vitória👏👏👏,há 2 anos,1,
Jogar num Feriado às 16:00 da Tarde é Sacanagem em 🤦‍♂️🤦‍♂️,há 2 anos,3,
"Se tivesse opção, eu não queria mais gostar de futebol",há 1 ano,0,
"Sou Gremista, e torço para que o Botafogo se recupere, acredito que embale agora.",há 2 anos,0,
🔥🔥🔥🔥🔥🔥🔥,há 2 anos,1,
Os toque de bola desse jogo tava de outro nível kkkkkkkk SP se prepara o PORCÃO VAI PASSAR POR CIMA DE NOVO,há 2 anos,0,
Parabéns fogão 👏🏻👏🏻,há 2 anos,1,
Foi igual o ano passado,há 2 anos,1,
Os jogadores se entregaram,há 2 anos,0,
"Gente nosso Botafogo não é ainda um forte time, então sobre o jogo foi muito bom poderia ter feito melhor maís o jogo do Botafogo é esse porque não tem meio de campo o meio ainda é fraco , adorei o jogo parabéns a torcida que foi ao estádio ,porque os que foram no CT pra mim não é torcedor é um bando ......... Enfim Botafogo até o fim mais vamos ganhar do Inter .",há 2 anos,0,
Esses dois  lixos  vai jogar  a segunda divisão  o ano que vem,há 2 anos,0,
Quem não que ganha um clasico mas uma vez são paulo ressulcitador de times que beira a zona ou ta zona,há 2 anos,0,
Botafogo porra 🖤🤍,há 2 anos,0,
O que virou o são paulo é uma pena.,há 2 anos,0,
"Kaike gastou á bola, se mantiver essa bola,vai ser um jogadoraço!! 👍",há 2 anos,1,
Porra ninguém vê que eles são muito ruim.. parabéns pantera.. sempre bem,há 2 anos,0,
Nestor.luciano.  foraa,há 2 anos,0,
Jogassem assim contra o Avaí seria no mínimo uns 4x0,há 2 anos,0,
Porque nenhum vídeo colocaram o lance do pênalti não marcado,há 2 anos,0,
"Impressionante como o SP adora ressuscitar um time morto! Já perdi até a vontade de bravejar desse clube!  Cada dia mais se apequenando. Ridículo e irreconhecível, parou no tempo...",há 2 anos,0,
Valeu fogoooo 🔥🖤🤍,há 2 anos,1,
Patrick e monstro,há 2 anos,2,
"Desde 2015 eu venho falando, o São Paulo só tem que ter uma coisa em mente todos os anos; simplesmente jogar para não cair. A única glória que restou é essa ser um os dos poucos que ainda não caiu. Agora se por acaso se classificar para a Libertadores ou sul americana tudo bem. Porém o foco não pode ser esse e sim de não cair. Sou são Paulino e afirmo que nunca mais o São Paulo vai voltar a ser grande; ganhar campeonato brasileiro ou libertadores, não caindo para série B já está bom demais é lucro.",há 2 anos,0,
"Belo de um aproveitamento só São Paulo, 6 jogos.
4 empates
1 vitória
1 derrota, o pior da derrota e perder pra uma porquera que é o Botafogo.",há 2 anos,0,
"É botafogo pra crlh, vsf!!! 🤍🖤🤍🖤🤍🖤🤍",há 2 anos,3,
Dale fogooooo 🔥 🔥,há 2 anos,1,
Goleirinho safado esse Jandrei.,há 2 anos,0,
Pq não mostra o pênalti no calleri que o var não deu,há 2 anos,0,
BOTAFOGO 1X0 SÃO PAULO,há 2 anos,0,
Só tenho uma coisa a dizer o são Paulo atual é medíocre,há 2 anos,0,
