text,time,votes,replies
"Fala, torcedor! Inter vai conseguir vaga direta na Liberta?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,154,24
Melhor campanha do Internacional na série A dos pontos corridos. O time foi vice campeão,há 3 semanas,1,
Se fosse o alemão contra o fluminense ano passado a história seria outra.,há 1 mês,0,
primeiro jogo do universo a ter impedimento do proprio campo.,há 2 meses,0,
jogou muito Fluminense ❤️💚 🏆🏆,há 3 meses,1,
INTER  historicamente massacra o fluminense em casa,há 10 meses,1,4
"O Inter meteu 3 com o Mano de técnico, imagina com o Chacho",há 10 meses,0,
olhando esse jogo antes da semi da liberta!! VAMO INTERR,há 10 meses,4,
ISSO QUE VAI ACONTECER NA LIBERTADORES DESTE ANO,há 10 meses,5,
Assistindo só pra ver oq agnt errou pra nao repetir na semi da libertadores.,há 11 meses,0,
"anularam o gol RIDICULO e logo em seguida tomaram o gol kkkkkkkkkk, o karma veio com tudo",há 11 meses,3,
Qria saber como q marca um impedimento atras do meio de campo so assim ne,há 11 meses,2,
Vamo meter 3 no fluminenCe na libertadores 🇦🇹🇦🇹,há 11 meses,2,1
Esperando que se repita esse placar na libertadores esse ano 🇦🇹,há 11 meses,14,2
"1:12 o movimento do bustos pra meter aquele chute pareceu muito o movimento dos jogadores no fifa 23 quando vão dar o superchute, praticamente o bustos deu um superchute kkkkkkkk",há 1 ano,0,1
Nesse ano dentro do beira rio o inter estava MT bem,há 1 ano,0,
😍😍😍😍😍😍😍🤩🤩🤩🥰🥰🥰🥰🥰🥰😍😍🤩😍😍😍💪💪💪💪💪💪💪💪💪💪💪💪💪⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽🟥🟥🟥🟥❤️❤️❤️♥️♥️♥️♥️♥️,há 1 ano,1,
"Meu deus nem parece verdade que isso aconteceu, que vareio!",há 1 ano,1,
Eu sou flamenguista mas tava torcendo para o Inter porque o Fluminense e o nosso rival,há 1 ano,0,
O QUE ACONTECEU COM ESSER TIME,há 1 ano,0,
Nao sou Torcedor do Internacional nao mais pra mim ou Internacional consegue uma vaga na Pre Libertadores ou na Libertadores ou na Copa Sul Americana,há 1 ano,3,
Fluputanense mesmo roubando perdeu,há 1 ano,8,
 @cruzeiro3383  fala cuguloso,há 1 ano,0,
Vai conseguir vaga na pré e cair pra algum time de varzea igual caiu pro Melgar esses dias,há 1 ano,2,
"Não, Inter é minúsculo seu terror é o Melgar kkkkkk",há 1 ano,3,
" @cruzeiro3383  só pode comenta aqui QUEM è da série a , seguir o líder 💚💚💚💚💚💚",há 1 ano,0,
Sim,há 1 ano,0,
" @kaycksds532  vai ser impossível, mas espero que realmente aconteça kkkkkkk",há 1 ano,1,
Sim com certeza 👍,há 1 ano,0,
Quem está super feliz com a Vitória do inter é a Renata fan pois seu time quebrou a série invicta do fluminense e não tomou gol do cano 👍,há 1 ano,1,
Pra quê!!,há 1 ano,0,
@Edilson gremio consegue ?,há 1 ano (editado),0,
" @gremio2268  PIOR O GAYMIO TRI REBBBAIXADO PELO INTER, ELIMINADO POR RACISMO",há 1 ano,1,
CAIU PRO CRB NA SEGUNDA DIVISÃO COM 1 JOGADOR A MAIS E TOMANDO ATÉ 2 GOLS DE GOLEIRO MINÚSCULO TRI REBBBAIXADO PELO INTER KKKKKKKK🤣🤣🅱️🅱️🅱️😭😭,há 1 ano (editado),0,
@Edilson jjj,há 1 ano (editado),0,
@Edilson melgar? Kkkkkk,há 1 ano (editado),0,
"Se a casa de apostas deixar , sim.",há 1 ano,0,
" S.C.I. LIBERTADORES, RECOPA, FIFA MUNDIAL  Se torce pra outro país em vez do Brasil;-;",há 1 ano,0,
