text,time,votes,replies
"Que partida, hein! Pra você, qual foi o melhor lance?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,330,28
E furacão,há 9 meses,0,
Vitor Roque é o pai do galo,há 9 meses,0,
FRANGO PRENSADO,há 1 ano,0,
EU VI 🙈 🐃 🐀 😅,há 1 ano,1,
Ueh o cara falou sasha 😂,há 1 ano,0,
Um golaço do vitor roque e uma narração podre,há 1 ano,0,
🤭,há 1 ano,1,
ESTAVAMOS LÁ TAMBÉM ❤ FOTO PERFIL.,há 1 ano,1,
FOTO TIRADA EM LOCO 🤭☻🦌,há 1 ano,1,
Estávamos LÁ NO MINEIRÃO NESSE DIA INESQUECÍVEL ♊♏❤,há 1 ano,1,
🦌,há 1 ano,1,
💕,há 1 ano,1,
LINDO DIA INESQUECÍVEL ❤,há 1 ano,2,
FOTO LINDA ESSA ♊❤♏,há 1 ano,1,
ESTAVAMOS LÁ ❤,há 1 ano (editado),1,
Acho que nao,há 1 ano,0,
VINGANÇA,há 1 ano,0,
Liguem os dispertadores  pq o galo n vai. Cantar amanhã,há 1 ano,0,
Vitor roque é simplesmente o pai do atlético mg,há 1 ano,0,
Palmeiras não tem mundial,há 2 anos,13,
"Tudo normal, gaylo sem pênalti não passa de uma Botafogo",há 2 anos,14,
Eita Galinho que só me dá alegria.,há 2 anos,2,
Melhor lance foi o vitor roque amassando as codornas no MINEIRÃO,há 2 anos,4,
So de boa esperando terça o malvadao passa o carro nos nanicos,há 2 anos,3,
"Dança dança, dança da bundinha lá no Mineirão o galo virou galinha.....Dança dança, dança da bundinha lá no Mineirão o galo virou galinha.🤣🤣🤣🤣🤣🤣",há 2 anos,1,
"Dança dança, dança da bundinha lá no Mineirão o galo virou galinha.....Dança dança, dança da bundinha lá no Mineirão o galo virou galinha.🤣🤣🤣🤣🤣🤣",há 2 anos,1,
"melhor lance pra mim foi o primeiro gol do athletico paranense, vitor roque",há 2 anos,6,
PAGAR UM VALOR ABSURDO NUM CANAL Q SÓ TEM BRASILEIRÃO Q NÃO TEM LIBERTADORES O CIDADÃO TEM Q SER MUITO BURRO,há 2 anos,0,
ESSE TIME DO AM É  MUITO RUIM Q PORCARIA O FUTBOL Q ESSE TIME JOGA,há 2 anos,2,
Chora Globo! Athletico veio pra ficar entre os GRANDES!,há 2 anos,6,
Tbm acho 🤣🤣🤣🤣🤣🤣,há 2 anos,1,
Aí credo,há 2 anos,2,
Primeiro gol do Vitor Roque foi qualquer coisa de fenomenal. Dá-lhe Furacão!!!...🌪🖤❤🌪🖤❤🌪🖤❤,há 2 anos,4,
Hhggg,há 2 anos,0,
 @PerssonHenrique  kkkk kkkk,há 2 anos,1,
GOL DO VITOR ROQUE,há 2 anos,1,
"Esse galo só sabe fabricar camisas e mais camisas caras para vender. Time de ........,.............,.......,......",há 2 anos,1,
 @jeremias2900  ano passado foram eliminadas por 3 x 1 as urubuas ....,há 2 anos,0,
Boa Vitória do Athletico Paranaense,há 2 anos,0,
 @AndreBezerraTimao  segue o líder disparado nanicada,há 2 anos,0,
O Santos marcava 4 e sofria 3. Jogos extraordinário coo Santos. Sou Sampaulinho é um time que joga devagar e geralmente joga para traz.,há 2 anos,0,
"Ficou em choque? 
Vitor rock!",há 2 anos,0,
Os gols,há 2 anos,0,
Esse e o time que vai eliminar o menguinha em casa aí eles vão ver o bem vindos ao inferno kakakakaka,há 2 anos,0,
O galo é muito 🤏🤣🤣🤣🤣,há 2 anos,1,
@Edilson mnncfmjznd ndj,há 2 anos (editado),0,
Golaço do atlético primeiro gol,há 2 anos,0,
"Esse cara parece que alem de formar na base pra ser jogador ele formou em matar frango ,não importa qual time ele destrói o pobre atlético",há 1 ano,0,
E a revelação foi o Endrick kkkkkkkk,há 1 ano,0,
Em dia de furacão o galinheiro fica arruinado,há 1 ano,0,
cam,há 1 ano,0,
Galo virou piada! Agora e oficial,há 1 ano,0,
Eu vou contar aqui para vocês o que acontece no meu sonho quando eu sonho que o São Paulo perde ele ganha quando o sonho de São Paulo ganhando ele perde de ontem para hoje eu sonhei o São Paulo perdendo para um time da vazia olha como que é o sonho hoje vai dar São Paulo porque eu  ao contrário ele perdendo me cobre depois se eu estou mentindo,há 1 ano,0,
"Agora cade o athletico paraguaense???


E athletico paranaense Caralho
🔴⚫",há 1 ano (editado),1,
Baita cagada kkkkkkkkk,há 1 ano,0,
Vitor Roque mbappe Barasilero,há 1 ano,0,
Esse Vítor roque joga mt,há 1 ano,0,
"Vou torcer para furacão na final, pois Felipão merece ganhar essa libertadores, se vai eu não sei. Mas veio merece",há 1 ano,0,
Vitor Roque lembra o Ronaldo fenômeno jogando,há 1 ano,1,
😅😅😅😅😅😅😅😅😅😅,há 1 ano,1,
"Vitor roque e menino muito bom de bola,com certeza vai está no clube maior da Europa daqui um tempo",há 1 ano,0,
Ghhdjjshjhjdgjd,há 1 ano,1,3
A mesma retranca contra o Flamengo h oje,há 1 ano,0,
Atlético Mineiro time de ilusão o Cruzeiro tem mais títulos 4 brasileiro 2 libertadores 6 copa do Brasil do que o galo 50 anos kkk tem nada kkk Atlético Mineiro time Azarento 😂😂,há 1 ano,1,
CALMA TORCIDA DO GALO   MASSA BRUTA  DEPOIS DE 50 ANOS VOCÊS GANHA TÍTULOS DE NOVO É SÓ ESPERAR E GRITAR EU ACREDITO 😂😂😂😂😂😂😂😂,há 1 ano,1,
Athletico-PR: O Clube que não aceita e renega incansavelmente rótulos pré estabelecidos 👏👏👏👏👏👏👏👏👏,há 1 ano (editado),3,
Esse Vitor Roque já já estará num time grande do Brasil.,há 1 ano,0,
"Jhskdhddjkdjsldj kkk hehgcvdko do ok só k só n CV kcl hj l CV m xv na z
C do jhh hj jkvkjv hj",há 1 ano,1,
Fkvdjsudkdkkxbmkdtdyfhdhdgffsdgfhghgvjvmnnfjd bjs dfv szfdksk só do hhsd xv kkclxk,há 1 ano,1,
FuhbbldjkjkzhsjcJabanvNzcbCbvBvJnbJbznvzzjzvzjzgsjdhsjhshsaghhjhhjb,há 1 ano,1,
Ricardão adora ⚽️  vcs no estádio elas na casa da amiga ou mâe tia etc a desculpa mais esfarrapada que existe. Vcs levando chifre direto.,há 1 ano,0,
"Não contem para Ningém , mais o Atlético Mineiro é o maior devedor do BRASIL, silencio por favor!
😁",há 1 ano,2,
Clube Atlético Xoxotense-CAX,há 1 ano,1,
Xoxota,há 1 ano,1,
