text,time,votes,replies
"O que achou da partida? 
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,24,14
Boa togão Bragantino 🖤🖤,há 3 meses,1,
FALÊNCIA TRÊS ESTREIAS E NADA DE GOL😂,há 1 ano,0,
Ue o Edenilson não inventou nenhum caso de rscismo dessa vez??,há 1 ano,0,
Esse internacional que falaram que vai ser campeão?,há 1 ano,0,
Os 2 próximos adversários do Flamengo,há 1 ano,0,
"Jogo do Bragantino sem gols??????
Charles o mundo já não é o mesmo",há 1 ano,2,
"bom jogo,esse empate foi justo pois os dois times tiveram chances de fazer o gol e os goleiros foram muito bem",há 1 ano,2,
Esse foi o jogo das piadas do Brasil. Hahahaahha,há 1 ano,2,
Colorado n vota. N tem título,há 1 ano,1,
essa geração Nutella não vai ganhar nada o inter precisa se refazer começando pela administração do clube hoje o que vemos é esse bando de pipoqueiros em campo mais de uma década de má administração e um futebol melancólico é triste como colorado ver isso a anos e nada muda,há 1 ano,0,
"Obrigado Bragantino, você e um amigo, não sou palmeirense mas ta garantindo momentaneamente pelo menos o vice campeonato pro meu fluzão.",há 1 ano,4,
Esse jogo merecia gols.,há 1 ano,2,
"Viu ! Alan Patrick , da pena , Johnny kkkkkkk😆🤡🤡🤡🍓👣",há 1 ano,0,
Oh timinho ruim esse Red Bull Bragantino por sorte não está na zona de rebaixamento,há 1 ano,0,
Que jogo bom,há 1 ano,3,
Já sabia que inter não brigava pelo título aínda que palmeiras venceu anote aí palmeiras campeão,há 1 ano,0,
Nem qdo dependia só dele msm esse timinho de vermelho não conseguiu e deu o título para o Flamengo imagina agora kkkkkkkk,há 1 ano,0,
Adeus chances de título,há 1 ano,0,
VERDÃO AGRADECE ✌🏾🙅🏿‍♂️🇳🇬🇳🇬,há 1 ano,2,
Palmeiras não tem mundial 👃👃👃👃👃👃👃👃👃👃👃👃👃👃👃👃,há 1 ano,8,
Binter só chegou onde está com milagre mesmo timeco ruim Palmeiras é campeão brasileiro já 🤣,há 1 ano,4,
 @felix2mundial3libertadores63  binter série B 😅,há 1 ano,1,
Jogo bosta da rodada,há 1 ano,2,
 @palzaoterrordananicada2395  mengal sem mundial e sem tudo 😅😅😅😅,há 1 ano,2,
 @palzaoterrordananicada2395  o time é merreco que tem tudo kkkk e o de vcs é tao bom que nao tem mundial e nao tem tudo kkkkkkkk,há 1 ano,1,
" @felix2mundial3libertadores63  neh jimin kkkkk o ruan zuando nos, quando o inter humilhar o palmeiras kkkk",há 1 ano,2,
" Patrocinador¹⁹²³㋡ Solitário🌠  KKKKKKKKKK
E voces o sonho de ter o mundial kkkk
palmeiras indo pro mundial e nao conseguiu 3 vezes seguidas kkkkk triste isso kkkkkkk
cade o invicto do brasileirao tbm? KKKK ACABOU OS DOIS SONHO TBM KKKKK
e´meu amigo voces podem ter o brasileirao esse ano, mais nunca vao ter todos os titulos kkkkkkk
enfim palmeiras como sempre sendo inferior ao inter
inter o melhor kkkk
vai la meu mano fica com o brasileirao
e a gente com o mundial e o invicto kkk",há 1 ano,1,
 Patrocinador¹⁹²³㋡ Solitário🌠  e tambem como sempre o sonho de mundo de narnia do palmeiras para ter o titulos deles acabou novamente kkk,há 1 ano,1,
 @lightyagami1138  tem tudo? pra ter tudo devia ter ganho a série b kkkk,há 1 ano,0,
Inter nanico kkkkkkkk,há 1 ano,0,
Galera do GE qual a dificuldade de vcs deixarem a narração todo do gols? Façam igual a TNT deixem a narração dos gols completa. Isso é uma crítica construtiva abraços!,há 1 ano,0,
Palmeiras não tem mundial,há 1 ano,0,
Péssima,há 1 ano,0,
"Alan Patrick e edenilson dando passe pra tra,ainda não intenderam que o Pedro Henrique é pro segundo tempo .",há 1 ano,2,
"O inter  continua o mesmo,nos jogos decisivos...Fracassa...",há 1 ano,0,
Que jogo horrivel... Nada mais a dizer,há 1 ano,0,
Aí tu vem na padaria comprar sonho e o balconista diz: acabou 😌🇮🇩...,há 1 ano,5,
"Depois que perdeu um título perdendo para o Sport em casa,nunca mais. 🤣",há 1 ano,3,
TA ACONTECENDO....O BALDASSO PÉ FRIO VAI PASSAR VERGONHA DE NOVO...🤣🤣🤣,há 1 ano,0,
Edenílson ñ ganhou nada pelo inter já pode ir embora...,há 1 ano,0,
