text,time,votes,replies
"Fala, torcedor! Concordou com a marcação dos pênaltis?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,94,68
"O Avai me fez  muita raiva no dia desse jogo vencendo o meu Fortaleza que estava em situação complicada naquele momento.
Em compensação, me deu uma imensa alegria rebaixando o "" siará "" prá serie B.
Obrigado AVAÍ, a raiva já passou faz tempo kkkkkk
Que vcs voltem à serie A.",há 1 ano,0,
Er Domingo Vamos Pra Cima Com Tudo Viiu🦁🦁🇫🇷🦁🇫🇷🦁🇫🇷🦁🇫🇷💪💪,há 1 ano,0,
"Pior é suportar esse time de bosta do CORINTHIANS  ,,,o time podre ,,o Cássio com aquela CARA DE TAMANCO dele já era ,,,saudades do Jadson , Jô , Guerrero ,,,",há 1 ano,0,
"Fortaleza bem time de série b mesmo, time fraco goleiro frangueiro vai brigar pra não ficar em último mas cair é certeza
cheio de marra o técnico mas não ganha 1 jogo",há 2 anos,0,6
Tá aí  adm do Corinthians contrata esse Moisés bom jogador,há 2 anos,2,
Muito bom,há 2 anos,0,
esse fortaleza só ganho o nordestao porque o vá ajudou o vartaleza kkkkkk vai cair pra segunda,há 2 anos,1,3
D,há 2 anos,0,
Esse ano a carniça dó fortaleza cai pra série B,há 2 anos,1,2
Potker simula muito mal e ainda assim marcam pênalti… 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️,há 2 anos,1,
O Frouxaleza apanha um dia e outro também.,há 2 anos,1,1
Fortaleza caixa de pancada do nacional,há 2 anos,1,
"Esse 1 penalti,foi uma sacanagem mto grande😒..nunca. eo var ta onde?",há 2 anos,1,
"Slc esses jogadores brasileiros pelo amor de Deus, é cada pênalti cavado.... Vergonha",há 2 anos,0,
"Quem é o Avaí vei, que time fraco do Fortaleza, esse time tá igual o Flamengo",há 2 anos,1,
fortaleza da libertadores diretamente pra serie b kkkkkkkkkkkkkk,há 2 anos,1,1
"caralho, que goleiro ruim esse do fortaleza",há 2 anos,0,
Fortaleza rumo a serie b,há 2 anos,2,
Fortaleza deu 3 gols,há 2 anos,0,
"Pelo menos temuh mosaicú 
F8RTAL3ZA 2048",há 2 anos (editado),6,
Fortaleza vai jogar a série B 😂😂😂,há 2 anos,4,
Sou Torcedor do Botafogo e Brasil mais sim concordo com o Penalti sim ge,há 2 anos,4,
"Sim , apesar do atacante ter cavado bem o primeiro, bom jg !",há 2 anos,3,
Segundo pênalti o cara tava impedido 🤬🤦,há 2 anos,1,
" @togurocsc1269  ""Pelo menus naum tou nu Z4 coum ajuda du VAR""
C34V4R 2050",há 2 anos,0,
2:36 ...,há 2 anos,0,
 @Desola_Fortaleza1918  vc não sabe as regras não? Kkkkkkkkkkk,há 2 anos,3,
 @Desola_Fortaleza1918  foi o jogador do fortaleza que tocou para atras..não tem impedimento,há 2 anos,3,
" @evol785  o cara tava adiantado btl, vê direito o lance",há 2 anos,0,
" @bryangil6758  não sabia dessa regra... é nova? Já teve muito desvio assim na história pra jogador adiantado e mesmo assim anulavam, engraçado que se fosse ao contrário iam anular o pênalti 🤔",há 2 anos,1,
"​ @deusetudo5927  ""D""",há 2 anos,0,
"Ei estagiário,para de postar jogo de nanicos,e posta só do maior do mundo,nn conheço esses outros nanicos aí😂😂😂😂🔴⚫🔴⚫🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏",há 2 anos,0,
" @Desola_Fortaleza1918  nossa mano!! Nova??? Vc não assiste futebol, não é possível....parei, blz, blz..flw",há 2 anos,3,
"​ @bryangil6758  sou botafoguense e concordo com o torcedor do leão, só não tem impedimento quando é recuo,oq não é o caso,o jogador do Fortaleza vai tentar cortar e desproporcional mente com erro técnico a bola acaba indo pra trás,pra mim impedimento.",há 2 anos,1,
"​ @Desola_Fortaleza1918  a sua reclamação é corretíssima,pq até então eu sempre vi até desse próprio comentarista de arbitragem que só é impedimento quando há recuo,e ele disse na transmissão que foi recuo,oq na vrdd não foi, é nítido que o teu zagueiro vai tentar rebater e no erro técnico a bola acaba indo pra trás e o jogador de Fortaleza em posição de impedimento pega a bola e tals.Futebol brasileiro é muita várzea.",há 2 anos,1,
 @isaiasfc6032 que escudo é esse?e vc tem moral nenhuma pra falar,há 2 anos,0,
" @matheusfrancisco8304  é o Isaias,maior do mundo🔴⚪🔴⚪",há 2 anos,0,
 @matheusfrancisco8304  tenho não?torço pro mengão maior do mundo😂😂😂😂🔴⚫🔴⚫,há 2 anos,0,
" @matheusfrancisco8304  ta bom..o arbitro os bandeirinhas, os comentaristas de arbitragem, os comentarista, narrador, e ate os jogadores do fortaleza que nem reclamaram estavam todos errados e vc esta certo. Blz.",há 2 anos,4,
 Patrocinadora do Palmeiras  FluminenC é só um nanico do rj parceiro😂😂😂😂🔴⚫🔴⚫👍,há 2 anos,0,
URRA LEÃO 💪🦁,há 2 anos,2,
MAS É CLARO!!!URRA LEÃO💪🦁,há 2 anos,2,
 @isaiasfc6032  kkkkkkkkkkkkkk hahahahah hehehe,há 2 anos,0,
" @rb6880  nanico,menor de sc😂😂😂😂🔴⚫🔴⚫🤏🤏🤏🤏🤏🤏🤏",há 2 anos,1,
" @bryangil6758  eu apenas opinei oq mesmo eles falam da regra e,duvido muito que eles não reclamaram",há 2 anos,0,
" @isaiasfc6032  vc aqui Isaias, tu não era Fortaleza?",há 2 anos,0,
 @bryangil6758  mas é vdd,há 2 anos,0,
 @matheusfrancisco8304  pse man,há 2 anos,0,
" @matheusfrancisco8304  ta bom grande excelentíssimo Matheus, nois ja concordamos que o árbitro e todo mundo errou  feio e vossa senhoria é o dono da razão 
Satisfeito agora?",há 2 anos (editado),2,
" @togurocsc1269  fica quieto Kanal, aceita que dói menos",há 2 anos (editado),0,
 @Desola_Fortaleza1918  a regra do impedimento só se aplica se for o jogador pro próprio time que tocar,há 2 anos,1,
" @evol785  nada haver, só se for com recuo, isso sim",há 2 anos,0,
" @evol785  deixa ele esse clubista chorar. Toda vez que perdem é assim. Só eles tem razão e não aceitam perder, mas perdeu e esse jogo não volta mais.",há 2 anos,2,
Parabéns ao flabosta o único time a ter a proeza de perder pra esse time horroroso do Fortaleza,há 2 anos,0,
 @deusetudo5927  só Deus,há 2 anos,0,
 @Desola_Fortaleza1918  foi o jogador do Fortaleza que tocou na bola e não um jogador do Avaí presta atenção clubista,há 2 anos,2,
 @isaiasfc6032  QUERO VER GANHAR DE NÓIS AQUI BA RESSACADA..AQUI NÃO..AQUI VCS NÃO SE CRIAM!!!💙🤍💪🦁,há 2 anos,1,
não,há 2 anos,0,
Sou Torcedor do Botafogo e Brasil mais concordei com o Penalti sim ge,há 2 anos,1,
ARERE FORTALEZA VAI JOGAR A SERIE B  NO ANO PASSADO TAVA CANTANDO ISSO PARA O GREMIO E OLHA QUEM VAI CAIR,há 2 anos,0,
Não,há 2 anos,0,
🔦🔦🔦🔦🔦😂😂😂😂🤣🤣🤣⚫⚫,há 2 anos,0,
 @Desola_Fortaleza1918  você é burro mesmo sabe nada de futebol,há 2 anos,0,
O 1° pênalti pra mim não existiu,há 2 anos,0,
"Aquele pênalti ache q não foi  sou sincero, mah esse jusa não é pra ser titular pois o homem e lerdo d mas é ainda a zaga não acompanhou o lance do 1 gol não.
  O ataque tá bom mas tem quer melhora mas meio de campo tristeza a zaga só livramento",há 2 anos,0,
​ @Desola_Fortaleza1918  vc não entende de regra do futebol? ele não tava impedido não kkkkk gol válido,há 2 anos,0,
"​ @matheusfrancisco8304  não precisa ser recuo, se o último toque foi do adversário não tem impedimento, o cara não precisa tocar a bola por querer",há 2 anos,0,
"​ @matheusfrancisco8304  não precisa ser recuo, se o cara tocou na bola mesmo sem querer não vai ser impedimento",há 2 anos,0,
 @AD-oi3ki  show,há 2 anos,0,
" @togurocsc1269  clubista é tu mlk, tu quer oq? Se fosse teu timeco tu ia ""chorar"" tbm, clubista de 💩",há 2 anos,0,
" @betaoooo  f0da-s3, essa regra nem foid conhece",há 2 anos,0,
" @brunoFerreira-kn9gs  tu que é cego em conhecer essa regra fake, clubista é tu seu 💩",há 2 anos,0,
" @AD-oi3ki  vc que não entende, se fosse teu timeco tu ia falar a mesma coisa",há 2 anos,0,
 @AD-oi3ki  regra fake,há 2 anos,0,
" @Desola_Fortaleza1918  beleza amigão, a FIFA e a CBF não sabem, quem cria as regras é vc",há 2 anos,0,
 @protagonistas776  Protagonista msm é o Grêmio q nem na série B tá se impondo,há 2 anos,0,
" @evol785  Se aquilo for contato faltoso, tem q muda as regras do esporte ou criar um novo, apenas pra regras brasileiras. É inadmissível o kra considerar q um toquinho na panturrilha vai desequilibrar o kra daquele jeito ou que aquele toque impediu um lance de perigo claro, pqp.",há 2 anos,0,
" @tiagobrandaomendes  os dois estavam correndo, logo em velocidade o ""toquinho"" é com mais agressividade, e desequilibria sim, qualquer toque em velocidade pode desequilíbriar",há 2 anos,0,
" @Desola_Fortaleza1918  se fosse meu time eu ia criticar o cara que deu uma assistência pro adversário, e timeco é o seu, só pq tá há 2 anos na seria A já acha que virou o melhor time do Brasil",há 2 anos (editado),0,
" @AD-oi3ki  ""agressividade"", aí se fosse no meio campo n era nada, só fala q foi alguma coisa pq foi na área, mas blz",há 2 anos,0,
" @AD-oi3ki  Ss, então td escanteio era pra ter pênalti, te garanto q tem mt mais contato e com mt mais agressividade",há 2 anos,0,
 @tiagobrandaomendes  tem várias faltas marcadas fora da área pq o cara chega na perna do outro sem nem encostar na bola,há 2 anos,0,
" @tiagobrandaomendes  mas nessa de escanteio é diferente, pq o contato não é diretamente na perna, tem mais empurrão",há 2 anos,0,
" @AD-oi3ki  Aí no caso mal encostou, o kra só triscou e o outro já começou a fingir q tinha perdido a perna",há 2 anos,0,
" @tiagobrandaomendes tá bom, ele deu uma exagerada kkkk, mas foi falta",há 2 anos,0,
" @AD-oi3ki  Kkkkkk tá bom, confia",há 2 anos,0,
" @tiagobrandaomendes  ué, vc tá contrariando a regra?",há 2 anos,0,
Atualiza a tabela,há 1 ano,0,
" @redes98Bonde  oxi ganhou alguma coisa?
só fumo esse ano 
sorte que tem o juventude lá pra ajudar vcs kkkk",há 1 ano,0,
 @redes98Bonde  que surra hein kkkkk,há 1 ano,0,
 @leonardolima7457  atualiza AGR😜🤭,há 1 ano,0,
" @marciamariasayajinanimatio5744  ué é líder? 
a gente viu seu timeco na libertadores
fiasco kkkkkkk",há 1 ano,0,
 @marciamariasayajinanimatio5744  que fumo hein só pé de rato kkkk 😛😛😛😛😛,há 1 ano,0,
Bem pouco eles se acham demais kkkk,há 2 anos,0,
Chora popotense,há 1 ano,0,
E atualiza a tabela,há 1 ano,0,
não Ceará em 2021 e 2022 : 0 títulos,há 2 anos,0,
Atualiza a tabela,há 1 ano,0,
roubado,há 2 anos,1,
não,há 2 anos,1,
"futebol brasileiro é uma piada mesmo. Esse primeiro penalti que marcaram no Potker, só rindo!!",há 2 anos,0,
E muito tristi a situação do fortaleza nesse momento,há 2 anos,0,
Aniversariantes da rodada guardaram.. vlw ZÉ TREM RAFAEL🐽,há 2 anos,0,
AVAÍ 3X2 FORTALEZA,há 2 anos,0,
O Claus dá pra m pênalti desse! Misericórdia!,há 2 anos,0,
Foda-se o  fortaleza,há 2 anos,1,
Kkkkk Bostaleza dando orgulho pro Nordeste,há 2 anos,1,1
"Esse Fortaleza merece cair pra série B e nunca mais voltar pra A, time pequeno sem título de expressão que se acha maior que o Coritiba que tem título de Campeão brasileiro da série A kkkk",há 2 anos,1,
Ó fortaleza vai ficar igual o Grêmio vai priorizar a liberta e vai ser rebaixado no brasileiro,há 2 anos,1,
"0:09 isso aí precisa ser investigado pela CBF, parece MUITO manipulação de resultado, se for e se não for, demite todos os jogadores envolvidos nesse lance, isso é um absurdo, DEIXARAM o Avaí fazer gol, que porra é essa",há 2 anos,1,
Dois pênaltis defensáveis!,há 2 anos,0,
"Tudo de ruim pro Lucas Lima...
E fortaleza de tabela.",há 2 anos,1,
Felipe Alves tinha pego TODOS os dois pênalti,há 2 anos,0,
Gostei da vitória do leão da ilha,há 2 anos,2,
O problema do FORTALEZA foi a empolgação! Agora tá amargando a lanterna do Brasileirão 2022!,há 2 anos,1,
Pikachu neles,há 2 anos,1,
Quer ganhar 3 pontos na moleza? Só jogar contra o fortaleza😂,há 2 anos,1,
Vergonha esse time ta fazendo com sua torcida,há 2 anos,0,
1k,há 2 anos,0,
0:40 e vem o vodka vodka carregou invadiu a area caiu é penalti,há 2 anos (editado),0,
Sim agora o Nordeste tá feliz kkkkkkk,há 2 anos,0,
Quando o potker tá louco esquece,há 2 anos,0,
