text,time,votes,replies
"Palmeiras abriu 9 pontos de vantagem. Verdão deu passo importante para o título?
🌟Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,431,127
Corinthians prime de 2022 n venceu esse palmeiras pqp,há 1 mês,0,
PALMEIRAS É O MELHOR,há 1 mês,0,
Uiii kkkkk,há 1 mês,1,
"O VARmeiras, e esse árbitro não marcarem o pênalti claro do Murillo colocando a mão na bola é lamentável.",há 5 meses,0,
Gustavo 🏅🏆🏆🦅🦅💚,há 8 meses,1,
Fagner desg5açado entregou esse jogo! E muitos outros tambem né,há 8 meses,1,1
Eu  sou  palmeiras,há 9 meses,1,
Gustavo 🦅💚💚🤫,há 10 meses,1,
O Palmeiras não mereceu ganhar o jogo,há 10 meses,0,
Palmeiras tem qts vitórias no Itaquerao?,há 1 ano,0,
Toma corinthians,há 1 ano,0,
VOCES MOSTRAM MAIS O LANCE DE MÃO CONTRA SEUS TIMES DOQUE O GOL KKKKKKK INCRIVEL,há 1 ano,0,
Esse tal de Rafael Klaus é horrível...ele deve ter pego algum aí com a Crefisa...pior que ele tá em todos os clássicos essa FPF é uma vergonha,há 1 ano,2,3
Alguém em 2023,há 1 ano,1,
"Kkkkkk mais uma torcida que meu palmeiras cala a boca....
Na casa dos rivais, chora gambá fica só no cheirinho",há 1 ano,0,
O Palmeiras não tem mundial,há 1 ano,0,
Meu deus corinthians nunca ganha desse time ruim,há 1 ano,1,1
🤔🤔🤔🤔,há 1 ano,0,
"DENTRO DA CASA DAS GALINHAS OU DENTRO DA CASA DO PORCÃO, O BICHO PEGA!!!!! 💚🤍💚🤍",há 1 ano,4,
"Satânico é meu pensamento a teu respeito, e ardente é o meu desejo de apertar-te em minha mão, numa sede de vingança incontestável pelo que me fizeste ontem. A noite era quente e calma, e eu estava em minha cama, quando, sorrateiramente, te aproximaste. Encostaste o teu corpo sem roupa no meu corpo nu, sem o mínimo pudor! Percebendo minha aparente indiferença, aconchegaste-te a mim e mordeste-me sem escrúpulos.
Até nos mais íntimos lugares. Eu adormeci.
      Hoje quando acordei, procurei-te numa ânsia ardente, mas em vão.
Deixaste em meu corpo e no lençol provas irrefutáveis do que entre nós ocorreu durante a noite.
        Esta noite recolho-me mais cedo, para na mesma cama, te esperar. Quando chegares, quero te agarrar com avidez e força. Quero te apertar com todas as forças de minhas mãos. Só descansarei quando vir sair o sangue quente do seu corpo. Só assim, livrar-me-ei de ti, pernilongo filho da...",há 1 ano,0,
Que a escuridão siga vocês até o fim! 🖤☠️🖤☠️,há 1 ano,7,
Seguir o líder porque choras gambá,há 1 ano,29,
"Palmeiras venceu o corinthians, cadê a novidade?",há 1 ano,19,
ganharam na retranca estilo abel ferreira nada muda,há 1 ano,11,
DOIS TIMECOS UM TOTAL DE 3 REBAIXAMENTOS EM CAMPO KKKKK,há 1 ano,10,
"Não, só fez a obrigação de vencer um time pequeno",há 1 ano,11,
" @flamaquinarumoaotetradaame847  Domingo que vem, tem mais um pequeno pra ganhar 🥱✌, moz paz! Kkkk",há 1 ano,21,
Venceu quem é o melhor.,há 1 ano,2,
"Segue o lider gambás, 💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚",há 1 ano,11,
"Já pode entregar a taça, ninguém mais busca",há 1 ano,5,
" @palestra9375  vai tomar outro anti tático,dessa vez não é o Atlético paranaense e sim mengão",há 1 ano,1,
 @pinkkk8626  chora man,há 1 ano,1,
 @flamaquinarumoaotetradaame847  deyverson,há 1 ano,3,
 @rsdobr9177  zicou,há 1 ano,1,
"Sou flamengo e fico me perguntando: como que pode uma torcida do estado mais rico e populoso do Brasil, ser engolida pela torcida do gigante flamengo no Uruguai? Como que pode um clube ter ganho 4 brasileiros  da mamãe CBF, sem ter jogado 20 jogos no total? Como que pode um clube que só é alguma merda, graças a crefisa e Parmalat? Como que pode um clube dizer que tem estádio, mais quando os verdadeiros donos precisam, tem que jogar em Barueri? Como que pode um clube, ficar 20 anos sem ganhar um mísero título? Como que pode um clube ter fama de academia, mais nunca formou ninguém? Como que pode um clube ser tão trambiqueiro assim?",há 1 ano,2,
" @pinkkk8626  ganhamos de vcs até cansados e de ressaca,kkkkkk",há 1 ano,2,
 @pinkkk8626  venceu o Corinthians  como sempre!!!,há 1 ano,0,
"Rumo ao Hendecacampeonato 
💚🤍🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🤍💚",há 1 ano,1,
"Festa em Itaque, Obrigado Rony Rúinstico, nunca critiquei",há 1 ano,2,
A vaga na sulamericana vai ser o que resta pro curintia com esse futebolzinho mequetrefe no brasileirão,há 1 ano,3,
