text,time,votes,replies
"Hat-Trick do Cano! ⚽ ⚽ ⚽ O que acharam do jogo?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,361,58
1:25 olha que o cano vai fazer parece um golaço,há 7 dias,0,
Vamos voltar.,há 3 semanas,0,
Quem tá aqui depois que o Fluminense tá na zona de rebaixamento 😢 fluminense jogava tão bem e tão bonito 😢,há 1 mês (editado),1,
Esse jogo nos qualificou para estár na fase de grupos da libertadores q quase um ano depois estávamos erguendo a taça de campeão da libertadores nesse mesmo estádio 4 /11/23 jamais será esquecido !,há 8 meses (editado),2,1
O que o Ganso jogou nesse jogo foi brincadeira.,há 11 meses,1,
GERMAN CANO EU ❤ VOCÊ,há 11 meses,2,
Ontem eu vi Botafogo e Internacional e me lembrei desse jogo,há 11 meses,0,
0:09 Igor deu pro Luciano ih lá ele,há 11 meses,0,
Saudades do Fluminense totalmente entrosado como esse,há 1 ano,2,
Melhor jogo que vi o Fluminense jogar 😢,há 1 ano,0,
Tinha até esquecido desse jogo bizarro o Rogério Ceni no fim de 2022 isso se estendeu pra esse ano acabando na demissão,há 1 ano,0,
FLUMINENSEEEEEEE 🇭🇺❤️🔥,há 1 ano,1,
🙌🙌🙌🙌🙌🙌🙌🙌,há 1 ano,1,
SAMANTA 🇸🇾,há 1 ano,0,
O ganso tá fazendo o cano,há 1 ano,0,
Narra muito esse vilani,há 1 ano,0,
"A bola já fica no jeito só pra o monstro bater..
O cara nem domina a bola",há 1 ano,1,
"vindo aqui pra matar a sdds desse time maravilhoso , flu flu flu flu",há 1 ano,4,
"Esse dia quem escalou ele mitou no cartola,tenho um amg que pois ele nessa rodada e ainda colocou de capita,eu pensei em colocar ele mas fiquei em dúvida e no final não coloquei",há 1 ano,0,
"Cano MT humilde, ajudando o meu galo classificar p libertadores",há 1 ano,17,
As trikas todas molhadinhas levando ferro do cano🦌🏳️‍🌈💅🔥😂,há 1 ano,17,
L 🇭🇺,há 1 ano,0,
Cano joga demais!!,há 1 ano,6,
NÃO AMARRA A CHUTEIRA DO CRAQUE ALBERTO,há 1 ano,2,
Massacre do Fluminense.,há 1 ano,3,
" @Allissondesouza_57  falou por experiência própria né,já tomou quatro esse ano do cano né kkkk",há 1 ano,5,
 @gabrieldouglas2167 Quem eliminou eles na Copa do Brasil?Acho que foi o Timão🤫,há 1 ano,3,
"Cano depois do jogo

San Pablo no tiene copa del Brazil",há 1 ano,7,
"@UCvrllrfsvrJ_Zc4Lrw-0fqg Cruzeiro eu respeito é o maior campeão,passou por situação ruins mas se ajeitou",há 1 ano,0,
As trikas gostaram de ver o cano entrando,há 1 ano,8,
palmeiras não tem mundial bi rebaixado não tem mundial,há 1 ano,6,
 @Allissondesouza_57  CANO DEU  SURUBADA ´NAS TIKAS KKKKKKK,há 1 ano,1,
" @Allissondesouza_57  tá bom,mas no último jogo provocou o cano e tomou dois,mais blz 👍",há 1 ano,3,
 @felix2mundial3libertadores63  KKKKKKKKKK BEM ASSIM MANO,há 1 ano,2,
Cano é o novo padrasto dos trikas kkkkkkkkk,há 1 ano,3,
Melhor atacante do futebol brasileiro,há 1 ano,2,
Foi empate,há 1 ano,0,
 @corinthianspaidostiminhosd3662  kkkkkkkkkkkkkk,há 1 ano,0,
