text,time,votes,replies
"Verdão dispara na liderança!
O que acharam da partida?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,158,28
"Anular o gol do breno lopes foi sacanagem, simplesmente o jogador do Atlético se embananou e perdeu bola, depois perdeu o equilibrio e ""atrapalhou"" o jogador do palmeiras passar, ai ele cai na frente do jogador do palmeiras e o juiz da a falta, que roubo",há 3 meses,0,
Gustavo 🤫🤫🦅🦅💚💚🏅,há 9 meses,1,
Gustavo 🤫🤫💚💚🦅🦅,há 9 meses,1,
"2:38 que chute espetacular, pena que não entrou😢.",há 10 meses,1,
"Enquanto vários roubos no palmeiras
Scarpa na hora do escanteio:vai que é o pae kkkkkk😂",há 1 ano,0,
O Palmeiras só não fez 4 X 0 porque o primeiro gol tava impedido e os outros gols o juíz roubou,há 1 ano,0,
O Palmeiras só não fez 4 X 0 porque o primeiro gol tava impedido e os outros o juíz roubou,há 1 ano,0,1
O Palmeiras não fez 4 X 0 porque o primeiro tava impedido e os outros o juíz roubou,há 1 ano,0,
A pior arbitragem que eu já vi,há 1 ano,0,
Bom dia znoren,há 1 ano,0,
ATLÉTICO-MG 0X1 PALMEIRAS,há 1 ano,0,
"Atlético 0 x 3 Palmeiras. Parabéns, Verdão, pela goleada.",há 1 ano,0,
Meu palmeiras,há 1 ano,0,
Já diz o Atlético não pode ver ex jogador do cruzeiro até na reserva imagina dento de campo Murilo neles kkkkk,há 1 ano (editado),0,
"Atualizando: desde o dia que ganharam a taça ""Nathan fez gol no Cruzeiro"", eles tomaram:

2 do Arrascaeta
2 do Fábio Santos
2 do Maurício
2 do Vitor Roque
1 do Murilo
1 do Bissoli
MAIS UM DO MURILO, PAI DOS CARAS😂😂😂",há 1 ano,0,
"O Palmeiras é um time traiçoeiro pra krl, ele gosta de deixar o time acreditar que a vitória é certa, depois ele abate o galináceo kkkkkkkk Murilo carrasco do Galo!",há 1 ano,0,
kkkkkkk juíz não poderia sai de um jogo desse e ir pra casa cadeia e o lugar dele kkkk LARÁPIO TINHOSO BANDIDO kkkk foi um dos roubos maís  Escancarado que eu vir  nos últimos ANOS kkkkkk ele poderia anular até um gol chute de direto de fora da área 🤣🤣🤣🤣🤣 se ele anulou uma que o oponente vai sozinho ih ele faz essa ALGAZARRA 🤣🤣🤣🤣🔥🔥🔥🔥🔥,há 1 ano,0,
"Jogo forte o Atlético MG correndo muito como sempre fazendo vários lances mais errou muito infelizmente na hora da conclusão,  o Palmeiras ali até entrar pro jogo só espero um vacilo pra começar jogar,  amei a forma que o Palmeiras se apresentou mesmo tomando bastante sufoco no começo mais nos momentos oportunos foi eficiente e soube a aproveitar muito bem as oportunidades,  e o Atlético novamente perdendo pro Palmeiras que mesmo eliminado da libertadores vejo que continua muito torce a tendência é melhorar.",há 1 ano,0,
Gol do Breno Lopes foi legal como o var não interviu,há 1 ano,0,
Patético Mineiro é minúsculo irmão.,há 1 ano,7,
"Palmeiras apanhou fora de campo mas venceu com apito amigo dentro, timeco é assim mesmon",há 1 ano,3,
" @cruzeiro5848  n entendi, o patético nem balançou a rede.",há 1 ano,1,
 @cruzeiro5848  3 gols Anulados e um pênalti no Atuesta não marcado????,há 1 ano,3,
Não assistiu o jogo pelo visto,há 1 ano,0,
 @futebolnacionalrb  aqui em Minas gerais todos torcedores do Atlético torce pro flamengo perde aí oq eles colhem kk sou d mg,há 1 ano,0,
"A mancha rosa apanhou fora ,mas ganhou em campo parabéns por ganhar do nanico patetico",há 1 ano,1,
EU acho que ficou barato sem ajudinha do var as frangas seriam mais humilhadas ainda pelo time misto do Palmeiras em pleno galinherão 🤣,há 1 ano,2,
Juiz mal intencionado,há 1 ano,3,
 @palzaoterrordananicada2395  granja das frangas *,há 1 ano,1,
 @palzaoterrordananicada2395  kkkkkkkkkkkkkk as franga só ganha roubado e tentaram rouba o Palmeiras mas n conseguirao,há 1 ano (editado),1,
Verdão da Massa,há 1 ano,4,
" @cruzeiro5848  chora mas a gente incomoda muita gente, da briga vc não fala né que vergonha",há 1 ano,1,
 @cruzeiro5848   esse cara é perfil falso ele n e Cruzeiro nao,há 1 ano,1,
" @cruzeiro5848  o Palmeiras foi roubado ainda, onde o Atlético foi roubado? MDS nem assisti o jogo",há 1 ano,1,
" @cruzeiro5848  se continuar assim, vamos rebaixar vcs de novo, time de segunda divisão",há 1 ano,1,
 @crnalves2057  realmente kkkkkk,há 1 ano,1,
 @danielsouza7494  calma mano não somos mancha rosa lgbtv😠😠😠😠😠😠😠😠,há 1 ano,1,
Vcs são uma piada não amostraram todos os lances perigosos do Palmeiras 😂😡,há 1 ano,1,
"Sou flamengo e fico me perguntando: como que pode uma torcida do estado mais rico e populoso do Brasil, ser engolida pela torcida do gigante flamengo no Uruguai? Como que pode um clube ter ganho 4 brasileiros da mamãe CBF, sem ter jogado 20 jogos no total? Como que pode um clube ter ganho o campeonato brasileiro de 2016 roubado do flamengo? Como que pode um clube ter ganho a copa do Brasil de 2015 roubado? Como que pode um clube que só é alguma merda, graças a crefisa e Parmalat? Como que pode um clube dizer que tem estádio, mas quando os verdadeiros donos precisam, tem que jogar em Barueri? Como que pode um clube ficar 20 anos sem ganhar um mísero título? Como que pode um clube cair 2 vezes pra segunda divisão? Como que pode um clube ser tão trambiqueiro assim?",há 1 ano,0,
Porcaria de transmissão não reprisou a falta do Zaracho em cima do Atuesta que era pra cartão vermelho.,há 1 ano,1,
 @futebolnacionalrb  pp00p0pppppppppppp,há 1 ano,0,
 @cruzeiro5848  apito amigo pra quem? Pro Atlético né?,há 1 ano,0,
 @cruzeiro5848  e se prepara pra fazer o efeito peteca ano que vem kkkkkk subindo pra cair de novo!,há 1 ano,1,
"Palmeiras nanico não tem Mundial, Bi-Rebaixado",há 1 ano,1,
 @cruzeiro5848  mano você não cansa de falar a mesma merda todo vídeo do palmeiras para de inveja e vai cuidar do seu timeco de segunda divisão todo vídeo vc vem aqui passar vergonha seu otário se liga parece que quer ser rebaixado de novo sem noção,há 1 ano,0,
Galera do GE qual a dificuldade de vcs deixarem a narração todo do gols? Façam igual a TNT deixem a narração dos gols completa. Isso é uma crítica construtiva abraços!,há 1 ano,0,
BOLSOMITO 2022,há 1 ano,0,
Kkkkkkkkk na verdade o palmeiras só não levou goleada porque e um time retranqueiro e muito cagado na sorte,há 1 ano,0,
Ótimo,há 1 ano,1,
Não foi impedimento !,há 1 ano,0,
nem roubaram o Palmeiras nesse jogo👍,há 1 ano,1,
O Atlético jogou melhor,há 1 ano,0,
Torço para o Palmeiras,há 1 ano,0,
Jogadaça do palmeiras no gol do murilo 👏👏👏,há 1 ano,0,
"cbf vergonha! lixos incompetentes. e galo, não ganha nem com ajuda! segue os porco.",há 1 ano,0,
O Palmeiras fez 3 para valer 1 kkk,há 1 ano,0,
"não sou atleticano , acho injusto as vaias para o Hulk , ele jogou bem , finalizou bem , o goleiro é que defendeu e ele deu otimos passes e os caras erraram .. nao acho que ele foi ruim na partida",há 1 ano,0,
o Murilo foi um verdadeiro CALDEIRÃO DO HULK 🟢 VS ⚫⚪,há 1 ano,1,
"Globo, disponibiliza replay de lances duvidosos e os comentários do juiz. Os casos de impedimento e do gol, gostaria de ver novamente para ter uma conclusão e saber o que pensam nossos especialistas",há 1 ano,0,
É CAMPEÃO.,há 1 ano,2,
CBF vergonha sem escrúpulos. Arbitragem sem vergonha!!!!,há 1 ano,1,
O q estão fazendo com o Palmeiras é uma vergonha pro futebol.,há 1 ano,0,
