text,time,votes,replies
"Faala, galera! O que acharam da partida??
➡Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,79,52
Esse ladrão quis prejudicar o Santos de novo. Outro pênalti ridículo marcado!!,há 9 meses,0,1
Revendo e torcendo para que o Santos repita o resultado positivo,há 9 meses,0,2
"12 1T
32 1T


28 1T",há 1 ano,0,
2x1 peixão 🤍🖤🐳,há 1 ano,0,
Siiii 🤩🤩,há 1 ano,0,
"Ah, agora eu entendi, agora as peças se encaixaram....",há 1 ano,0,
Uuu7,há 1 ano,0,
XOXA NA SÉRIE A NUNCA DURA KKKKKKKKKKKKKKKKKKKKKKK,há 1 ano,0,1
Huuu,há 1 ano,0,
Huuuuu,há 1 ano,0,
Tem juiz que dá vergonha esse é um,há 2 anos,0,
Vinícius Zanocelo fez pênalti com as costas.,há 2 anos,0,
"Juizada tá uma vergonha, isso  foi pênalti?
Jogador do Santos estava caído",há 2 anos,0,
Uma vergonha o que fazem com o Santos ; lamentável.,há 2 anos,0,
1:16 Penalti mais mandrake que o juiz deu nesse lance só se for pro Flarinthians.,há 2 anos (editado),0,
"Santos jogou mal, coritiba muito melhor em campo nos dois tempos, fatalidade de novo na zaga do coritiba, mas futebol é isso nem sempre o melhor time ganha, mas o jogo na casa do coritiba o santos foi feito de penera se não fosse o JP GOLEIRAÇO do santos, eles iriam sair com um  6x1 pro coritiba.",há 2 anos,1,
O cara deveria te vergonha de dar um pênalti desse,há 2 anos,0,
"Esse Curitiba está jogando bem,a vitória não foi mérito do Santos!!",há 2 anos,0,
Foi penalti não foi o jogador do coxa q se jogou pra cima do jogador do santos.,há 2 anos,0,
Penalti mal marcado arbitro horrivel,há 2 anos,3,
Roubaram o Santos mais uma vez .,há 2 anos,3,
@Edilson nunca caiu e nunca vai🤍🖤😎🐳,há 2 anos (editado),1,
"Eu acho que o time do Santos vai brigar pra não cair,  eu acho não eu tenho convicção que esse timeco irá brigar pra não cair",há 2 anos,1,
"Uma merda esses melhores momentos. Se for pra fazer corrido assim, sem mal mostrar o replay, é melhor nem fazer",há 2 anos,1,
Mais um roubo contra o Santos.,há 2 anos,1,
Santos tine nanico reclama de um pênalti bem marcado,há 2 anos,0,
 @madarasantista9586  pênalti muito bem marcado,há 2 anos,1,
 @coringaokg4976  O seu ku,há 2 anos (editado),0,
Achei uma partida otima,há 2 anos,1,
 @madarasantista9586  roubaram mais pelo menos a gente ganhou,há 2 anos,1,
"Eu tenho certeza que o time do Santos vai brigar pra não cair tão jogando nada toma 2,0 gol por partida e bem difícil continuar derrotou o Coritiba por pênalti bem marcado mais não diz nada",há 2 anos (editado),1,
 @tvlg329  pênalti bem marcado para de chorar,há 2 anos,1,
 @madarasantista9586  no que ?? Num pênalti que o cara vai dar um corte e o zagueiro acerta só a perna do cara ?,há 2 anos,0,
@Edilson concordo,há 2 anos (editado),0,
 @tvlg329  ano passado quase caiu não confia que talvez não caia cês vive de passado,há 2 anos,0,
 @coringaokg4976  também,há 2 anos,0,
 @alguemqfala2293  vdd,há 2 anos,0,
 @Vivih_933  no que ?? pênalti bem marcado,há 2 anos,0,
 @coringaokg4976  vdd,há 2 anos,0,
 @renanmartins8704  oxi roubaram ND pelo menos cês ganharam mais não ouve roubo algum,há 2 anos,0,
@Naruto Uzumaki Santista deixa o cara kkkk,há 2 anos (editado),0,
" @kaykibender7453  o zanocelo deu o carrinho e ficou no chão , o jogador do coritiba foi correndo e esbarrou nele então não é penalti",há 2 anos,0,
 @kaykibender7453  TU doido mermão vocês são doente o cara nitidamente caiu sozinho custa deixar o clubismo de lado por um mísero segundo Serguer? SE você contra o seu time você não estaria falando isso ! Pqp,há 2 anos,1,
" @kaykibender7453  o titulo dos corinthianos seria ver o peixão caindo, só que isso nunca vai acontecer🤍🖤🐳",há 2 anos,0,
 @madarasantista9586  att na hora de vcs vim no clubismo cês pode né claramente o maluco tentou cortar a bola e o zagueiro atingiu o pé do jogador do Coritiba não e nem questão de clubismo tanto pq a nossa maior goleada da história é em cima de cês 12 a 0 pra quê vc diz clubismo,há 2 anos,1,
" @kaykibender7453  Ah sim, foi muito bem marcado o ""pênalti"" no cara que caiu sozinho, então é eu que estou vendo coisas. 🙄",há 2 anos,0,
 @tvlg329  pra qualquer rival e sonho as porcadas os trikas eles também quer eu tô até sendo hulmide pq eu falei que vai brigar não falei que vai cair se vcs caírem ou não blz,há 2 anos,1,
 @Vivih_933  olha até que tá pq o zagueiro atingiu a ponta da chuteira do cara aí ele só se jogou então pênalti,há 2 anos,1,
 @kaykibender7453  Atingiu coisa nem uma caralho então por que NO jogo contra o fluminense quando o ângulo foi atingido por trás não marcaram pênalti pro santos? Se isso AÍ pênalti no ângulo era pra ter sido marcado também a AA MINHA PIKA,há 2 anos,1,
Zueira isso seria simulação mais o cara chega a atingir o cara ele perde um pouco do equilíbrio e cai,há 2 anos (editado),1,
