text,time,votes,replies
"Jogaço do Coritiba! Dominou a partida do início ao fim, não é mesmo?
Até aonde o Coxa pode ir nesse Brasileirão?
🌟Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,164,35
Como pode um estadio de um time pequeno um estadio sem ser moderno e gramado tao bem cuidado é perfeito parece europa ai voce ve estadio que flamengo joga maracana gramado horrivel parece um xiqueirão entre outros club gramado horrivel todos os club tem que ser assim gramado bem cuidado e lindo verdinho parabens coritiba .,há 1 ano (editado),0,
B KKKKKK,há 1 ano,0,
Que voz chata pra um narrador.  Nada a ver,há 2 anos,0,
Nossa no primeiro jogo a torcida não lotou tanto,há 2 anos,0,
"É o Poze do Couto, família.",há 2 anos,0,
Olha série 🅱️🅱️👻👻👻👻,há 2 anos,0,
Oh glorioso como é bom te ver campeão de novo 💚🇳🇬🔥,há 2 anos,1,
Esse Igor paixão é destaque hein,há 2 anos,0,
Esse timeco do Goiás é muito ruim.,há 2 anos (editado),1,
Coritiba foi gigante.,há 2 anos,0,
Coritiba Campeão do Povo,há 2 anos,0,
Alef manga parecendo o mc poze,há 2 anos,0,
tô feliz em admitir que essa mulher narrou bem o jogo,há 2 anos,0,
Nossa 💚😍,há 2 anos,1,
Gabriel Monteiro já tá jogando no Coritiba,há 2 anos,0,
"Caraca, q nervoso isso aí narrando",há 2 anos,0,
Vasco como sempre perdendo jogador de graça,há 2 anos,0,
Vasco parabéns,há 2 anos,0,
Meu Goiás perdeu,há 2 anos,0,
"O Goiás joga um futebol parecido com o do Calanguense de Cabrobó, com chutes tortos, gols contra, passes equivocados e lançamentos na arquibancada, com esse belo futebol apresentado o Goiás é sem sombra de dúvida um grande favorito a levantar a taça da série B de 2023, atualmente o Goiás é o segundo melhor time do mundo, só perde para todos os outros times.",há 2 anos,17,
Petição para o Estagiário se assumir LGBT e torcedor do flakachorra,há 2 anos,5,
"Coritiba vai pra Sula,fica em 14(minha opinião)",há 2 anos,7,
Ou 13,há 2 anos,6,
 @tiringaofrioematematico3236  Tu é,há 2 anos,2,
Vai ser rebaixado,há 2 anos,1,
"VAI FICAR NO MEIO DA TABELA, EM DÉCIMO, MITAREI !",há 2 anos,2,
E esse tempo do jogos no canto da tela vai continuar??? está horrível,há 2 anos,6,
Essa mulher Narrando é Irritante. Voz insuportável. Quem foi o imbecil que teve a brilhante idéia que colocar mulher pra narrar futebol masculino ?,há 2 anos,0,
B,há 2 anos,0,
Goiás é aquele time que subiu e sabemos que volta pra série B!,há 2 anos,2,
Esse linha do tempo é uma PORCARIA,há 2 anos,4,
Essa listra na tela ficou horrível,há 2 anos,3,
Coxa vai no mínimo sula,há 2 anos,4,
"Não é possível que vai deixar essa linha no canto da tela, tá uma porcaria, qual era o problema do placar tradicional?",há 2 anos,2,
FAVOR NÃO INVENTEM DE COLOCAR NARRADORA NOS JOGOS DO PALMEIRAS,há 2 anos,2,
Chega na sula se Deus quiser 💚🙏,há 2 anos,1,
Vai lutar contra rebaixamento,há 2 anos,0,
 @kimboslice37th  tá por fora amigo! O maior do centro oeste está apenas começando!! Vocês só ganhou do RESERVAs do RESERVA vcs tá com.essa bola toda nao,há 2 anos,0,
Até a série B,há 2 anos,0,
 @thiagomaciel6595  tá uma bosta mesmo,há 2 anos,0,
Sul-americana,há 2 anos,0,
"Tirem essa time line ridícula... 
Vai tom@ no cool",há 2 anos,0,
TIREM ESSA LINHA DO TEMPO,há 2 anos,1,
" @cleytonmaximo1257  kkkkkkkkk, goias veio só de passagem",há 2 anos,0,
 @Englishwithfun1  veio pra ficar de vez na elite! Diferente do seu coxinha que só foi visitar,há 2 anos,0,
" @cleytonmaximo1257  bem que vc falou a verdade, o time titular do goias parece reserva do reserva kkkkkk",há 2 anos,0,
mt longe! pode ter certeza GE,há 2 anos,0,
Curitiba vai ter vaga na copa Sul Americana,há 2 anos,0,
"Sei que vocês não vão mudar no momento, mas poderiam repensar esta linha do tempo nas transmissões do jogos, pois além de poluir a imagem, ela prejudica pessoas com problemas com visão como a miopia, pelos números serem totalmente pequenos, Isso é uma ideia que não vai dar certo. Deve sofrer alguns reajustes. Repensem!",há 2 anos,0,
pagar pra escutar narração feminina é foda.,há 2 anos,0,
"Aproveitem que recém está na primeira rodada, com muita rejeição da torcida e peçam desculpas, assumam o erro e tirem essa porcaria de linha do tempo que ESTRAGOU as transmissões. Isso tá muito ruim, as vezes o melhor é ser o básico, mas como sempre, vc querem inventar moda.",há 2 anos,1,
Parece que Goiás  desistiu da contratação  de duglas  silva,há 2 anos,0,
B,há 1 ano,0,
Eu acho que ele vai ficar em 15 lugar,há 1 ano,0,
Parabéns ao Tadeu apesar da derrota jogou muito.,há 2 anos,0,
Que bosta de narração !!!!,há 2 anos,0,
Essa foi a vitória mais redonda da rodada,há 2 anos,0,
Narração de milhões!!!!!,há 2 anos,0,
TaDeus n merece esse time,há 2 anos,0,
O Coritiba deu o xapeu em varias equipes trazendo essa manga.,há 2 anos,0,
Pessoal do esportes da globo... não dá!!!,há 2 anos,0,
Que narração péssima para com.Isso voz ruim demais,há 2 anos,0,
Que jogo bom,há 2 anos,0,
Manga joga dms pprt,há 2 anos,0,
q narração horrível,há 2 anos,0,
Vamo coxa,há 2 anos,0,
Esse time do coxa vai dá trabalho hein,há 2 anos,1,
"Bora meu coxa, vamos pra cima pra mostrar q não subimos pra série A atoa e muito menos pra brinkar. Bora vamooo porraaaaaaa",há 2 anos,0,
"Foi 3, mais poderia ser 5,6 tá 😁",há 2 anos,0,
Essa Mulher narrando muito ruim sem emoção,há 2 anos (editado),0,
Toma moxezada kkkkķkkkkk,há 2 anos,0,
Ninguém merece essa mulher narrando 🤦,há 2 anos,0,
parabéns,há 2 anos,0,
Belo jogo mas só eu q tenho saudade daquela Narração da transamérica,há 2 anos,0,
"O Coritiba tem um bom time, mas não se entusiasmem, só dominou o jogo porque o Goiás é muito fraco.",há 2 anos,0,
"Um gol mais bonito que o outro.
Vamo que vamo!",há 2 anos,0,
vim ver os gols de outro angolo,há 2 anos,0,
gente eu estava lá no couto,há 2 anos,0,
Tem que respeitar o pai do atlético !,há 2 anos,0,
"Diretoria do GOIÁS F.C
Pelo amor de Deus tira esse time da séria A
Isso é time de série B do campeonato Goiano 
Vamos abrir falência melhor que passar vergonha
Ajuda nos ai",há 2 anos,0,
Pensei que era o MC poze na capa kkkkk,há 2 anos,1,
👍🏾👍🏾,há 2 anos,0,
TIME JOGO BEM MAS VAMOS E VENHAMOS GOIAS NÃO É PARAMETRO E TEM MAIS O GOIAS É TÃO RUIM QUE NÃO CHEGOU A TER UM ATAQUE EFETIVO CONTRA A ZAGA QUE É BOA MAS TEM MURALHA NO GOL ISSO JÁ É DE ARREPIAR MURALHA,há 2 anos,0,
"Pqp tive que ouvir sem som o vídeo,  isso é forçar a  barra demais.",há 2 anos (editado),1,
"De quem porra foi a ideia de colocar essa mulher pra ser narradora de futebol?!
Pelo amor",há 2 anos,0,
"Os clubes do Rio deram mole com esse jogador Alef manga .Jogou no volta redonda e nenhum clube deu a menor importância pra esse jogador que a característica muito parecida com a do Bruno Henrique do flamengo o cara é bom de bola vai arrebentar nesse brasileiro ""anotem aí "".",há 2 anos (editado),0,
Coritiba libertadores,há 2 anos,1,
COOOOOOXAAAAAAAAAAA,há 2 anos,1,
Péssima narração kkkkkkkkkkkkk Coxa começou beeeeem,há 2 anos,0,
"O Tadeu deve ganhar muito bem no Goiás, porquê é um excelente goleiro, já vem fazendo excelentes atuações há muito tempo, já recebeu várias propostas para deixar o clube e permanece firme. Goleirão. 😎👏👏👏👏",há 2 anos,1,
Goiás série B de novo.,há 2 anos,1,
É Coritiba vai dar trabalho será?,há 2 anos,2,
Coxa vem forte,há 2 anos,1,
"Tirei o volume essa voz nojenta de novo,isso é homem ou mulher ou não se definiu ainda,como conseguio essa vaga?",há 2 anos,0,
