text,time,votes,replies
sexta-feira 21:52. 21/06/2024.,há 1 mês,0,
Win Amém 🤩🤩,há 1 ano,1,
Que zagueiros ruins esses do Atlético GO não é atoa que foram rebaixados,há 1 ano,0,
"Sou Atlético Goianiense c muito orgulho,time bonito começando pelo uniforme!!",há 1 ano,4,
"Sem sacanagem, se é um jogador do Flamengo que faz um gol desse que o Terans fez e que deram pouca importância a mídia simplesmente para. Feriado no Brasil.",há 2 anos,1,
Huu,há 2 anos,0,
Huuu,há 2 anos,0,
Huuuu,há 2 anos,0,
Mano esse atlético  aí só joga no cruzamento  kkk no escanteio  no chuveirinho  kkkkk time feio,há 2 anos,0,
Furacao vem vindo,há 2 anos,1,
"Sou falmenguista, mas admiro d + esse timaço.
Q jogo ...
...imagina como será a copa do Brasil com atlético paranaense x flamengo",há 2 anos,2,1
Athletico e Flamengo vivendo talvez suas melhores fases na temporada. Os jogos da copa do Brasil prometem,há 2 anos,1,1
"Mano esse time do athletico gosta de fazer gol bonito viu, os cara parece ter um míssil no pé chutam com uma força",há 2 anos,1,
Prepara lombo menguinho kkkk,há 2 anos,1,
O teu tá guardado furacão ✋✋,há 2 anos,1,
Gente quem jogou mas Bahia ou o goianiense,há 2 anos,1,
esse gol do Teranz foi sacanagem...,há 2 anos,1,
Dá nem pro cheiro contra o Flamengo,há 2 anos,2,
Esse segundo e terceiro gol foi uns golaço do crlh,há 2 anos (editado),1,
Flamengo tá enrolado 🤦🏻,há 2 anos,1,
O seu Flamengo despachou facilmente o Furacão da Copa do Brasil,há 1 ano,0,
Prometeram muita confusão e pancadaria. Felipão foi covarde contra o Flamengo nos dois jogos,há 1 ano,0,
Coitado do flamengo kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,há 2 anos (editado),1,
Esse Atlético vai tira o flamengo de novo kkkk,há 2 anos,1,
Furacão muito forte na baixada⚫🔴👊💥,há 2 anos,3,1
"Léo cittadini: vira a bola calango
Fernandinho: toma",há 2 anos,2,
Por isso que o poderoso flamengo está com medo de jogar aí no segundo jogo das quartas de final da copa do BR.,há 2 anos,3,
SÓ GOLAÇO 🤯,há 2 anos,3,
furacao é gigante,há 2 anos,1,
Cada ano que o furacão for campeao mais forte vai ficar ❤️🌪️⚫♥️🖤🌪️🌪️🌪️,há 2 anos,4,
E antes do jogo um dia antes um torcedor do atlético goianiense- falou que ia golear o furacão kkk🖤❤️♥️⚫🌪️❤️🤣🤣😂😂 foi aos contrário kkk meu furacão amassou eles kk Srs ✌️✌️,há 2 anos,2,
"Esse adversário muito fraco tbm ...
Vamos vê contra time grande ,aí podemos vê como vão sair .",há 2 anos,2,1
"Atlético PR tá com um bom time ,vai ser um jogo bem equilibrado na copa do Brasil, Flamengo tá bem mortal do meio pra frente ,será um grande jogo ...",há 2 anos,3,1
Esse Atl Go é muito ruim,há 2 anos,0,
É muito bom ver os patéticos goianiense lá na zona de rebaixamento!,há 2 anos,0,1
Mano q tesao de jogo,há 2 anos,2,
"Meu amigo flamengo e Atlético PR vai fazer 2 jogos difíceis pra caralhooooo, flamengo tem mais time e tá super bem a alguns jogos mais o time do Atlético é um time com pegada e dentro de casa é pario duro",há 2 anos,0,
Boa vitória do Furação.,há 2 anos,1,
"campeonato brasileiro esta lindo de assistir, é a premier ligue das Américas",há 2 anos,9,
Golaços,há 2 anos,1,
"Esse athetico com H vai tomar de muito do flamengo na copa do Brasil vamos classificar fácil esse time do Paraná é um timeco, aqui é Mengo",há 2 anos,1,2
Sou flamenguista mais temos que concorda que o Fernandinho jogou muito bem e as duas equipes que se enfrentaram ja mostraram que não tão de brincadeira 4 a 0 4 a 1 só goleada,há 2 anos,1,3
O que apenas engrandece o fato do Flamengo eliminar o Athletico Paranaense dentro da Arena da Baixada nessa semana na Copa do Brasil,há 1 ano,0,
"@ArquivosVn kkkkk
valeu guri, sextou!!! kkkk",há 2 anos (editado),1,
"Equilibrado uma ova. O Flamengo resolveu essa parada facilmente, apesar do placar magro. Despachou o Athletico Paranaense com facilidade",há 1 ano,1,
se vc for goiás não pode falar nada guri,há 2 anos,0,
que Mário?,há 2 anos,0,
" @danvitor07  aquele que te pegou atrás do armário, aqui é Mengo",há 2 anos,1,
Também se não ganhar do Atlético Goiâniense vai ganhar de quem kkkk,há 2 anos,0,
 @cactosnova6581 kkk,há 2 anos,0,
