text,time,votes,replies
"Eita! Que festa na Arena Castelão😎
Elenco do Vojvoda sai do Z-4? E do Mano tem chances do G-4?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,290,50
⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪,há 2 meses,0,
🇫🇷🦁🇳🇱 FORTALEZA,há 4 meses,1,
FORTALEZA 🇳🇱🦁🇫🇷,há 4 meses,1,
FORTALEZA 🔴🔵⚪,há 1 ano,2,
em 2 jogos levamos 8 gols do FORTALEZA,há 1 ano,2,
Bora leão 🦁,há 1 ano,1,
Eiita meu Laion se preparem Fortaleza vaii volta com tudoo mesmo🇫🇷🦁🇫🇷🦁🇫🇷🦁🇫🇷🦁🇫🇷🦁🇫🇷🔊,há 1 ano,0,
O inter gosta de tomar uma paulada do Fortaleza no nordeste,há 1 ano,2,
crispim voltando fazer gol,há 1 ano,1,
Sempre é bom ver o Inter tomando um pau para o fortaleza já virou tradição.,há 1 ano,2,
Leão 🇫🇷😍,há 1 ano,1,
A Redbull comprou o Fortaleza tb? Meteram até a camisa do enérgetico,há 1 ano,0,
Cader o time do Kanal eliminado ✌🏻♥️🖤😂🤣😂,há 1 ano,0,
FORTALEZA ESPORTE CLUBE 🦁🏆🇨🇵,há 1 ano,2,
🦁|Leão de raça! 🇫🇷,há 1 ano,1,
O Fortaleza vai terminar entre os 6 ainda no Brasileirão espiã aí...,há 1 ano,0,
"Nautico do sul,fiasquento",há 1 ano,0,
O Inter perdeu pq tem azul no Fortaleza kkkkkkkkkk,há 1 ano (editado),1,
Mañana gana melgar sobrado 😎😎,há 1 ano,0,
Que vergonha binter 🤣🤣🤣,há 2 anos,16,
MORANGUETES MAIS 1 ANO SEM BRASILEIRO AGORA SÃO 43 ANOS KKKK,há 2 anos,8,
"Fortaleza sai do Z4, Inter para mim é G6 ou G8.",há 2 anos,1,
" @kaycksds532  2020, para de chororó, Inter que vacilou!",há 2 anos,1,
 @kaycksds532  continuam sendo pequenos! o gremio q ta na b tem mais liberta q vcs e mais copa do Brasil q vergonha moranga,há 2 anos,1,
 Letícia  oi 😊😉,há 2 anos,1,
Fui jantar e nao tive certeza quando vi mais um gol do fortaleza kkkkk,há 2 anos,4,
 @kaycksds532  kkkk da onde ce tirou isso? da sua cabeça? segundo pesquisas inter é o 8° melhor time do Brasil. Isso em 2022,há 2 anos (editado),1,
 @kaycksds532  mano n quero te deixar triste mas acho que é a tua fonte que tá errada. pesquisei sobre os maiores e melhores times do brasil e tem vários sites falando a mesma coisa. Inter tá em 8° dá uma olhada no ranking da cbf,há 2 anos,1,
Tadinha da Renata Fan amanha,há 2 anos,4,
" @kaycksds532  🅱️INTER NANICO, SE DIZ GRANDE MAS QUASE JOGOU A SÉRIE C E SO GANHA O BRASILEIRO A CADA 43 ANOS",há 2 anos,0,
"​ @kaycksds532  Grêmio: 3 Libertadores, 1 Mundial, 2 Brasileirões da série A, 1 Brasileirão da série B, 1 Supercopa do Brasil, 2 Recopas Sul-americanas, 5 Copas do Brasil, 41 Gaúchos e 3 rebaixamentos.
Inter: 2 Libertadores, 1 Mundial, 3 Brasileirões (1 invicto e 2 consecutivos), 1 Copa Dubai, 1 Copa Sul-americana, 2 Recopas Sul-americanas, 45 Gaúchos, 1 Copa do Brasil e 1 rebaixamento. 
Então, quem é o maior em títulos? Grêmio. Quem tem mais GreNais? Inter. 
Com essas informações eu acho o Grêmio maior, já que apresentou mais ídolos e a história do Inter, praticamente, se resume em 4 anos (2006-2010). Sendo assim, o Grêmio faz história desde 1983 e o Inter de 1979 até 2005 não era muito conhecido e muitas pessoas forçavam rivalidade.",há 2 anos,1,
"​ @kaycksds532  Maiores do Brasil:
1 São Paulo 
2 Santos
3 Palmeiras 
4 Flamengo 
5 Corinthians 
6 Grêmio 
7 Cruzeiro
8 Inter...

- Você está em 2022, não em 2006...",há 2 anos,3,
"​ @kaycksds532  Melhores times do Brasil, atualmente:
1 Palmeiras 
2 Flamengo 
3 Fluminense 
4 Atlético MG 
5 Corinthians 
6 Athletico Paranaense
7 Inter...",há 2 anos,0,
"​ @kaycksds532  E foi vice para o América MG, vendo o Grêmio ganhar a Copa do Brasil e Libertadores.",há 2 anos,0,
"​ @kaycksds532  Em 2005 pode ser, mas em 2020 não. O Inter tinha a obrigação de vencer o Sport e não venceu. E os Mendes polêmicos do duelo contra o Corinthians foram corretos. Quando a bola bate no braço apoiado no chão não é pênalti, está nas regras da CBF. Além do mais, ouvi dizer que o no duelo Flamengo x Grêmio teve um pênalti marcado para o Flamengo igual o lance do Ramiro que eu comentei. O do Flamengo foi diferente.",há 2 anos,0,
" @kaycksds532  De 1979 até 2005 não era muito popular, até forçavam rivalidade com o Grêmio. Não tinham nem Libertadores",há 2 anos,0,
 @kaycksds532  Se quer falar em ídolos eu tenho uma lista,há 2 anos,0,
" @kaycksds532  Eu não teria coragem de falar isso, já que os flamenguistas cantaram vitória antes da hora e deu no que deu",há 2 anos,0,
" @kaycksds532  Mas o Inter, São Paulo, Ceará e o Nacional são os favoritos mesmo",há 2 anos,0,
B79,há 2 anos,0,
