text,time,votes,replies
"Fala, galera! O empate foi justo??",há 1 ano,38,9
Queria que vojvoda conversace com esse goleiro ai. Pq esse erro delle ai. Nunca pode acontecer. Esse erro ai er de goleiro de serie C porra   Nois Er Outro Nivel. Carai nam,há 1 ano,0,
Eu atlético pr...,há 1 ano,0,
"O jogo inteiro mudo aí do nada ""eai gente boa curtiu o vídeo?""",há 1 ano,0,1
1:09 o cara teve a emoção de tocar no Fernandinho,há 1 ano,1,
Mesmo assim goleiro João Miguel errou de novo,há 1 ano,0,
Aqui é flamengo,há 1 ano,0,
"Tá aí uma opção perfeita pra substituir o Scolari quando ele se aposentar no fim da temporada. Vojvoda é um técnico muitíssimo bom, faz milagre com o que tem no Fortaleza e sinceramente tem a cara do Athletico, abre o olho diretoria!!!",há 1 ano,0,
Ué... 😳 Pq NGM narra os jogos do athletico/PR?!,há 1 ano,1,1
inimigo do fortaleza se chama: acréscimos,há 1 ano,0,
Alguém mais achou que a bola saiu... quando o jogador do Atlético foi pressionado na lateral? A sequência do lance deu origem ao gol de empate.,há 1 ano,1,
O droga dessa bola era pra ter batido na trave,há 1 ano,0,
Queria saber porque a maioria dos jogos do atl não tem narração?,há 1 ano,1,1
"Sou torcedor do athletico, mas o fortaleza está de parabéns!!! Tá voando baixo!!",há 1 ano,2,
O Fotaleza teve a chance de mata o jogo e quem não faz leva.,há 1 ano,0,
São malas eles corta a parte que a bola sai pra fora na linha lateral gol inválido VAR ladrao,há 1 ano,0,
Orgulho do meu Leão 🇫🇷🦁 ..os fanáticos segurando a bandeira  leoes da tuf aí foi show👏👏ja gostava do cap agora muito mais.,há 1 ano,1,
🇳🇬🇳🇬,há 1 ano,1,
O CAP ainda pensa em ganhar a Liberta com esse futebolzinho que vem apresentando.,há 1 ano,0,1
O gol q o Britez perdeu brincadeira,há 1 ano,0,
Empate merecido mais se saísse um ganhador seria o Fortaleza,há 1 ano,11,
"não foi merecido , pênalti não marcado no jogador do athletico Paranaense",há 1 ano,0,
Sim,há 1 ano,0,
Sim,há 1 ano,0,
" @jonasferreirazz  e o Leão ganhou do teu gremio então seu time também, e nanico",há 1 ano,7,
Fortaleza merecia a vitória,há 1 ano,2,
PALPITES DE HOJE QUINTA-FEIRA JÁ DISPONÍVEL NO NOSSO CANAL. COM BILHETES PRONTOS!⚽️🔥,há 1 ano,0,
 @jonasferreirazz  vai acompanhar seu time na série B lá,há 1 ano,0,
Fortaleza como sempre fez 1×0 Ja Se Comforma. Ai O Resultado Er Esse Ou Até Pior😡. Nam Pqp,há 1 ano,0,
Mudo? Não conseguiu ouvir a torcida dos times?,há 1 ano,0,
Por que a Globo não tem os direitos de transmissão em plataformas pagas do athletico paranaense como mandante.,há 1 ano,0,
Por que o grupo Globo não tem os direitos de transmissão em plataformas pagas do athletico paranaense como mandante.,há 1 ano,0,
O cap empatou com esse mesmo fortaleza que ganhou de vcs,há 1 ano,0,
