text,time,votes,replies
"Fala, galera! Qual time merecia levar os 3 pontos?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,127,67
Parabéns Palmeiras 🤩🤩,há 1 ano,1,
"Zagueiro do Palmeiras sobre cometimento deste pênalti, não sei não viu. A bola já estava saindo pela linha de fundo, zagueiro atropelou o atacante. Dindin na mão fácil fácil. Rsrsrsrsrs😅",há 1 ano,1,
Eu amei,há 1 ano,0,
Avai 2x2 Palmeiras,há 1 ano,0,
VAL PALMEIRAS Dudu meu hidro vai ser o melhor jogador do Palmeiras,há 1 ano,0,
São Paulo ensino a como ganha do avai kkkkkkkkkkkkkkk,há 1 ano,0,
Corinthians ta na cola do sem mundial kkk,há 2 anos,0,
Esse Rafael Ruim Navarro  para ficar ruim ainda tem que melhorar muito,há 2 anos,0,
E ñ vem com desculpa de time reserva,há 2 anos,0,
Cadê a máquina o melhor time do mundo kkk chora porcada,há 2 anos,0,
Narração estranha,há 2 anos,1,
Urra Leão!,há 2 anos,0,
"Não da mais pro Navarro, os gols que ele perde, o Deyverson, Rony, Breno, fariam, imagina agora com esses  dois 9 gringos que foram contratados, é melhor emprestar ele.",há 2 anos,0,
"Jogo fácil e o Palmeiras fez se tornar difícil pelo primeiro tempo ruim q jogou. Dava pra matar o jogo no primeiro tempo , Avai tava todo mal posicionado dando chances e os Palmeiras só durmindo no ponto. No segundo aí sim jogou melhor. Mais esse primeiro tempo foi q lascou td. E esse pênalti do Gomez foi um vacilo grande nem precisava chegar no cara era só ficar protegendo.",há 2 anos (editado),0,
"Como se não bastasse o Navarro perder mais um gol cara a cara, ele ainda tira a cabeça da bola no gol de falta do Jean, tá de brincadeira esse jogador, não merece fazer parte do elenco do Palmeiras",há 2 anos (editado),0,
Nao teve penalt para o Palmeiras roubou,há 2 anos,0,
"Quem faz o recorte dos melhores m momentos tem sério problema, deixa de fora metade dos lances perigosos",há 2 anos,0,
