text,time,votes,replies
"Fala, galera! O que acharam do resultado?
🌟 Assine o Premiere: https://bityli.com/uoAvUu",há 2 anos,90,26
yf nncvbbchhfgfii  gvbcioioodfg  cbbvyyfr hhfdhgfy66  bbcuuuyhgrt vvyyyfggdd33 hh77yy  vvdyjjjjhuf   vbcuuhfgfyyt fgfbviirbrfyf ggg77f   nnnhhgu8777  bbn  hhfkkkjyy7   vcnnkkfyvuuuydevxcki8 c vvckhb777f vhgghf77fbii8vvg u77nnvuufbbviihbbvmmhhhhu78fbbbv    bbkku9898rjjjbbvjjcbbvhhfjj4884hhuuççlçlkk00kk vb8fgbjjooooobcv ufb  bvcc888bfb nbvvccuu8de bbfuhjjjjjj88uufnnvbco0ojfhgnvhhfi88fbbbv87fghfgr777f     hhf8uy8u,há 1 ano,0,
Esse foi pênalti 2:30 contra o Galo e o lance ontem contra o São Paulo que foi pior não foi pênalti a favor do Galo. Fala sério em CBF.,há 2 anos,1,
Vim aqui pelo cartola...Elvis e Apodi escalados contra o timeco do Santos...vamos ver se vai da boa 😎,há 2 anos,0,
apodi caberia facil em um time mais competitivo,há 2 anos,0,
Goiás 💚💚 nossa torcida e show,há 2 anos,0,
"Não é desmerecer o Goiás ou Curitiba, mas Atlético MG está vacilando no campeonato, isso vai arca consequências futuramente.",há 2 anos,0,
"Gente  se o Tite não levar o Hulk para a copa , será uma injustiça, esse gol dele , ele colocou a bola no canto, isso não é força é jeito",há 2 anos,0,
O Goiás tá jogando muita bola!,há 2 anos,1,
Galinzé voltando a realidade,há 2 anos,0,
3 empate seguido anem galo 😭,há 2 anos,0,
Nossa galo mais ta de boa,há 2 anos,0,
Apodi sempre ele.,há 2 anos,0,
É UM NOVO FUTEBOL,há 2 anos,0,
"A soberba e
 o salto alto de todos que entram no campo como se já tivesse ganhado é q causa tudo isso. Aceitem que dói menos e calcem a sandália da humildade. Isso não faz mal a ninguém",há 2 anos,0,
apodi kkkk,há 2 anos,0,
