text,time,votes,replies
"Fala, torcedor! Juíz acertou na marcação do pênalti e da expulsão?
🌟Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,110,87
Karina e eu vou a aula,há 1 mês,1,
"Não sei como que não anularam, o gol do Nikão..........",há 2 meses,0,
Show de Bola Cuiabá Deyverson 💚💚,há 3 meses,1,
"Ontem em lance semelhante, dessa vez o Calleri, estava na frente do goleiro, mas o gol do Galoppo foi anulado 😢 já o do Nikão não 😅😅",há 6 meses,0,
Pênalti???????????????,há 1 ano,1,
O pênalti foi bem marcado  pq o jogador do Cuiabá empurrou o do São Paulo  na grande área,há 2 anos,2,
o são paulo precisa de um golero melhor quase n conseguil a virada,há 2 anos,1,
"Viram a diferença, contra o Corinthians o Renato Augusto usou as duas mãos na bola e não foi pênalti, Casagrande é o Cleber Machado não ficaram revoltados essa é a tal hipocrisia.",há 2 anos,1,
Sou sao Paulino roxo mais não foi penalti sobre a expulsão foi correta ele vai para machucar o arboleda qui partida do arboleda não é a toa qui foi o melhor em campo mais 3 pontos para meu tricolor,há 2 anos,0,
Meteu a mão no Cuiabá..,há 2 anos,0,
"Finalmente Nikão fez seu primeiro gol, espero que dê a volta por cima e cale a boca de muitos idiotas que criticaram o cara, sempre achei um bom jogador só não vivia um bom momento mais uma coisa vou dizer, ele ainda vai dar aa volta por cima e vai nos dar muita alegria ❤🤍🖤",há 2 anos,0,
Deus te abençoe Carlinhos,há 2 anos,1,
O VAR foi nomeado o melhor jogador da partida,há 2 anos,0,
"O Flamengo perdeu pro CAP de 1x0 com um pênalti pior que esse, e todo mundo foi zoar o Flamengo, disseram que acertaram na marcação do pênalti e etc. Agora nesse ai só falta chamarem a polícia, sendo que foi parecido ao marcado para o CAP.
A verdade é que a mídia e os antis estavam tudo feliz com a vitória parcial do Cuiabá, e ficaram tudo se mordendo com a virada na raça do tricolor! Se esse pênalti fosse pro Cuiabá ninguém iria questionar, só iriam zoar e criticar o SP pela derrota, bando de hipócritas! 
A expulsão foi idêntica a uma do Calleri ano passado contra o Flamengo, e foi correta! Essa tmb foi, não importa se é sem querer, é um lance perigoso.",há 2 anos,1,
"O Cuiabá deu foi sorte...o goleiro salvou inúmeras vezes,  esse jogo tinha q ser uns 5x1 pro São Paulo...e n sei em q teve polêmica aí, pênalti claro e expulsão justa, o cara quase quebra a perna do Arboleda",há 2 anos,0,1
O cara furou a bola e foi expulso que piada,há 2 anos,1,
"Esse Patrick é um bom jogador, é um dos poucos que faz alguma coisa diferente, ou pelo menos tenta, merece ser titular no São Paulo. 
Se Nikão e Rigoni estivessem jogando o que sabem esse time poderia ter um melhor desempenho.",há 2 anos,0,
"Agora virou moda, os caras caírem na área por qualquer toquizinho (que ñ é o suficiente para derrubá-los) e esses árbitros ruins marcarem pênalti. Até quando essa arbitragem brasileira vai ficar nisso?",há 2 anos,0,
Kerolayne Amo 👏🏻👍📺,há 2 anos,1,
"Chorem, +3 pontos",há 2 anos,13,
"Não acertou, as Trikas só ganha no apito amigo",há 2 anos,12,
Foi pênalti e a expulsão foi bem marcada.,há 2 anos,12,
 @GuilhermeAlvesDaSilvah  mano cala boca Corinthiano vcs são ruim para cacete,há 2 anos,0,
"Não, foi roubo",há 2 anos,7,
 @jonaspfc6331  Precisaram roubar pra ganhar do Cuiabá! Que vergonha,há 2 anos,12,
Foi roubado,há 2 anos,6,
 @jonaspfc6331  chora pq mn sou são Paulino tbm e o árbitro errou tbm,há 2 anos,3,
 @ajajajajaj236  N mn são Paulo nem roubou o roubo foi do próprio árbitro pq o são Paulo jogo mil vezes melhor,há 2 anos,2,
nao juiz ajudou o sao paulo ganhar,há 2 anos,3,
 @TORCIDA_SENTA_VIBRA  tem problema de 😭😭😭😭😭 choradeira ?? Não tem kkkkkkkkkk,há 2 anos,4,
" @sadzin_hp7455  Eu sei, peguei mal com o SP, mas não acho uma vitória justa, principalmente no pênalti",há 2 anos,3,
 @cruzeiro5848  chora maria!! O São Paulo não tem nd a ver com o pênalti marcado pelo juiz!!,há 2 anos,0,
OS ZAGUEIROS DO SÃO PAULO CONSEGUEM SER MAIS DESATENTOS  QUE O CLEBER MACHADO NARRANDO.,há 2 anos,0,
Acertou nos dois lances vamos São Paulo,há 2 anos,2,
"sim, penalti",há 2 anos,2,
 @cruzeiro5848  olá bruzeiro,há 2 anos,0,
 @walissonferraz7975  então Arboleda é ruim ??????,há 2 anos,0,
 @catiacamarinidecampos974  eu disse desatento não ruim.,há 2 anos,0,
"Claro que acertou , o cara quase tira o Arboleda do jogo , se fosse no jogador do seu time oque vc marcaria ? E o pênalti que o cara colocou a mão na bola duas vezes , vai passar em branco ?????",há 2 anos,1,
"Achei que a expulsão foi exagerada, ele não teve intenção de chegar com a sola da chuteira na canela do arboleda (sou sao paulino)",há 2 anos,3,
"Foi falta, no meio de campo todos marcam esse tipo de falta. Dentro da área é pênalti",há 2 anos,1,
expulsão sim penalti nunca,há 2 anos,1,
"O Pênalti não deu para ver por um ângulo melhor no vídeo, mas a expulsão foi muito acertada!",há 2 anos,0,
Tri mundial o maior do Brasil de volta as origens,há 2 anos,0,
 @cruzeiro5848  mano vai perder mais um mundial,há 2 anos,0,
Nunca que isso foi pênalti.  Cuiabá prejudicado,há 2 anos,2,
 @jonaspfc6331  clubista,há 2 anos,0,
Sim,há 2 anos,2,
Que pergunta estúpida,há 2 anos,0,
Claro vms são paulo 🇾🇪💪🏼,há 2 anos,0,
 @cruzeiro5848  kkkkkkk,há 2 anos,0,
