text,time,votes,replies
Alguém de 2024,há 3 semanas,0,
"Volta a usar esse uniforme, São Paulo 😅 bela narração Cleber e vamo São Paulo.........",há 2 meses,0,
Vamos são pauloooooooooooooooooooooooooo,há 4 meses,0,
"Mano tô aqui revendo esse jogo e tô aqui pra dizer que o Igor Vinicius está de volta, a narração de Cléber Machado no gol do Igor é muito braba",há 6 meses,0,
Amém,há 1 ano,0,
Siiiii 🤩🤩,há 1 ano,1,
Olá sou kaique torço pro Santos meu primo torce pro bragantino  o e o outro torce pro  São Paulo  kkkkkkkk,há 1 ano,1,
KAROLINA,há 1 ano,0,
25FABDNO,há 1 ano,0,
O 1 e o 3 gol foram golaços,há 1 ano,0,
O São Paulo venceu com gol de calleri,há 1 ano,1,
Atlético goieniense,há 1 ano,0,
Kerolayne Amo 👏🏻👍🏻📺,há 1 ano,1,
Quem viu o Tofa lá gravando deixa o like,há 1 ano,2,
Boa narração Kleber Machado,há 1 ano,0,
A narração desse cara é fod@...até se fosse futebol d botão ia ter emoção com ele narrando!,há 1 ano,0,
O gol do Igor Vinicius quase rasgou a rede,há 1 ano,1,
eder n ta impedido n,há 1 ano,0,
"Boa partida do São Paulo , agora com relação aos melhores momentos, poderiam caprichar um pouco mais, curto demais  os replays dos gols.",há 1 ano,0,
VAMO TRICOLOR ⚫⚪🔴🇾🇪🇾🇪,há 1 ano,1,
Esse RB Bragantino tava engasgado viu?! Foi um algoz chato para o SPFC no últimos tempos kkkk.,há 1 ano,2,
O São Paulo fez o 3 gol quase na mesma hora acho que só  deu alguns segundos e depois deu um gol bem f0d4.,há 1 ano,0,
E o sorisso do caleri toca q e gol,há 1 ano,1,
"PQP, tira essa musiquinha que já deu e coloca o HINO TRICOLOR !!!",há 1 ano,1,
Deu gosto de ver o sao Paulo vencendo por 3 a 0,há 1 ano,0,
O igor Vinicius ta jogando muito,há 1 ano,0,
Esse bandeirinha e gay cara impedido da logo fresco. Kkk,há 1 ano,0,
Finalmente o São Paulo com um uniforme diferente.,há 1 ano,0,
Essa camisa deu raça pro são Paulo além do normal,há 1 ano,0,
"Grande vitória, pra cima tricolor .",há 1 ano,0,
"vitor gabriel
concordo plenamente com você eu digo o mesmo também",há 1 ano,0,
Domingo o São Paulo foi soberano,há 1 ano,0,
QUEM QUER PARTICIPAR DO NOSSO GRUPO NOVO DO SÃO PAULO CURTIR NOSSO CANAL E COMENTA NO VIDEO QUE TEM LA,há 1 ano,0,
"Temos camisas do São Paulo na promoção por 150,00 reais",há 1 ano,0,
Camisa nova deu sorte e confiança ❤,há 1 ano,0,
Jogou demais todo o time até Igor Gomes.... não pera....,há 1 ano,1,
Melhor narrador,há 1 ano,0,
Se continuar assim sem o igor.gomes o time do sao paulo alcança um G5 no brasleirao,há 1 ano,0,
foi a camisa nova kkk,há 1 ano,0,
Jogão do São Paulo,há 1 ano,0,
"Essa camisa do ituano deu sorte pro São Paulo hoje,mas o Mequinha vai passar na copa do Brasil com certeza.",há 1 ano,1,
"O tricolor foi bem mais a zaga do bragantino tava uma mãe, entregando TD hora",há 1 ano,0,
