text,time,votes,replies
"Faaaaaaaaaaaaaala galera!
O que achou da vitória do Bragantino?
Assine o Premiere: https://bityli.com/uoAvUu",há 2 anos,49,2
Vamos bragantino 🤩🤩,há 1 ano,1,
"Parabéns bragatino.  Sou mineira, mais odeio o Ceará e o Fortaleza 😆😅😈",há 2 anos,0,
"Não pode só olhar pra sul-americana não , meu Deus",há 2 anos,1,
Questão de tempo para red bull bragantino ganhar primeiro título,há 2 anos,1,
"Quem é o bocó tentando fazer imitação ? Deve ter parente forte na rede esgoto, ruim demais",há 2 anos,0,
"Quem cai este ano ? 

Fortaleza 
Ceará 
Inter
Santos
Botafogo
Não falta candidatos",há 2 anos (editado),1,
𝗰𝗲𝗮𝗿𝗮 𝗽𝗲𝗿𝗱𝗲𝘂 𝗺𝘂𝗶𝘁𝗼𝘀 𝗴𝗼𝗹 𝗼 𝗹𝗼𝗸𝗼,há 2 anos,0,
Esse cara tava narrando um funeral? Narrador fraco da porra,há 2 anos,0,
"Só deu ceará, quem não viu o jogo pensa que o bragantino é um bicho papão.",há 2 anos,1,
"Ceará não tem setor defensivo. Querem sobreviver ao brasileiro com as velhas gambiarras. Quando contratam, só trazem porcarias, tipo Dentinho, Lindoso...",há 2 anos,1,
CEARÁ 0X1 BRAGANTINO,há 2 anos,0,
Jogão⚽️⚽️⚽️,há 2 anos,1,
Ceará tá mal hein...perdeu em casa dnovo...Com o time bom que tem.,há 2 anos,0,
Ceará e fortaleza o passeio de vocês na série A está acabando,há 2 anos,0,
2:27 kkkkkkkkkk nem o narrador acredito que ele ia chuta,há 2 anos (editado),1,
"Grande vitória do Juiz pro Braga. Pênalti Claro! Time de SP quando é contra eles, é interpretação.",há 2 anos,2,1
Alguém viu uma criança invadindo o campo em ? Se alguém viu comenta que vou fala uma coisa 🙊,há 2 anos,0,
Roubaram o sport na copa do Nordeste.,há 2 anos,0,
DAR-LHE RED BULL 😤🦬,há 2 anos,1,
ótima!  Boa bragantino,há 2 anos,1,
Legal,há 2 anos,2,
Chora não,há 1 ano,0,
Time que perde pontos em casa é bem complicado.,há 2 anos,1,
"Cleiton me deixa puto, como sai mal do gol pqp!",há 2 anos,0,
ceara e muito fraco,há 2 anos,0,
O futebol do Nordeste é de segunda divisão,há 2 anos,0,4
Ceará e Fortaleza serão rebaixados para a segunda divisão este ano,há 2 anos,1,
"Sou Bahia mas, da gosto de vê o bragantino jogar, a redbull salvou o time",há 2 anos,3,
Ta bom,há 2 anos,0,
"Depois ñ querem que eu critique a arbitragem brasileira, pois queria saber o que o VAR estava querendo com o lance chamado por ele de um possível pênalti . Bragantino joga fácil.",há 2 anos,1,
Redbulll Bragantino maior que ceará,há 2 anos,1,
"Cara, o que o João Ricardo ainda tá fazendo de titular? O cara parece que vive com os pés fincados ao chão! Não tô entendendo o porque do Richard ainda tá na reserva",há 2 anos,0,
A PARTE PIOR DESSE VÍDEO E ESSE ABESTADO FALANDO MERDA,há 2 anos,0,
Bragantino não tem torcida!!,há 2 anos,0,1
Bragantino teve um pouco de sorte.,há 2 anos,1,
"Descaracterização total do bragantino, e igual uma mulher trans 😂",há 2 anos,0,
Se o Ceará converte o tanto que perdeu teria sido uns 4 X 1.,há 2 anos,2,2
"Pênalti claro para o Ceará e o árbitro decidiu seguir o lance , mesmo após o var chamar ele para revisar , ele não deu o pênalti. Injusto um jogo como esse !",há 2 anos,2,2
"O jogo foi bom e movimentado, mas a narração simplesmente acabou com o jogo, o narrador parece q está dormindo enquanto narra, não passa absolutamente emoção nenhuma!!!",há 2 anos,0,
Vacilou técnico ruim do Ceará,há 2 anos,0,
Sei que o vozão ta focado na sul americana mas tem que olhar pro brasileirão também,há 2 anos,1,
Que narraçao de gol sem graça,há 2 anos,0,
"Tão segunda divisão que o ceara está a 5 anos na série A e é a terceira vez dele na sula e o Fortaleza top 4 do BR ganhando do alianza Lima,nossa que segunda divisão né,coitado deve ser cego",há 2 anos,0,
 @davisales169  COMPARADO COM FUTEBOL PAULISTA E CARIOCA E DO RIO GRANDE DO SUL É DE SEGUNDA DIVISÃO SIM.,há 2 anos (editado),0,
" @J11-  então esses ""times de série b"" conseguem ganhar desses e ainda fica em cima deles na tabela",há 2 anos,0,
 @J11-  pra mim time de série b não ficava em quarto no brasileiro série A,há 2 anos,0,
Mas tem time bom! Por isso está em segundo,há 2 anos,0,
"""se"" não existe",há 2 anos,0,
"Se o bragantino tivesse convertido suas chances seria uns 7, e aí?",há 2 anos,0,
Concordo,há 2 anos,0,
 @GuilhermeAlvesDaSilvah  kkkkkk acho que você não tava no estádio e nem mesmo viu o lance para dizer isso !,há 2 anos,0,
Jogão,há 2 anos,0,
No gol do bragantino o goleiro pulou depois que a bola já tinha passado.,há 2 anos,2,1
PARABÉNS  AO BRAGA,há 2 anos,3,
Imagem zinha Fraca viu,há 2 anos,0,
"Esses dois times podem brigar por libertadores, ótimo jogo",há 2 anos,4,1
Parabéns Braga 👏👏👏,há 2 anos,2,
"RB bragantino vem crescendo pouco a pouco, não vai demorar levantar uma taça importante",há 2 anos,5,
"Golaço do Ytalo,nem segurou a bola,já mandou direto!",há 2 anos,4,
Peiará 🤣🤣,há 2 anos,1,1
Italo tá em uma fase espetacular,há 2 anos,1,
Essa seria A tá muito equilibrada,há 2 anos,1,
Braga,há 2 anos,0,
"Com essa animação na narração não consigo ver o vídeo inteiro, deu até sono.... Ele tá tá narrando os melhores momentos é kkk 😬",há 2 anos (editado),0,
Peia no KANAL,há 2 anos,0,
Toma torcida da BUCHADA!,há 2 anos,1,
"Mano, eu ganhei a camisa do Lucas Evangelista nesse jogo",há 2 anos,1,15
Parabéns ao campeonato pelos jogos e aos times por jogarem,há 2 anos,4,1
Roubadooooo na cara dura em casa de novo e o que tão fazendo com o ceará,há 2 anos,1,1
"Até 15ª rodada não dá pra prever nada...
Melhor campeonato do mundo. Não é previsível como em muitas praças por aí a fora!",há 2 anos,5,
Pessimo futebol jogadores sem classe 1 golo e fim de jogo,há 2 anos,0,
Pois é. Noite também,há 2 anos,0,
Ceará briga por Sula no máximo,há 2 anos,1,
Stela tb tá só tomando peia,há 2 anos,0,
Mano vc viu uma criança invadindo o campo ?,há 2 anos,1,
 @nycolassidonio7320  eu vi,há 2 anos,1,
Sabe quem foi,há 2 anos,1,
Fui eu que ivandir o campo,há 2 anos,1,
Nome da quelé menino e nycolas,há 2 anos,1,
Tem 11 anos e serio fui eu não tou mentindo,há 2 anos,1,
Eu tava no setor Norte,há 2 anos,1,
Fui eu até quem me Deu a camisa foi o Yuri Castilho,há 2 anos,1,
 @nycolassidonio7320  caraca q massa,há 2 anos,0,
 @nycolassidonio7320  tu viu eu ganhando a camisa do Luca Evangelista?,há 2 anos,0,
Eu que entrei no campo,há 2 anos,1,
Ganhei a camisa,há 2 anos,1,
 @nycolassidonio7320  parabéns,há 2 anos,0,
Não que o segurança tinha me levado,há 2 anos,0,
Mais parabéns pra vc também,há 2 anos,0,
Kk,há 2 anos,0,
 @GuilhermeAlvesDaSilvah  como não foi o cara foi só no corpo do Erick como que não foi pênalti,há 2 anos,0,
"Torcedor do Fortaleza: a

Automaticamente qualquer torcedor do Ceará: NuNcA FoMos dE C",há 2 anos,2,1
