text,time,votes,replies
"E ai, o que achou da partida?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,110,8
"E foi com lei do ex e até com golzinho que o Pelé não fez quem é de 2024
                               👇🏻",há 3 meses (editado),0,
Boa meu Fortaleza  ❤️💙 🦁🦁,há 3 meses,1,
"Quem diria que 1 ano depois, santos x fortaleza se reencontraram para fazer a última rodada do brasileiro na vila, e o Santos foi rebaixado",há 7 meses,0,
Freguesia,há 8 meses,1,
Vim do futuro pra dizer que na última de 2023 contra o MESMO FORTALEZA o Santos é rebaixado.,há 8 meses (editado),2,
Não sou santista mas como é triste ver o santos rebaixado perderam seu maior ídolo e agora veio o rebaixamento lamentável,há 8 meses,0,
"66
90",há 11 meses,1,
Gabriel Menino Cruzamento Para Trás o Toque. Gooooooooooooooooooooooooooooooooooolllllllll dooo Palmeiraaaaas! Rony. Aos 45 Minutos do 2° Tempo,há 1 ano,2,
Toca Pro Zé Rafael Já Domina Breno Lopes Corta Chegou De Cabeça Endrick. Goooooooooolll!! Não Foi Gol. Vamo Ver No Var. Apita o juiz e o goooooooooolllllllll do Palmeiras.,há 1 ano,1,
Parabéns fortaleza,há 1 ano,0,
Ja pensou si o fortaleza tivese ganhado alguns jogos no primeiro turno kkk o crefisa fc na seria campeao kkkk,há 1 ano,0,
"PARABÉNS POR TD FORTALEZA. O VERDADEIRO LEÃO DO NORDESTE.
 SRN ❤️🖤",há 1 ano,1,
O incrível Fortaleza ❗,há 1 ano,0,
Meu nome e Eugênio e minha mulher e Liliane nós somos Fortaleza,há 1 ano,0,
Santos = ex-clube em atividade,há 1 ano,0,
Na copinha 2023 vai ser A mesma Coisa 💥,há 1 ano,1,
"Santos jovens mascaradinhos com cabelinho Amarelinho moicano......
Santo André, um time sério e focado",há 1 ano,0,
Serie c pro santos vergonha,há 1 ano,0,
Isso é Fortaleza!,há 1 ano,1,
"Fortaleza mereceu d+ essa vaga na pré libertadores, da lanterna do brasileiro com a maioria das pessoas falando que já tava rebaixado, a pré da libertadores esse time é fd, parabéns fortaleza mereceu d+",há 1 ano,18,
VTMNC NINGUÉM FC MICRÓBIO,há 1 ano,0,
Perfeito o meu fortaleza ganhou🦁🦁🇲🇫🇲🇫,há 1 ano,8,
Boa! 👍,há 1 ano,7,
"FORTALEZA NA LIBERTADORES, DE NOVO!",há 1 ano,11,
Assino não.,há 1 ano,1,
"Bom, Fortaleza impôs mais uma derrota do Santos pequeno saco de pancadas",há 1 ano,2,
UM TIME DO NORDESTE QUE NAO TEM UMA COTA JUSTA NA DIVISÃO COM OS GIGANTES ...IMAGINE O FORTALEZA COM UMA COTA JUSTA ...AI VEM UM MONTE DE HIPÓCRITAS DE TIMES GRANDES DO EIXO FALANDO QUE NÃO TEMOS TITULO DE BRASILEIRO ...SUL AMERICANA ...LIBERTADORES ... VOCÊS JA ESTÃO COMEÇANDO A ENGOLIR O FORTALEZA POIS JA TIRAMOS A VAGA DE SAO PAULO ...BITAFOGO ..SANTOS ....MAS CLARO NEM TODOS TORCEDORES SAO IDIOTAS ...É NÓS LEÃO 🦁🦁🦁🦁,há 1 ano,1,
"""JUCA KIFURI TAVA
 CERTO NÓS SOMOS UM NINGUÉM FC MESMO""- TORCEDORES DO ASILO 2022 😂😂😂😂😂😂😂😂😂😂",há 1 ano (editado),0,
"Grande vitoria do fortaleza,mais quem era o santos, hoje o santos  não ganha de ninguém",há 1 ano,1,7
"Fortaleza, da zona do rebaixamento para a Libertadores, incrível.",há 1 ano,2,
"Primeiro gol 7 jogadores do fortaleza na área. Na última linha 4 f X 3 Santos 
Rebote 2 Santos 3 fortaleza.",há 1 ano,0,
Primeira jogada fortaleza já com 5 jogadores dentro da área do  Santos.,há 1 ano,0,
O CAMPEONATO   BRASILEIRO  É  UM DOS CAMPEONATOS MSIS DIFÍCIL....,há 1 ano,0,
Q trabalho fas voevoda no comando do fortaleza da lanterna do brasileiro pa classificado para libertadores parabéns a diretoria do fortaleza,há 1 ano,0,
"Ano que vem SPx Fluminense no morumbi se SPFC perde rebaixa o SANTOS, 3min do primeiro tempo 5x0 fluminense , vou torcer pro santo cair ano que vem!",há 1 ano,0,3
Parabéns Fortaleza mereceram a vaga,há 1 ano,2,
"Sou gremista, parabenizo o Fortaleza nessa temporada, time guerreiro",há 1 ano,3,
