text,time,votes,replies
Boa togão Juventude Série A 2024 Nenê 💚💚 🇳🇬🇳🇬,há 3 meses,1,
ilkk 🤩🤩,há 1 ano,1,
"que pena do Juventude,um Luxemburgo dava jeito la",há 1 ano,1,
Que o juventude mofe na série a e caia pra b,há 2 anos,1,
Peru Glu Glu Glu esse gol 😂🤫🔥😂😂😂,há 2 anos,1,
No juventude só pita que joga kkk,há 2 anos,0,1
Bom narrador esse,há 2 anos,1,
Gol q o pita perdeu 😳,há 2 anos,2,
"Juventude Jogando Sem Goleiro, Assim Fica Dificil.",há 2 anos,2,
Tá difícil de ver um vasco💢⛵⚓ e juventude 🦜🇳🇬2023 na serie A 😔😭🥺💔,há 2 anos,3,
O Juventude jogou muito. Pena que a vitória não saiu. Que continue jogando assim pra sair do Z4. 🙏🏻🙏🏻,há 2 anos,7,
Jogaço⚽️,há 2 anos,2,
Grande vitória! 👏🏻🖤,há 2 anos,4,
Parabéns bragantino pela Vitória 👏👏👏,há 2 anos,4,
Faltou o gol do Artur velho.,há 2 anos,2,
Wk,há 2 anos,0,
"Cara a iluminação desse estádio do bragantino é ridícula,veja os outros estádios a diferença,parece mais um campo com farol baixo….!😂😂😂😂",há 2 anos,0,
"Juventude vai escapar do rebaixamento, podem anotar 🇳🇬 🇳🇬",há 2 anos,4,
Essa camisa do Bragantino é brabaaaa,há 2 anos,3,
Juventude não merecia perder essa,há 2 anos,3,
O Chico tbm,há 2 anos,0,
Importante é os 3 pontos,há 2 anos,3,
tava esperando uma goleada do bragantino. a campanha no brasileiro pode estar ok mas é uma temporada pouco decepcionante deles,há 2 anos,0,
Golaço,há 2 anos,3,
"Esse Pita joga muito, merece estar numa equipe mais competitiva",há 2 anos,6,4
Eu também acho interessante esses dois técnicos o Diniz e o Barbieri com uma filosofia diferente e quê da gosto de assistir,há 2 anos,13,
COITADO DO JUVENTUDE MAIS COITADO AINDA É O BRAGANTINO PORQUE A RED BULL CHEIA DOS MONEYS  SO COMPRA JOGADOR RALO,há 2 anos,0,
"Dois trabalhos que, se derem certo, mudarão o futebol nacional: Bragantino de Barbieri e Fluminense de Diniz. Bragantino por dar tempo de trabalho ao treinador e o Fluminense pelo futebol propositivo.",há 2 anos,58,3
Braga ta bem,há 2 anos,2,
PSG de Bragança venceu mais uma,há 2 anos,0,
Rumo a Série B,há 2 anos,1,
RED BULL BRAGANTINO 30/07/22,há 2 anos,1,
Era óbvio que o juventude não iria ganhar esse jogo...,há 2 anos,3,
Boa Vitória do Bragantino,há 2 anos,9,
Isso que é narração,há 2 anos,6,
"Bragantino garantindo minha multipla
 665 conto",há 2 anos,1,
Dá-lhe Braga!!,há 2 anos,14,
BRAGANTINO vai pra libertadores,há 2 anos,6,
"Maiores de cada Região
SP : Bragantino
RJ : Volta Redonda
MG : Tombense
RS : Brasil de Pelotas
NE : Ibis",há 2 anos,7,7
Parabéns  pela  vitória  e  ainda  deixou  o  Juventude  na  Lanterna,há 2 anos,18,
O Juventude Tá fraco hein? pelo menos tem o Internacional para carregar o estado do RS nas costas,há 2 anos,0,
Isidro pitta da a raça em campo além de ser bastante técnico,há 2 anos,4,
"pensei o mesmo aqui...ele e o bissoli do Avai,bons jogadores...",há 2 anos,4,
" @wagnerrecarte9809  verdade, acredito que ano que vem eles já respirem novos ares, até mesmo o Pedro Raul",há 2 anos,2,
 @wagnerrecarte9809  bissoli so tem gol de penalty,há 2 anos,1,
"Concordo plenamente contigo... Cabe apenas aos Dirigentes e Torcedores de Ambos os Times, terem paciência com os seus respectivos Técnicos....",há 2 anos,3,
"Esse é um problema do Brasil, os times não dão tempo para os técnicos e já querem ganhar tudo no primeiro ano... a Red Bull acho que trouxe a mentalidade europeia de que paciência(muitas vezes) compensa. Talvez eu esteja generalizando muito, mais eu tenho um belo exemplo do Klopp que ficou 3 anos no Liverpool até ganhar a primeira champions.",há 2 anos,1,
Vey o bragantino ta jogando mt tem um bom investimento ainda nn entendo como que nn tem uma grande torcida pra lotar o estádio kkk,há 2 anos,0,
Maiores no Interior isso sim,há 2 anos,1,
 @EM-jo5hp  não entende de ironia?,há 2 anos,1,
 @surekmexicanodacalvicetime3946  Tava corregindo,há 2 anos,0,
"Grande Volta Redonda, pelo que eu ouvi dizer, está negociando a contratação do CR7.",há 2 anos,0,
 @givemebitcoin  fake news,há 2 anos,0,
Mas o Brasil-RS está quase rebaixado pra série d,há 2 anos,0,
Rio:Vasco,há 2 anos,0,
"Entre os Clubes Grandes...

Torcedores sofredores nesses últimos 10 anos ao meu ver:

1- Vascaínos 
2- Botafoguense 
3- Chorolados
4- São Paulinos 
5- Tricolor 🇭🇺
6- Santistas
7- Cruzeirense

Torcedores felizes nesses últimos 10 anos ao meu ver: 

1- Corinthianos
2- Palmeirense 
3- Flamenguista 
4- Atlético Mg 
5- Grêmistas 
6- Atlético Pr",há 2 anos,18,7
Só o Inter para carregar o estado do RS nas costas mesmo,há 2 anos,5,
BRAGANTINO 1X0 JUVENTUDE,há 2 anos,1,
Jogão,há 2 anos,3,
"Barbieri a muito tempo faz um trabalho sensacional e poucos reconhecem, com elenco fraco joga um dos melhores futebol do pais.",há 2 anos,9,6
"Juventude na Série B ainda bem,só falta o Cuiabá e mais dificil mas não impossivel o BAVAI!!",há 2 anos,7,
O RB Bragantino voltou a jogar bem..... Provavelmente irá brigar por uma Vaga na Copa Libertadores da América.,há 2 anos,33,
Esse juventude é uma piada 🤏🏽😂,há 2 anos,4,
Vamo bragaaaaaa,há 2 anos,6,
"Primeiro aqui, inter campeão de tudo",há 2 anos,5,8
"Não tem muita lógica você botar os Cruzeirenses em sofredor, e o gremista em mais felizes, kkkkkkkk pois quando o Grêmio ganhava títulos recentemente, o Cruzeiro também ganhava.",há 2 anos,2,
" @saburgo2270  Na minha visão sim. O Cruzeiro foi o 2° Clube Tradicional a cair pra Série B e não voltar no seguinte e de brinde tá 3 anos na Série B (maior vergonha de um Clube Grande entre os Brasileiros). Pelo que eu me lembre (nesse momento) o Cruzeiro ganhou 4 títulos nesses últimos 10 anos (2 Brasileiros e 2 Copa do Brasil) e os Cruzeirenses viu o seu maior rival nesses últimos 10 anos ganhar 1 Copa Libertadores, 1 Recopa Sul-americana, 2 Copa do Brasil, 1 Brasileiro e 1 Supercopa do Brasil. E o Atlético Mg ganhou muitos Estadual encima do Cruzeiro e foi campeão da Copa do Brasil encima do Cruzeiro.

Se eu fosse Cruzeirense isso tudo seria uma humilhação.",há 2 anos,1,
"Cruzeiro 6 Copas do Brasil,
Nossa muito sofredor kkkkk",há 2 anos,1,
 @reidospiratas720  Sabe ler não? Eu falei nos últimos 10 anos.,há 2 anos,0,
" @zek667  

Ganhou 2 copas do brasil 
2 brasileirão 

Pow tá bem demais, 
o grêmio é outro que está bem
Pois ganhou a libertadores

Eu tenho certeza que os gremista e os cruzeirenses não trocaria por nada esses títulos

Caiu pra série B ?  sim mas logo logo eles volta",há 2 anos (editado),0,
"Olha ... O Grêmio não é tão ""feliz"" de uns 3 anos pra cá ... Só ganha o gauchão sempre por que é pai do inter mas, fomos rebaixados na última temporada... Mas vai melhorar",há 2 anos,0,
