text,time,votes,replies
"Faaaaala, galera! 😎😎
O que achou da partida? 

🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,17,4
Bora bora Atlético-GO ❤️🖤,há 3 meses,1,
"Fiquei feliz com Mais uma Permanência do Cuiabá na Série A e também por causa do Deyverson que fez muito pelo Cuiabá, sou Palmeirense e ele fez tudo e jogou muito para Cuiabá não descer de novo 💚💚💚",há 1 ano,0,
acho q o fogo do gragao ta apagando.falta lenha,há 1 ano,0,
atletico go. o time mais covarde q vi na minha vida,há 1 ano,0,
o deiverdson ta parecendo centroavante de varzea q comeu muito macarrao e so fica na banheira,há 1 ano,0,
"Mano blz perdeu a bola no campo de defesa mas na recuperação ele pega só a bola como que o cara levou vermelho , nem puxar o jogador do Cuiabá ele puxou",há 1 ano,3,
Empate ruim para os dois.,há 1 ano,0,
Quem narrou esse jogo?,há 1 ano,1,
Pra cima Cuiabá,há 1 ano,1,
"Como não fez teatro hoje, o Deyverson só passeou em campo.",há 1 ano,1,
Sou gremista mas é estranho ver o deyverson no Cuiabá,há 1 ano,1,1
"Leva esse Dragão pra dentro que eu levo a princesa pra comer fora, Jorginho.",há 1 ano,1,
"Campeão difícil...entre os 12 pode sim, tem um bom elenco",há 1 ano,1,
"Calanguinho saiu no lucro, Cuiabá merecia ganhar, kkkkk 🤭😭😂 agora próximo jogo vamos arrancar o couro desse calango tonto e dar o golpe de misericórdia,aí série B garantida kkkkk 🤭😂😅😁🐸👻👍",há 1 ano (editado),3,1
"Vamos DRAGÃO, sou São Paulino mas sou teu fã!",há 1 ano,0,
Jogão⚽️🥇,há 1 ano,0,
E o tal Jorginho? kkkkkkkkkkkk,há 1 ano,2,
Kkkk com esse time .vai desse se n cuida,há 1 ano,0,
Nen vi a entrevista de Jorginho será q falou de Abel ????,há 1 ano,2,
"Empate ruim, principalmente pro Atlético Goianiense",há 1 ano,1,
Empate bem Ruim,há 1 ano,0,
Empate bom pro Cuiabá,há 1 ano,0,
Editor cortou o ataque do Cuiabá que o jogador do Atlético teve que tirar em cima da linha,há 1 ano,1,
É top mano,há 1 ano,0,
Sou atléticano e vou estar na Surrinha pra prestigiar mais um chocolate kkk,há 1 ano,0,
"O Atlético não tá bem exclusivamente nessa competição. Perder pra um time limitado desse como o Cuiabá. Não que o Atlético seja o clube das estrelas, mas tem muito, mas muito mais time pra ter esse vexame de ter empatado pra esse time.",há 1 ano,3,
Cuiabá bem superior ao Atlético GO!,há 1 ano,1,
O churin meia foda é brabo,há 1 ano,1,
esse Daronco é muito fraco,há 1 ano,2,
Boa partida,há 1 ano,0,
"Saudações tricolores 🦁 🔴 🔵 ⚪ 
Eu não acredito que o dragão vá cair pra série b não 
Esse time tem qualidade pra sair dessa situação também, só não pode da um vacilo desse em casa",há 1 ano,13,2
"Já temos 3 times rebaixados: Juventude, Atlético Go e Coritiba!! Lutam pela outra vaga: Cuiaba e Avai!!",há 1 ano,5,5
FORTALEZA 🇨🇵,há 1 ano,4,
Não,há 1 ano,0,
Esse zagueiro tem QI de um mosquito. Cara entregou o ouro e quem sabe a vaga na serie a do ano que vem,há 1 ano,2,
EU tava la no estadio em goiania foi mt top,há 1 ano,3,
A lagartixa deu sorte de não ter perdido ! Agradeçam a trave!rsrs,há 1 ano,0,
Cuiabá na casa do dragao é guerreiro mesmo,há 1 ano,4,
Quem fez o gol do Cuiabá?,há 1 ano,1,1
"Jorginho👉🏽 Tomamos empati porque lembrei que tenho que ver o que o abel falou hoje na coletiva pós jogo, daí esqueci que o jogo não tinha terminado 🤷🏽‍♂.
Por falar nisso, tanto o técnico do cuiabá, como os jogadores, até o empati nessa partida, todos foram super simpáticos comigo, diferente do abel que mesmo longe, não sai da minha cabeça.",há 1 ano (editado),24,
O Jorginho tem que entender que é técnico de time pequeno do tamanho dele. E Abel é treinador de série A.,há 1 ano (editado),6,2
"Parabéns o Cuiabá dominou o jogo do incio ao fim. Não é atoa que está fora do z4 era pra ser uns 4 a 1 fácil. Esse time do Atlético Goiâniense é muito ruim não é atoa que é o lanterna do campeonato. Pode anotar aí Avaí , ATLÉTICO GO e  juventude já  estão rebaixados. Agora vamos saber de quem será a outra vaga.",há 1 ano,1,6
O PIT DOG SEMPRE VAZIO..,há 1 ano,0,1
"O Atlético Goianiense tem que mudar o nome do estádio
Tem que ser ""Caverna do Dragão "" o nome kk
Ia ficar top já pensou os narradores falando, jogo aqui na Caverna do Dragão kk
Fica a dica aí pros caras do marketing do Dragão.",há 1 ano,2,6
Eu acredito na permanência heróica do dragão🐉🇦🇴🙏 rubro negro menos empatando em casa hj mais tem futebol na raça e o atlético Go não vai cair assim como fortaleza está si salvando atlético Go tbm si salva no 2 turno nessas rodadas finais falta so caprichar mais dentro de casa pra deixar a zona de rebaixamento a próxima e clássico vamos bater o Goiás e melhorar na tabela de classificação pronto falei,há 1 ano,15,9
"É cidadão fez 23 pontos em 22 jogos,agora em 15 jogos tem q fazer no mínimo 22, sinceramente já está na série B!👍😁",há 1 ano,0,
Errou kkkk caiu hj,há 1 ano,0,
Agora o número da mega pfv.,há 1 ano,0,
"Kkkkkkkkk é o  primeiro brasileiro de vcs? Campeão e rebaixado só na ultima rodada,não é campeonato europeu que vc sabe quem são os 4 primeiro do até o final da temporada,do mais AVANTI PALESTRA!!!",há 1 ano,1,
Não tem ninguém rebaixado Nutella só no seu limitadíssimo cérebro quem tá muito perto é o juventude,há 1 ano,2,
"Nenhum time está rebaixado, o único q caminhar é o juventude, mais não está rebaixado ainda, tem muita partida pela frente",há 1 ano,0,
Único time que realmente será difícil não cair e o juventude o resto está todo mundo na briga logico que estou falando a tabela de baixo,há 1 ano,0,
Rodriguinho,há 1 ano,1,
"Vc é um babaca mesmo,de pensar isso de Jorginho",há 1 ano,0,
Você tem que entender que ninguém tem que ouvir abobrinha de torcedor arrogante e otario vai sentar numa mandioca,há 1 ano,1,
"Hahahaahhhaa dominou? Se o atlético não tivesse o jogador expulso era 3x0 com total tranquilidade! O Atlético não cai, já o CUiaba😂😂😂",há 1 ano,0,
" @nicholasmedeiros9344  se aquilo não é domínio eu não sei o que é. Bola na trave, jogador tirando bola em cima da linha, 20 chutes contra 6, posse de bola maior e fora o gol. Foi um massacre",há 1 ano,0,
" @ivansantos1891  do início ao fim? Vc e burro é? Lógico q com um jogador a menos e o atlético vencendo vcs iriam atacar! Mas se não tivesse o expulso, teríamos ganhado com tranquilidade!",há 1 ano,0,
" @nicholasmedeiros9344  KKKKK fora a bola na trave do Cuiabá e quando tiraram a bola em baixo da linha, teve mais lance do Cuiabá que do Atletico, se isso n foi domínio, oq é ent kkkkk",há 1 ano,0,
"Kkkkkkk tu não sabe de nada, vidente meia boca...",há 1 ano,0,
 @nicholasmedeiros9344  atlético Go e Cuiabá e bem equilibrado 8 confrontos 6 empates e 1 vitória pra cada lado,há 1 ano,0,
Goiás outra merda kkkkkkkkk,há 1 ano,0,
"Se chama ""castelo das princesas""",há 1 ano,0,
 @da-lheverde  kkk,há 1 ano,0,
"E tem que trocar esse nome de Atlético também. Atlético tem que ter só um o Atlético MG.
Virou moda em todos os Estados ter um time com o nome de: Atlético, Flamengo, Fluminense, Botafogo, Santos, São Paulo. E todos com o uniforme parecido. Põe nome único como por exemplo:
Danúbio, Fort, Imperial, Garra, Astro,
Tropical, Triunfo, Máximo, Porto, Damasco, Capital, Master.....etc",há 1 ano,1,
 @amarildoalmeida9106  que besteira....,há 1 ano,0,
Kkkkkk vdd,há 1 ano,0,
 @amarildoalmeida9106  🤣🤣🤣🤣🤣🤣,há 1 ano,0,
"Saudações tricolores 🦁 🔴 🔵 ⚪ 
Eu penso da mesma forma, vcs não caem mano tenho certeza",há 1 ano,5,
 @danilopinheiro274  valeu pela força mano🙏😊,há 1 ano,1,
"Fizeram 22 pontos em 23 jogos,agora fazer no mínimo 23 pontos em 15 jogos, esqueci série B t aguarda calangueiras 🦎😭😅",há 1 ano,1,
 @alvosecreto1682  discordo de vc mané nois temos juventude e vários times em posições intermediária pra pegar e tirar essa diferença de boa ok,há 1 ano (editado),0,
 @alvosecreto1682  Calangueiras kkkkkkkkkkkkkk,há 1 ano,0,
"Mano o Atlético Go passou muito tempo priorizando as copas, cometeu o msm erro q o Fortaleza no começo da temporada.
Agr pra reagir precisa abandonar tudo e focar so no Brasileirão.
Ainda da tempo",há 1 ano,1,
Kkkkkkkkk deu não caíram,há 1 ano,0,
 @daniel2pro325  em 2024 volta ao lado do Ceará São os favoritos pro ano que vem pode crer o que atrapalhou foi o desgaste com copa do Brasil sul americana meio que o Atlético go tirou o pé do brasileiro aqueles pontos perdidos pro juventude foi aonde o clube foi rebaixado o Ceará caiu porquê vacilou demais dentro de casa 🏠,há 1 ano,0,
" @davidferreira3799  atlético tem uma gestão boa... Oq são ruim msm são os jogadores msm, sou cuiabano, torço para os times do centroeste, porém ano que vem não tem essa não série B é embaçado, se não reforçar vai ficar no caminho... Meu palpite que ceara vai ser ponta de tabela, e atlético Go vai classificar entre os 4, ci pá ituano tmb que batendo na trave",há 1 ano,1,
Chamem o Abel goianiense,há 1 ano,1,1
Empate bem Ruim,há 1 ano,1,
"Jogo dos desesperados, e empate ruim pro Atlético-GO que vai cair",há 1 ano,1,1
Se o Jorginho não tivesse preocupado em aperto de mão ou dragão teria vencido😎😎😎😎😎😎,há 1 ano,11,2
Cuiabá na Série A é igual ao Programa do Luciano Huck não tem graça nenhuma!!,há 1 ano,2,1
Vamos Cuiaba ficar na serie a e tentar ganhar o campeonato brasileiro,há 1 ano,14,9
